title,rating_ordinal
The Hunger Games,2
Harry Potter and the Order of the Phoenix,2
To Kill a Mockingbird,2
Pride and Prejudice,2
Twilight,0
The Book Thief,2
Animal Farm,1
The Chronicles of Narnia,2
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,2
Gone with the Wind,2
The Fault in Our Stars,2
The Hitchhiker's Guide to the Galaxy,2
The Giving Tree,2
Wuthering Heights,0
The Da Vinci Code,0
Memoirs of a Geisha,1
The Picture of Dorian Gray,1
Alice's Adventures in Wonderland & Through the Looking-Glass,1
Jane Eyre,1
Les Misérables,2
Fahrenheit 451,1
Divergent,2
Lord of the Flies,0
Romeo and Juliet,0
The Alchemist,0
Crime and Punishment,2
The Perks of Being a Wallflower,2
The Great Gatsby,1
City of Bones,1
Ender's Game,2
The Help,2
Anne of Green Gables,2
Harry Potter and the Sorcerer's Stone,2
The Little Prince,2
Charlotte's Web,2
Of Mice and Men,0
The Time Traveler's Wife,1
Dracula,1
Brave New World,1
One Hundred Years of Solitude,1
The Catcher in the Rye,0
The Princess Bride,2
The Lightning Thief,2
The Secret Garden,1
A Thousand Splendid Suns,2
A Wrinkle in Time,1
A Game of Thrones,2
The Adventures of Huckleberry Finn,0
The Lovely Bones,0
The Outsiders,1
Where the Wild Things Are,2
Green Eggs and Ham,2
The Odyssey,0
Life of Pi,1
A Tale of Two Cities,0
Water for Elephants,1
Lolita,1
Slaughterhouse-Five,1
Frankenstein: The 1818 Text,0
The Kite Runner,2
The Handmaid's Tale,1
The Giver,1
Catch-22,1
Dune,2
The Pillars of the Earth,2
The Stand,2
The Adventures of Sherlock Holmes,2
Watership Down,1
Great Expectations,0
Little Women,1
The Bell Jar,1
Harry Potter and the Deathly Hallows,2
One Flew Over the Cuckoo's Nest,2
Anna Karenina,1
Outlander,2
My Sister's Keeper,1
Matilda,2
The Fellowship of the Ring,2
The Girl with the Dragon Tattoo,2
Rebecca,2
1984,2
The Color Purple,2
A Tree Grows in Brooklyn,2
A Clockwork Orange,1
The Road,1
The Brothers Karamazov,2
Angela's Ashes,1
Vampire Academy,1
Siddhartha,1
The Poisonwood Bible,1
The Golden Compass,1
Don Quixote,0
Atlas Shrugged,0
Harry Potter and the Prisoner of Azkaban,2
The Old Man and the Sea,0
The Notebook,1
Winnie-the-Pooh,2
The Complete Stories and Poems,2
Interview with the Vampire,1
A Prayer for Owen Meany,2
Moby-Dick or the Whale,0
The Red Tent,2
The Secret Life of Bees,1
Harry Potter and the Goblet of Fire,2
Clockwork Angel,2
Harry Potter and the Half-Blood Prince,2
And Then There Were None,2
Middlesex,1
The Stranger,1
The Master and Margarita,2
The Name of the Wind,2
The Shining,2
The Adventures of Tom Sawyer,1
Eragon,1
Charlie and the Chocolate Factory,2
Flowers for Algernon,2
On the Road,0
The Metamorphosis,0
Looking for Alaska,1
The Shadow of the Wind,2
The Curious Incident of the Dog in the Night-Time,0
The Very Hungry Caterpillar,2
Tuesdays with Morrie,1
The Unbearable Lightness of Being,1
The Name of the Rose,1
Where the Red Fern Grows,1
Harry Potter and the Chamber of Secrets,2
The Godfather,2
The Scarlet Letter,0
In Cold Blood,1
Fight Club,2
The Five People You Meet in Heaven,1
Hush Hush,1
The Cat in the Hat,2
American Gods,1
The Count of Monte Cristo,2
Lonesome Dove,2
Perfume: The Story of a Murderer,1
Holes,1
The Lion the Witch and the Wardrobe,2
Watchmen,2
It,2
The Last Olympian,2
The Little House Collection,2
The Divine Comedy,1
Peter Pan,1
All Quiet on the Western Front,1
The Hobbit or There and Back Again,2
The Compleat Works of Wllm Shkspr (abridged),2
Love in the Time of Cholera,1
Shadow Kiss,2
Insurgent,1
The Thorn Birds,2
A Walk to Remember,2
How the Grinch Stole Christmas!,2
The Ultimate Hitchhiker's Guide to the Galaxy,2
Atonement,1
The Importance of Being Earnest,2
Eat Pray Love,0
Their Eyes Were Watching God,1
The Three Musketeers,1
The Wonderful Wizard of Oz,1
Frostbite,2
Goodnight Moon,2
The Lorax,2
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter Witch,2
Blood Promise,2
Tess of the D'Urbervilles,0
The Good Earth,1
Heart of Darkness,0
The Battle of the Labyrinth,2
A Midsummer Night's Dream,1
Clockwork Princess,2
The Prophet,2
The Mists of Avalon,1
The Titan's Curse,2
The Sea of Monsters,2
The Joy Luck Club,1
Alice in Wonderland,1
The Call of the Wild,0
Jonathan Livingston Seagull,0
The Phantom Tollbooth,2
Bridge to Terabithia,1
The Hunger Games Trilogy Boxset,2
Oh the Places You'll Go!,2
The Girl Who Played with Fire,2
The Maze Runner,1
The Neverending Story,2
Oliver Twist,0
Ulysses,0
Treasure Island,0
Fifty Shades of Grey,0
The Clan of the Cave Bear,1
A Storm of Swords,2
The Canterbury Tales,0
The World According to Garp,1
A Farewell to Arms,0
David Copperfield,1
Wicked: The Life and Times of the Wicked Witch of the West,0
Shōgun,2
Extremely Loud & Incredibly Close,1
Murder on the Orient Express,2
His Dark Materials,2
A Little Princess,2
The Other Boleyn Girl,1
Schindler's List,2
The Boy in the Striped Pajamas,2
Jurassic Park,1
Last Sacrifice,2
The Night Circus,1
Fallen,0
The Silmarillion,1
The Secret Magdalene,1
Beloved,0
The Trial,1
A Confederacy of Dunces,1
The Sun Also Rises,0
The Selection,1
The Velveteen Rabbit,2
Catching Fire,2
The Lost Hero,2
Throne of Glass,2
Spirit Bound,2
Clockwork Prince,2
The Iliad/The Odyssey,1
The Crucible,0
Cat's Cradle,2
The God of Small Things,1
The Wind in the Willows,1
The Screwtape Letters,2
Girl with a Pearl Earring,1
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,2
A Light in the Attic,2
The Silence of the Lambs,2
Shiver,0
Uglies,0
City of Fallen Angels,1
Man's Search for Meaning,2
She's Come Undone,0
The Phantom of the Opera,1
Marley and Me: Life and Love With the World's Worst Dog,1
Ella Enchanted,1
The Wind-Up Bird Chronicle,2
Cinder,2
The Green Mile,2
Blindness,1
A Clash of Kings,2
The Sound and the Fury,0
The Shack,0
Marked,0
The Guernsey Literary and Potato Peel Pie Society,2
For Whom the Bell Tolls,1
Fear and Loathing in Las Vegas,1
The House of the Spirits,2
The Complete Calvin and Hobbes,2
Roots: The Saga of an American Family,2
Misery,2
Howl's Moving Castle,2
Stranger in a Strange Land,1
Island of the Blue Dolphins,0
Midnight Sun [2008 Draft],1
The Girl Who Kicked the Hornet's Nest,2
The Secret History,1
White Oleander,1
The Diary of a Young Girl,2
Delirium,1
Beautiful Disaster,1
Othello,1
Flow Down Like Silver: Hypatia of Alexandria,2
Paper Towns,0
The Vampire Lestat,1
Speak,1
The Idiot,2
King Lear,1
The Once and Future King,1
I Know This Much Is True,2
Neverwhere,2
Into the Wild,1
Inkheart,0
Uncle Tom's Cabin,0
Lamb: The Gospel According to Biff Christ's Childhood Pal,2
The Historian,0
The Complete Sherlock Holmes,2
Candide,0
