title,rating
The Hunger Games,4.33
Divergent,4.19
Insurgent,4.02
The Hunger Games Trilogy Boxset,4.48
Catching Fire,4.29
Legend,4.17
The Angel Experiment,4.07
I Am Number Four,3.94
The Bourne Identity,4.02
Champion,4.34
Prodigy,4.26
The Death Cure,3.77
The Hunt for Red October,4.07
Deception Point,3.72
The Ruins of Gorlan,4.21
Walks Away Woman,4.33
The Past,4.75
Schools Out Forever,4.15
Saving the World and Other Extreme Sports,4.15
Cross My Heart and Hope to Spy,4.12
Max,4.06
The Present,4.92
Dont Judge a Girl by Her Cover,4.2
Killing Floor,4.05
Only the Good Spy Young,4.29
The Final Warning,3.86
Fang,4.06
Ana Rocha,4.23
The Kill Order,3.71
Red Storm Rising,4.17
The Power of Six,4.16
Blood Red Road,3.91
The Rise of Nine,4.18
Shadows Edge,4.25
Dream Caster,4.14
Stormbreaker,3.98
Angel,4.02
The Burning Bridge,4.31
Out of Sight Out of Time,4.33
The Battle for Skandia,4.34
Spellbound in His Arms,3.89
The Sorcerer of the North,4.27
I Am Pilgrim,4.25
The Icebound Land,4.24
The Maze of Bones,3.85
The Moses Expedition,3.69
Rainbow Six,4.09
Secrets of the Realm,3.9
Nevermore,3.89
Lodestar,4.66
The Darkest Hour,4.53
United We Spy,4.44
Tarzan of the Apes,3.9
Genghis,4.35
Eraks Ransom,4.33
Without Remorse,4.18
The Kings of Clonmel,4.3
The Fall of Five,4.23
The Siege of Macindaw,4.34
The Recruit,4.24
The Steward,3.92
Fire and Ice,4.38
Visions,4.37
Dark Guardian ,4.2
The Emperor of Nihon Ja,4.42
The Hard Way,4.15
The Charm School,4.27
Forest of Secrets,4.42
Naruto Vol ,4.39
Number ,4.13
The Bourne Supremacy,4.1
The Camel Club,4.04
Rising Storm,4.4
Percy Jackson and the Olympians Boxed Set,4.59
The Prisoner of Cell ,4.22
Map of Bones,4.06
Plum Island,4.03
Bleach Volume ,4.23
The Outcasts,4.38
The World of Divergent,3.97
A Dangerous Path,4.44
Halts Peril,4.39
Inside Divergent,4.36
Maximum Ride Vol ,4.25
One Shot,4.2
Midnight,4.28
Airman,4.14
The Traveler,3.83
In Too Deep,4.03
Night Fall,4.09
The Last Don,3.84
Armor,4.12
Point Blank,4.11
U ,4.34
The Killer Collective,3.91
The Enemy,4.16
Eagle Strike,4.12
The Innocent,4.13
Patriot Games,4.13
The Seventh Scroll,4.12
Fractured,4.14
Dakota Son,4.43
Storm Warning,4.0
Firestars Quest,4.33
Article ,3.77
When the Lion Feeds,4.19
The Black Circle,4.0
Into the Gauntlet,3.96
Moonrise,4.32
 Hours,4.09
Divergent Series Complete Box Set,4.3
Kingdom of the Wicked,4.51
The Maze Runner Trilogy ,4.19
Fire and Flood,4.05
Debt of Honor,4.05
Ice Station,4.1
One False Note,3.9
Chasing the Prophecy,4.37
Transfer of Power,4.3
Skeleton Key,4.07
Deep Storm,3.88
The Changeling,4.13
The Emperors Code,4.05
The Dangerous Days of Daniel X,3.58
Tripwire,4.09
Evil Star,3.98
The Lost Stories,4.28
SAMPLER ONLY,4.52
Eragon and Eldest,4.3
Rock Chick Rescue,4.3
The Divergent Series  Book Collection,4.54
Amazonia,4.12
Point of Impact,4.27
Scorpia,4.17
Rock Chick Regret,4.54
Captain Blood,4.17
Sunset,4.38
Reboot,3.9
Clear and Present Danger,4.11
Beyond the Grave,3.92
Snakehead,4.15
The Vipers Nest,3.98
Divine Justice,4.18
The Empresss Tomb,4.15
Class A,4.29
The Sword Thief,3.89
Raven Rise,4.19
The Last Templar,3.62
The Shadow Throne,4.25
Necropolis,4.14
The Midnight Line,4.06
Pirate Latitudes,3.45
HIVE Higher Institute of Villainous Education,4.07
The Last Thing I Remember,4.01
Fade,4.57
Term Limits,4.31
Maximum Security,4.26
Janitors,3.91
Bad Luck and Trouble,4.18
Seven Deadly Wonders,4.07
The Sight,4.3
The Judgement,4.29
Noble Beginnings,3.76
Storm,3.95
The Speed of Life,4.37
Absolute Power,4.16
The Winner,4.08
Rock Chick Redemption,4.42
Red Rabbit,3.7
Berserk Vol ,4.41
Ark Angel,4.12
The Invaders,4.4
Executive Orders,4.07
The Thin Executioner,4.16
Without Fail,4.15
Colombiano,4.33
Catching Fire,4.52
Last Man Standing,4.04
Artemis Fowl Boxed Set Bks   ,4.3
Rock Chick Revenge,4.48
The Fate of Ten,4.31
The Complete Circle Series,4.54
Protect and Defend,4.32
Rise of the Elgen,4.3
Shattered,4.23
The Odessa File,4.11
TimeRiders,3.82
The Bone Church,3.74
The Dying of the Light,4.62
Gold Coast,4.08
The Gates of Rome,4.17
Airframe,3.71
Memorial Day,4.3
Perfect Cover,3.84
Rock Chick Renegade,4.45
American Assassin,4.23
DGray man Vol ,4.2
The Long Way Home,4.26
The Maleficent Seven,4.36
The Eye of Minds,3.85
Persuader,4.1
Killer Spirit,4.01
Defy,3.74
The Interludes,4.48
The Traitor,4.16
The Judas Strain,4.14
Monster Hunter International,4.05
The Matarese Circle,4.05
Die Trying,4.03
Raise the Titanic ,3.98
The Cardinal of the Kremlin,4.05
Scorpia Rising,4.29
The Amber Room,3.85
The Last Oracle,4.14
Thunderhead,4.09
Consent to Kill,4.36
The Royal Ranger,4.37
Sharpes Rifles,4.24
The Other Side of Dawn,4.22
Split Second,3.9
Blood Ties,4.12
Atlantis Found,3.99
Hunter x Hunter Vol ,4.49
The Lonesome Gods,4.18
The Whole Truth,4.01
Blood Line,3.69
Inca Gold,3.99
Warlock,4.05
Freehold,4.04
Maximum Ride Forever,4.06
Diamonds Are Forever,3.64
Maze Runner,4.14
Divergent Official Illustrated Movie Companion,4.34
Micro,3.44
Arcade Catastrophe,4.19
Birds of Prey,4.19
Black Order,4.14
Monsoon,4.29
The Last Mile,4.2
Past Tense,4.02
The Murder Complex,3.64
Pushing Brilliance,4.01
Fledgling,4.26
My Hero Academia Vol ,4.49
Executive Power,4.3
Retribution Falls,3.97
The Teeth of the Tiger,3.67
Man vs Beast,4.16
Maximum Ride Vol ,4.37
The Third Option,4.25
Contest,3.97
HMS Ulysses,4.06
Conqueror,4.44
SilverFin,3.82
The Guns of Navarone,4.14
Moonraker,3.77
Act of Treason,4.28
The Way of the Warrior,4.22
The Feds Folly,4.2
Independence Hall,4.05
The King Beyond the Gate,4.13
Separation of Power,4.3
Soul Eater Vol ,4.29
The Hunt for Atlantis,3.9
By the Rivers of Babylon,3.88
The Field of Swords,4.29
Worth Dying For,4.21
The Gods of War,4.31
The Brotherhood of the Rose,4.14
Wanted,3.71
The Satan Bug,3.71
The  Clues Complete Collection,4.37
The Affair,4.1
Total Control,4.08
Gone Tomorrow,4.17
Afterimage,4.32
The Truth of the Matter,4.32
Sharpes Eagle,4.26
Night Probe ,3.9
The Turning,4.21
Extreme Measures,4.3
The Death of Kings,4.28
Bloodline,4.21
John Le Carre,4.47
The Medusa Plot,4.08
The Bourne Ultimatum,4.05
The Rose and the Thorn,4.4
Temple,4.06
Night Without End,3.82
Layer Cake,3.99
The Bear and the Dragon,3.84
Altar of Bones,3.7
The Devils Alternative,4.06
First Blood,4.0
Rock Chick Reckoning,4.42
Sandstorm,3.95
Running Blind,4.1
While I Live,3.76
The Eleventh Commandment,3.93
Crocodile Tears,4.19
Endgame,4.18
Hidden Away,4.24
Blue Heaven,4.02
Omerta,3.72
Burning For Revenge,4.19
The Secret War,4.3
The Night Is for Hunting,4.16
The End of Infinity,4.43
MILA ,3.69
The Kill Artist,4.0
Ice Station Zebra,3.99
Kill Shot,4.3
The English Assassin,4.13
The Confessor,4.15
The Mozart Conspiracy,3.9
The Gate House,3.76
Blood Ransom,4.21
Bravo Two Zero,4.1
Allegiant,4.11
The Fifth Profession,3.99
