title,rating
The Hunger Games,4.33
Harry Potter and the Order of the Phoenix,4.5
To Kill a Mockingbird,4.28
Pride and Prejudice,4.26
Twilight,3.6
The Book Thief,4.37
The Chronicles of Narnia,4.26
JRR Tolkien  Book Boxed Set,4.6
The Fault in Our Stars,4.21
The Giving Tree,4.37
The Da Vinci Code,3.86
Memoirs of a Geisha,4.12
Alices Adventures in Wonderland and Through the Looking Glass,4.06
Fahrenheit ,3.99
Divergent,4.19
Lord of the Flies,3.69
The Perks of Being a Wallflower,4.2
City of Bones,4.1
Enders Game,4.3
The Help,4.47
Anne of Green Gables,4.26
Harry Potter and the Sorcerers Stone,4.47
The Little Prince,4.31
Charlottes Web,4.17
The Time Travelers Wife,3.97
The Catcher in the Rye,3.81
The Princess Bride,4.26
The Lightning Thief,4.26
The Secret Garden,4.13
A Thousand Splendid Suns,4.38
A Wrinkle in Time,4.0
A Game of Thrones,4.45
The Adventures of Huckleberry Finn,3.82
The Lovely Bones,3.82
The Outsiders,4.1
Where the Wild Things Are,4.22
Green Eggs and Ham,4.3
Water for Elephants,4.09
Lolita,3.89
The Kite Runner,4.3
The Handmaids Tale,4.11
The Giver,4.13
Dune,4.23
The Pillars of the Earth,4.31
Watership Down,4.06
Little Women,4.09
The Bell Jar,4.01
Harry Potter and the Deathly Hallows,4.62
Outlander,4.23
My Sisters Keeper,4.08
Matilda,4.32
The Fellowship of the Ring,4.36
The Girl with the Dragon Tattoo,4.14
Rebecca,4.23
The Color Purple,4.22
A Tree Grows in Brooklyn,4.27
Vampire Academy,4.12
The Golden Compass,3.99
Harry Potter and the Prisoner of Azkaban,4.57
The Notebook,4.11
Winnie the Pooh,4.34
The Red Tent,4.18
The Secret Life of Bees,4.06
Harry Potter and the Goblet of Fire,4.56
Clockwork Angel,4.32
Harry Potter and the Half Blood Prince,4.57
And Then There Were None,4.26
Middlesex,4.01
The Name of the Wind,4.53
The Shining,4.23
The Adventures of Tom Sawyer,3.91
Eragon,3.9
Charlie and the Chocolate Factory,4.14
Flowers for Algernon,4.14
Looking for Alaska,4.02
The Curious Incident of the Dog in the Night Time,3.88
Tuesdays with Morrie,4.11
Where the Red Fern Grows,4.08
Harry Potter and the Chamber of Secrets,4.43
Fight Club,4.19
The Five People You Meet in Heaven,3.94
Hush Hush,3.97
American Gods,4.11
Holes,3.97
The Lion the Witch and the Wardrobe,4.22
It,4.24
The Last Olympian,4.51
The Little House Collection,4.34
Peter Pan,4.05
The Hobbit or There and Back Again,4.27
The Compleat Works of Wllm Shkspr ,4.44
Shadow Kiss,4.35
Insurgent,4.02
The Thorn Birds,4.23
A Walk to Remember,4.18
The Wonderful Wizard of Oz,3.98
Frostbite,4.27
Goodnight Moon,4.28
The Lorax,4.34
Good Omens,4.24
Blood Promise,4.32
The Battle of the Labyrinth,4.39
Clockwork Princess,4.57
The Titans Curse,4.35
The Sea of Monsters,4.24
The Joy Luck Club,3.93
Alice in Wonderland,4.02
The Call of the Wild,3.87
The Phantom Tollbooth,4.2
Bridge to Terabithia,4.01
The Hunger Games Trilogy Boxset,4.48
Oh the Places Youll Go ,4.35
The Girl Who Played with Fire,4.24
The Maze Runner,4.03
The Neverending Story,4.17
Treasure Island,3.83
Fifty Shades of Grey,3.66
The Clan of the Cave Bear,4.05
A Storm of Swords,4.53
Wicked,3.54
Extremely Loud and Incredibly Close,3.97
Murder on the Orient Express,4.17
His Dark Materials,4.25
A Little Princess,4.2
The Other Boleyn Girl,4.07
The Boy in the Striped Pajamas,4.15
Last Sacrifice,4.39
The Night Circus,4.03
Fallen,3.73
The Selection,4.13
The Velveteen Rabbit,4.29
Catching Fire,4.29
The Lost Hero,4.33
Throne of Glass,4.2
Spirit Bound,4.35
Clockwork Prince,4.44
The Wind in the Willows,3.98
Girl with a Pearl Earring,3.89
A Light in the Attic,4.34
Shiver,3.77
Uglies,3.86
City of Fallen Angels,4.12
Shes Come Undone,3.88
Marley and Me,4.13
Ella Enchanted,3.98
Cinder,4.14
A Clash of Kings,4.41
The Shack,3.78
Marked,3.8
The Guernsey Literary and Potato Peel Pie Society,4.17
Misery,4.17
Howls Moving Castle,4.26
Island of the Blue Dolphins,3.84
Midnight Sun ,4.02
The Girl Who Kicked the Hornets Nest,4.22
The Secret History,4.09
White Oleander,3.97
Delirium,3.97
Beautiful Disaster,4.09
Paper Towns,3.8
The Vampire Lestat,4.07
Speak,4.02
The Once and Future King,4.05
I Know This Much Is True,4.19
Neverwhere,4.17
Inkheart,3.88
Lamb,4.24
James and the Giant Peach,4.02
Gone Girl,4.08
Graceling,4.08
The Thirteenth Tale,3.97
Heidi,3.99
Are You There God,3.9
City of Lost Souls,4.27
Sophies World,3.93
The Wise Mans Fear,4.56
Fangirl,4.05
Never Let Me Go,3.82
The Son of Neptune,4.43
Fifty Shades Darker,3.84
Ready Player One,4.26
A Court of Mist and Fury,4.62
Bridget Joness Diary,3.78
Mockingjay,4.04
Franny and Zooey,3.98
The Power of One,4.33
The Magicians Nephew,4.04
Stardust,4.08
Number the Stars,4.15
Allegiant,3.62
Eleanor and Park,4.05
The Lord of the Rings,4.5
Me Before You,4.26
The Mark of Athena,4.45
The Art of Racing in the Rain,4.21
The Way of Kings,4.63
If I Stay,3.94
Black Beauty,3.96
Legend,4.17
Bel Canto,3.93
The Witches,4.17
The Graveyard Book,4.13
Fifty Shades Freed,3.85
White Fang,3.98
Wonder,4.44
Tuck Everlasting,3.87
The Final Empire,4.45
Beautiful Creatures,3.76
Eldest,3.99
Dark Lover,4.19
Go Ask Alice,3.76
The Eye of the World,4.17
A Separate Peace,3.58
Brisingr,4.05
A Child Called It,4.11
Stargirl,3.76
Dear John,4.03
Obsidian,4.18
Salems Lot,4.03
Crescendo,4.04
East of Eden,4.38
The Martian,4.4
The Last Song,4.15
Shatter Me,3.95
The Amber Spyglass,4.09
Like Water for Chocolate,3.95
Room,4.06
Dragonfly in Amber,4.32
The BFG,4.22
Six of Crows,4.43
Harry Potter Series Box Set,4.73
Daughter of Smoke and Bone,4.01
City of Heavenly Fire,4.44
Evermore,3.59
The Subtle Knife,4.13
Snow Flower and the Secret Fan,4.08
Anna and the French Kiss,4.01
A Feast for Crows,4.14
The Angel Experiment,4.07
Miss Peregrines Home for Peculiar Children,3.91
Matched,3.66
Flowers in the Attic,3.82
The Shipping News,3.86
Hopeless,4.29
Jonathan Strange and Mr Norrell,3.82
The Chosen,4.04
All the Light We Cannot See,4.33
Artemis Fowl,3.85
Pippi Longstocking,4.13
The Tales of Beedle the Bard,4.06
The Virgin Suicides,3.82
Nineteen Minutes,4.13
The House of Hades,4.54
Redeeming Love,4.49
The Host,3.84
The Lost Symbol,3.71
Betrayed,3.93
The Voyage of the Dawn Treader,4.09
Lover Awakened,4.44
A Court of Thorns and Roses,4.22
Divine Secrets of the Ya Ya Sisterhood,3.83
Untamed,3.95
A Dance with Dragons,4.32
Crown of Midnight,4.42
The Twilight Collection,3.79
The One,4.2
Carrie,3.96
Voyager,4.37
Heir of Fire,4.48
Chosen,3.91
The Last Battle,4.02
The Exorcist,4.18
Coraline,4.06
The th Wave,4.04
The Iron King,3.9
Quantum Roots II,4.34
Aristotle and Dante Discover the Secrets of the Universe,4.33
Torment,3.87
Bloodlines,4.2
Wizards First Rule,4.12
Pet Sematary,4.0
A Great and Terrible Beauty,3.78
Bared to You,4.18
The Witching Hour,4.11
The Summoning,4.02
Chocolat,3.96
Halfway to the Grave,4.16
Perfect Chemistry,4.06
Red Queen,4.04
City of Glass,4.31
The Mortal Instruments Boxed Set,4.56
Angels and Demons,3.9
Just Listen,4.06
The Truth About Forever,4.12
Unwind,4.17
Are You My Mother,4.19
Sarahs Key,4.16
Acheron,4.57
The Elite,4.02
Silence,4.12
The Unbecoming of Mara Dyer,4.05
All the Bright Places,4.15
I Am Number Four,3.94
Angelfall,4.13
Dead to the World,4.12
The Bronze Horseman,4.3
Sabriel,4.15
Little House on the Prairie,4.19
The Goose Girl,4.12
I Capture the Castle,4.0
The Last Lecture,4.26
Ignite Me,4.4
The Darkest Minds,4.18
Drums of Autumn,4.33
Wicked Lovely,3.69
PS I Love You,4.02
Queen of Shadows,4.55
Hunted,3.93
World Without End,4.26
The Last Unicorn,4.15
Slammed,4.26
Little House in the Big Woods,4.18
The Bean Trees,3.97
The Raven Boys,4.05
The Bad Beginning,3.95
Speaker for the Dead,4.07
The Westing Game,4.01
