title,rating
The Great Gatsby,3.92
Of Mice and Men,3.88
One Hundred Years of Solitude,4.08
The Catcher in the Rye,3.81
The Adventures of Huckleberry Finn,3.82
Slaughterhouse Five,4.08
Catch ,3.98
One Flew Over the Cuckoos Nest,4.19
The Color Purple,4.22
The Old Man and the Sea,3.78
A Prayer for Owen Meany,4.23
Moby Dick or the Whale,3.51
The Adventures of Tom Sawyer,3.91
On the Road,3.62
The Godfather,4.36
The Scarlet Letter,3.41
In Cold Blood,4.07
Fight Club,4.19
Lonesome Dove,4.48
Their Eyes Were Watching God,3.94
The World According to Garp,4.09
A Farewell to Arms,3.81
Beloved,3.87
A Confederacy of Dunces,3.89
The Sun Also Rises,3.82
Cats Cradle,4.16
The Sound and the Fury,3.86
For Whom the Bell Tolls,3.97
Fear and Loathing in Las Vegas,4.08
The House of the Spirits,4.24
Roots,4.43
Uncle Toms Cabin,3.87
Invisible Man,3.88
The Cider House Rules,4.13
Walden,3.78
The Awakening,3.65
Franny and Zooey,3.98
Do Androids Dream of Electric Sheep,4.08
American Psycho,3.82
White Fang,3.98
As I Lay Dying,3.72
The Martian Chronicles,4.14
East of Eden,4.38
My Antonia,3.8
Breakfast at Tiffanys and Three Stories,3.88
Breakfast of Champions,4.07
Death of a Salesman,3.53
A Streetcar Named Desire,3.98
Infinite Jest,4.28
The Shipping News,3.86
Blood Meridian or the Evening Redness in the West,4.17
The Age of Innocence,3.95
The Grapes of Wrath,3.97
The Waste Land,4.11
I Know Why the Caged Bird Sings,4.24
The Pearl,3.48
The Jungle,3.75
The Complete Poems of Emily Dickinson,4.23
Johnny Got His Gun,4.18
Cannery Row,4.04
Nine Stories,4.18
The Glass Menagerie,3.71
The Hours,3.94
No Country for Old Men,4.12
All the Kings Men,4.07
Native Son,3.99
Gravitys Rainbow,3.98
A Peoples History of the United States,4.07
A Heartbreaking Work of Staggering Genius,3.69
Jitterbug Perfume,4.22
The Sirens of Titan,4.15
The Big Sleep,3.99
The Corrections,3.8
The Bluest Eye,4.06
Collected Fictions,4.58
The Portrait of a Lady,3.77
Song of Solomon,4.08
Ficciones,4.44
Choke,3.7
Dandelion Wine,4.07
Revolutionary Road,3.9
Tender Is the Night,3.81
The Poetry of Robert Frost,4.25
Ethan Frome,3.41
The Hate U Give,4.52
The Hotel New Hampshire,3.91
Pale Fire,4.12
Absalom Absalom ,3.97
Factotum,3.94
Naked Lunch,3.46
Still Life with Woodpecker,4.03
The House of Mirth,3.95
A Moveable Feast,4.04
Sometimes a Great Notion,4.18
Roll of Thunder Hear My Cry,3.84
The Fountainhead,3.87
All the Pretty Horses,4.0
Light in August,3.93
White Noise,3.87
The Last of the Mohicans,3.7
A River Runs Through it and Other Stories,4.18
Twenty Love Poems and a Song of Despair,4.28
Tropic of Cancer,3.68
The Crying of Lot ,3.69
The Color of Water,4.09
Mother Night,4.2
Chronicle of a Death Foretold,3.97
Empire Falls,3.93
The Accidental Tourist,3.9
The Red Badge of Courage,3.26
The Raven and Other Poems,4.3
Hopscotch,4.23
Stoner,4.29
Rant,3.82
Gilead,3.85
Ragtime,3.88
Haunted,3.58
An American Tragedy,3.95
Black Like Me,4.12
The Winter of Our Discontent,4.0
The Dharma Bums,3.91
Ham on Rye,4.14
Lullaby,3.73
A Good Man is Hard to Find and Other Stories,4.21
