title,rating
Charlottes Web,4.17
Where the Wild Things Are,4.22
Water for Elephants,4.09
Watership Down,4.06
Winnie the Pooh,4.34
The Very Hungry Caterpillar,4.3
Where the Red Fern Grows,4.08
The Cat in the Hat,4.17
Goodnight Moon,4.28
The Call of the Wild,3.87
Jonathan Livingston Seagull,3.84
The Velveteen Rabbit,4.29
The Wind in the Willows,3.98
Marley and Me,4.13
All Creatures Great and Small,4.32
The Art of Racing in the Rain,4.21
Black Beauty,3.96
White Fang,3.98
Are You My Mother,4.19
A Dogs Purpose,4.34
Seabiscuit,4.22
The Jungle Books,4.01
Because of Winn Dixie,4.05
The Story of Edgar Sawtelle,3.62
The Horse Whisperer,3.81
Redwall,4.11
Into the Wild,4.3
The Story of Ferdinand,4.36
Go Dog Go ,4.1
Jaws,3.97
The Tale of Despereaux,4.04
Just So Stories,4.07
Old Yeller,4.08
If You Give a Mouse a Cookie,4.26
All Things Bright and Beautiful,4.31
The Miraculous Journey of Edward Tulane,4.37
Mrs Frisby and the Rats of NIMH,4.14
Yertle the Turtle and Other Stories,4.15
The Runaway Bunny,4.08
The Cat in the Hat Comes Back,3.86
The Call of the Wild White Fang and Other Stories,4.01
The Sight,4.14
The House at Pooh Corner,4.36
Horton Hears a Who ,4.18
Stuart Little,3.9
The Trumpet of the Swan th Anniversary,4.08
My Side of the Mountain,4.06
Guess How Much I Love You,4.37
The Black Stallion,4.18
War Horse,4.14
The Amazing Maurice and His Educated Rodents,4.02
Wolf Brother,4.18
The One and Only Ivan,4.25
All Creatures Great and Small ,4.27
The Tale of Peter Rabbit,4.18
The Darkest Hour,4.53
The Jungle Book,3.93
Fantastic Mr Fox,4.06
Dr Seusss ABC,4.09
Fire and Ice,4.38
Summer of the Monkeys,4.04
My Family and Other Animals,4.22
The Yearling,4.0
Forest of Secrets,4.42
All Things Wise and Wonderful,4.42
Mossflower,4.1
Rising Storm,4.4
Leaving Time,3.96
Bluestars Prophecy,4.55
Martin the Warrior,4.15
A Dangerous Path,4.44
The Dragonet Prophecy,4.29
The Call of the Wild,4.11
A Street Cat Named Bob,3.97
Midnight,4.28
Mr Poppers Penguins,3.97
The Story of a Seagull and the Cat Who Taught Her to Fly,4.18
Dewey,3.87
Wildwood,3.66
Gregor and the Code of Claw,4.28
Lord Brocktree,3.97
Bunnicula,3.86
Gregor and the Curse of the Warmbloods,4.22
Dawn,4.33
The Underneath,3.95
The Poky Little Puppy,4.1
We Are All Completely Beside Ourselves,3.71
Eating Animals,4.2
Hoot,3.82
The World of Winnie the Pooh,4.42
Taggerung,4.13
The Zookeepers Wife,3.47
Fox in Socks,4.07
If I Should Die Before My Dog ,4.7
Firestars Quest,4.33
Salamandastron,4.07
A Dogs Life,4.2
The Long Patrol,4.12
The Travelling Cat Chronicles,4.29
Animal Liberation,4.27
The Legend of Luke,4.01
The  Dalmatians,4.12
Moonrise,4.32
Lizard Music,4.15
Starlight,4.3
The Tiger Rising,3.83
The Capture,3.91
The Complete Tales and Poems of Winnie the Pooh,4.48
The Flame of Olympus,4.25
Misty of Chincoteague,4.05
Animorphs,4.36
Just for You,4.28
The Elephant Whisperer,4.48
Warriors Box Set,4.57
A Three Dog Life,3.75
Mariel of Redwall,3.98
Winterdance,4.26
Shiloh,3.94
Mattimeo,4.05
Make Way for Ducklings,4.22
The Lost Heir,4.51
Fire Bringer,4.18
Sunset,4.38
My Fathers Dragon,4.09
Kestrels Midnight Song,4.01
Esio Trot,3.74
Rakkety Tam,4.14
Pearls of Lutra,4.01
Gregor and the Marks of Secret,4.23
Fell,4.18
King of the Wind,4.2
The Bellmaker,3.97
If You Give a Moose a Muffin,4.18
Never Cry Wolf,4.2
The Sight,4.3
The Magicians Elephant,3.85
The True Story of the  Little Pigs,4.31
Born Free,4.18
The Hive Queen,4.61
Beatrice and Virgil,3.16
Loamhedge,3.93
The Hen Who Dreamed She Could Fly,3.97
Escaping Peril,4.6
Twilight,4.32
High Rhulain,4.13
Gregor and the Prophecy of Bane,4.19
Now We Are Six,4.33
Bambi,4.12
Sunrise,4.36
The Hidden Kingdom,4.57
Julie of the Wolves,3.81
The Fourth Apprentice,4.34
Eulalia ,4.09
Hurt Go Happy,4.26
The Wonderful Adventures of Nils,4.04
Outcast of Redwall,3.92
Triss,3.99
City,4.1
If You Give a Pig a Pancake,4.24
My Ishmael,4.07
A Kestrel for a Knave,4.02
Retrieving for All Occasions,4.22
Tailchasers Song,3.97
Marlfox,4.01
Stellaluna,4.24
Horse Heaven,3.88
Ghost Hunter,4.4
Soul Eater,4.28
Outcast,4.33
Old Possums Book of Practical Cats,4.07
From Baghdad With Love,4.11
Love That Dog,4.03
If You Were Mine,4.24
Archy and Mehitabel,4.26
Warriors Boxed Set,4.68
Brown Bear Brown Bear What Do You See,4.21
To Dance with the White Dog,4.2
Darkstalker,4.63
Dark River,4.29
Old Turtle,4.39
Modoc,4.2
Firmin,3.49
Long Shadows,4.31
Oath Breaker,4.33
Zoo,3.49
Lillys Purple Plastic Purse,4.19
The Dark Hills Divide,3.73
Outcast,4.27
Eclipse,4.32
Corduroy,4.3
The Last Hope,4.57
Running Wild,4.22
Why the Whales Came,3.96
Doomwyte,4.01
Suspect,4.16
The Rise of Scourge,4.3
Everyone Poops,4.17
Belly Up,4.23
Until Tuesday,4.19
Coming Home,4.11
The Dolphins of Pern,3.98
Cracker ,4.26
Duck Death and the Tulip,4.44
Lost Dogs and Lonely Hearts,3.88
The Whale Rider,3.84
Wesley the Owl,4.12
Crenshaw,3.99
What Do People Do All Day,4.26
The Snow Leopard,4.12
Almost Home,4.24
My Side of the Mountain Trilogy,4.15
Dogsong,3.67
The Crippled Lamb,4.46
Fading Echoes,4.37
Dr Franklins Island,3.92
Wolf Totem,4.03
Spirit Walker,4.27
Scat,3.95
Silverwing,4.06
