title,rating
Harry Potter and the Order of the Phoenix,4.5
The Book Thief,4.37
The Hitchhikers Guide to the Galaxy,4.22
Enders Game,4.3
The Help,4.47
Anne of Green Gables,4.26
Harry Potter and the Sorcerers Stone,4.47
Dracula,4.0
The Secret Garden,4.13
A Game of Thrones,4.45
The Handmaids Tale,4.11
Dune,4.23
The Pillars of the Earth,4.31
The Stand,4.34
The Adventures of Sherlock Holmes,4.3
Watership Down,4.06
Harry Potter and the Deathly Hallows,4.62
Outlander,4.23
Matilda,4.32
The Fellowship of the Ring,4.36
The Girl with the Dragon Tattoo,4.14
The Golden Compass,3.99
Atlas Shrugged,3.69
Harry Potter and the Prisoner of Azkaban,4.57
Winnie the Pooh,4.34
Harry Potter and the Goblet of Fire,4.56
Harry Potter and the Half Blood Prince,4.57
And Then There Were None,4.26
The Name of the Wind,4.53
Harry Potter and the Chamber of Secrets,4.43
American Gods,4.11
Lonesome Dove,4.48
It,4.24
Peter Pan,4.05
The Wonderful Wizard of Oz,3.98
Good Omens,4.24
The Girl Who Played with Fire,4.24
The Maze Runner,4.03
A Storm of Swords,4.53
David Copperfield,4.0
Murder on the Orient Express,4.17
The Night Circus,4.03
A Confederacy of Dunces,3.89
The Selection,4.13
The Wind in the Willows,3.98
Cinder,4.14
A Clash of Kings,4.41
Roots,4.43
Stranger in a Strange Land,3.92
The Girl Who Kicked the Hornets Nest,4.22
Delirium,3.97
Neverwhere,4.17
Inkheart,3.88
Lamb,4.24
Gone Girl,4.08
All Creatures Great and Small,4.32
Foundation,4.17
The Wise Mans Fear,4.56
Fangirl,4.05
Stardust,4.08
The Gunslinger,3.95
Allegiant,3.62
Eleanor and Park,4.05
A Short History of Nearly Everything,4.2
Me Before You,4.26
The Art of Racing in the Rain,4.21
The Way of Kings,4.63
If I Stay,3.94
The Hound of the Baskervilles,4.12
The Graveyard Book,4.13
The Final Empire,4.45
The Eye of the World,4.17
Mansfield Park,3.86
Salems Lot,4.03
The Martian Chronicles,4.14
The Martian,4.4
Shatter Me,3.95
The Amber Spyglass,4.09
Breakfast at Tiffanys and Three Stories,3.88
Room,4.06
Dragonfly in Amber,4.32
Breakfast of Champions,4.07
The BFG,4.22
Six of Crows,4.43
The Subtle Knife,4.13
Midnight in the Garden of Good and Evil,3.92
The Remains of the Day,4.12
A Feast for Crows,4.14
Matched,3.66
Unbroken,4.36
Jonathan Strange and Mr Norrell,3.82
All the Light We Cannot See,4.33
Artemis Fowl,3.85
The Tales of Beedle the Bard,4.06
The Devil in the White City,3.99
Neuromancer,3.9
A Dance with Dragons,4.32
I Robot,4.2
The One,4.2
Voyager,4.37
I Claudius,4.23
Me Talk Pretty One Day,3.99
The Exorcist,4.18
Coraline,4.06
The th Wave,4.04
Aristotle and Dante Discover the Secrets of the Universe,4.33
The God Delusion,3.9
Pet Sematary,4.0
Snow Crash,4.02
World War Z,4.01
The War of the Worlds,3.83
Red Queen,4.04
The Elite,4.02
All the Bright Places,4.15
Sabriel,4.15
The Last Lecture,4.26
Drums of Autumn,4.33
World Without End,4.26
A Christmas Carol,4.06
Little House in the Big Woods,4.18
Hyperion,4.23
The Raven Boys,4.05
The Bad Beginning,3.95
Speaker for the Dead,4.07
We Were Liars,3.84
The Goldfinch,3.92
Anne of Avonlea,4.21
A Dogs Purpose,4.34
The Secret,3.68
Before I Fall,3.9
The Talisman,4.13
Where She Went,4.02
The Knife of Never Letting Go,3.97
The Scorch Trials,3.91
Sense and Sensibility,4.07
Words of Radiance,4.75
A Peoples History of the United States,4.07
A Brief History of Time,4.18
Scarlet,4.27
John Adams,4.06
The Song of Achilles,4.35
Champion,4.34
The Haunting of Hill House,3.84
Assassins Apprentice,4.15
Oryx and Crake,4.01
Cress,4.43
A Breath of Snow and Ashes,4.44
Night Watch,4.5
The Lies of Locke Lamora,4.28
Prodigal Summer,4.0
The Fiery Cross,4.24
Cosmos,4.37
Crooked Kingdom,4.58
Prodigy,4.26
The No  Ladies Detective Agency,3.79
Carry On,4.22
Freakonomics,3.98
The Nightingale,4.57
Enders Shadow,4.3
Emma,4.01
Angle of Repose,4.24
Under the Dome,3.91
The Omnivores Dilemma,4.17
Something Wicked This Way Comes,3.93
How to Win Friends and Influence People,4.2
Red Rising,4.25
To All the Boys Ive Loved Before,4.15
The Death Cure,3.77
The Girl on the Train,3.93
Death on the Nile,4.1
The Hero of Ages,4.48
Still Alice,4.32
The Moon Is a Harsh Mistress,4.16
Mary Poppins,4.02
An Abundance of Katherines,3.57
