title,rating
Angelas Ashes,4.11
Tuesdays with Morrie,4.11
In Cold Blood,4.07
Eat Pray Love,3.57
Schindlers List,4.34
The Hiding Place,4.42
Mans Search for Meaning,4.36
Marley and Me,4.13
The Diary of a Young Girl,4.15
Into the Wild,3.99
Blood River,4.06
All Creatures Great and Small,4.32
Walden,3.78
The Complete Maus,4.55
A Child Called It,4.11
Unbroken,4.36
The Devil in the White City,3.99
I Know Why the Caged Bird Sings,4.24
Me Talk Pretty One Day,3.99
Three Cups of Tea,3.65
Into Thin Air,4.18
The Last Lecture,4.26
Seabiscuit,4.22
Night,4.34
John Adams,4.06
Papillon,4.24
The Story of My Life,4.08
Shot Down,4.31
Gift from the Sea,4.15
The Trigger,4.11
On Writing,4.33
Wild Swans,4.26
The Glass Castle,4.28
 Charing Cross Road,4.17
A Walk in the Woods,4.06
A Moveable Feast,4.04
Running with Scissors,3.73
Helter Skelter,4.04
The Immortal Life of Henrietta Lacks,4.07
The Complete Persepolis,4.39
The Color of Water,4.09
Black Like Me,4.12
Cheaper by the Dozen,4.01
A Long Way Gone,4.16
All Things Bright and Beautiful,4.31
Heaven is for Real,4.02
Girl Interrupted,3.9
Endurance,4.39
The Art of Happiness,4.16
Educated,4.47
Sybil,3.99
My Story,4.21
Long Walk to Freedom,4.33
Wild,4.01
I Am Malala,4.12
The Diving Bell and the Butterfly,4.0
Animal Vegetable Miracle,4.04
Bossypants,3.95
Persepolis,4.25
Band of Brothers,4.42
Steve Jobs,4.14
Sliding on the Snow Stone,4.08
When Breath Becomes Air,4.36
Out of Africa,3.94
Down and Out in Paris and London,4.1
Survival in Auschwitz,4.31
Reading Lolita in Tehran,3.62
Black Boy,4.07
Confessions,3.92
The Electric Kool Aid Acid Test,3.92
The Executioners Song,4.07
The Gulag Archipelago ,4.27
The Right Stuff,4.23
Just Kids,4.16
Fun Home,4.08
Gandhi,4.08
Infidel,4.2
Between the World and Me,4.39
Team of Rivals,4.28
Autobiography of a Yogi,4.21
Becoming,4.53
Desert Solitaire,4.22
Narrative of the Life of Frederick Douglass,4.04
The Bookseller of Kabul,3.77
Totto chan,4.35
Lucky,3.78
Travels with Charley,4.07
Lone Survivor,4.33
Killing Yourself to Live,3.81
