title,rating
The Book Thief,4.37
The Giving Tree,4.37
Charlottes Web,4.17
Where the Wild Things Are,4.22
Green Eggs and Ham,4.3
Winnie the Pooh,4.34
The Shadow of the Wind,4.27
The Very Hungry Caterpillar,4.3
The Cat in the Hat,4.17
How the Grinch Stole Christmas ,4.36
Goodnight Moon,4.28
The Lorax,4.34
Oh the Places Youll Go ,4.35
The Neverending Story,4.17
Ulysses,3.73
The Velveteen Rabbit,4.29
A Light in the Attic,4.34
The Guernsey Literary and Potato Peel Pie Society,4.17
Inkheart,3.88
James and the Giant Peach,4.02
The Thirteenth Tale,3.97
Are You There God,3.9
The Monster at the End of this Book,4.44
Love You Forever,4.36
Go Ask Alice,3.76
Are You My Mother,4.19
The Polar Express,4.3
Lady Chatterleys Lover,3.51
You Are Special,4.45
The Eyre Affair,3.88
Native Son,3.99
If on a Winters Night a Traveler,4.05
The Night Before Christmas,4.37
The Invention of Hugo Cabret,4.22
On Writing,4.33
 Charing Cross Road,4.17
Naked Lunch,3.46
The Story of Ferdinand,4.36
The Stinky Cheese Man and Other Fairly Stupid Tales,4.2
Go Dog Go ,4.1
Tropic of Cancer,3.68
Inkspell,3.91
Harriet the Spy,3.95
Inkdeath,3.93
The Angels Game,3.93
Alexander and the Terrible Horrible No Good Very Bad Day,4.23
An American Tragedy,3.95
If You Give a Mouse a Cookie,4.26
The Miraculous Journey of Edward Tulane,4.37
Cloudy With a Chance of Meatballs,4.16
The Book of Lost Things,3.95
People of the Book,4.02
Yertle the Turtle and Other Stories,4.15
Where the Sidewalk Ends,4.3
The Runaway Bunny,4.08
The Cat in the Hat Comes Back,3.86
Reading Lolita in Tehran,3.62
Sarah Plain and Tall,3.78
The City of Dreaming Books,4.37
The House at Pooh Corner,4.36
Horton Hears a Who ,4.18
The Sneetches and Other Stories,4.31
Falling Up,4.34
Stuart Little,3.9
The Indian in the Cupboard,3.92
Harold and the Purple Crayon,4.25
The Gift of the Magi,4.09
The Trumpet of the Swan th Anniversary,4.08
The Bookseller of Kabul,3.77
Guess How Much I Love You,4.37
Fruzzles Mystery Talent,4.42
Mr Penumbras  Hour Bookstore,3.74
Rabbit Run,3.58
The One and Only Ivan,4.25
The Tale of Peter Rabbit,4.18
Forever Amber,3.99
The Boxcar Children,4.11
The Club Dumas,3.81
The Long Winter,4.14
Dr Seusss ABC,4.09
The Arrival,4.33
Freak the Mighty,4.01
DAulaires Book of Greek Myths,4.41
The Prisoner of Heaven,4.04
Goblinheart,4.44
On the Banks of Plum Creek,4.2
The Borrowers,4.03
The Chocolate War,3.48
Mrs Piggle Wiggle,4.15
Too Loud a Solitude,4.05
Georges Marvellous Medicine,4.03
The End of Mr Y,3.79
Because of Mr Terupt,4.36
Mr Poppers Penguins,3.97
Dewey,3.87
Little Town on the Prairie,4.18
