title,rating
Wuthering Heights,3.86
The Picture of Dorian Gray,4.08
Alices Adventures in Wonderland and Through the Looking Glass,4.06
Jane Eyre,4.13
Crime and Punishment,4.22
A Tale of Two Cities,3.85
Lolita,3.89
Frankenstein,3.81
Great Expectations,3.78
Anna Karenina,4.05
The Brothers Karamazov,4.32
The Old Man and the Sea,3.78
Moby Dick or the Whale,3.51
The Stranger,3.98
The Master and Margarita,4.29
On the Road,3.62
The Unbearable Lightness of Being,4.1
Tess of the DUrbervilles,3.8
Oliver Twist,3.87
Ulysses,3.73
David Copperfield,4.0
The Trial,3.96
The Sun Also Rises,3.82
Cats Cradle,4.16
The Sound and the Fury,3.86
The Idiot,4.18
Uncle Toms Cabin,3.87
Candide,3.77
Heidi,3.99
The Awakening,3.65
Middlemarch,3.97
Mrs Dalloway,3.79
Franny and Zooey,3.98
A Portrait of the Artist as a Young Man,3.62
Gullivers Travels,3.57
Steppenwolf,4.13
As I Lay Dying,3.72
Mansfield Park,3.86
Robinson Crusoe,3.68
Breakfast at Tiffanys and Three Stories,3.88
The Strange Case of Dr Jekyll and Mr Hyde,3.82
The Plague,4.01
Northanger Abbey,3.83
Dubliners,3.85
War and Peace,4.12
The Waste Land,4.11
To the Lighthouse,3.78
I Claudius,4.23
A Room with a View,3.91
Bleak House,4.0
The Complete Poems of Emily Dickinson,4.23
Vanity Fair,3.79
North and South,4.13
Brideshead Revisited,4.0
Of Human Bondage,4.11
The Woman in White,3.99
Cannery Row,4.04
Swanns Way,4.12
Lady Chatterleys Lover,3.51
Nine Stories,4.18
Far From the Madding Crowd,3.94
Persuasion,4.14
Being and Time,4.03
A Christmas Carol,4.06
One Day in the Life of Ivan Denisovich,3.95
If on a Winters Night a Traveler,4.05
Sense and Sensibility,4.07
Gravitys Rainbow,3.98
The Yellow Wallpaper and Other Stories,4.04
The Magic Mountain,4.11
The Sirens of Titan,4.15
Ivanhoe,3.75
Emma,4.01
The Portrait of a Lady,3.77
Jude the Obscure,3.82
Howards End,3.95
Ficciones,4.44
The Sorrows of Young Werther,3.67
Revolutionary Road,3.9
Tender Is the Night,3.81
Nausea,3.92
The Poetry of Robert Frost,4.25
The Trigger,4.11
Pale Fire,4.12
Absalom Absalom ,3.97
How Green Was My Valley,4.18
Naked Lunch,3.46
The Fall,4.02
The House of Mirth,3.95
Journey to the End of the Night,4.22
We,3.92
Disgrace,3.84
Silas Marner,3.65
The Rime of the Ancient Mariner,3.95
The Man Without Qualities,4.23
Thus Spoke Zarathustra,4.05
The Razors Edge,4.19
Light in August,3.93
White Noise,3.87
A Passage to India,3.68
The Far Pavilions,4.21
A Dolls House,3.73
A Study in Scarlet,4.16
Songs of Innocence and of Experience,4.11
Eugene Onegin,4.1
Twenty Love Poems and a Song of Despair,4.28
Tropic of Cancer,3.68
Zorba the Greek,4.07
The Turn of the Screw,3.43
The Crying of Lot ,3.69
The Waves,4.15
The Decameron,3.88
Germinal,4.15
Mother Night,4.2
A Room of Ones Own,4.16
Hopscotch,4.23
The Red and the Black,3.88
The Book of Disquiet,4.44
Stoner,4.29
The Glass Bead Game,4.12
The Gormenghast Novels,3.99
Les Fleurs du Mal,4.25
Villette,3.77
The French Lieutenants Woman,3.87
The Tenant of Wildfell Hall,3.96
Ragtime,3.88
The Life and Opinions of Tristram Shandy Gentleman,3.74
Three Men in a Boat,3.88
An American Tragedy,3.95
Darkness at Noon,4.04
The End of the Affair,3.92
The Winter of Our Discontent,4.0
The Prime of Miss Jean Brodie,3.74
Ham on Rye,4.14
A Good Man is Hard to Find and Other Stories,4.21
The Mayor of Casterbridge,3.83
Notes from Underground,4.15
Less Than Zero,3.56
Hunger,4.05
Narcissus and Goldmund,4.21
Demons,4.28
The Third Policeman,4.0
Fathers and Sons,3.96
The Invisible Man,3.64
Les Liaisons dangereuses,4.07
Dead Souls,3.97
The Death of Ivan Ilych,4.08
The Sunne in Splendour,4.38
The Alexandria Quartet,4.17
The Power and the Glory,3.97
The Moonstone,3.9
Sons and Lovers,3.63
The Complete Stories,4.4
Martin Eden,4.44
The Collected Poems of WB Yeats,4.24
The Savage Detectives,4.13
A Distant Mirror,4.06
Nicholas Nickleby,3.92
Katherine,4.18
This Side of Paradise,3.66
A Modest Proposal and Other Satirical Works,4.05
The Bridge on the Drina,4.33
Beyond Good and Evil,4.0
Hard Times,3.54
Long Days Journey into Night,4.07
Flatland,3.81
The Call of the Wild White Fang and Other Stories,4.01
The Lottery and Other Stories,4.06
Moon Palace,3.95
O Pioneers ,3.87
In Search of Lost Time,4.35
Buddenbrooks,4.16
Winesburg Ohio,3.84
Our Mutual Friend,4.08
The Mill on the Floss,3.8
Wives and Daughters,4.1
Heart of a Dog,4.1
The Return of the Native,3.86
Little Dorrit,3.99
The Sign of Four,3.94
Lord Jim,3.62
Under the Volcano,3.79
The Tea Rose,4.19
The Pickwick Papers,3.83
Gaudy Night,4.23
One Thousand White Women,3.88
Cold Comfort Farm,3.91
At Swim Two Birds,3.89
Immortality,4.14
Alices Adventures in Wonderland,4.01
Raise High the Roof Beam Carpenters and Seymour,4.11
Wide Sargasso Sea,3.59
What We Talk About When We Talk About Love,4.15
La Dame aux Camelias,4.0
Sister Carrie,3.75
The Discovery of Heaven,4.17
London,4.06
Oblomov,4.08
Bartleby the Scrivener,3.93
The Mysterious Island,4.11
Ask the Dust,4.12
The Complete Short Stories of Ernest Hemingway,4.29
The Game of Kings,4.14
Brighton Rock,3.67
Arcadia,4.19
The Crimson Petal and the White,3.88
The Forsyte Saga,4.17
The Birth of Venus,3.81
The History of Tom Jones a Foundling,3.74
Look Homeward Angel,3.93
Washington Square,3.69
Death in Venice,3.73
A Hero of Our Time,4.11
The Love Song of J Alfred Prufrock and Other Poems,4.32
Tortilla Flat,3.83
The Garden of Eden,3.73
The Golden Notebook,3.76
The Clown,3.99
Chess Story,4.29
Miss Lonelyhearts ,3.91
Underworld,3.92
The Black Obelisk,4.37
Junky,3.84
The Bone People,4.05
Titus Groan,3.91
The Complete Stories,4.35
The Beautiful and Damned,3.75
The Castle,3.96
Money,3.71
The Complete Essays,4.24
Independent People,4.17
White Nights,4.02
The Portable Dorothy Parker,4.34
Pinocchio,3.86
Rabbit Run,3.58
Death in Venice and Other Tales,3.9
My Man Jeeves,4.1
The Bridge of San Luis Rey,3.8
Maurice,4.04
The Elementary Particles,3.8
The Lover,3.74
Collected Poems  ,4.29
Ariel,4.21
God Bless You Mr Rosewater,3.95
The Myth of Sisyphus and Other Essays,4.2
LAssommoir,4.03
The Moviegoer,3.67
Big Sur,3.82
Into the Wilderness,4.1
The Strange Case of Dr Jekyll and Mr Hyde and Other Tales of Terror,3.96
Forever Amber,3.99
Bel Ami,3.85
No Longer Human,4.12
Growth of the Soil,4.12
The Island of Doctor Moreau,3.73
The Leopard,4.01
Gormenghast,4.03
The Complete Fairy Tales,4.33
Resurrection,4.14
The Waste Land and Other Poems,4.23
Ada or Ardor,4.14
Off the Grid,4.19
Eight Cousins,4.01
Finnegans Wake,3.67
Here Be Dragons,4.28
Breathing Lessons,3.67
Goodbye to All That,4.01
The Book of Laughter and Forgetting,3.99
The Age of Reason,3.98
The Rings of Saturn,4.25
Zenos Conscience,3.82
The Golden Bowl,3.79
Homo Faber,3.74
Life and Fate,4.44
The Jewel in the Crown,4.15
On Liberty,3.97
The Charterhouse of Parma,3.82
The Temple of the Golden Pavilion,3.98
The Monk,3.81
Through the Looking Glass and What Alice Found There,4.06
Cancer Ward,4.22
Life,4.22
Generation X,3.73
An Ideal Husband,4.04
Death and the Dervish,4.54
The Hangmans Daughter,3.72
The Tartar Steppe,4.18
Checkmate,4.7
Notes from Underground White Nights The Dream of a Ridiculous Man and Selections from The House of the Dead,4.18
To Have and Have Not,3.55
Invitation to a Beheading,3.91
The Sea Wolf,4.04
Cosmicomics,4.2
Lucky Jim,3.77
And Quiet Flows the Don,4.06
Bring Up the Bodies,4.27
Nobodys Boy,4.34
Mason and Dixon,4.08
Critique of Pure Reason,3.95
The Secret Agent,3.59
Don Juan,3.8
Selected Stories of Anton Chekhov,4.36
The Notebooks of Malte Laurids Brigge,4.02
Amerika,3.75
The Sailor Who Fell from Grace with the Sea,3.89
The Moon and Sixpence,4.14
Season of Migration to the North,3.71
When Christ and His Saints Slept,4.24
Pere Goriot,3.85
The House of the Seven Gables,3.45
War with the Newts,4.17
The Sot Weed Factor,4.09
The Complete Poetry and Prose,4.25
The Yellow Wall Paper,4.1
The Canterville Ghost,3.89
The Painted Veil,3.93
Niccolo Rising,4.27
Too Loud a Solitude,4.05
Nostromo,3.82
The Letters of Vincent van Gogh,4.04
The Invention of Morel,4.06
Raincheck,4.15
The Six Wives of Henry VIII,4.1
Beneath a Marble Sky,4.01
Carmilla,3.82
Diary of a Madman and Other Stories,4.12
The Late Mattia Pascal,4.03
The Best of Roald Dahl,4.38
Trout Fishing in America,3.79
The Wings of the Dove,3.81
The Brooklyn Follies,3.84
The Possibility of an Island,3.81
Babbitt,3.67
King Solomons Mines,3.8
Daniel Deronda,3.84
The Man Who Laughs,4.23
Whos Afraid of Virginia Woolf,4.08
The Gambler,3.89
The Good Soldier,3.71
Entrance,4.03
Saturday,3.63
The Anti Christ,3.92
Kokoro,4.03
The Importance of Being Earnest and Other Plays,4.25
I Served the King of England,4.1
Pawn in Frankincense,4.61
The Old Curiosity Shop,3.78
The Heart of the Matter,3.98
Doctor Faustus,4.08
Cathedral,4.28
Tractatus Logico Philosophicus,4.07
The Archers Tale,4.13
The Prisoner of Zenda,3.85
Beneath the Wheel,3.85
Lost Illusions,4.17
The Unknown Soldier,4.06
The Gay Science,4.26
The Ballad of the Sad Cafe and Other Stories,4.0
Embers,3.98
Heaven Has No Favorites,4.24
Gargantua and Pantagruel,3.71
In the Shadow of Young Girls in Flower,4.4
Ethics,4.06
JR,4.29
Dictionary of the Khazars,4.17
The Unconsoled,3.55
Call It Sleep,3.83
Le Grand Meaulnes,3.75
Falls the Shadow,4.4
Human All Too Human,4.21
Auto da Fe,4.05
Point Counter Point,3.86
Shirley,3.75
Other Voices Other Rooms,3.8
Regeneration,4.03
The Day of the Locust,3.75
Little Men,3.86
Death on the Installment Plan,4.22
Dream Story,3.78
One No One and One Hundred Thousand,4.1
Wise Children,3.93
Complete Works,4.42
Time Regained,4.49
The Sea,3.52
Four Quartets,4.37
The Fortress,4.69
Agnes Grey,3.69
The Sea The Sea,3.93
Aunt Julia and the Scriptwriter,3.92
Nights at the Circus,3.91
Dombey and Son,3.93
The Lusiads,4.0
Platform,3.8
The Woodlanders,3.86
Sentimental Education,3.83
Tales of Ordinary Madness,3.91
The Deptford Trilogy,4.32
Conversation in the Cathedral,4.33
Wideacre,3.31
Empress Orchid,3.88
The Twelve Chairs,4.42
The Rainbow,3.69
An Old Fashioned Girl,4.07
Illuminations,4.37
Everything That Rises Must Converge,4.25
The Ragged Trousered Philanthropists,3.99
Edge of Eternity,4.12
A House for Mr Biswas,3.81
The Happy Prince,4.23
Dirt Music,3.86
The Enchanted April,3.93
Precious Bane,4.22
Innocent Traitor,3.95
Evelina,3.67
Main Street,3.77
Crush,4.31
Equus,3.94
Being and Nothingness,3.97
Martin Chuzzlewit,3.83
A Single Man,4.1
Pan,3.89
The Happy Prince and Other Tales,4.14
Moll Flanders,3.52
Speak Memory,4.14
Molloy Malone Dies The Unnamable,4.28
The Woman Who Walked Into Doors,3.84
A Death in the Family,3.91
Play It As It Lays,3.88
A Heart So White,4.01
The Black Book,3.92
Against Nature,3.86
The Divan,4.63
Good Wives,3.95
The Dress Lodger,3.57
Palace Walk,4.17
The Black Cat,4.05
Goodbye Columbus and Five Short Stories,3.86
Our Man in Havana,3.94
A Love Story How God Pursued Me and Found Me,4.14
The Adventures of Augie March,3.84
Notes of a Dirty Old Man,3.95
Desolation Angels,3.93
The Reckoning,4.45
Slammerkin,3.72
The Quincunx,4.08
Clarissa or the History of a Young Lady,3.37
Green Mansions,3.73
Keep the Aspidistra Flying,3.89
A Handful of Dust,3.91
The Stories of John Cheever,4.27
Burmese Days,3.86
The Miniaturist,3.6
Thirteen Moons,3.7
Nightwood,3.65
The Lady With the Little Dog and Other Stories  ,4.15
Life is Elsewhere,3.95
The Insulted and Humiliated,4.23
Against the Day,4.13
Cranford,3.85
Doctor Glas,3.83
Ross Poldark,4.09
The Cantos,3.93
Complete Works of Oscar Wilde,4.48
The Code of the Woosters,4.35
Bright Lights Big City,3.77
The Overcoat,4.14
The World of Yesterday,4.48
The Go Between,3.96
Autumn in Peking,3.95
Ferdydurke,3.86
Women in Love,3.67
The Passion of Artemisia,3.88
The Machine Stops,4.07
Pnin,3.89
Theatre,4.15
Remarkable Creatures,3.85
The Trouble with Being Born,4.18
Jos Boys,3.82
Life After God,3.79
The Wall,4.08
Spoon River Anthology,4.04
Eugenie Grandet,3.8
Therese Raquin,3.72
The Book of Sand and Shakespeares Memory,4.14
The Heretics Daughter,3.77
The Buddha of Suburbia,3.74
The Betrothed,3.82
Sodom and Gomorrah,4.35
Leave It to Psmith,4.32
Weird Things Customers Say in Bookshops,3.79
Barchester Towers,4.02
The Portable Nietzsche,4.21
Black Lamb and Grey Falcon,4.22
The Autobiography of Henry VIII,4.24
Relativity,4.19
Mother,3.94
A Personal Matter,3.89
Our Lady of the Flowers,4.02
A Season in Hell and The Drunken Boat,4.34
In Watermelon Sugar,3.99
Appointment in Samarra,3.82
Mother Courage and Her Children,3.65
Henderson the Rain King,3.78
The Religion,4.1
The Pale King,3.96
The Recognitions,4.19
Hegels Phenomenology of Spirit,3.94
Song of Myself,4.17
Parades End,3.91
Shadows in Paradise,4.16
Beware of Pity,4.21
The Decline and Fall of the Roman Empire,3.98
The Nightingale and the Rose,4.31
Paris Spleen,4.29
The Doll,3.84
The Masque of the Red Death,4.08
The Complete Poems,4.08
The Iron King,4.03
The Cherry Orchard,3.68
Islands in the Stream,3.88
Billy Budd Sailor,3.13
Orlando Furioso,4.03
Cat on a Hot Tin Roof,4.08
Shadow of the Moon,4.21
A Night to Remember,4.04
The Misanthrope,3.79
Exercises in Style,4.08
Captains Courageous,3.88
Herzog,3.77
Coming Up for Air,3.8
The Diary of a Nobody,3.71
Gone to Soldiers,4.27
The Cairo Trilogy,4.46
Earthly Powers,4.15
Remembrance of Things Past,4.52
The Subterraneans,3.67
Ironweed,3.87
The Captive and The Fugitive,4.4
