title,rating
Harry Potter and the Order of the Phoenix,4.5
The Chronicles of Narnia,4.26
The Giving Tree,4.37
Alices Adventures in Wonderland and Through the Looking Glass,4.06
Anne of Green Gables,4.26
Harry Potter and the Sorcerers Stone,4.47
The Little Prince,4.31
Charlottes Web,4.17
The Lightning Thief,4.26
The Secret Garden,4.13
A Wrinkle in Time,4.0
Where the Wild Things Are,4.22
Green Eggs and Ham,4.3
The Giver,4.13
Watership Down,4.06
Little Women,4.09
Harry Potter and the Deathly Hallows,4.62
Matilda,4.32
The Golden Compass,3.99
Harry Potter and the Prisoner of Azkaban,4.57
Winnie the Pooh,4.34
Harry Potter and the Goblet of Fire,4.56
Harry Potter and the Half Blood Prince,4.57
The Adventures of Tom Sawyer,3.91
Eragon,3.9
Charlie and the Chocolate Factory,4.14
The Very Hungry Caterpillar,4.3
Where the Red Fern Grows,4.08
Harry Potter and the Chamber of Secrets,4.43
The Cat in the Hat,4.17
Holes,3.97
The Lion the Witch and the Wardrobe,4.22
The Last Olympian,4.51
The Little House Collection,4.34
Peter Pan,4.05
The Hobbit or There and Back Again,4.27
How the Grinch Stole Christmas ,4.36
The Wonderful Wizard of Oz,3.98
Goodnight Moon,4.28
The Lorax,4.34
The Battle of the Labyrinth,4.39
The Titans Curse,4.35
The Sea of Monsters,4.24
Alice in Wonderland,4.02
The Call of the Wild,3.87
The Phantom Tollbooth,4.2
Bridge to Terabithia,4.01
Oh the Places Youll Go ,4.35
The Neverending Story,4.17
Treasure Island,3.83
His Dark Materials,4.25
A Little Princess,4.2
The Boy in the Striped Pajamas,4.15
The Velveteen Rabbit,4.29
The Lost Hero,4.33
The Wind in the Willows,3.98
A Light in the Attic,4.34
Ella Enchanted,3.98
The Complete Calvin and Hobbes,4.82
Howls Moving Castle,4.26
Island of the Blue Dolphins,3.84
Inkheart,3.88
James and the Giant Peach,4.02
Heidi,3.99
Are You There God,3.9
The Son of Neptune,4.43
The Monster at the End of this Book,4.44
The Magicians Nephew,4.04
Number the Stars,4.15
The Mark of Athena,4.45
Black Beauty,3.96
Love You Forever,4.36
The Witches,4.17
The Graveyard Book,4.13
White Fang,3.98
Wonder,4.44
Tuck Everlasting,3.87
Stargirl,3.76
The Amber Spyglass,4.09
The BFG,4.22
Harry Potter Series Box Set,4.73
The Subtle Knife,4.13
Artemis Fowl,3.85
Pippi Longstocking,4.13
The Tales of Beedle the Bard,4.06
The Voyage of the Dawn Treader,4.09
The Last Battle,4.02
Coraline,4.06
The Arabian Nights,4.04
Are You My Mother,4.19
The Polar Express,4.3
You Are Special,4.45
Little House on the Prairie,4.19
The Last Unicorn,4.15
Little House in the Big Woods,4.18
The Bad Beginning,3.95
The Westing Game,4.01
The Red Pyramid,4.08
Anne of Avonlea,4.21
The Silver Chair,3.96
A Monster Calls,4.35
Prince Caspian,3.97
Alanna,4.24
The Night Before Christmas,4.37
Brainwalker,4.35
The Sisterhood of the Traveling Pants,3.8
From the Mixed Up Files of Mrs Basil E Frankweiler,4.15
Grimms Fairy Tales,4.13
Princess Academy,4.01
Walk Two Moons,3.97
The Witch of Blackbird Pond,3.98
The Jungle Books,4.01
Because of Winn Dixie,4.05
Mary Poppins,4.02
The Invention of Hugo Cabret,4.22
The Blood of Olympus,4.41
The City of Ember,3.86
The Amulet of Samarkand,4.0
Fablehaven,4.09
Roll of Thunder Hear My Cry,3.84
Redwall,4.11
Into the Wild,4.3
The Ruins of Gorlan,4.21
The Story of Ferdinand,4.36
Hatchet,3.73
The Stinky Cheese Man and Other Fairly Stupid Tales,4.2
The Mysterious Benedict Society,4.17
Percy Jackson and the Olympians,4.59
Go Dog Go ,4.1
Inkspell,3.91
The Tale of Despereaux,4.04
Harriet the Spy,3.95
The Time Quartet Box Set,4.35
The Throne of Fire,4.2
The Complete Anne of Green Gables Boxed Set,4.43
Inkdeath,3.93
Anne of the Island,4.23
The Princess Diaries,3.79
Alexander and the Terrible Horrible No Good Very Bad Day,4.23
Just So Stories,4.07
Old Yeller,4.08
The Blue Sword,4.19
The Complete Fairy Tales,4.28
Fantastic Beasts and Where to Find Them,3.98
The House of the Scorpion,4.09
Cheaper by the Dozen,4.01
The Thief Lord,3.97
The Serpents Shadow,4.28
If You Give a Mouse a Cookie,4.26
Diary of a Wimpy Kid,3.99
Out of My Mind,4.37
