title,rating
The Chronicles of Narnia,4.26
The Lion the Witch and the Wardrobe,4.22
The Screwtape Letters,4.22
The Hiding Place,4.42
The Shack,3.78
The Magicians Nephew,4.04
Redeeming Love,4.49
The Voyage of the Dawn Treader,4.09
The Last Battle,4.02
You Are Special,4.45
The Silver Chair,3.96
Left Behind,3.83
Prince Caspian,3.97
Holy Bible,4.59
Christy,4.23
The  Love Languages,4.25
The Pilgrims Progress,4.0
The Great Divorce,4.28
This Present Darkness,4.23
Till We Have Faces,4.16
Quo Vadis,4.16
A Voice in the Wind,4.56
Heaven is for Real,4.02
The Purpose Driven Life,3.94
The Orb of Truth,3.76
Confessions,3.92
Standing for Something,4.6
The Miracle of Forgiveness,4.35
Perelandra,3.99
An Echo in the Darkness,4.62
The Holy Bible,4.6
The Man Who Was Thursday,3.83
Have a Little Faith,4.17
Same Kind of Different as Me,4.22
The Robe,4.22
Believing Christ,4.5
The Message for the Last Days,4.3
Hinds Feet on High Places,4.31
Mark of the Lion Trilogy,4.77
Piercing the Darkness,4.32
ESV Study Bible,4.78
Blue Like Jazz,3.9
The Cost of Discipleship,4.28
Thre,4.09
Conversations with God,4.17
The Case for Christ,4.15
The Christmas Sweater,3.8
At Home in Mitford,4.12
Waterfall,4.03
My Utmost for His Highest,4.36
The First Phone Call from Heaven,3.75
Left to Tell,4.43
Orthodoxy,4.16
Jesus the Christ,4.62
The New Oxford Annotated Bible,4.35
The Total Money Makeover,4.27
The Oath,4.07
The Holy Bible,4.55
The Bronze Bow,3.97
As Sure as the Dawn,4.42
The Mitford Years Boxed Set Volumes  ,4.36
That Hideous Strength,3.89
The Door Within,3.98
Kisses from Katie,4.41
Ben Hur,4.03
Black,4.19
The Last Sin Eater,4.1
Lilith,3.9
Crazy Love,4.15
The Seven Storey Mountain,4.1
Battlefield Of The Mind,4.34
The Practice of the Presence of God,4.29
I Kissed Dating Goodbye,3.55
House,3.59
Space Trilogy,4.14
Out of the Silent Planet,3.92
The Auschwitz Escape,4.34
The Shepherd of the Hills,4.19
Starflower,4.47
The Problem of Pain,4.09
The Year of Living Biblically,3.75
The Peacegiver,4.4
When Crickets Cry,4.28
Heartless,3.75
Love Comes Softly,4.25
Holy Bible,4.71
Cascade,4.25
The Gladiator,4.14
The Healers Apprentice,3.82
Gods Smuggler,4.34
Surprised by Joy,4.07
A Love Story How God Pursued Me and Found Me,4.14
The Princess and the Goblin,4.0
Moonblood,4.32
White,4.3
Way to Be ,4.6
Traveling Mercies,4.15
In His Steps,4.18
The Warden and the Wolf King,4.75
Jesus Freaks,4.21
Stepping Heavenward,4.27
Story of a Soul,4.35
North  or Be Eaten,4.53
 Minutes in Heaven,3.94
Mister God This is Anna,4.14
Short Straw Bride,4.22
Knowing God,4.28
Kestrels Midnight Song,4.01
Monster,3.82
The Merchants Daughter,4.0
The Last Thing I Remember,4.01
Soul Surfer,4.08
The Kingdom of God Is Within You,4.11
Torrent,4.3
The Monster in the Hollows,4.66
On the Edge of the Dark Sea of Darkness,4.3
DragonSpell,3.9
The Scarlet Thread,4.18
Beyond Tuesday Morning,4.38
Wild at Heart,3.92
Chicken Soup for the Soul,3.96
The Visitation,3.94
The Walk,4.15
A Passion Most Pure,4.01
A Passion Redeemed,4.15
Tribulation Force,3.96
A Passion Denied,4.24
Ishmael,4.37
Love Does,4.29
Proof of Heaven,3.7
The Kings Scrolls,4.55
Reunion,4.51
Dear and Glorious Physician,4.31
Red,4.3
The Noticer,4.18
The Complete Circle Series,4.54
A Time to Die,4.32
Remember,4.43
Blink,4.17
The Travelers Gift,4.11
The Fall of Lucifer,3.96
The Four Loves,4.14
Phantastes,3.92
The Case for Faith,4.22
The Bride Collector,3.84
Golden Daughter,4.5
The Apothecarys Daughter,3.8
Catechism of the Catholic Church,4.43
One Tuesday Morning,4.41
A Severe Mercy,4.26
Raising Dragons,3.9
Eye of the Oracle,4.11
Fear and Trembling,4.0
Christy Miller Collection Vol ,4.49
Summa Theologica  Vols,4.13
A Grief Observed,4.2
The Long Way Home,4.26
Danzig Passage,4.41
Fireproof,4.48
Hood,3.88
The Atonement Child,4.29
Vienna Prelude,4.31
Auralias Colors,3.66
Pensees,3.96
The Golden Braid,4.11
The Pursuit of Holiness,4.32
Morning and Evening Based on the English Standard Version,4.55
Fearless,4.19
The Princess,4.17
One Thousand Gifts,4.02
Forbidden,3.94
Byzantium,4.18
Saint,4.06
Holy Bible,4.47
Captivating,3.91
The Cross and the Switchblade,4.24
The Knowledge of the Holy,4.37
Loves Enduring Promise,4.2
Mistaken Identity,4.05
The Divine Conspiracy,4.18
Joshua,4.0
Passion and Purity,4.15
Prague Counterpoint,4.41
A Hope Undaunted,4.01
Crossing Oceans,3.95
The Prayer of Jabez,3.94
Run Baby Run,4.24
The Champion,4.23
The Protector,4.24
Through Gates of Splendor,4.37
DragonFire,4.19
Ever After,4.32
Sir Gibbie,4.3
Love Wins,3.6
The Martyrs Song ,4.14
The Light of Eidon,3.89
The Attributes of God,4.49
The Sovereignty of God,4.39
Westminster Confession Of Faith w,4.51
DragonQuest,4.14
So Not Happening,4.12
Waking Rose,4.38
Life Without Limits,4.13
The Life of Our Lord,4.0
The Jesus I Never Knew,4.17
The Book of Psalms,4.4
Forgiven,4.41
Starlighter,3.78
DragonLight,4.25
Family,4.42
Every Now and Then,4.35
Found,4.44
The Ball and the Cross,4.04
She Said Yes,3.9
Hangmans Curse,3.91
For Women Only,4.07
The Crippled Lamb,4.46
The Fairest Beauty,3.95
Surprised by Hope,4.33
Arena,4.15
Trust,4.6
Candle in the Darkness,4.3
I Dont Have Enough Faith to Be an Atheist,4.22
The Reason for God,4.17
Fools Rush In,3.61
Nicolae,3.97
Head in the Clouds,4.17
Foxes Book of Martyrs,4.27
Fame,4.35
Oceans Apart,4.26
The Maid of Fairbourne Hall,4.1
The Everlasting Man,4.19
The Irresistible Revolution,4.04
Tortured for Christ,4.37
Danger in the Shadows,4.35
Halleys Bible Handbook with the New International Version,4.36
Showdown,3.94
Jerusalem Interlude,4.35
Munich Signature,4.39
Respectable Sins,4.32
Assassins,4.0
The Truth of the Matter,4.32
A Woman After Gods Own Heart,4.32
Even Now,4.27
So Much More,3.58
From the Start,4.15
The Lost Heiress,4.14
Someday,4.41
All Together in One Place,3.98
There Youll Find Me,4.07
Last Light,4.2
Miracles,4.05
The Enchanted Barn,4.28
The Mark,4.03
Whats So Amazing About Grace,4.16
Whats Wrong with the World,4.04
A Time to Dance,4.29
Desecration,4.02
To Win Her Heart,4.21
Unveiled,4.29
The Bones of Makaidos,4.46
Velvet Elvis,3.77
Apollyon,3.98
The Return of the Prodigal Son,4.34
How Should We Then Live,4.18
Sunset,4.44
Take One,4.2
The Silent Governess,4.02
The Ragamuffin Gospel,4.18
A Bride Most Begrudging,3.97
Boy Meets Girl,3.75
A Tailor Made Bride,4.06
When Joy Came to Stay,4.32
Chosen,3.94
A Time to Embrace,4.36
Take Two,4.23
Just Beyond the Clouds,4.3
A Light in the Window,4.25
Sarah,3.88
Not Even a Hint,4.03
A Heart Revealed,4.29
The Vow,3.83
Submerged,4.08
The Message Remix ,4.46
Green,4.04
Warsaw Requiem,4.44
Roses for Mama,4.1
The Birth Order Book,3.78
House of Dark Shadows,3.88
Never the Bride,3.84
Nocturne Opus ,3.83
The Star,3.74
Institutes of the Christian Religion  Vols,4.14
Science and Health with Key to the Scriptures,4.26
Fearless,4.55
Traveling Light,4.25
Father Elijah,4.37
The Place of the Lion,3.87
The Secret Journal of Brett Colton,4.34
Experiencing God,4.34
Abomination,4.19
Comes a Horseman,3.99
Holy Bible,4.68
Demon,4.17
Self Raised,4.4
Collision,4.11
Rejoice,4.46
The Final Hour,4.33
Taliesin,3.99
The Paradise War,4.04
Jesus Among Other Gods,4.21
Quiet Strength,4.16
Power Thoughts,4.44
Paige Turned,4.3
Paige Torn,4.2
The Dukes Redemption,4.15
