title,rating
Harry Potter and the Order of the Phoenix,4.5
To Kill a Mockingbird,4.28
Pride and Prejudice,4.26
The Book Thief,4.37
Animal Farm,3.95
The Chronicles of Narnia,4.26
JRR Tolkien  Book Boxed Set,4.6
Gone with the Wind,4.3
The Hitchhikers Guide to the Galaxy,4.22
The Giving Tree,4.37
Wuthering Heights,3.86
Memoirs of a Geisha,4.12
The Picture of Dorian Gray,4.08
Alices Adventures in Wonderland and Through the Looking Glass,4.06
Jane Eyre,4.13
Les Miserables,4.18
Fahrenheit ,3.99
Lord of the Flies,3.69
Romeo and Juliet,3.75
The Alchemist,3.88
Crime and Punishment,4.22
The Perks of Being a Wallflower,4.2
The Great Gatsby,3.92
Enders Game,4.3
The Help,4.47
Anne of Green Gables,4.26
Harry Potter and the Sorcerers Stone,4.47
The Little Prince,4.31
Charlottes Web,4.17
Of Mice and Men,3.88
Dracula,4.0
Brave New World,3.99
One Hundred Years of Solitude,4.08
The Catcher in the Rye,3.81
The Princess Bride,4.26
The Secret Garden,4.13
A Wrinkle in Time,4.0
The Adventures of Huckleberry Finn,3.82
The Outsiders,4.1
Where the Wild Things Are,4.22
Green Eggs and Ham,4.3
The Odyssey,3.77
Life of Pi,3.91
A Tale of Two Cities,3.85
Lolita,3.89
Slaughterhouse Five,4.08
Frankenstein,3.81
The Kite Runner,4.3
The Handmaids Tale,4.11
The Giver,4.13
Catch ,3.98
Dune,4.23
The Pillars of the Earth,4.31
The Stand,4.34
The Adventures of Sherlock Holmes,4.3
Watership Down,4.06
Great Expectations,3.78
Little Women,4.09
The Bell Jar,4.01
Harry Potter and the Deathly Hallows,4.62
One Flew Over the Cuckoos Nest,4.19
Anna Karenina,4.05
Matilda,4.32
The Fellowship of the Ring,4.36
Rebecca,4.23
The Color Purple,4.22
A Tree Grows in Brooklyn,4.27
A Clockwork Orange,3.99
The Road,3.97
The Brothers Karamazov,4.32
Angelas Ashes,4.11
Siddhartha,4.03
The Poisonwood Bible,4.06
Don Quixote,3.88
Atlas Shrugged,3.69
Harry Potter and the Prisoner of Azkaban,4.57
The Old Man and the Sea,3.78
The Notebook,4.11
Winnie the Pooh,4.34
The Complete Stories and Poems,4.38
Interview with the Vampire,4.0
A Prayer for Owen Meany,4.23
Moby Dick or the Whale,3.51
The Secret Life of Bees,4.06
Harry Potter and the Goblet of Fire,4.56
Harry Potter and the Half Blood Prince,4.57
And Then There Were None,4.26
Middlesex,4.01
The Stranger,3.98
The Master and Margarita,4.29
The Shining,4.23
The Adventures of Tom Sawyer,3.91
Charlie and the Chocolate Factory,4.14
Flowers for Algernon,4.14
On the Road,3.62
The Metamorphosis,3.82
The Curious Incident of the Dog in the Night Time,3.88
The Very Hungry Caterpillar,4.3
Tuesdays with Morrie,4.11
The Unbearable Lightness of Being,4.1
The Name of the Rose,4.12
Where the Red Fern Grows,4.08
Harry Potter and the Chamber of Secrets,4.43
The Godfather,4.36
The Scarlet Letter,3.41
In Cold Blood,4.07
Fight Club,4.19
The Five People You Meet in Heaven,3.94
The Cat in the Hat,4.17
The Count of Monte Cristo,4.25
Lonesome Dove,4.48
Perfume,4.02
Holes,3.97
The Lion the Witch and the Wardrobe,4.22
Watchmen,4.36
It,4.24
The Little House Collection,4.34
The Divine Comedy,4.05
Peter Pan,4.05
All Quiet on the Western Front,3.98
The Hobbit or There and Back Again,4.27
The Compleat Works of Wllm Shkspr ,4.44
Love in the Time of Cholera,3.92
The Thorn Birds,4.23
How the Grinch Stole Christmas ,4.36
The Ultimate Hitchhikers Guide to the Galaxy,4.36
Atonement,3.91
The Importance of Being Earnest,4.18
Their Eyes Were Watching God,3.94
The Three Musketeers,4.07
The Wonderful Wizard of Oz,3.98
Goodnight Moon,4.28
The Lorax,4.34
Tess of the DUrbervilles,3.8
The Good Earth,3.99
Heart of Darkness,3.43
A Midsummer Nights Dream,3.95
The Prophet,4.22
The Mists of Avalon,4.11
The Joy Luck Club,3.93
Alice in Wonderland,4.02
The Call of the Wild,3.87
Jonathan Livingston Seagull,3.84
The Phantom Tollbooth,4.2
Bridge to Terabithia,4.01
Oh the Places Youll Go ,4.35
The Neverending Story,4.17
Oliver Twist,3.87
Ulysses,3.73
Treasure Island,3.83
The Clan of the Cave Bear,4.05
The Canterbury Tales,3.5
The World According to Garp,4.09
A Farewell to Arms,3.81
David Copperfield,4.0
Wicked,3.54
Murder on the Orient Express,4.17
His Dark Materials,4.25
A Little Princess,4.2
Schindlers List,4.34
The Boy in the Striped Pajamas,4.15
Jurassic Park,4.04
The Silmarillion,3.93
Beloved,3.87
The Trial,3.96
A Confederacy of Dunces,3.89
The Sun Also Rises,3.82
The Velveteen Rabbit,4.29
The Iliad,4.04
The Crucible,3.59
Cats Cradle,4.16
The God of Small Things,3.94
The Wind in the Willows,3.98
The Screwtape Letters,4.22
Girl with a Pearl Earring,3.89
The Hiding Place,4.42
A Light in the Attic,4.34
The Silence of the Lambs,4.2
Mans Search for Meaning,4.36
The Phantom of the Opera,3.96
Blindness,4.13
The Sound and the Fury,3.86
For Whom the Bell Tolls,3.97
Fear and Loathing in Las Vegas,4.08
The House of the Spirits,4.24
The Complete Calvin and Hobbes,4.82
Roots,4.43
Howls Moving Castle,4.26
Stranger in a Strange Land,3.92
Island of the Blue Dolphins,3.84
The Secret History,4.09
The Diary of a Young Girl,4.15
Othello,3.9
Flow Down Like Silver,4.42
The Idiot,4.18
King Lear,3.91
The Once and Future King,4.05
Into the Wild,3.99
Uncle Toms Cabin,3.87
The Complete Sherlock Holmes,4.48
Candide,3.77
James and the Giant Peach,4.02
Invisible Man,3.88
Paradise Lost,3.81
All Creatures Great and Small,4.32
The Complete Works,4.5
Foundation,4.17
The Things They Carried,4.13
The Cider House Rules,4.13
The Time Machine,3.89
Different Seasons,4.34
Heidi,3.99
Are You There God,3.9
Sophies World,3.93
Walden,3.78
The Awakening,3.65
Sophies Choice,4.18
The Prince of Tides,4.24
Fried Green Tomatoes at the Whistle Stop Cafe,4.28
Middlemarch,3.97
The Monster at the End of this Book,4.44
Things Fall Apart,3.68
Mrs Dalloway,3.79
Franny and Zooey,3.98
The Power of One,4.33
The Magicians Nephew,4.04
Number the Stars,4.15
Do Androids Dream of Electric Sheep,4.08
The Lord of the Rings,4.5
Black Beauty,3.96
The Hound of the Baskervilles,4.12
A Portrait of the Artist as a Young Man,3.62
Gullivers Travels,3.57
American Psycho,3.82
V for Vendetta,4.25
Love You Forever,4.36
