title,rating
The Hitchhikers Guide to the Galaxy,4.22
The Princess Bride,4.26
The Compleat Works of Wllm Shkspr ,4.44
The Ultimate Hitchhikers Guide to the Galaxy,4.36
The Importance of Being Earnest,4.18
Good Omens,4.24
A Confederacy of Dunces,3.89
Fear and Loathing in Las Vegas,4.08
The Complete Calvin and Hobbes,4.82
Lamb,4.24
Bridget Joness Diary,3.78
Breakfast of Champions,4.07
High Fidelity,3.93
Me Talk Pretty One Day,3.99
Much Ado About Nothing,4.06
One for the Money,4.04
Night Watch,4.5
Jitterbug Perfume,4.22
Confessions of a Shopaholic,3.65
The Color of Magic,3.99
Small Gods,4.3
The Restaurant at the End of the Universe,4.21
Mort,4.22
Still Life with Woodpecker,4.03
The Taming of the Shrew,3.79
Hogfather,4.22
Dirk Gentlys Holistic Detective Agency,3.98
Life the Universe and Everything,4.2
A Dirty Job,4.05
Going Postal,4.37
Guards  Guards ,4.31
Three Men in a Boat,3.88
Diary of a Wimpy Kid,3.99
The  Year Old Man Who Climbed Out the Window and Disappeared,3.82
Can You Keep a Secret,3.84
Reaper Man,4.27
Wallbanger,4.05
About a Boy,3.79
The Wee Free Men,4.26
As You Like It,3.83
Bossypants,3.95
The Authoritative Calvin and Hobbes,4.74
Thud ,4.33
The Light Fantastic,3.97
The Long Dark Tea Time of the Soul,4.04
So Long and Thanks for All the Fish,4.1
Equal Rites,4.02
Soul Music,4.03
Cold Comfort Farm,3.91
Monstrous Regiment,4.19
Wyrd Sisters,4.12
The Fifth Elephant,4.25
The Calvin and Hobbes Tenth Anniversary Book,4.63
Ive Got Your Number,3.94
Witches Abroad,4.21
Bet Me,3.94
John Dies at the End,3.9
Feet of Clay,4.27
Thief of Time,4.23
Mostly Harmless,3.97
The Truth,4.25
Sex Drugs and Cocoa Puffs,3.74
Fierce Invalids Home from Hot Climates,4.03
Skinny Legs and All,4.05
My Man Jeeves,4.1
The Amazing Maurice and His Educated Rodents,4.02
Moving Pictures,3.93
Carpe Jugulum,4.13
The Fan Man,4.06
Men at Arms,4.36
Is Everyone Hanging Out Without Me,3.86
Maskerade,4.07
Sex in the Title,3.45
The Essential Calvin and Hobbes,4.64
Wintersmith,4.21
Calvin and Hobbes,4.6
Rodrick Rules,4.14
Fool,3.97
Making Money,4.22
Pyramids,3.9
Jingo,4.15
Angus Thongs and Full Frontal Snogging,3.75
Bridget Jones,3.59
A Hat Full of Sky,4.28
Hyperbole and a Half,4.15
Naked,4.09
Dress Your Family in Corduroy and Denim,4.1
Lets Pretend This Never Happened,3.89
Notes from a Small Island,3.92
A Spell for Chameleon,3.91
You Really Are Full of Shit Arent You,4.14
Calico Jack in your Garden,4.2
Lucky Jim,3.77
Shopaholic and Baby,3.79
What If,4.14
The Ugly Truth,4.19
Sh*t My Dad Says,3.98
Assuming Names,3.83
Seduction and Snacks,4.1
The Zombie Survival Guide,3.86
Vernon God Little,3.6
The Indispensable Calvin and Hobbes,4.74
Shopaholic Takes Manhattan,3.77
Lords and Ladies,4.16
Dog Days,4.17
Snuff,4.14
The Last Straw,4.15
The Amazing Book Is Not on Fire,4.45
The Last Hero,4.18
I Shall Wear Midnight,4.32
High Five,4.18
Tales from a Not So Fabulous Life,4.14
The Last Continent,3.98
Eleven on Top,4.16
Yes Please,3.83
To the Nines,4.17
Lysistrata,3.86
Coinman,3.89
Flashman,4.06
Three to Get Deadly,4.14
The Life and Times of the Thunderbolt Kid,3.94
The Lost Continent,3.83
The Undomestic Goddess,3.84
Shit my History Teacher DID NOT tell me ,4.07
The Stupidest Angel,3.82
The Secret Diary of Adrian Mole Aged  ,3.88
Two for the Dough,4.11
Four to Score,4.17
Eric,3.75
Twelve Sharp,4.15
Hard Eight,4.17
Youth in Revolt,4.02
The Hitchhikers Guide to the Galaxy,4.51
Men at Arms,4.4
Moab Is My Washpot,3.96
Seven Up,4.16
Hot Six,4.19
Lean Mean Thirteen,4.09
Shopaholic Ties the Knot,3.78
Grit,4.31
Shopaholic and Sister,3.67
The Salmon of Doubt,3.93
I Hope They Serve Beer in Hell,3.5
Wedding Night,3.43
Every Boys Got One,3.76
The Big Over Easy,3.94
Damned,3.38
Lost in a Good Book,4.14
Cabin Fever,4.24
Sourcery,3.89
Dogshit Saved My Life,4.18
Hes Just Not That Into You,3.66
Seriously Im Kidding,3.71
Smokin Seventeen,3.96
Furiously Happy,3.91
When You Are Engulfed in Flames,4.06
Boy Meets Girl,3.83
The Code of the Woosters,4.35
The Lust Lizard of Melancholy Cove,3.87
The Rosie Effect,3.61
Ouran High School Host Club Vol ,4.36
Another Fine Myth,4.06
Its a Magical World,4.76
The Days Are Just Packed,4.7
Are You There Vodka,3.85
Job,3.78
My Uncle Oswald,3.88
My Life and Hard Times,4.13
The Unabridged Devils Dictionary,4.1
The Book of Awesome,3.81
Leave It to Psmith,4.32
Tales from a Not So Talented Pop Star,4.3
Weird Things Customers Say in Bookshops,3.79
The Best of Myles,4.23
Infinity Welcomes Careful Drivers,4.06
Slapstick or Lonesome No More ,3.87
Negima  Magister Negi Magi Vol ,3.89
Island of the Sequined Love Nun,3.8
Straight Man,4.01
My Horizontal Life,3.79
Fluke,3.75
Letters from the Earth,4.2
Skipping Christmas,3.5
The Diary of a Nobody,3.71
Nightlight,3.07
Five Point Someone,3.43
Talking as Fast as I Can,3.96
Wayside School Is Falling Down,4.17
Interesting Times,4.17
Attack of the Deranged Mutant Killer Monster Snow Goons,4.72
The Complete Far Side ,4.68
Travels with My Aunt,3.82
If Chins Could Kill,3.97
The Loved One,3.78
Lemony Snicket,3.74
Archy and Mehitabel,4.26
Explosive Eighteen,3.95
The Growing Pains of Adrian Mole,3.98
I Am America ,3.91
The Good Fairies of New York,3.51
Interesting Times,4.14
JPod,3.7
The Actor and the Housewife,3.14
Redshirts,3.85
Finger Lickin Fifteen,4.0
Mini Shopaholic,3.72
Fever Pitch,3.75
Bloodsucking Fiends,3.94
All Families are Psychotic,3.67
On the Bright Side Im Now the Girlfriend of a Sex God,3.96
Riotous Assembly,4.08
The Egg and I,3.92
How to Talk to a Liberal ,3.31
Thank You Jeeves,4.23
Something Rotten,4.16
America ,4.01
Adolf Hitler,4.09
Something Under the Bed is Drooling,4.71
American on Purpose,3.95
Are These My Basoomas I See Before Me,4.2
Apathy and Other Small Victories,3.78
More Weird Things Customers Say in Bookshops,3.78
Ten Big Ones,4.14
Billy Liar,3.73
How I Became Stupid,3.39
Hard Luck,4.29
Spellsinger,3.86
Adrian Mole and the Weapons of Mass Destruction,3.9
 and All That,3.98
Reheated Cabbage,3.52
Unseen Academicals,3.97
Extinction,4.29
Half Asleep in Frog Pajamas,3.75
Wishful Drinking,3.8
An Inconvenient Book,3.75
Wilt,3.95
Kurt Vonneguts Cats Cradle,4.35
A Decent Ride,3.74
Uncle Fred in the Springtime,4.23
The Hollow Chocolate Bunnies of the Apocalypse,3.75
The Long Haul,4.35
Weirdos from Another Planet ,4.71
Joy in the Morning,4.34
The Shepherds Crown,4.36
Cosmic Banditos,3.88
Neil Patrick Harris,3.84
Adulthood Is a Myth,4.12
The Revenge of the Baby Sat,4.72
Neanderthal Seeks Human,3.93
Brain Droppings,4.11
The Comedy of Errors,3.74
All My Friends Are Dead,4.2
True Confessions of Adrian Albert Mole Margaret Hilda Roberts and Susan Lilian Townsend,3.57
Bitter Is the New Black,3.89
Go the F**k to Sleep,4.27
Carry On Jeeves,4.27
Happy Accidents,3.69
The Calvin and Hobbes Lazy Sunday Book,4.67
Scientific Progress Goes Boink,4.73
Then He Ate My Boy Entrancers,4.09
The Fry Chronicles,3.87
Fearless Fourteen,4.04
It Gets Worse,4.23
Only You Can Save Mankind,3.72
Very Good Jeeves ,4.35
Dancing in My Nuddy Pants,4.01
Mapp and Lucia,4.24
Right Ho Jeeves,4.32
The Pleasantries of the Incredible Mulla Nasrudin,4.36
The Thurber Carnival,4.23
Pigs Have Wings,4.26
The Little Lady Agency,3.75
The Gun Seller,3.68
Visions of Sugar Plums,3.7
The Carpet People,3.72
Wheres My Cow,4.12
Better than Life,4.07
The Spellman Files,3.88
The Bedwetter,3.53
Possible Side Effects,3.99
How to Tell If Your Cat Is Plotting to Kill You,3.93
Gangsta Granny,4.29
Alls Well That Ends Well,3.64
Miss Wrong and Mr Right,3.94
Switch Bitch,3.98
Kill Your Friends,3.8
Give War a Chance,3.87
Villains by Necessity,4.19
Coco Pinchard The Consequences Of Love And Sex,4.05
God Knows,3.8
Homicidal Psycho Jungle Cat,4.72
Playing James,3.73
Things Grak Hates,3.84
Coco Pinchards Big Fat Tipsy Wedding,3.84
 Years of Annoying the French,4.03
Dont Make a Black Woman Take Off Her Earrings,4.08
Plum Lovin,3.73
Bite Me,3.86
The Not So Secret Emails Of Coco Pinchard,3.64
Guilty,3.58
Does My Bum Look Big in This,3.04
The Canterville Ghost and Other Stories,3.91
Golem in the Gears,3.7
Myth ing Persons,3.98
A Very Coco Christmas,3.89
The Liar,3.67
The Idiot Girls Action Adventure Club,3.88
Galahad at Blandings,4.25
Blue Heaven,4.16
Yes Man,4.08
Earth ,3.91
The Simpsons and Their Mathematical Secrets,3.87
Blind Faith,3.72
Summer Lightning,4.23
Do It Yourself Book,4.18
Sacre Bleu,3.79
Sunset at Blandings,4.06
Who Put That Hair in My Toothbrush,3.86
Three Men in a Boat and Three Men on the Bummel,4.07
Full Moon,4.17
Night Mare,3.84
The Fuck Up,3.55
Hana Kimi,4.15
Horseradish,4.04
The Androids Dream,3.98
Catch Your Death,4.45
Diary of a Wimpy Vampire,3.63
I Feel Bad About My Neck,3.71
Eyeshield  Vol ,4.31
Tell Me Lies,3.71
I Funny,4.15
Nice Work,3.84
Dragon on a Pedestal,3.76
Manhunting,3.77
The British Museum Is Falling Down,3.66
The Stainless Steel Rat,3.93
Fifty one Shades,3.48
Native Tongue,3.96
This Book Is Full of Spiders,4.26
A Girl Like You,3.95
The First Wives Club,3.89
Heartburn,3.6
Flashman at the Charge,4.36
Practical Demonkeeping,3.83
Theres Treasure Everywhere,4.75
Slander,3.42
Bring Me the Head of Prince Charming,3.74
A Short History of Tractors in Ukrainian,3.41
Saturnin,4.44
 Things to Do Before I Die,3.2
Spud,4.07
Cinderella Screwed Me Over,3.8
The Tough Guide to Fantasyland,3.95
Life and Laughing,4.06
The Fall and Rise of Reginald Perrin,3.97
Election,3.86
Barrel Fever,3.79
The Inimitable Jeeves,4.24
The Adventures of Baron Munchausen,3.83
Small World,3.9
The Gum Thief,3.5
Monster,3.82
The Snapper,3.93
Swinging on a Star,4.03
Syrup,3.88
Maid sama  Vol ,4.42
Metro Girl,3.63
This is a Book,3.76
The Front Page,3.7
The Wee Free Men,4.49
Blandings Castle,4.17
Lets Explore Diabetes with Owls,3.83
Withering Tights,3.68
Flashman in the Great Game,4.35
The House of God,3.93
The Book with No Pictures,4.35
The Real Inspector Hound and Other Plays,4.03
Brunettes Strike Back,3.82
Auntie Mame,4.07
Holidays on Ice,3.92
Neither Here nor There,3.86
Born Standing Up,3.87
Last Words,4.0
Lets Pretend This Never Happened,3.99
Neanderthal Marries Human,4.2
