title,rating
Watchmen,4.36
The Complete Calvin and Hobbes,4.82
V for Vendetta,4.25
The Complete Maus,4.55
The Amazing Adventures of Kavalier and Clay,4.18
The Complete Persepolis,4.39
Batman,4.26
Diary of a Wimpy Kid,3.99
Preludes and Nocturnes,4.23
Persepolis,4.25
Death Note Vol ,4.44
The Authoritative Calvin and Hobbes,4.74
Fruits Basket Vol ,4.24
Batman,4.37
The Calvin and Hobbes Tenth Anniversary Book,4.63
The Hobbit,4.48
Fun Home,4.08
From Hell,4.17
Fullmetal Alchemist Vol ,4.5
Saga Vol ,4.18
The Absolute Sandman Volume One,4.65
Blankets,4.05
Smile,4.25
The Essential Calvin and Hobbes,4.64
Batman,4.22
Calvin and Hobbes,4.6
The Walking Dead Vol ,4.27
Rodrick Rules,4.14
Maus II,4.38
Batman,4.32
The Arrival,4.33
Brief Lives,4.54
Hyperbole and a Half,4.15
Naruto Vol ,4.39
Bone,4.43
What If,4.14
Bleach Volume ,4.23
The Ugly Truth,4.19
Twilight,3.84
Death Note Box Set,4.53
Nimona,4.15
The Indispensable Calvin and Hobbes,4.74
Maximum Ride Vol ,4.25
Dog Days,4.17
The Last Straw,4.15
The Last Hero,4.18
Scott Pilgrim Volume ,4.17
Tsubasa,4.12
Black Butler Vol ,4.37
The Kindly Ones,4.59
One Piece Volume ,4.44
American Born Chinese,3.88
Season of Mists,4.54
Introducing Chomsky,3.68
The Crow,4.28
The Absolute Sandman Volume Three,4.71
Vampire Knight Vol ,4.1
The Absolute Sandman Volume Two,4.69
Daytripper,4.32
Akira Vol ,4.38
Heartstopper,4.65
Death Note Vol ,4.36
Dream Country,4.24
Heartstopper,4.53
Kingdom Come,4.26
The Sandman,4.34
Tintin in Tibet,4.22
Nana Vol ,4.21
Bone Vol ,4.17
Cabin Fever,4.24
Pyongyang,3.92
The Dolls House,4.44
Ghost World,3.83
Death Note Vol ,4.45
Heartstopper,4.64
A Game of You,4.43
The Absolute Sandman Volume Four,4.69
Ouran High School Host Club Vol ,4.36
Sisters,4.34
Its a Magical World,4.76
Death Note Vol ,4.34
The Days Are Just Packed,4.7
Anyas Ghost,3.89
The Hard Goodbye,4.15
Fables and Reflections,4.44
I Kill Giants,4.15
Habibi,4.03
Drama,4.21
Locke and Key Volume ,4.15
Negima  Magister Negi Magi Vol ,3.89
Transmetropolitan Vol ,4.21
Attack on Titan Vol ,4.42
The Walking Dead Book One,4.35
This One Summer,3.69
The Missing Piece Meets the Big O,4.35
Understanding Comics,3.98
Death Note Vol ,4.4
Persepolis ,4.23
Batman,4.1
Death Note Vol ,4.44
Berserk Vol ,4.41
Batman Volume ,4.32
InuYasha,4.28
The Walking Dead Compendium ,4.44
Death Note Vol ,4.25
Death,4.19
Wonder Woman,4.04
Shugo Chara  Vol ,4.13
Ghost in the Shell,4.18
Hush Hush,4.25
Artemis Fowl,3.75
