title,rating
The Fault in Our Stars,4.21
The Perks of Being a Wallflower,4.2
The Help,4.47
The Time Travelers Wife,3.97
A Thousand Splendid Suns,4.38
The Lovely Bones,3.82
The Outsiders,4.1
Life of Pi,3.91
Water for Elephants,4.09
The Kite Runner,4.3
One Flew Over the Cuckoos Nest,4.19
My Sisters Keeper,4.08
The Girl with the Dragon Tattoo,4.14
The Road,3.97
The Notebook,4.11
A Prayer for Owen Meany,4.23
The Secret Life of Bees,4.06
Middlesex,4.01
Looking for Alaska,4.02
The Curious Incident of the Dog in the Night Time,3.88
Tuesdays with Morrie,4.11
The Unbearable Lightness of Being,4.1
Fight Club,4.19
The Five People You Meet in Heaven,3.94
American Gods,4.11
Holes,3.97
A Walk to Remember,4.18
Atonement,3.91
Eat Pray Love,3.57
The Joy Luck Club,3.93
Bridge to Terabithia,4.01
The Girl Who Played with Fire,4.24
Fifty Shades of Grey,3.66
The World According to Garp,4.09
Extremely Loud and Incredibly Close,3.97
The Secret Magdalene,4.07
A Confederacy of Dunces,3.89
The God of Small Things,3.94
Shes Come Undone,3.88
Marley and Me,4.13
The Wind Up Bird Chronicle,4.16
Blindness,4.13
Fear and Loathing in Las Vegas,4.08
The Girl Who Kicked the Hornets Nest,4.22
The Secret History,4.09
White Oleander,3.97
Beautiful Disaster,4.09
Paper Towns,3.8
Speak,4.02
I Know This Much Is True,4.19
Gone Girl,4.08
Norwegian Wood,4.03
The Cider House Rules,4.13
Kafka on the Shore,4.13
Are You There God,3.9
Sophies World,3.93
Fangirl,4.05
The Prince of Tides,4.24
Never Let Me Go,3.82
Fifty Shades Darker,3.84
Bridget Joness Diary,3.78
Eleanor and Park,4.05
Me Before You,4.26
The Art of Racing in the Rain,4.21
If I Stay,3.94
Bel Canto,3.93
American Psycho,3.82
Fifty Shades Freed,3.85
Wonder,4.44
Go Ask Alice,3.76
The Amazing Adventures of Kavalier and Clay,4.18
Stargirl,3.76
Dear John,4.03
Cloud Atlas,4.01
The Last Song,4.15
Room,4.06
Infinite Jest,4.28
The Remains of the Day,4.12
Anna and the French Kiss,4.01
The Shipping News,3.86
Hopeless,4.29
High Fidelity,3.93
The Virgin Suicides,3.82
Nineteen Minutes,4.13
Shantaram,4.25
Divine Secrets of the Ya Ya Sisterhood,3.83
Everything Is Illuminated,3.9
The Elephant Tree,4.14
Quantum Roots II,4.34
Aristotle and Dante Discover the Secrets of the Universe,4.33
Bared to You,4.18
Chocolat,3.96
Perfect Chemistry,4.06
Just Listen,4.06
The Truth About Forever,4.12
Trainspotting,4.07
The Unbecoming of Mara Dyer,4.05
All the Bright Places,4.15
The Zombie Room,4.16
The Hours,3.94
PS I Love You,4.02
Slammed,4.26
No Country for Old Men,4.12
The Bean Trees,3.97
Interpreter of Maladies,4.15
We Were Liars,3.84
The Goldfinch,3.92
Finding Hope in the Darkness of Grief,4.33
A Dogs Purpose,4.34
Peace Like a River,4.0
We Need to Talk About Kevin,4.05
A Monster Calls,4.35
The Wasp Factory,3.81
Before I Fall,3.9
Where She Went,4.02
The Memory Keepers Daughter,3.67
The Blind Assassin,3.95
The History of Love,3.92
One for the Money,4.04
Ill Give You the Sun,4.14
The Magus,4.05
A Heartbreaking Work of Staggering Genius,3.69
Veronika Decides to Die,3.7
Jitterbug Perfume,4.22
Prodigal Summer,4.0
Id Tell You I Love You But Then Id Have to Kill You,3.83
Matching Configurations,4.39
The Sisterhood of the Traveling Pants,3.8
The Elegance of the Hedgehog,3.77
Quantum Roots,4.35
Message in a Bottle,3.96
Love Story,3.62
Confessions of a Shopaholic,3.65
The Edge of Never,4.23
Walk Two Moons,3.97
The Shell Seekers,4.16
The Corrections,3.8
One Day,3.8
Geek Love,3.95
Hard Boiled Wonderland and the End of the World,4.15
The Namesake,4.0
To All the Boys Ive Loved Before,4.15
The Girl on the Train,3.93
Its Kind of a Funny Story,4.11
Still Alice,4.32
Choke,3.7
Revolutionary Road,3.9
An Abundance of Katherines,3.57
The Gargoyle,3.97
Forrest Gump,4.06
I Am the Messenger,4.05
The Hate U Give,4.52
Walking Disaster,4.2
Gabriels Inferno,4.0
The Hotel New Hampshire,3.91
The Bridges of Madison County,3.62
Kane and Abel,4.31
Reflected in You,4.32
A Million Little Pieces,3.65
Mystic River,4.17
The Glass Castle,4.28
Simon vs the Homo Sapiens Agenda,4.29
The Lucky One,4.12
Crank,4.15
House of Leaves,4.06
Requiem for a Dream,4.09
The Millennium Trilogy ,4.48
The Story of Edgar Sawtelle,3.62
Factotum,3.94
Where the Heart Is,4.02
Naked Lunch,3.46
Still Life with Woodpecker,4.03
Will Grayson Will Grayson,3.77
Thoughtless,4.1
The Wedding,3.99
Lunar Park,3.64
Easy,4.08
Beach Music,4.16
The Pact,4.01
This Lullaby,4.02
Ugly Love,4.25
Sharp Objects,3.98
Disgrace,3.84
The Brief Wondrous Life of Oscar Wao,3.9
Dark Places,3.93
Every Day,3.94
The Horse Whisperer,3.81
Skagboys,3.92
Safe Haven,4.21
All the Pretty Horses,4.0
Call Me By Your Name,4.23
The Guardian,4.15
White Noise,3.87
