title,rating
The Da Vinci Code,3.86
Crime and Punishment,4.22
The Lovely Bones,3.82
The Adventures of Sherlock Holmes,4.3
The Girl with the Dragon Tattoo,4.14
A Clockwork Orange,3.99
And Then There Were None,4.26
The Name of the Rose,4.12
The Godfather,4.36
In Cold Blood,4.07
Perfume,4.02
The Girl Who Played with Fire,4.24
Murder on the Orient Express,4.17
The Silence of the Lambs,4.2
The Green Mile,4.45
Misery,4.17
The Girl Who Kicked the Hornets Nest,4.22
The Secret History,4.09
The Complete Sherlock Holmes,4.48
Gone Girl,4.08
A Time to Kill,4.07
The Hound of the Baskervilles,4.12
American Psycho,3.82
A Child Called It,4.11
The Firm,4.02
Room,4.06
Midnight in the Garden of Good and Evil,3.92
Nineteen Minutes,4.13
Shantaram,4.25
The Devil in the White City,3.99
The Lost Symbol,3.71
The Elephant Tree,4.14
Angels and Demons,3.9
Trainspotting,4.07
The Zombie Room,4.16
No Country for Old Men,4.12
We Need to Talk About Kevin,4.05
The Bourne Identity,4.02
One for the Money,4.04
Inferno,3.85
The Lies of Locke Lamora,4.28
Papillon,4.24
The Big Sleep,3.99
The No  Ladies Detective Agency,3.79
Digital Fortress,3.66
The Girl on the Train,3.93
Death on the Nile,4.1
Shutter Island,4.08
Mystic River,4.17
Requiem for a Dream,4.09
The Millennium Trilogy ,4.48
Lunar Park,3.64
The Murder of Roger Ackroyd,4.24
Deception Point,3.72
Sharp Objects,3.98
Dark Places,3.93
The Maltese Falcon,3.9
Skagboys,3.92
The Runaway Jury,3.99
Smillas Sense of Snow,3.74
A Study in Scarlet,4.16
The Client,4.02
Storm Front,3.99
The Collector,3.98
Helter Skelter,4.04
A Scanner Darkly,4.01
Una Historia de Ayer,4.69
Before I Go to Sleep,3.89
The Beekeepers Apprentice,4.06
Red Dragon,4.03
Alias Grace,4.03
The Pelican Brief,4.01
The Spy Who Came In from the Cold,4.06
El Diablo,4.02
Naked in Death,4.12
An American Tragedy,3.95
The White Tiger,3.74
China Blues,4.11
If Tomorrow Comes,4.04
Killing Floor,4.05
Dolores Claiborne,3.87
The Day of the Jackal,4.26
The New York Trilogy,3.88
Tell No One,4.11
The Cuckoos Calling,3.86
Tinker Tailor Soldier Spy,4.04
Kiss the Girls,3.97
Master of the Game,4.12
My Story,4.21
Ana Rocha,4.23
The Moonstone,3.9
Table ,3.65
The Surgeon,4.09
The Bone Collector,4.19
The Mysterious Affair at Styles,3.99
The Human Obsession,4.14
Intensity,4.04
The Daughter of Time,3.92
Lips of a Mastodon,3.9
Eye of the Needle,4.19
Defending Jacob,3.98
The Rainmaker,3.95
The Long Goodbye,4.21
The Cadaver Factory,4.35
Child ,4.09
Along Came a Spider,4.11
Heist Society,3.91
The Sign of Four,3.94
Hannibal,3.77
The Snowman,4.01
Rage of Angels,3.94
The Silent Patient,4.09
The Testament,3.86
Gaudy Night,4.23
The Executioners Song,4.07
The Talented Mr Ripley,3.93
Batman,4.37
Last Exit to Brooklyn,3.83
My Sisters Grave,4.05
The Sweetness at the Bottom of the Pie,3.81
Gods Spy,3.75
Brighton Rock,3.67
From Hell,4.17
Darkly Dreaming Dexter,3.89
Nutshell,3.67
In the Woods,3.77
Stillhouse Lake,4.11
Postmortem,4.02
The Bachman Books,4.12
The Analyst,4.13
A Merciful Truth,4.27
The Woman in the Window,3.94
A Merciful Death,4.13
Lucky,3.78
Tell Me Your Dreams,3.96
Filth,3.73
Her Final Breath,4.29
In the Miso Soup,3.59
Close to Home,4.29
Virals,3.94
The Lincoln Lawyer,4.17
The th Canon,4.25
Out,3.93
Ramonst,4.5
I Am Pilgrim,4.25
Origin,3.86
Jesus Son,4.1
Burial Rites,4.01
Say Youre Sorry,4.02
Plain Truth,3.98
The End of Everything,3.32
Midnight Sacrifice,4.23
Columbine,4.28
The Black Echo,4.1
The Couple Next Door,3.78
Cocaine Nights,3.46
Rainbow Six,4.09
Behind Closed Doors,3.95
Sempre,4.16
Night Film,3.78
Red Seas Under Red Skies,4.23
The Likeness,4.05
The Woods,4.05
The Yiddish Policemens Union,3.71
The City and the City,3.92
Dare Me,3.22
Midnight Exposure,4.14
One of Us Is Lying,4.05
Mr Mercedes,3.97
Psycho,4.1
The Other Side of Midnight,3.92
Casino Royale,3.74
Gorky Park,4.04
The Body Farm,4.05
The Cabinet of Curiosities,4.24
Midnight Obsession,4.3
The Constant Gardener,3.8
A House Without Windows,3.62
Altered Carbon,4.05
Fatherland,3.98
Batman,4.22
The Killer Inside Me,3.82
An Instance of the Fingerpost,3.94
The Informers,3.37
You,3.9
Relic,4.03
Daemon,4.15
Farewell My Lovely,4.14
Sherlock Holmes,4.47
A Merciful Secret,4.36
The Memoirs of Sherlock Holmes,4.31
I Dream of Yellow Kites,4.06
I Hunt Killers,4.01
Batman,4.32
Into the Darkest Corner,4.08
The Last Juror,3.89
The Outsider,3.98
Crime,3.44
Motherless Brooklyn,3.88
Six Days of the Condor,4.09
The Secret of the Old Clock,3.99
Gone for Good,4.1
Dark Guardian ,4.2
The Hard Way,4.15
Nobody Move,3.27
Hannibal Rising,3.54
The Eighth Sister,4.04
The Concrete Blonde,4.17
In the Clearing,4.27
The Body Reader,4.22
Caged,3.71
The Bourne Supremacy,4.1
The Good Girl,3.81
Still Missing,3.98
The Apprentice,4.13
Into the Water,3.58
The Hangmans Daughter,3.72
The Camel Club,4.04
The Naturals,4.16
Double Indemnity,4.1
The Republic of Thieves,4.21
The  Deaths of Evelyn Hardcastle,3.89
Red Russia,4.26
The Trapped Girl,4.36
LA Confidential,4.2
The Power of the Dog,4.35
The Amityville Horror,3.85
The Devotion of Suspect X,4.13
Case Histories,3.82
The Little Friend,3.47
Child of God,3.77
The Crow Road,4.05
The Secret Agent,3.59
The Manson File,4.2
Rivers of London,3.87
The Broker,3.79
Plum Island,4.03
Brimstone,4.12
The Weight of Silence,3.93
Every Dead Thing,3.98
Still Life With Crows,4.17
The Caves of Steel,4.17
The Demolished Man,3.99
Uncommon Criminals,4.13
Pulp,3.68
The Sisters Brothers,3.84
The Black Dahlia,3.76
Assuming Names,3.83
I Am Watching You,4.04
The Sands of Time,3.76
Thin Air,3.87
Joyland,3.9
The ABC Murders,4.02
The Silkworm,4.04
C is for Corpse,3.92
The Beach House,3.85
Red Harvest,3.97
One Shot,4.2
Blood for Blood,3.67
Primal Fear,4.21
The Man in the Brown Suit,3.96
The Chamber,3.8
Snuff,4.14
Glory in Death,4.26
Im Not Scared,3.84
Black House,4.01
The Girl Next Door,3.85
Perfect Scoundrels,4.28
I Let You Go,4.06
Night Fall,4.09
You Will Know Me,3.44
High Five,4.18
The Last Don,3.84
Triptych,4.11
Fractured,4.15
The Butterfly Garden,4.03
st to Die,4.08
Eleven on Top,4.16
To the Nines,4.17
Dead Wrong,3.62
Nothing Lasts Forever,3.85
Then She Was Gone,4.03
The Chemistry of Death,4.09
When Rabbit Howls,4.04
Three to Get Deadly,4.14
Sleepers,4.22
The Devil All the Time,4.12
The Contortionists Handbook,3.93
Cut and Run,4.1
The Return of Sherlock Holmes,4.3
The Crow,4.28
Think of a Number,3.85
Exquisite Corpse,3.75
Bloodline,3.83
Presumed Innocent,4.1
The Killer Collective,3.91
The Enemy,4.16
The Secret Adversary,3.85
The Woman in Cabin ,3.7
The Bridge To Caracas,4.14
The Innocent,4.13
The Book of the Dead,4.13
Two for the Dough,4.11
Four to Score,4.17
Cut and Run,4.05
Full Dark No Stars,4.06
Shibumi,4.21
The Postman Always Rings Twice,3.8
Murder at the Vicarage,4.06
Vanish,4.12
The th Suspect,3.9
The Silent Wife,3.31
Not a Penny More Not a Penny Less,4.03
The Winner Stands Alone,3.38
Blindsighted,4.09
Twelve Sharp,4.15
The Hidden Staircase,3.95
Are You Afraid of the Dark,3.67
Hard Eight,4.17
From Russia With Love,3.89
Rules of Prey,4.11
Living Dead Girl,3.81
Body Double,4.16
Dakota Son,4.43
The Devils Eyes,3.85
Perfect Match,3.95
Such a Pretty Girl,3.88
The Confession,3.85
The King of Torts,3.69
Seven Up,4.16
Hot Six,4.19
Only Time Will Tell,4.08
The Gift of Fear,4.18
Evenfall,4.18
Deja Dead,3.88
Still Life,3.88
Killers of the Flower Moon,4.07
When the Wind Blows,3.93
Rage,3.77
Seizure,4.15
Lean Mean Thirteen,4.09
The Complete Sherlock Holmes,4.47
Sister,3.77
Caught,3.98
The Valley of Fear,3.98
Grit,4.31
Under the Banner of Heaven,4.0
Windmills of the Gods,3.86
A is for Alibi,3.85
 Hours,4.09
The Good Daughter,4.09
Sadie,4.12
I Am Not a Serial Killer,3.79
If We Were Villains,4.1
All That Remains,4.05
The Little Sister,4.02
My Sister the Serial Killer,3.74
Pretty Girls,3.99
The President Is Missing,3.82
Vigilante,3.8
The Dry,4.02
Something About You,3.95
The Case Book of Sherlock Holmes,4.17
Dangerous Girls,4.07
The Tenderness of Wolves,3.77
Transfer of Power,4.3
No Time for Goodbye,4.01
Undone,4.22
The Boys from Brazil,4.05
Dance of Death,4.16
Body of Evidence,4.02
The Sicilian,3.98
The Poet,4.2
Mr Nice,3.89
Ice Cold,4.15
The Stranger Beside Me,4.13
False Step,3.5
The Professor and the Madman,3.84
White Collar Blackmail,4.29
The Psychopath Test,3.94
Death Note Vol ,4.45
Forgotten Bones,4.1
American Tabloid,4.19
Memories of Midnight,3.71
The Great Train Robbery,3.86
Six Years,3.83
If You Tell,3.98
The Book With No Name,3.84
Tripwire,4.09
The Big Four,3.6
Confessions of a Murder Suspect,3.89
