title,rating
The Fault in Our Stars,4.21
Romeo and Juliet,3.75
A Thousand Splendid Suns,4.38
The Lovely Bones,3.82
The Kite Runner,4.3
My Sisters Keeper,4.08
The Notebook,4.11
The Godfather,4.36
The Compleat Works of Wllm Shkspr ,4.44
The Thorn Birds,4.23
A Walk to Remember,4.18
The Importance of Being Earnest,4.18
A Midsummer Nights Dream,3.95
The World According to Garp,4.09
The Crucible,3.59
The Silence of the Lambs,4.2
Shes Come Undone,3.88
The Green Mile,4.45
Misery,4.17
White Oleander,3.97
Othello,3.9
King Lear,3.91
I Know This Much Is True,4.19
The Complete Works,4.5
Different Seasons,4.34
The Prince of Tides,4.24
A Time to Kill,4.07
Me Before You,4.26
Dear John,4.03
The Firm,4.02
The Last Song,4.15
Room,4.06
Death of a Salesman,3.53
A Streetcar Named Desire,3.98
Hamlet,4.02
Faust First Part,3.93
Flowers in the Attic,3.82
Hopeless,4.29
Nineteen Minutes,4.13
Waiting for Godot,3.83
The Elephant Tree,4.14
Quantum Roots II,4.34
Trainspotting,4.07
Much Ado About Nothing,4.06
The Zombie Room,4.16
The Glass Menagerie,3.71
Twelfth Night,3.98
PS I Love You,4.02
The Merchant of Venice,3.8
Cyrano de Bergerac,4.07
Julius Caesar,3.69
Finding Hope in the Darkness of Grief,4.33
We Need to Talk About Kevin,4.05
The Wasp Factory,3.81
The Memory Keepers Daughter,3.67
Oedipus Rex,3.71
Watchers,4.18
Veronika Decides to Die,3.7
Brainwalker,4.35
Matching Configurations,4.39
Quantum Roots,4.35
Message in a Bottle,3.96
Love Story,3.62
Under the Dome,3.91
One Day,3.8
Digital Fortress,3.66
Macbeth,3.9
Still Alice,4.32
Antigone,3.66
Forrest Gump,4.06
The Bridges of Madison County,3.62
Kane and Abel,4.31
A Million Little Pieces,3.65
Mystic River,4.17
The Lucky One,4.12
Requiem for a Dream,4.09
Factotum,3.94
Where the Heart Is,4.02
The Wedding,3.99
Lunar Park,3.64
Sometimes a Great Notion,4.18
Beach Music,4.16
The Pact,4.01
Ugly Love,4.25
The Horse Whisperer,3.81
Skagboys,3.92
Safe Haven,4.21
The Runaway Jury,3.99
The Guardian,4.15
A Bend in the Road,4.03
Love is the Answer God is the Cure,4.32
Suzannes Diary for Nicholas,4.17
A Dolls House,3.73
The Taming of the Shrew,3.79
Eleven Minutes,3.7
The Tempest,3.81
Forbidden,4.03
The Client,4.02
Point of Retreat,4.27
Valley of the Dolls,3.76
For One More Day,4.1
Archers Voice,4.39
Una Historia de Ayer,4.69
More Than Love A Husbands Tale,4.31
Jaws,3.97
Dodging Satan,4.31
And the Mountains Echoed,4.05
The Rescue,4.11
Pleasant Day,4.33
Nights in Rodanthe,3.84
Red Dragon,4.03
The Choice,4.0
Pretty Little Liars,3.87
The Pelican Brief,4.01
The Silver Linings Playbook,3.99
The Spy Who Came In from the Cold,4.06
The Heart of Aleppo,4.33
Losing Hope,4.34
Americas Daughter ,4.3
Broken Promises ,4.31
The Pandarus File,4.43
Burned,4.25
If Tomorrow Comes,4.04
The Casual Vacancy,3.3
Killing Floor,4.05
Dolores Claiborne,3.87
Three Comrades,4.49
Hunger,4.05
Unparalleled,4.3
The Opportunist,4.21
Complicate Me,4.02
The Day of the Jackal,4.26
Midwives,3.99
Tell No One,4.11
The Storyteller,4.27
Harry Potter and the Cursed Child,3.62
Kiss the Girls,3.97
The Light Between Oceans,4.03
Master of the Game,4.12
Franz Kafkas The Castle ,4.08
As You Like It,3.83
The Surgeon,4.09
The Bone Collector,4.19
Firefly Lane,4.08
Post Office,3.98
The Threat Below,4.32
The Oedipus Cycle,3.98
Trouble on Main Street,4.34
Medea,3.88
Before I Die,3.83
The Rum Diary,3.82
The Ultimate Religion,4.39
Long Days Journey into Night,4.07
Moon Palace,3.95
Drum Beats Heart Beats ,4.3
The Guardian of Secrets and Her Deathly Pact,4.19
The Candidate and other stories,4.35
Eye for Eye,4.3
Lips of a Mastodon,3.9
Eye of the Needle,4.19
Defending Jacob,3.98
The Rainmaker,3.95
Our Town,3.67
House Rules,4.02
Making Faces,4.32
Hannibal,3.77
Rage of Angels,3.94
No Exit and Three Other Plays,4.1
Take My Heart,4.34
The Talented Mr Ripley,3.93
Willow,3.92
At First Sight,3.83
The Mountains Morning Song,4.47
The Hour I First Believed,3.82
La Dame aux Camelias,4.0
Africas Child ,4.28
A Widow for One Year,3.76
Never Too Far,4.19
Change of Heart,3.93
Arcadia,4.19
Hairspray and Lighter,4.52
The Summer Garden,4.11
The Best of Me,3.94
The Longest Ride,4.15
Hate List,4.01
November ,4.34
The Book of Illusions,3.85
The Ghost Moth ,4.3
Moon Tiger,3.84
The Solitude of Prime Numbers,3.61
Pygmalion,3.9
Lucky,3.78
Rooftops of Tehran,4.05
The Black Obelisk,4.37
Junky,3.84
Tell Me Your Dreams,3.96
Filth,3.73
The Lincoln Lawyer,4.17
Perfect,4.42
Novel with Cocaine,3.56
The Demon,3.65
Savvy Sage Online,4.31
Ramonst,4.5
Taking Chances,3.85
The Oresteia,4.02
Betrayal of Justice,4.32
Tara Road,3.91
The Well House III,4.4
To Dream the Blackbane,4.54
Thief,4.37
Plain Truth,3.98
The End of Everything,3.32
Tree of Smoke,3.54
Dancing with The Field,4.37
Midnight Sacrifice,4.23
Everything Is Always Gonna Be Alright Durban Frankenshooze,4.36
Cocaine Nights,3.46
The Sound of Suffering,4.26
Narcopolis,3.37
Fallen Crest High,4.1
Millennium Approaches,4.29
The Message for the Last Days,4.3
The Storyteller,4.05
Coin Locker Babies,3.69
Concrete Island,3.6
The Red Hand,4.33
Queer,3.59
Piercing,3.53
Evoke,4.5
The Woods,4.05
Lights on the Sea,3.98
Dreams of Winter,4.39
Sex in the Title,3.45
The Bedroom Secrets of the Master Chefs,3.43
