title,rating
The Hunger Games,4.33
Animal Farm,3.95
Fahrenheit ,3.99
Divergent,4.19
Lord of the Flies,3.69
Enders Game,4.3
Brave New World,3.99
The Handmaids Tale,4.11
The Giver,4.13
The Stand,4.34
A Clockwork Orange,3.99
The Road,3.97
Atlas Shrugged,3.69
Watchmen,4.36
Insurgent,4.02
The Hunger Games Trilogy Boxset,4.48
The Maze Runner,4.03
The Trial,3.96
The Selection,4.13
Catching Fire,4.29
Cats Cradle,4.16
Uglies,3.86
Cinder,4.14
Blindness,4.13
Delirium,3.97
The Time Machine,3.89
Never Let Me Go,3.82
Ready Player One,4.26
Mockingjay,4.04
Do Androids Dream of Electric Sheep,4.08
Allegiant,3.62
Legend,4.17
V for Vendetta,4.25
Cloud Atlas,4.01
Shatter Me,3.95
Matched,3.66
The Host,3.84
Neuromancer,3.9
The One,4.2
The th Wave,4.04
Snow Crash,4.02
World War Z,4.01
Red Queen,4.04
Unwind,4.17
The Elite,4.02
Angelfall,4.13
Ignite Me,4.4
The Darkest Minds,4.18
The Knife of Never Letting Go,3.97
Gone,3.86
The Scorch Trials,3.91
Pretties,3.85
I Am Legend and Other Stories,4.0
Scarlet,4.27
Champion,4.34
Oryx and Crake,4.01
Cress,4.43
Prodigy,4.26
Unravel Me,4.23
Anthem,3.63
A Canticle for Leibowitz,3.97
Red Rising,4.25
The Death Cure,3.77
Battle Royale,4.16
The Passage,4.03
Specials,3.76
The City of Ember,3.86
Pandemonium,4.05
On the Beach,3.94
The Long Walk,4.08
We,3.92
Childhoods End,4.11
The Man in the High Castle,3.62
An Ember in the Ashes,4.27
The Dispossessed,4.2
Across the Universe,3.77
Animal Farm ,4.29
The Past,4.75
Swan Song,4.28
A Scanner Darkly,4.01
Winter,4.44
Brave New World ,4.17
The Day of the Triffids,4.02
Under the Never Sky,3.99
The Immortal Rules,4.08
Max,4.06
The Present,4.92
Extras,3.59
The Diamond Age,4.17
Illuminae,4.28
The House of the Scorpion,4.09
Darkness at Noon,4.04
Among the Hidden,3.98
Life As We Knew It,3.89
Crossed,3.52
The Ask and the Answer,4.2
Noughts and Crosses,4.23
Tomorrow When the War Began,4.05
Monsters of Men,4.24
Four,4.04
The Heir,3.78
Glass Sword,3.88
Warm Bodies,3.92
The Kill Order,3.71
Down and Rising,4.85
I Am Legend,4.07
Requiem,3.74
Gathering Blue,3.82
Island,3.83
Wither,3.8
Never Fade,4.25
World After,4.18
Station Eleven,4.05
The Forest of Hands and Teeth,3.59
The Year of the Flood,4.06
The Young Elites,3.88
Wool Omnibus,4.22
Messenger,3.91
The End of Eternity,4.24
Galapagos,3.87
The Kiss of Deception,3.99
Blood Red Road,3.91
The Winners Curse,3.97
The Testing,4.04
More Than This,3.98
We the Living,3.92
Free Four,4.15
Baby,3.81
Alas Babylon,4.08
Dream Caster,4.14
Incarceron,3.64
A Million Suns,4.02
Conjunction,4.47
The Fifth Season,4.28
Lies,4.09
Starters,3.9
The Bone Season,3.76
Lucifers Hammer,3.99
Roadside Picnic,4.18
Fear,4.24
Steelheart,4.14
Utopia,3.54
Golden Son,4.44
Bird Box,4.01
Through the Ever Night,4.14
Feed,3.85
Hunger,4.03
Parable of the Sower,4.16
UnWholly,4.25
Kings Cage,3.99
Plague,4.18
Destroy Me,4.22
The Castle,3.96
Enclave,3.91
The Infinite Sea,3.88
Partials,3.93
The Meat Market,3.69
End of Days,4.08
Metro ,4.0
The Girl With All the Gifts,3.94
Slated,4.07
Light,4.38
The V Girl,4.02
The Transfer,4.17
Nevermore,3.89
Shades of Grey,4.15
These Broken Stars,3.91
The Chrysalids,3.93
The Winners Crime,4.12
Wool,4.12
The Lathe of Heaven,4.11
Evil Among Us,4.44
The Declaration,3.71
Fatherland,3.98
Blood in the Skies,3.63
The Drowned World,3.4
The Walking Dead Vol ,4.27
Shades of Earth,4.09
The Rose Society,4.06
Adjustment Day,3.14
Earth Abides,3.96
Cell,3.65
The Eternity Cure,4.22
Poison Princess,4.13
Witch and Wizard,3.56
High Rise,3.61
The Program,4.05
Ethereal Fury,3.96
The Age of Miracles,3.65
Welcome to the Monkey House,4.12
In The Afterlight,4.29
The Dead Tossed Waves,3.9
Monument ,3.9
A Thousand Pieces of You,3.9
Rot and Ruin,4.1
The Circle,3.43
The Dark and Hollow Places,4.02
Defiance,3.67
Little Brother,3.93
This Savage Song,4.06
Flow My Tears the Policeman Said,3.91
Snow Like Ashes,3.89
Fairest,3.98
The Three Stigmata of Palmer Eldritch,4.01
Worm,4.63
The Adoration of Jenna Fox,3.69
MaddAddam,3.99
Eve,3.69
Morning Star,4.49
Unite Me,4.18
Invitation to a Beheading,3.91
Sleeping Beauties,3.73
Thunderhead,4.47
The Queen of the Tearling,4.0
Renegades,4.15
The City and the Stars,4.09
A Torch Against the Night,4.27
Inside Out,3.82
The Crown,3.76
The Running Man,3.87
The People of Sparks,3.67
The Coldest Girl in Coldtown,3.84
The World of Divergent,3.97
Son,3.98
The Windup Girl,3.75
Panic,3.56
The Stepford Wives,3.78
War with the Newts,4.17
Skyward,4.52
The Enemy,4.09
Inside Divergent,4.36
Stars Above,4.2
Girlfriend in a Coma,3.61
The Gone Away World,4.12
The Unwanteds,4.11
Presence,3.55
Alienated,3.91
Only Forward,4.25
The Shadow of the Torturer,3.8
Seeker,3.23
Birthmarked,3.88
Awaken,3.89
The Traveler,3.83
Alien Species Intervention,3.83
Obernewtyn,3.96
Numbers,3.47
The Possibility of an Island,3.81
Emperor of Thorns,4.25
The Power,3.81
The Selection Stories,4.0
War Storm,3.88
Gemina,4.49
The Winners Kiss,4.24
The Midnight Star,4.12
The Uglies Trilogy,4.07
How I Live Now,3.57
Lockdown,4.11
Mortal Engines,3.77
The Stone Sky,4.32
Q  ,4.09
The Guard,3.76
Fracture Me,3.71
Ashes,3.94
Dhalgren,3.79
The Prince,3.94
Fever,3.78
The ,3.57
Supernova,4.42
Dark Inside,3.92
UnSouled,4.23
In the Country of Last Things,3.87
The Left Hand of God,3.65
This Perfect Day,4.02
Seveneves,3.99
Fractured,4.14
The Cave,3.85
Lexicon,3.9
Player Piano,3.88
Running Out of Time,3.99
Shadow of the Giant,4.0
Evenfall,4.18
Article ,3.77
Warcross,4.16
Revived,3.79
Pure,3.74
Akira Vol ,4.38
Into the Forest,3.81
The Jewel,3.87
Origin,3.89
The Futurological Congress,4.21
Divergent Series Complete Box Set,4.3
The Hunger Games,4.52
Our Dark Duet,4.19
Spin,4.02
Sever,3.79
The Twelve,4.01
The Last Star,3.63
The Maze Runner Trilogy ,4.19
Fire and Flood,4.05
The Diamond of Darkhold,3.81
Grass,4.05
Woman on the Edge of Time,3.95
The Bone Clocks,3.83
Count Zero,4.01
Restore Me,4.2
Liliths Brood,4.35
Tunnels,3.6
He She and It,3.98
Dawn,4.13
Captured,4.04
One Second After,3.93
UnDivided,4.47
The Calling,3.74
The Transall Saga,4.21
Wolf by Wolf,4.23
