title,rating
Fifty Shades of Grey,3.66
Fifty Shades Darker,3.84
Fifty Shades Freed,3.85
Dark Lover,4.19
Lover Awakened,4.44
Bared to You,4.18
Lady Chatterleys Lover,3.51
Lover Unbound,4.33
Lover Revealed,4.3
Lover Avenged,4.37
Gabriels Inferno,4.0
Reflected in You,4.32
Lover Mine,4.4
Lover Enshrined,4.12
On Dublin Street,4.21
Tropic of Cancer,3.68
Archers Voice,4.39
Kushiels Dart,4.01
Fallen Too Far,4.18
Fifty Shades Trilogy,4.11
Effortless,4.36
El Diablo,4.02
Gabriels Rapture,4.22
Real,4.19
Entwined with You,4.19
Wallbanger,4.05
Lover Unleashed,4.28
Captive in the Dark,3.98
This Man,4.1
Beautiful Bastard,4.01
Kiss of Midnight,3.93
Reckless,4.41
Tangled,4.08
Take My Heart,4.34
Seduced in the Dark,4.29
This Man Confessed,4.4
Lover at Last,4.31
Never Too Far,4.19
Story of the Eye,3.66
Lover Reborn,4.34
Rule,4.13
Beneath This Man,4.29
Love Unscripted,4.02
Forsaken,4.1
Pleasure Unbound,4.05
Playing for Keeps,4.05
The Meat Market,3.69
Gabriels Redemption,4.22
The Lover,3.74
Driven,4.28
Grey,3.79
Raw,4.2
Black Dagger Brotherhood,4.69
Tropic of Capricorn,3.78
Mercy,3.93
The Black Dagger Brotherhood,4.32
Snuff,3.2
Mack,4.23
Undeniable,4.04
Sweet Dreams,4.4
Forever Too Far,4.22
Trust,3.84
Falling into You,4.03
Backstage Pass,4.03
The Marriage Bargain,3.81
Remy,4.3
Mystery Man,4.23
Twisted Perfection,4.24
Yours Truly Taddy,3.66
Consequences,3.93
The Gamble,4.27
The Siren,4.04
Stepbrother Dearest,4.1
Kushiels Avatar,4.36
Fueled,4.49
Bad Things,4.3
Caged,3.71
Love Lex,3.26
Captivated by You,4.1
Motorcycle Man,4.41
Naked,4.02
Collide,4.21
Mine,4.28
Black Lies,4.29
Delta of Venus,3.62
Just the Sexiest Man Alive,3.93
Seduction and Snacks,4.1
The King,4.37
Passion Unleashed,4.3
A Kiss of Shadows,4.01
A Caress of Twilight,4.05
Control,3.86
The Mighty Storm,4.17
Danse Macabre,3.82
Fugly,3.92
Beautiful Stranger,4.2
Kushiels Chosen,4.26
Desire Unchained,4.23
It Aint Me Babe,4.17
Selling Scarlett,3.72
The Harlequin,3.92
Valiant,4.33
Feral Sins,4.08
A Lick of Frost,4.13
Fury,4.15
A Stroke of Midnight,4.07
Reapers Property,4.1
Price of a Kiss,4.08
Play,4.29
Kushiels Mercy,4.32
Until November,4.12
Swallowing Darkness,4.15
Beauty from Pain,4.23
The Tied Man,4.05
Ecstasy Unveiled,4.34
Seduced by Moonlight,4.06
Incubus Dreams,3.79
Epilogue,4.27
Crashed,4.55
The Nightlife,3.49
Down London Road,4.23
Trust,4.04
All My Life,3.53
The Devils Eyes,3.85
Justice,4.3
Law Man,4.32
Down to You,4.04
Fables of the Reconstruction,4.16
The Mating,3.98
Rush,3.94
Amatores Restaurant,4.24
Willing Captive,4.08
Love Unrehearsed,4.25
Breathe,4.35
Stranded with a Billionaire,3.84
The Reluctant Dom,4.17
Own the Wind,4.21
Lick,4.11
The Assistant,3.97
The Golden Dynasty,4.41
Interview with a Master,3.95
Unscrupulous,3.7
Undressed,3.63
Forever Black,3.98
Pulse,4.27
Rock the Heart,4.0
Fixed on You,4.14
The Marriage Trap,3.89
Rock Hard,4.1
Sweet Filthy Boy,4.11
Revelations,4.3
Tempting the Beast,3.94
Escaping Destiny,4.38
Souls Unfractured,4.48
Lady Luck,4.42
The Proposition,4.03
After We Fell,3.9
Lovely Trigger,4.53
Mistrals Kiss,4.04
Night Owl,4.01
Friend Zoned,3.96
Checkmate,4.14
Beautifully Damaged,3.98
Perfection,4.15
The Happy Spinster,3.9
Twisted,3.83
Slade,4.22
Suit,4.16
My Uncle Oswald,3.88
Reasonable Doubt,4.09
Abuse,4.07
Eternal Rider,4.19
At Peace,4.47
Leo,4.03
How to Kill an Incubus,4.39
What the Heart Wants,3.78
Golden Trail,4.31
Tall Tatted and Tempting,4.21
Ill Be Your Drill Soldier,4.08
Seven Sons,3.95
Rapture,4.23
Sin Undone,4.33
Brawn,4.21
The Shadows,4.3
All In,4.1
Slow Burn,3.98
The Importance of Being Wild,4.16
Knight,3.93
The Judgement,4.29
Fated,3.92
Surviving Raine,4.06
Ruthless People,4.02
Beautiful Player,4.33
Rock Bottom,4.44
Music of the Heart,3.99
Tempting the Best Man,3.71
Move the Sun,3.8
For You,4.19
Consumed,4.08
Rush Too Far,4.22
In Flight,4.08
Wild Man,4.2
Echoes of Scotland Street,4.26
Monster in His Eyes,4.15
Tears of Tess,4.05
Raze,4.16
Kushiels Justice,4.25
The Proposal,4.04
Arsen,4.16
Shanghai Baby,3.21
If You Deceive,4.16
Love in English,4.07
Binders Full of Women,3.33
Rock Chick Revenge,4.48
Pack Challenge,3.96
Wrath,4.24
Devoured,3.93
Wild Card,4.18
Passion,3.95
Fever,4.0
The Vampire Queens Servant,3.77
Smart Sexy and Secretive,4.23
Beautys Punishment,3.62
Torture to Her Soul,4.19
Here Be Sexist Vampires,4.09
Before Jamaica Lane,4.33
The Mark of the Vampire Queen,4.25
Grim,4.13
Immortal Rider,4.31
Forever with You,4.33
Craving Constellations,4.01
Blood Kiss,4.33
Craving,3.96
Fear Me,3.96
Taunting Destiny,4.37
Tattered on My Sleeve,4.35
Dominic,4.03
Claimed,3.77
Sweet Hope,4.52
If You Were Mine,4.24
Second Chance Boyfriend,4.05
Broken,3.92
Beautiful Beginning,4.21
Black Obsidian,3.71
The Prince,4.46
Come Away with Me,3.92
The Darkest Hour,4.15
Until Lilly,4.27
Brutally Beautiful,3.96
In the Middle of Somewhere,4.18
Hudson,4.25
The Perfect Play,3.91
Venus in Furs,3.65
Until Trevor,4.18
The Submissive,3.95
Tyrant,4.37
Dirty Rowdy Thing,4.24
King,4.21
Mile High,4.2
First Debt,4.23
Truth,4.36
Burn,4.01
Forever Us,4.26
Slave,3.86
The Keeping,4.17
The Rocker That Holds Me,3.91
Raid,4.22
Tiger,4.34
Found in You,4.25
Seducing the Myth,4.0
First Thing I See,3.85
That First Kiss,3.81
Galactic Energies,3.95
Beauty and the Billionaire,4.05
Unteachable,3.78
