title,rating
The Hunger Games,4.33
Harry Potter and the Order of the Phoenix,4.5
Twilight,3.6
Animal Farm,3.95
The Chronicles of Narnia,4.26
JRR Tolkien  Book Boxed Set,4.6
The Hitchhikers Guide to the Galaxy,4.22
The Giving Tree,4.37
The Picture of Dorian Gray,4.08
Alices Adventures in Wonderland and Through the Looking Glass,4.06
Fahrenheit ,3.99
Divergent,4.19
The Alchemist,3.88
City of Bones,4.1
Enders Game,4.3
Harry Potter and the Sorcerers Stone,4.47
The Little Prince,4.31
Charlottes Web,4.17
The Time Travelers Wife,3.97
Dracula,4.0
Brave New World,3.99
One Hundred Years of Solitude,4.08
The Princess Bride,4.26
The Lightning Thief,4.26
The Secret Garden,4.13
A Wrinkle in Time,4.0
A Game of Thrones,4.45
The Lovely Bones,3.82
Where the Wild Things Are,4.22
Green Eggs and Ham,4.3
The Odyssey,3.77
Life of Pi,3.91
Slaughterhouse Five,4.08
Frankenstein,3.81
The Handmaids Tale,4.11
The Giver,4.13
Dune,4.23
The Pillars of the Earth,4.31
The Stand,4.34
Watership Down,4.06
Harry Potter and the Deathly Hallows,4.62
Outlander,4.23
Matilda,4.32
The Fellowship of the Ring,4.36
Vampire Academy,4.12
The Golden Compass,3.99
Harry Potter and the Prisoner of Azkaban,4.57
Winnie the Pooh,4.34
The Complete Stories and Poems,4.38
Interview with the Vampire,4.0
Harry Potter and the Goblet of Fire,4.56
Clockwork Angel,4.32
Harry Potter and the Half Blood Prince,4.57
The Master and Margarita,4.29
The Name of the Wind,4.53
The Shining,4.23
Eragon,3.9
Charlie and the Chocolate Factory,4.14
The Metamorphosis,3.82
The Shadow of the Wind,4.27
Harry Potter and the Chamber of Secrets,4.43
The Five People You Meet in Heaven,3.94
Hush Hush,3.97
The Cat in the Hat,4.17
American Gods,4.11
The Lion the Witch and the Wardrobe,4.22
Watchmen,4.36
It,4.24
The Last Olympian,4.51
The Divine Comedy,4.05
Peter Pan,4.05
The Hobbit or There and Back Again,4.27
Shadow Kiss,4.35
Insurgent,4.02
How the Grinch Stole Christmas ,4.36
The Ultimate Hitchhikers Guide to the Galaxy,4.36
The Wonderful Wizard of Oz,3.98
Frostbite,4.27
The Lorax,4.34
Good Omens,4.24
Blood Promise,4.32
The Battle of the Labyrinth,4.39
A Midsummer Nights Dream,3.95
Clockwork Princess,4.57
The Mists of Avalon,4.11
The Titans Curse,4.35
The Sea of Monsters,4.24
Alice in Wonderland,4.02
Jonathan Livingston Seagull,3.84
The Phantom Tollbooth,4.2
Bridge to Terabithia,4.01
The Hunger Games Trilogy Boxset,4.48
Oh the Places Youll Go ,4.35
The Maze Runner,4.03
The Neverending Story,4.17
Treasure Island,3.83
The Clan of the Cave Bear,4.05
A Storm of Swords,4.53
Wicked,3.54
His Dark Materials,4.25
Jurassic Park,4.04
Last Sacrifice,4.39
The Night Circus,4.03
Fallen,3.73
The Silmarillion,3.93
The Selection,4.13
The Velveteen Rabbit,4.29
Catching Fire,4.29
The Lost Hero,4.33
Throne of Glass,4.2
Spirit Bound,4.35
Clockwork Prince,4.44
The Iliad,4.04
Cats Cradle,4.16
The Wind in the Willows,3.98
The Screwtape Letters,4.22
Shiver,3.77
Uglies,3.86
City of Fallen Angels,4.12
The Phantom of the Opera,3.96
Ella Enchanted,3.98
The Wind Up Bird Chronicle,4.16
Cinder,4.14
The Green Mile,4.45
A Clash of Kings,4.41
Marked,3.8
The House of the Spirits,4.24
Howls Moving Castle,4.26
Stranger in a Strange Land,3.92
Midnight Sun ,4.02
Delirium,3.97
The Vampire Lestat,4.07
The Once and Future King,4.05
Neverwhere,4.17
Inkheart,3.88
Lamb,4.24
The Historian,3.79
James and the Giant Peach,4.02
Paradise Lost,3.81
Graceling,4.08
The Thirteenth Tale,3.97
Foundation,4.17
The Time Machine,3.89
Different Seasons,4.34
Kafka on the Shore,4.13
City of Lost Souls,4.27
Sophies World,3.93
The Wise Mans Fear,4.56
The Son of Neptune,4.43
Dead Until Dark,3.96
Ready Player One,4.26
The Monster at the End of this Book,4.44
A Court of Mist and Fury,4.62
Mockingjay,4.04
The Magicians Nephew,4.04
Stardust,4.08
The Gunslinger,3.95
Do Androids Dream of Electric Sheep,4.08
Allegiant,3.62
The Lord of the Rings,4.5
The Mark of Athena,4.45
The Way of Kings,4.63
Legend,4.17
Gullivers Travels,3.57
V for Vendetta,4.25
The Witches,4.17
The Graveyard Book,4.13
Beowulf,3.45
Tuck Everlasting,3.87
The Final Empire,4.45
Beautiful Creatures,3.76
Eldest,3.99
Dark Lover,4.19
The Eye of the World,4.17
The Tell Tale Heart and Other Writings,4.17
Brisingr,4.05
Midnights Children,3.98
Obsidian,4.18
Salems Lot,4.03
The Martian Chronicles,4.14
Crescendo,4.04
Cloud Atlas,4.01
The Martian,4.4
Shatter Me,3.95
The Amber Spyglass,4.09
Inferno,4.0
Like Water for Chocolate,3.95
Dragonfly in Amber,4.32
The BFG,4.22
Six of Crows,4.43
Harry Potter Series Box Set,4.73
Daughter of Smoke and Bone,4.01
The Strange Case of Dr Jekyll and Mr Hyde,3.82
City of Heavenly Fire,4.44
Evermore,3.59
The Subtle Knife,4.13
Faust First Part,3.93
A Feast for Crows,4.14
The Angel Experiment,4.07
Miss Peregrines Home for Peculiar Children,3.91
Matched,3.66
Jonathan Strange and Mr Norrell,3.82
Houdini Heart,4.22
Artemis Fowl,3.85
Pippi Longstocking,4.13
The Tales of Beedle the Bard,4.06
The House of Hades,4.54
The Host,3.84
Neuromancer,3.9
Betrayed,3.93
The Voyage of the Dawn Treader,4.09
Lover Awakened,4.44
A Court of Thorns and Roses,4.22
Untamed,3.95
A Dance with Dragons,4.32
Crown of Midnight,4.42
I Robot,4.2
The Twilight Collection,3.79
The One,4.2
Carrie,3.96
Voyager,4.37
Heir of Fire,4.48
Chosen,3.91
The Last Battle,4.02
The Exorcist,4.18
Coraline,4.06
The th Wave,4.04
The Iron King,3.9
The Arabian Nights,4.04
Torment,3.87
Bloodlines,4.2
Wizards First Rule,4.12
Pet Sematary,4.0
Snow Crash,4.02
World War Z,4.01
A Great and Terrible Beauty,3.78
The Witching Hour,4.11
The War of the Worlds,3.83
The Summoning,4.02
Chocolat,3.96
Halfway to the Grave,4.16
Red Queen,4.04
City of Glass,4.31
The Mortal Instruments Boxed Set,4.56
A Discovery of Witches,4.0
Unwind,4.17
The Polar Express,4.3
Acheron,4.57
The Elite,4.02
Silence,4.12
Ishmael,3.98
The Unbecoming of Mara Dyer,4.05
The Return of the King,4.53
I Am Number Four,3.94
Angelfall,4.13
Dead to the World,4.12
You Are Special,4.45
Sabriel,4.15
The Goose Girl,4.12
Ignite Me,4.4
The Darkest Minds,4.18
Drums of Autumn,4.33
Wicked Lovely,3.69
Queen of Shadows,4.55
Hunted,3.93
World Without End,4.26
A Christmas Carol,4.06
The Last Unicorn,4.15
Hyperion,4.23
The Raven Boys,4.05
The Bad Beginning,3.95
Speaker for the Dead,4.07
The Red Pyramid,4.08
A Dogs Purpose,4.34
The Silver Chair,3.96
A Monster Calls,4.35
Poison Study,4.11
The Two Towers,4.44
The Queen of the Damned,3.89
Left Behind,3.83
The Eyre Affair,3.88
Inheritance,4.1
Before I Fall,3.9
The Talisman,4.13
Prince Caspian,3.97
The Knife of Never Letting Go,3.97
Shadowfever,4.41
Gone,3.86
The Scorch Trials,3.91
Darkfever,4.09
Pretties,3.85
Words of Radiance,4.75
I Am Legend and Other Stories,4.0
Scarlet,4.27
Alanna,4.24
Watchers,4.18
A Wizard of Earthsea,3.99
The Song of Achilles,4.35
Lover Unbound,4.33
Champion,4.34
The Left Hand of Darkness,4.07
Assassins Apprentice,4.15
The Night Before Christmas,4.37
The Magus,4.05
Oryx and Crake,4.01
Tempted,3.95
Cress,4.43
A Breath of Snow and Ashes,4.44
Night Watch,4.5
Brainwalker,4.35
The Lies of Locke Lamora,4.28
Jitterbug Perfume,4.22
The Fiery Cross,4.24
The Sirens of Titan,4.15
Grimms Fairy Tales,4.13
Crooked Kingdom,4.58
Prodigy,4.26
City of Ashes,4.17
Glass Houses,3.91
Twenty Thousand Leagues Under the Sea,3.89
Lover Revealed,4.3
Odd Thomas,3.97
Club Dead,4.02
Carry On,4.22
Princess Academy,4.01
Enders Shadow,4.3
The Aeneid,3.84
Unravel Me,4.23
Lover Avenged,4.37
Under the Dome,3.91
Living Dead in Dallas,3.96
