title,rating
Harry Potter and the Order of the Phoenix,4.5
The Chronicles of Narnia,4.26
Anne of Green Gables,4.26
Harry Potter and the Sorcerers Stone,4.47
The Little Prince,4.31
Charlottes Web,4.17
The Lightning Thief,4.26
The Secret Garden,4.13
A Wrinkle in Time,4.0
The Giver,4.13
Harry Potter and the Deathly Hallows,4.62
Matilda,4.32
The Golden Compass,3.99
Harry Potter and the Prisoner of Azkaban,4.57
Winnie the Pooh,4.34
Harry Potter and the Goblet of Fire,4.56
Harry Potter and the Half Blood Prince,4.57
Charlie and the Chocolate Factory,4.14
Where the Red Fern Grows,4.08
Harry Potter and the Chamber of Secrets,4.43
Holes,3.97
The Lion the Witch and the Wardrobe,4.22
The Last Olympian,4.51
The Little House Collection,4.34
Peter Pan,4.05
The Wonderful Wizard of Oz,3.98
The Battle of the Labyrinth,4.39
The Titans Curse,4.35
The Sea of Monsters,4.24
Alice in Wonderland,4.02
The Phantom Tollbooth,4.2
Bridge to Terabithia,4.01
The Neverending Story,4.17
A Little Princess,4.2
The Lost Hero,4.33
The Wind in the Willows,3.98
A Light in the Attic,4.34
Ella Enchanted,3.98
Howls Moving Castle,4.26
Island of the Blue Dolphins,3.84
Inkheart,3.88
James and the Giant Peach,4.02
Heidi,3.99
Are You There God,3.9
The Son of Neptune,4.43
The Magicians Nephew,4.04
Number the Stars,4.15
The Mark of Athena,4.45
Black Beauty,3.96
The Witches,4.17
The Graveyard Book,4.13
Wonder,4.44
Tuck Everlasting,3.87
Stargirl,3.76
The BFG,4.22
Harry Potter Series Box Set,4.73
Artemis Fowl,3.85
Pippi Longstocking,4.13
The Tales of Beedle the Bard,4.06
The House of Hades,4.54
The Voyage of the Dawn Treader,4.09
The Last Battle,4.02
Coraline,4.06
Little House on the Prairie,4.19
The Goose Girl,4.12
Little House in the Big Woods,4.18
The Bad Beginning,3.95
The Westing Game,4.01
The Red Pyramid,4.08
Anne of Avonlea,4.21
The Silver Chair,3.96
A Monster Calls,4.35
Prince Caspian,3.97
Alanna,4.24
Brainwalker,4.35
From the Mixed Up Files of Mrs Basil E Frankweiler,4.15
Princess Academy,4.01
Walk Two Moons,3.97
The Witch of Blackbird Pond,3.98
Because of Winn Dixie,4.05
Mary Poppins,4.02
The Invention of Hugo Cabret,4.22
The Blood of Olympus,4.41
The City of Ember,3.86
The Amulet of Samarkand,4.0
Fablehaven,4.09
Roll of Thunder Hear My Cry,3.84
Redwall,4.11
Into the Wild,4.3
The Ruins of Gorlan,4.21
Hatchet,3.73
The Mysterious Benedict Society,4.17
Percy Jackson and the Olympians,4.59
Inkspell,3.91
The Tale of Despereaux,4.04
Harriet the Spy,3.95
The Time Quartet Box Set,4.35
The Throne of Fire,4.2
The Complete Anne of Green Gables Boxed Set,4.43
Inkdeath,3.93
The Alchemyst,3.84
Anne of the Island,4.23
The Octunnumi Fosbit Files Prologue,4.23
Old Yeller,4.08
Fantastic Beasts and Where to Find Them,3.98
The House of the Scorpion,4.09
The Thief Lord,3.97
The Serpents Shadow,4.28
Diary of a Wimpy Kid,3.99
Out of My Mind,4.37
Among the Hidden,3.98
The Miraculous Journey of Edward Tulane,4.37
Skulduggery Pleasant,4.13
Flipped,3.95
The False Prince,4.19
Quidditch Through the Ages,3.84
Harry Potter and the Cursed Child,3.62
Archibald Finch and the Lost Witches ,4.25
Mrs Frisby and the Rats of NIMH,4.14
Keeper of the Lost Cities,4.46
Switch  The Lost Kingdoms of Karibu,4.14
The Wishing Spell,4.24
Where the Sidewalk Ends,4.3
The Demigod Files,4.05
Gathering Blue,3.82
Ptolemys Gate,4.26
Messenger,3.91
Sarah Plain and Tall,3.78
The Golems Eye,4.09
The True Confessions of Charlotte Doyle,3.83
The Sword of Summer,4.24
A Wind in the Door,4.0
The Reptile Room,3.98
Rise of the Evening Star,4.15
The Brothers Lionheart,4.35
The Twits,3.97
Enna Burning,3.98
These Happy Golden Years,4.19
The House at Pooh Corner,4.36
Percy Jacksons Greek Gods,4.49
A Living Nightmare,4.07
Falling Up,4.34
Stormbreaker,3.98
Pollyanna,3.98
Alices Adventures in Wonderland,4.01
The Book of Three,3.98
The Eternity Code,4.03
Stuart Little,3.9
The Burning Bridge,4.31
The Indian in the Cupboard,3.92
Secrets of the Dragon Sanctuary,4.37
Love Stargirl,3.82
