title,rating
The Alchemist,3.88
Tuesdays with Morrie,4.11
The Prophet,4.22
Jonathan Livingston Seagull,3.84
Mans Search for Meaning,4.36
Tao Te Ching,4.28
Zen and the Art of Motorcycle Maintenance,3.77
The Last Lecture,4.26
The Secret,3.68
How to Win Friends and Influence People,4.2
Gift from the Sea,4.15
The  Habits of Highly Effective People,4.12
Illusions,4.14
The  Love Languages,4.25
Meditations,4.22
For One More Day,4.1
Outliers,4.16
The Celestine Prophecy,3.65
A New Earth,4.08
The Tipping Point,3.97
Who Moved My Cheese,3.82
The Power of Now,4.13
Quiet,4.06
Think and Grow Rich,4.18
The Art of Happiness,4.16
The Purpose Driven Life,3.94
The Invisible Game,4.45
Rich Dad Poor Dad,4.08
Eats Shoots and Leaves,3.87
Men Are from Mars Women Are from Venus,3.56
The Road Less Traveled,4.06
Om Chanting and Meditation,3.7
The Four Agreements,4.15
Blink,3.94
Standing for Something,4.6
The Miracle of Forgiveness,4.35
Thinking Fast and Slow,4.16
Be More Pirate,3.7
As a Man Thinketh,4.28
Autobiography of a Yogi,4.21
The Richest Man in Babylon,4.27
The Monk Who Sold His Ferrari,3.85
Theory of People,4.11
The Tao of Pooh,3.99
The  Laws of Power,4.16
All I Really Need to Know I Learned in Kindergarten,4.03
Believing Christ,4.5
 Rules for Life,3.94
Many Lives Many Masters,4.15
Alcoholics Anonymous,4.45
The Power of Habit,4.1
The Subtle Art of Not Giving a F*ck,3.94
The Art of Loving,4.03
Conversations with God,4.17
Women Who Run With the Wolves,4.1
Wings of Fire,4.24
Never Go With Your Gut,4.44
The Intelligent Investor,4.23
Way of the Peaceful Warrior,4.13
Flow,4.11
Influence,4.19
Maybe You Should Talk to Someone,4.37
The Total Money Makeover,4.27
The Gifts of Imperfection,4.2
Manuscript Found in Accra,3.8
The Power of Your Subconscious Mind,4.13
I Am That,4.35
Awaken the Giant Within,4.15
Staying Strong,3.99
The New Drawing on the Right Side of the Brain,3.86
The  Hour Workweek,3.89
Letters from a Stoic,4.34
Factfulness,4.36
Big Magic,3.92
Getting Things Done,3.99
Fooled by Randomness,4.07
Antifragile,4.1
The Life Changing Magic of Tidying Up,3.84
Tao of Pooh and Te of Piglet Boxed Set,4.12
Battlefield Of The Mind,4.34
I Kissed Dating Goodbye,3.55
Diary of a Freedom Writer,4.25
The Seven Spiritual Laws of Success,4.11
The Gift of Fear,4.18
Reasons to Stay Alive,4.16
Like the Flowing River,3.92
Cancer,4.35
The Peacegiver,4.4
The Geography of Bliss,3.83
An Astronauts Guide to Life on Earth,4.16
The Pilgrimage,3.64
The Tibetan Book of Living and Dying,4.2
Zero to One,4.17
The Elements of Style,4.17
Warrior of the Light,3.69
Lucky Go Happy,4.36
Just Around The Bend,4.5
On the Other Hand,4.53
The  Habits Of Highly Effective Teens,4.07
A Work in Progress,4.25
Moonwalking with Einstein,3.88
Alternatives to a Frozen Mouse,4.18
A Love Story How God Pursued Me and Found Me,4.14
Hope for the Flowers,4.35
The Happiness Project,3.62
Daring Greatly,4.26
Hes Just Not That Into You,3.66
The Definitive Book of Body Language,3.98
Everything and a Happy Ending,4.25
Predictably Irrational,4.13
Mastery,4.29
Way to Be ,4.6
One,3.92
Mindset,4.06
The Power,4.09
The Artists Way,3.91
The Schopenhauer Cure,4.24
Mindfulness Living in the Moment   Living in the Breath,4.73
The Art of Living,4.24
Good to Great,4.11
Meditation,4.76
The Book of Awesome,3.81
Wreck This Journal,4.14
Waiting to Live,4.36
Steal Like an Artist,3.92
When Things Fall Apart,4.29
The Untethered Soul,4.2
Start with Why,4.08
Ask and It Is Given,4.18
The Happiness Hypothesis,4.12
Zen in the Art of Writing,4.1
You Can Heal Your Life,4.16
A Course in Miracles,4.17
Freedom from the Known,4.26
Wild at Heart,3.92
Chicken Soup for the Soul,3.96
The Art of Seduction,4.05
The Magic,4.11
A Legacy of Madness,3.63
What We Think We Become,4.25
Life on the Other Side,4.04
Love Does,4.29
Atomic Habits,4.34
The Noticer,4.18
Emotional Intelligence,4.02
All I Know Now,4.06
Why Men Love Bitches,3.9
The Travelers Gift,4.11
Fat  So,4.12
Retrieving for All Occasions,4.22
The Consolations of Philosophy,4.01
Principles,4.12
Change Your Thoughts   Change Your Life,4.24
What the Dog Saw and Other Adventures,3.85
David and Goliath,3.95
The Goal,4.05
The Art of Dreaming,3.99
The Law of Attraction,4.13
The War of Art,4.0
The Conquest of Happiness,4.02
The Color Code,3.91
Fearless,4.19
One Thousand Gifts,4.02
To Have or to Be,4.19
Getting to Yes,3.94
Practicing the Power of Now,4.25
Captivating,3.91
Act Like a Lady Think Like a Man,3.81
Drive,3.95
The Science of Mind,4.37
Equating the Equations of Insanity,3.82
Explosive Growth,4.25
The Wisdom of Insecurity,4.2
Rationality,4.36
What Young India Wants,3.27
Essentialism,4.04
Louder Than a Whisper,4.71
Incognito,4.06
Life After Life,4.1
The Game of Life and How to Play It,4.13
Peace Is Every Step,4.31
A Three Course Meal for the Mind,4.47
The Truth Seekers Handbook,4.3
Awakening Inner Guru,4.78
 Pieces of Gold,4.29
Lifes Golden Ticket,3.99
Law of Success,4.41
Love Freedom and Aloneness,4.08
Emotional Intelligence ,3.84
Art and Fear,3.73
The Biology of Belief,4.15
The Wisdom of Life,4.16
Creativity Inc,4.21
Madness,4.04
Paralysis,4.15
The Magic of Thinking Big,4.24
Writing Down the Bones,4.19
Life Without Limits,4.13
The Sense of Style,4.06
Self Growth ,4.23
Feel the Fear and Do It Anyway,4.03
The Drama of the Gifted Child,4.1
Lean In,3.95
The E Myth Revisited,4.03
The Game,3.74
Jack,3.82
A Guide to the Good Life,4.22
Positioning,4.04
The Journeys of Socrates,4.32
Kindle Paperwhite Users Guide,3.74
For Women Only,4.07
The Science of Getting Rich,4.18
Its Called a Breakup Because Its Broken,4.02
Imagine,3.82
The China Study,4.23
Dare,4.27
Power vs Force,4.14
The Power of Intention,4.19
Chicken Soup for the Teenage Soul II,3.98
The Yoga Sutras,4.33
Money and the Law of Attraction,4.27
Feeling Good,4.03
The Miracle of Mindfulness,4.22
On the Shortness of Life,4.23
The Brain that Changes Itself,4.19
The Lean Startup,4.09
Start Something That Matters,4.02
How to Stop Worrying and Start Living,4.14
The Success Principles,4.28
A Woman After Gods Own Heart,4.32
Crush It ,3.89
Be Here Now,4.28
Unfiltered,3.94
Winning,3.84
The Seat of the Soul,4.0
Hero,4.06
The Power of Positive Thinking,4.14
The One Thing,4.12
Boy Meets Girl,3.75
The Millionaire Next Door,4.04
Spilling Open,4.03
The Greatest Salesman in the World,4.22
 Things to Be Happy About,4.04
The Birth Order Book,3.78
Chicken Soup for the Teenage Soul,3.93
Reviving Ophelia,3.87
Dont Sweat the Small Stuff  and Its All Small Stuff,3.98
From Hurt to Happiness,4.25
Instruction Manual for the st Century Samurai,3.84
World Peace,4.62
Find Your Purpose Using Science,3.98
Trump,3.66
What Healing Should Be,4.95
Fluid,4.42
Maps of Meaning,4.1
The ,3.94
Voyager,3.67
The Garden,3.74
Tiny Beautiful Things,4.3
Traveling Light,4.25
The Course of Love,4.05
The Boy the Mole the Fox and the Horse,4.6
Black Box Thinking,4.32
Rework,3.95
Tools of Titans,4.09
The Act of Creation,4.24
The Tao of Wu,4.09
Rising Strong,4.24
The Daily Stoic,4.23
Talking to Strangers,4.04
Doing Good Better,4.24
Consciousness,4.17
Buddhist Boot Camp,4.24
Self Knowledge for Spiritual Awakening,4.57
The Icarus Deception,3.99
The Book of Joy,4.37
The Art of Learning,4.09
The Things You Can See Only When You Slow Down,4.04
How to Read a Book,4.01
The Dip,3.84
Dejame que te cuente,4.05
How to Find A Job,3.63
Power Thoughts,4.44
Your Leadership Edge,3.97
Six Thinking Hats,3.76
The Yellow World,3.6
