title,rating
To Kill a Mockingbird,4.28
Pride and Prejudice,4.26
The Book Thief,4.37
Gone with the Wind,4.3
Wuthering Heights,3.86
Memoirs of a Geisha,4.12
Jane Eyre,4.13
Les Miserables,4.18
The Help,4.47
Anne of Green Gables,4.26
The Secret Garden,4.13
A Thousand Splendid Suns,4.38
A Tale of Two Cities,3.85
Water for Elephants,4.09
The Kite Runner,4.3
Catch ,3.98
The Pillars of the Earth,4.31
Little Women,4.09
Outlander,4.23
The Color Purple,4.22
A Tree Grows in Brooklyn,4.27
Angelas Ashes,4.11
The Poisonwood Bible,4.06
The Red Tent,4.18
The Secret Life of Bees,4.06
The Shadow of the Wind,4.27
The Name of the Rose,4.12
The Scarlet Letter,3.41
The Count of Monte Cristo,4.25
Lonesome Dove,4.48
Perfume,4.02
The Little House Collection,4.34
All Quiet on the Western Front,3.98
Love in the Time of Cholera,3.92
The Thorn Birds,4.23
Atonement,3.91
The Three Musketeers,4.07
The Good Earth,3.99
Clockwork Princess,4.57
The Mists of Avalon,4.11
Oliver Twist,3.87
The Clan of the Cave Bear,4.05
A Little Princess,4.2
The Other Boleyn Girl,4.07
Schindlers List,4.34
The Boy in the Striped Pajamas,4.15
The Night Circus,4.03
The Secret Magdalene,4.07
Beloved,3.87
The Iliad,4.04
The Crucible,3.59
Girl with a Pearl Earring,3.89
The Hiding Place,4.42
The Guernsey Literary and Potato Peel Pie Society,4.17
The House of the Spirits,4.24
Roots,4.43
Island of the Blue Dolphins,3.84
The Diary of a Young Girl,4.15
Flow Down Like Silver,4.42
The Once and Future King,4.05
Uncle Toms Cabin,3.87
Lamb,4.24
The Historian,3.79
The Thirteenth Tale,3.97
The Things They Carried,4.13
The Cider House Rules,4.13
Heidi,3.99
Sophies Choice,4.18
Fried Green Tomatoes at the Whistle Stop Cafe,4.28
The Power of One,4.33
Number the Stars,4.15
A Short History of Nearly Everything,4.2
The Complete Novels,4.56
Cold Mountain,3.86
The Complete Maus,4.55
Mansfield Park,3.86
The Amazing Adventures of Kavalier and Clay,4.18
The English Patient,3.88
East of Eden,4.38
Cloud Atlas,4.01
My Antonia,3.8
Doctor Zhivago,4.01
The Hunchback of Notre Dame,3.99
Dragonfly in Amber,4.32
A Fine Balance,4.35
Snow Flower and the Secret Fan,4.08
The Remains of the Day,4.12
Unbroken,4.36
The Scarlet Pimpernel,4.06
Jonathan Strange and Mr Norrell,3.82
Blood Meridian or the Evening Redness in the West,4.17
All the Light We Cannot See,4.33
The Reader,3.76
The Devil in the White City,3.99
Redeeming Love,4.49
The Age of Innocence,3.95
The Grapes of Wrath,3.97
Northanger Abbey,3.83
War and Peace,4.12
Everything Is Illuminated,3.9
The Jungle,3.75
Snow Falling on Cedars,3.84
Voyager,4.37
I Claudius,4.23
North and South,4.13
Brideshead Revisited,4.0
A Great and Terrible Beauty,3.78
Cry the Beloved Country,3.89
Sarahs Key,4.16
Persuasion,4.14
The Bronze Horseman,4.3
Cutting for Stone,4.29
Little House on the Prairie,4.19
I Capture the Castle,4.0
The Hours,3.94
Drums of Autumn,4.33
World Without End,4.26
Little House in the Big Woods,4.18
All the Kings Men,4.07
Anne of Avonlea,4.21
One Day in the Life of Ivan Denisovich,3.95
Seabiscuit,4.22
The Blind Assassin,3.95
The Killer Angels,4.32
Sense and Sensibility,4.07
Possession,3.88
A Peoples History of the United States,4.07
Night,4.34
John Adams,4.06
The Song of Achilles,4.35
A Breath of Snow and Ashes,4.44
Corellis Mandolin,3.98
The Fiery Cross,4.24
Bury My Heart at Wounded Knee,4.22
Ivanhoe,3.75
The Nightingale,4.57
Emma,4.01
Angle of Repose,4.24
The Shell Seekers,4.16
The Witch of Blackbird Pond,3.98
The Story of My Life,4.08
Cryptonomicon,4.24
The Invention of Hugo Cabret,4.22
Cold Sassy Tree,4.01
Exodus,4.34
The Gargoyle,3.97
Forrest Gump,4.06
Daughter of the Forest,4.24
The Forgotten Garden,4.14
Wild Swans,4.26
Kane and Abel,4.31
Christy,4.23
The Agony and the Ecstasy,4.07
 Charing Cross Road,4.17
How Green Was My Valley,4.18
The House of Mirth,3.95
Roll of Thunder Hear My Cry,3.84
Sapiens,4.42
These Is My Words,4.34
A Passage to India,3.68
The Far Pavilions,4.21
The Last of the Mohicans,3.7
Birdsong,4.09
The Kitchen Gods Wife,4.0
Between Shades of Gray,4.36
Fingersmith,4.01
The Winds of War,4.37
The Valley of Horses,3.99
Timeline,3.85
Fall on Your Knees,3.96
The Immortal Life of Henrietta Lacks,4.07
A Town Like Alice,4.14
Stones from the River,4.09
And the Mountains Echoed,4.05
The Tale of Genji,3.72
The Beekeepers Apprentice,4.06
The Quiet American,3.95
Year of Wonders,4.01
The Red Badge of Courage,3.26
Alias Grace,4.03
The Complete Anne of Green Gables Boxed Set,4.43
Hawaii,4.2
Tai Pan,4.27
Memoirs of Hadrian,4.25
The Angels Game,3.93
The Heart of Aleppo,4.33
Anne of the Island,4.23
The Blue Castle,4.26
The French Lieutenants Woman,3.87
City of Thieves,4.28
Fall of Giants,4.28
Quo Vadis,4.16
Ragtime,3.88
What Is the What,4.16
An Echo in the Bone,4.44
Hiroshima,3.98
River God,4.2
China Blues,4.11
The Crystal Cave,4.13
The Traitors Emblem,3.83
Where the Crawdads Sing,4.47
A Voice in the Wind,4.56
Three Comrades,4.49
Centennial,4.24
A Suitable Boy,4.12
Wolf Hall,3.88
Pope Joan,4.07
Ahabs Wife or The Star Gazer,4.03
Endurance,4.39
Les Liaisons dangereuses,4.07
The Storyteller,4.27
The Book of Negroes,4.46
People of the Book,4.02
The Constitution of the United States of America,4.54
Daughter of Fortune,3.9
The Light Between Oceans,4.03
The Sunne in Splendour,4.38
North and South,4.2
