title,rating
Angelas Ashes,4.11
In Cold Blood,4.07
Schindlers List,4.34
The Hiding Place,4.42
Mans Search for Meaning,4.36
The Diary of a Young Girl,4.15
Flow Down Like Silver,4.42
Blood River,4.06
A Short History of Nearly Everything,4.2
The Complete Maus,4.55
The Origin of Species,3.98
Midnight in the Garden of Good and Evil,3.92
The Prince,3.82
Unbroken,4.36
Jonathan Strange and Mr Norrell,3.82
The Devil in the White City,3.99
The Republic,3.94
Three Cups of Tea,3.65
Into Thin Air,4.18
The Art of War,3.97
Mythology,4.0
The Eyre Affair,3.88
Seabiscuit,4.22
The Killer Angels,4.32
A Peoples History of the United States,4.07
A Brief History of Time,4.18
Night,4.34
John Adams,4.06
Papillon,4.24
Cosmos,4.37
Bury My Heart at Wounded Knee,4.22
The Power of Myth,4.26
The Omnivores Dilemma,4.17
The Story of My Life,4.08
Shot Down,4.31
The Trigger,4.11
Wild Swans,4.26
Holy Bible,4.59
Chasing the Devil,4.1
The Agony and the Ecstasy,4.07
 Charing Cross Road,4.17
A Walk in the Woods,4.06
Sapiens,4.42
Meditations,4.22
The Bhagavad Gita,4.13
The Man in the High Castle,3.62
Godel Escher Bach,4.28
Helter Skelter,4.04
The Immortal Life of Henrietta Lacks,4.07
The Complete Persepolis,4.39
Hawaii,4.2
Black Like Me,4.12
Cheaper by the Dozen,4.01
Hiroshima,3.98
A Long Way Gone,4.16
Centennial,4.24
Endurance,4.39
The Constitution of the United States of America,4.54
The Demon Haunted World,4.27
Long Walk to Freedom,4.33
I Am Malala,4.12
Persepolis,4.25
A Distant Mirror,4.06
Band of Brothers,4.42
Silent Spring,3.98
Steve Jobs,4.14
Fast Food Nation,3.75
Sliding on the Snow Stone,4.08
Out of Africa,3.94
Beyond Good and Evil,4.0
Down and Out in Paris and London,4.1
Survival in Auschwitz,4.31
Reading Lolita in Tehran,3.62
The Communist Manifesto,3.58
Common Sense,3.98
Black Boy,4.07
God Is Not Great,3.96
Leviathan,3.91
Gates of Fire,4.4
Confessions,3.92
Black Hawk Down,4.28
The Rise and Fall of the Third Reich,4.17
The Hot Zone,4.13
Follow the River,4.22
The Electric Kool Aid Acid Test,3.92
The Executioners Song,4.07
The Gulag Archipelago ,4.27
Quicksilver,3.92
The Right Stuff,4.23
Gandhi,4.08
Nation,4.07
The Civil War,4.53
Lust for Life,4.23
Guns Germs and Steel,4.03
Between the World and Me,4.39
Team of Rivals,4.28
The Lions of Al Rassan,4.29
Becoming,4.53
Burr,4.07
Narrative of the Life of Frederick Douglass,4.04
The Holy Bible,4.6
The Bookseller of Kabul,3.77
Travels with Charley,4.07
Lincoln,4.22
The Histories,3.99
Lone Survivor,4.33
The  Laws of Power,4.16
The Complete Essays,4.24
The Hero With a Thousand Faces,4.16
Walden and Civil Disobedience,3.95
His Majestys Dragon,4.04
Lies My Teacher Told Me,3.96
Columbine,4.28
Einstein,4.13
An Inquiry into the Nature and Causes of the Wealth of Nations,3.85
The Autobiography of Malcolm X,4.32
The Yiddish Policemens Union,3.71
In a Sunburned Country,4.07
Princess,4.02
The Guns of August,4.17
The Ancestors Tale,4.14
The Emperor of All Maladies,4.29
The Perfect Storm,4.1
Fatherland,3.98
Homage to Catalonia,4.12
The First Man in Rome,4.09
The Confusion,4.26
Maus II,4.38
The Audacity of Hope,3.78
The System of the World,4.32
The Shock Doctrine,4.24
The Motorcycle Diaries,3.79
Tis,3.7
All Over But the Shoutin,4.11
ESV Study Bible,4.78
History of the Peloponnesian War,3.89
I Claudius,4.43
Goodbye to All That,4.01
The Spirit Catches You and You Fall Down,4.17
The Boys in the Boat,4.35
Abraham Lincoln,3.7
The Confessions of Nat Turner,3.96
The Case for Christ,4.15
On Liberty,3.97
Ever Yours,4.43
Kushiels Avatar,4.36
Homo Deus,4.24
Notes from a Small Island,3.92
Memories Dreams Reflections,4.16
The End of Faith,3.91
Capital Vol ,4.22
Democracy in America,4.03
The Nicomachean Ethics,3.96
Seven Pillars of Wisdom,3.95
The Feminine Mystique,3.86
Plato,4.35
A Beautiful Mind,4.13
Mein Kampf,3.17
The Pillow Book,4.02
Left to Tell,4.43
The Plot Against America,3.78
Jesus the Christ,4.62
Chesapeake,4.18
First They Killed My Father,4.33
I the Sun,4.23
Stiff,4.06
But What If Were Wrong,3.63
New York,4.13
The New Oxford Annotated Bible,4.35
Half Broke Horses,4.07
Seventh Son,3.87
The Letters of Vincent van Gogh,4.04
Maos Last Dancer,4.13
The Six Wives of Henry VIII,4.1
American Sniper,4.0
The Holy Bible,4.55
 Lessons for the st Century,4.16
Voices from Chernobyl,4.41
The Botany of Desire,4.06
Nothing to Envy,4.42
Seven Years in Tibet,4.09
Dont Lets Go to the Dogs Tonight,3.96
Nefertiti,4.07
Fear and Loathing on the Campaign Trail ,4.12
Kushiels Chosen,4.26
Just Mercy,4.6
On the Genealogy of Morals ,4.16
The Black Swan,3.94
Wind Sand and Stars,4.17
The Poetic Edda,4.26
Astrophysics for People in a Hurry,4.08
The Forgotten Soldier,4.39
Chinese Cinderella,4.07
Dead Wrong,3.62
Blackamoores,4.35
Moneyball,4.26
Letters from a Stoic,4.34
In the Heart of the Sea,4.15
Apology,4.19
The Life and Times of the Thunderbolt Kid,3.94
Dreams from My Father,3.89
Introducing Chomsky,3.68
We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,4.23
Kushiels Mercy,4.32
Factfulness,4.36
Stolen Lives,4.11
Claudius the God and His Wife Messalina,4.22
The Power Broker,4.45
A History of God,3.86
The Symposium,4.05
Mountains Beyond Mountains,4.2
Shit my History Teacher DID NOT tell me ,4.07
A Book of Five Rings,4.05
Mistress of Rome,4.03
Zeitoun,4.06
Pedagogy of the Oppressed,4.28
Testament of Youth,4.18
The Fire Next Time,4.5
Ways of Seeing,3.86
The Zookeepers Wife,3.47
Dispatches,4.24
The Story of Philosophy,4.13
The Grand Design,4.04
Herodotus  ,3.93
Twelve Years a Slave,4.19
The Story of Art,3.93
Killers of the Flower Moon,4.07
Father and I Were Ranchers,4.3
Escape from Freedom,4.25
Slouching Towards Bethlehem,4.2
Under the Banner of Heaven,4.0
A Sand County Almanac and Sketches Here and There,4.27
Hidden Figures,3.93
Stalingrad,4.31
The History of Sexuality Volume ,4.04
Elephant Man,3.96
The Well of Lost Plots,4.1
Hamilton,4.46
Civilization and Its Discontents,3.79
Alexander Hamilton,4.21
With the Old Breed,4.44
King Leopolds Ghost,4.15
Shake Hands with the Devil,4.25
A Briefer History of Time,4.23
Holy Bible,4.71
Economics in One Lesson,4.21
Ghost Soldiers,4.22
Behemoth,4.18
The Water is Wide,4.12
Freedom at Midnight,4.32
Alive,4.11
Cash,4.04
The Worst Hard Time,4.03
Lost in a Good Book,4.14
A Capitalist in North Korea,3.65
Empire of the Summer Moon,4.17
Geisha a Life,3.92
Incidents in the Life of a Slave Girl,4.13
The Stranger Beside Me,4.13
Kon Tiki,4.13
Gods Smuggler,4.34
The Professor and the Madman,3.84
The Wretched of the Earth,4.23
Wolf by Wolf,4.23
The Road to Serfdom,4.17
Undaunted Courage,4.19
India After Gandhi,4.38
Shahnameh,4.52
We Were Soldiers Once and Young,4.32
The Reckoning,4.45
Collapse,3.93
Small Sacrifices,4.23
Life and Death in Shanghai,4.35
The Snowball,4.12
The Prose Edda,4.17
Mastery,4.29
Sacajawea,4.25
Eichmann in Jerusalem,4.23
Hagakure,4.06
Jesus Freaks,4.21
Thou Art That,4.33
The Innocent Man,3.83
The World of Yesterday,4.48
The German Ideology ,4.07
The Passion of Artemisia,3.88
Chronicles,3.98
The  Year Leap,4.27
Istanbul,3.8
The Structure of Scientific Revolutions,4.01
Aint No Grave,4.13
Discipline and Punish,4.22
The Art of Living,4.24
The Law,4.38
The Heretics Daughter,3.77
Battle Cry of Freedom,4.36
The Rape of Nanking,4.12
Danse Macabre,3.64
Wiseguy,4.18
The Miracle Worker,4.22
The Strange Affair of Spring Heeled Jack,3.69
Black Lamb and Grey Falcon,4.22
Relativity,4.19
Refuge,4.16
The Declaration of Independence and The Constitution of the United States,4.44
Bridge of Birds,4.29
The Golden Spruce,4.09
Flags of Our Fathers,4.19
Having Our Say,4.16
Eagle in the Snow,4.12
The Drowned and the Saved,4.42
Hegels Phenomenology of Spirit,3.94
A History of Western Philosophy,4.09
Understanding Comics,3.98
West with the Night,4.17
The Mother Tongue,3.92
The Decline and Fall of the Roman Empire,3.98
The Greatest Show on Earth,4.16
Manufacturing Consent,4.25
Ride the Wind,4.38
The March of Folly,4.02
Persepolis ,4.23
Iphigenia in Aulis,4.03
The Cruel Sea,4.21
Jarhead ,3.66
Truman,4.13
The Last Stand of the Tin Can Sailors,4.34
Girl in Hyacinth Blue,3.73
Liberty and Tyranny,4.17
The Good Soldiers,4.24
Wall and Piece,3.85
 Minutes,4.26
A Night to Remember,4.04
In the Garden of Beasts,3.85
The Grass Crown,4.3
Orientalism,4.08
Isaacs Storm,4.05
The River of Doubt,4.16
The Sunflower,4.11
The Midwife,4.18
No One Here Gets Out Alive,3.93
The Singing Creek Where the Willows Grow,4.25
Storm of Steel,4.14
The Art of Seduction,4.05
Have a Nice Day ,4.33
The Twelve Caesars,4.02
Behind the Beautiful Forevers,3.98
Capital in the Twenty First Century,4.05
The Warmth of Other Suns,4.39
The World Is Flat,3.69
Politics,3.96
Kushiels Justice,4.25
The Varieties of Religious Experience,3.98
At Home,3.97
The Rise of Theodore Roosevelt,4.22
Underground,3.9
 Things They Dont Tell You about Capitalism,3.98
Goliath,4.25
Flyboys,4.18
Ill Be Gone in the Dark,4.12
Master of the Senate,4.37
Free to Choose,4.23
Oldest Living Confederate Widow Tells All,3.83
The Lost City of Z,3.86
Food of the Gods,4.11
A Bright Shining Lie,4.24
The Making of the Atomic Bomb,4.36
Bad Blood,4.41
Fermats Enigma,4.26
Life,3.87
Wars Unwomanly Face,4.53
The Origin of Consciousness in the Breakdown of the Bicameral Mind,4.25
The New Jim Crow,4.47
The Last Train from Hiroshima,4.11
Euclids Elements,4.31
Stasiland,4.17
The Doctrine and Covenants of the Church of Jesus Christ of Latter Day Saints,4.53
If Chins Could Kill,3.97
The Poisoners Handbook,4.0
The Sufis,4.21
Essays and Lectures,4.31
Darwins Dangerous Idea,4.05
Ink and Bone,3.96
Zodiac,3.91
The Consolation of Philosophy,3.98
Fingerprints of the Gods,4.18
The Consolations of Philosophy,4.01
The Book of Basketball,4.18
The Golden Ass,3.88
The Muqaddimah,4.29
It Cant Happen Here,3.77
David and Goliath,3.95
Once An Eagle,4.37
A Fortunate Life,4.18
The Adversary,4.22
The Drunkards Walk,3.92
Manhunt,4.14
Backlash,4.01
The Good Women of China,4.26
NeuroTribes,4.3
From Baghdad With Love,4.11
The Shadow of the Sun,4.38
The Pleasure of Finding Things Out,4.24
Marie Antoinette,4.29
Genghis Khan and the Making of the Modern World,4.03
Life on the Mississippi,3.89
What Happened,3.92
Everything She Ever Wanted,4.01
Hackers,4.14
The Code Book,4.28
The Rebel,4.15
The Philosophy of Andy Warhol ,3.77
Frida,3.97
The Longest Day,4.33
Hard Magic,4.13
Dragons of Eden,4.18
The Fabric of the Cosmos,4.11
Modoc,4.2
Manchild in the Promised Land,4.35
Holy Blood Holy Grail,3.5
The White Album,4.15
The Upanishads,4.2
Boneshaker,3.51
The Golden Bough,4.03
Marching Powder,4.27
Blue Highways,4.01
Five Dialogues,4.14
The Universe in a Nutshell,4.16
The Protestant Ethic and the Spirit of Capitalism,3.9
Area ,3.78
The Lady and the Unicorn,3.69
Confessions of an Economic Hit Man,3.86
Marie Antoinette,3.93
Black Elk Speaks,4.1
Evicted,4.47
Twilight of the Idols ,4.16
Dead Wake,4.09
March of the Hooligans,3.48
Island in the Sea of Time,4.01
Mainspring,3.22
Portrait of a Killer,3.47
Up in the Old Hotel,4.33
Andersonville,4.11
The Songlines,3.98
Our Oriental Heritage,4.28
Borstal Boy,3.99
Coming Into the Country,4.22
The Living,3.84
Sailing to Sarantium,4.17
The Egg and I,3.92
How to Talk to a Liberal ,3.31
Holy Bible,4.47
Assassination Vacation,3.96
The Suspicions of Mr Whicher,3.5
Gods and Generals,4.08
Iron and Silk,3.96
The Proper Role of Government,4.46
In My Hands,4.21
Pastwatch,3.97
The Satyricon,3.81
Escape from Camp ,4.0
The Girl with Seven Names,4.41
Something Rotten,4.16
The Ascent of Man,4.19
Debt,4.16
America ,4.01
Adolf Hitler,4.09
Eleanor of Aquitaine,3.95
Human Action,4.32
The Road to Mecca,4.46
Fortunes Favorites,4.36
The Great Escape,4.25
Rocket Boys,4.18
The Great Bridge,4.23
A Little History of the World,4.11
Reasons to Kill God,3.96
The Gulag Archipelago  ,4.33
The Virtue of Selfishness,3.51
Generation Kill,4.27
April ,4.15
Please Kill Me,4.16
Kushiels Scion,4.2
Hidden Valley Road,4.16
A Vindication of the Rights of Woman,3.89
A Tale of Love and Darkness,4.23
The Day of Battle,4.36
Second Treatise of Government,3.77
One Summer,4.08
Against Our Will,4.03
Through Gates of Splendor,4.37
The Swerve,3.85
Green River Running Red,3.96
Lord of Emperors,4.23
The Double Helix,3.86
John Lennon,4.1
Hatching Twitter,4.04
Imagined Communities,4.11
The Death and Life of Great American Cities,4.31
Decision Points,3.79
Nathaniels Nutmeg,3.83
Godless,3.32
Dongri To Dubai ,3.93
Naamahs Blessing,4.21
Westminster Confession Of Faith w,4.51
Six Frigates,4.33
Caesars Women,4.25
The Theory of Everything,4.17
The History of Sexuality Volume ,4.06
Red Prophet,3.79
Liars Poker,4.15
Why Nations Fail,4.07
Prisoner of Tehran,4.19
Skybreaker,4.25
Obsessive Genius,4.03
No Logo,3.88
Maggot Moon,3.81
Red Notice,4.41
The Education of Henry Adams,3.65
My Feudal Lord,3.66
The Female Eunuch,3.71
The Federalist Papers,4.08
Homicide,4.34
 and All That,3.98
The Years of Rice and Salt,3.74
The Damage Done,4.08
War is a Racket,4.29
A Guide to the Good Life,4.22
Making History,3.95
The Conscience of a Liberal,3.98
The Holocaust Industry,4.05
Going Clear,4.03
No Easy Day,3.99
A History of Reading,3.98
The New Bill James Historical Baseball Abstract,4.25
Creating the Vietnam Veterans Memorial,4.15
Teachings of the Prophet Joseph Smith,4.48
The Last Battle,4.22
The Conquest of Bread,4.13
In an Antique Land,3.83
Physics of the Future,4.0
The Bastard,4.11
Devils Brood,4.37
The Steel Wave,4.25
Born Survivors,4.07
Arundel,4.2
Genesis,4.34
An Evil Cradling,4.34
An Inconvenient Book,3.75
Beyond Band of Brothers,4.29
Hominids,3.79
In Order to Live,4.45
A Thousand Plateaus,4.3
Alexander,4.08
Bright Star,4.29
America Alone,4.13
Liberal Fascism,3.99
Cider With Rosie,3.94
Parallel Lives,4.13
The Fall of Berlin ,4.3
Fatal Vision,4.11
Memoirs of the Second World War,4.42
On the Shortness of Life,4.23
Hitler,4.34
Foxes Book of Martyrs,4.27
Caliban and the Witch,4.53
The Everlasting Man,4.19
Supernatural,4.22
The Endurance,4.32
Travels with Herodotus,4.06
The Flight of the Wild Gander,4.24
Tortured for Christ,4.37
The Society of the Spectacle,4.02
The Game,4.14
And the Band Played On,4.36
The Age of Wonder,3.96
Citizens of London,4.23
I Have Lived a Thousand Years,4.16
Letters to a Young Contrarian,4.14
Anne Frank Remembered,4.29
The Devils of Loudun,3.9
Coming of Age in the Milky Way,4.15
Boomerang,3.9
The Book of Tea,3.85
Artemisia,3.94
Georgiana,3.79
There are No Children Here,4.28
Neon Angel,3.97
The Art Book,3.83
Indian Creek Chronicles,4.21
Agent Zigzag,4.1
Hitler and Stalin,4.16
A Higher Loyalty,4.1
The Souls of Black Folk,4.26
Chaos,4.02
The Missionary Position,4.06
Strength in What Remains,4.02
The Path Between the Seas,4.2
Dialogues Concerning Natural Religion,3.97
The Colossus of Maroussi,3.99
Moonwalk,4.3
My Dark Places,3.88
Hegemony or Survival,3.97
Hillbilly Elegy,3.93
The Social Contract,3.78
The Assassination of Jesse James by the Coward Robert Ford,3.91
Your Inner Fish,4.01
Time and Chance,4.29
The Seven Daughters of Eve,3.99
Leviathan,3.7
What Do You Care What Other People Think,4.24
On Ugliness,3.85
Rise to Rebellion,4.19
Muhammad,4.57
Alicia,4.14
Bearing the Cross,4.33
The Autobiography of Martin Luther King Jr,4.32
Peter the Great,4.17
In Search of Schrodingers Cat,4.04
No Ordinary Time,4.18
How Should We Then Live,4.18
The Anatomy of Melancholy,4.17
The Bounty Mutiny,3.9
Wonderful Life,4.13
The Persian Expedition,4.09
An Unfinished Life,4.02
The Life of Samuel Johnson,3.84
Going Rogue,3.28
Sex at Dawn,4.0
Moscow ,4.31
The Orchid Thief,3.69
This Way for the Gas Ladies and Gentlemen,4.17
War,4.23
Killing Lincoln,4.03
Praise of Folly,3.88
The Diary of Frida Kahlo,3.88
Catherine the Great,3.92
Kleopatra,3.81
Small Steps,4.43
Rights of Man,4.03
The Flame Trees of Thika,4.12
Tanakh,4.38
The Civil War Vol ,4.43
The Romanovs,4.04
Farewell to Manzanar,3.62
Longitude,3.96
The History of Sexuality Volume ,4.08
Madness and Civilization,4.1
Capital Vol ,4.06
The State and Revolution,4.11
How the Irish Saved Civilization,3.81
Maximum City,3.93
A Civil Action,3.97
Caesar,4.37
Ball Four,4.02
Growing Up,4.09
Diary of an Early American Boy,4.21
Too Big to Fail,4.13
One Minute to Midnight,4.22
Prayers for Bobby,4.28
The Monuments Men,3.76
The Winthrop Woman,4.09
Color,3.79
Naamahs Curse,4.13
No Hurry to Get Home,4.23
The Cage,4.08
The Peregrine,4.18
Institutes of the Christian Religion  Vols,4.14
The New American Bible,4.52
Maps of Meaning,4.1
Hitchcock,4.49
Dreadnought,4.3
Out of Africa ,4.23
Fearless,4.55
The Leviathan Trilogy,4.39
Book of Mormon Doctrine and Covenants Pearl of Great Price,4.35
Bravo Two Zero,4.1
Forty Autumns,4.35
Two Hundred Years Together,3.92
Messages to the World,3.75
Wild Cards,3.7
The Proud Tower,4.12
The Analects,3.81
Give War a Chance,3.87
Illuminations,4.29
The Story of Civilization,4.43
The Saga of the Volsungs,4.01
The Act of Creation,4.24
Tesla,3.73
Dear Theo,4.12
Big Bang,4.18
Holy Bible,4.68
Nutrition and Physical Degeneration,4.35
Mossad,4.18
The Girl from Aleppo,4.06
The Daily Stoic,4.23
Women Race and Class,4.49
The Cosmic Serpent,4.2
I Shall Not Hate,4.24
Mayada Daughter of Iraq,4.01
Black Mass,3.79
 Years of Annoying the French,4.03
Bomb,4.14
Good Night Stories for Rebel Girls,4.35
The Culture of Critique,4.31
An Army at Dawn,4.27
Hidden Empire,3.64
The ,3.98
Agatha H and the Airship City,4.01
Do They Hear You When You Cry,4.22
The Revolution Betrayed,4.05
Walking with the Wind,4.54
The Black Hole War,4.11
Leonardo da Vinci,4.14
An Era of Darkness,4.17
The Fifties,4.24
The Journal of Helene Berr,4.07
The Etruscan,3.99
Behave,4.42
Gweilo,4.15
Guilty,3.58
Obama Zombies,3.49
Sniper One,4.26
Persian Girls,3.9
History of the Russian Revolution,4.18
The White Spider,4.12
The Labyrinth of Solitude and Other Writings,4.15
Touched with Fire,4.02
In Harms Way,4.3
The Marx Engels Reader,3.97
Operation Paperclip,4.04
The Railway Man,4.11
Stalin,4.14
Ordinary Men,4.1
Dread Nation,4.14
Barracoon,4.03
Young Stalin,4.04
Of Plymouth Plantation  ,3.49
The Origins of Totalitarianism,4.3
Ashes of Roses,3.99
Growing Up bin Laden,4.07
Ring of Bright Water,4.13
Dear Leader,4.31
Bring Me a Unicorn,3.92
History of Beauty,3.79
The Path to Power,4.4
Report from Engine Co ,4.37
Earth ,3.91
Swastika Night,3.63
The Red Queen,4.05
Alvin Journeyman,3.74
What It is Like to Go to War,3.87
Kilimanjaro and Beyond,3.97
The Dawn Country,4.33
Fire and Fury,3.44
Bitter Harvest,4.06
When Genius Failed,4.2
The Last Full Measure,4.24
Eternal Treblinka,4.27
Gomorrah,3.76
Front Lines,4.14
Pimp,3.99
God,3.92
The Dragon Waiting,3.81
More Than a Carpenter,4.23
Slash,3.98
Discourse on the Origin of Inequality,3.83
Malcolm X,4.2
Letter from the Birmingham Jail,4.7
Confessions,3.62
The Corner,4.43
One Bullet Away,4.18
Goddess,3.9
Love Lucy,4.23
The Music of the Primes,4.09
The Autobiography of Charles Darwin ,3.85
Love is Eternal,4.05
Playing the Enemy,4.15
A Bridge Too Far,4.27
Curfewed Night,4.0
The Last American Man,3.81
The Ladies of Grace Adieu and Other Stories,3.87
Discourses and Selected Writings,4.43
Regarding the Pain of Others,4.05
The Mismeasure of Man,4.05
The Drawing of the Dark,3.93
Colors of the Mountain,3.97
Grace Abounding to the Chief of Sinners,4.17
Basic Economics,4.33
The Civil War Vol ,4.53
Twenty Years in Siberia,4.71
All the Presidents Men,4.18
The Probability Broach,3.84
The Last  Days,4.18
The I  Killer,4.0
The Idea of India,3.83
The Last Lion,4.39
The Last Lion,4.35
The Partly Cloudy Patriot,3.88
Coasting,3.96
The Naked Ape,3.95
Means of Ascent,4.23
Unholy Night,3.83
The Island at the Center of the World,4.14
Native Realm,4.08
Left Wing Communism an Infantile Disorder,4.02
Ecology of a Cracker Childhood,3.97
The Manufacture of Madness,4.06
Ten Days to D Day,3.87
The Unwanted,4.28
The Last Stand,4.0
The Prize,4.42
Steve Jobs,3.95
A Writer at War,4.15
The Crusades Through Arab Eyes,4.19
The Perfect King,4.17
The Autobiography of a Tibetan Monk,4.4
Unbowed,4.1
Esther,4.58
Iran Awakening,4.14
Black Powder War,3.86
Throne of Jade,3.87
Time and Time Again,4.05
The New Left,3.93
A Rose for Her Grave and Other True Cases,4.03
Devil Water,3.93
Gone for Soldiers,4.14
Soccer in Sun and Shadow,4.19
Luncheon of the Boating Party,3.69
The Secret Teachings of All Ages,4.2
Paris ,4.09
The Ugly American,4.02
Ghost Talkers,3.85
The Last Season,4.07
Krakatoa,3.87
Jacky Daydream,3.63
The Obstacle Is the Way,4.16
Atheist Manifesto,3.78
Merchants of Doubt,4.18
The Last Lion,4.38
The Hidden Life of Trees,4.05
Utilitarianism,3.66
On War,3.98
A Higher Call,4.24
Voyage of the Beagle,4.03
Profiles in Courage,3.93
Clemente,4.13
A Secret Gift,3.58
Bloodlands,4.36
Phaedo,4.05
Blood and Thunder,4.21
The War on Women,4.74
The Politics of Obedience,3.94
Elizabeth and Mary,4.05
Where White Men Fear to Tread,4.12
The Glorious Cause,4.28
The Resurrection of the Son of God,4.53
Modern Times,4.26
Born on the Fourth of July,3.85
The Discourses,4.06
Gone with the Wind Letters,4.44
Leonardos Notebooks,3.93
All Souls,4.1
One Mans Wilderness,4.31
Sixpence House,3.64
South,4.22
Concerning the Spiritual in Art,3.82
Chariots of The Gods,3.51
Eleanor Roosevelt Volume ,4.08
Jesus of Nazareth,4.39
The Mayor of Castro Street,4.29
Slander,3.42
Rabelais and His World,4.27
The End of History and the Last Man,3.56
Our Band Could Be Your Life,4.19
The Greek Myths,4.19
Arctic Dreams,4.22
In Love and War,4.34
Cadillac Desert,4.27
The Paradox,4.09
The Boys Who Challenged Hitler,4.09
News of a Kidnapping,3.86
Seven Days in the Art World,3.59
The Last Train,4.02
Confederates,4.02
The Wright Brothers,4.14
The Radium Girls,4.14
A Collection of Essays,4.33
David Attenboroughs Life on Air,4.41
Andy Goldsworthy,3.88
Tintin,4.37
My Story,4.06
The Greek Myths,4.07
The People of the Abyss,4.04
The Second World War,4.46
An Ordinary Man,4.17
The Sixth Extinction,4.13
Prentice Alvin,3.79
Six Wives,4.14
Mad in America,4.16
The Greater Journey,3.92
The Accidental Billionaires,3.55
The Fight,4.08
The Way of Zen,4.15
The Fall of Constantinople ,4.3
Why Im No Longer Talking to White People About Race,4.43
