title,rating
The Picture of Dorian Gray,4.08
Dracula,4.0
Frankenstein,3.81
The Stand,4.34
A Clockwork Orange,3.99
The Road,3.97
The Complete Stories and Poems,4.38
Interview with the Vampire,4.0
The Shining,4.23
The Metamorphosis,3.82
Perfume,4.02
It,4.24
Jurassic Park,4.04
The Silence of the Lambs,4.2
The Phantom of the Opera,3.96
The Green Mile,4.45
Blindness,4.13
Misery,4.17
The Vampire Lestat,4.07
Neverwhere,4.17
The Historian,3.79
Different Seasons,4.34
Dead Until Dark,3.96
The Gunslinger,3.95
American Psycho,3.82
The Graveyard Book,4.13
The Tell Tale Heart and Other Writings,4.17
Salems Lot,4.03
The Strange Case of Dr Jekyll and Mr Hyde,3.82
Miss Peregrines Home for Peculiar Children,3.91
Flowers in the Attic,3.82
Blood Meridian or the Evening Redness in the West,4.17
Houdini Heart,4.22
Carrie,3.96
The Exorcist,4.18
Coraline,4.06
Pet Sematary,4.0
World War Z,4.01
The Witching Hour,4.11
The War of the Worlds,3.83
Johnny Got His Gun,4.18
The Woman in White,3.99
Unwind,4.17
The Unbecoming of Mara Dyer,4.05
Hyperion,4.23
We Need to Talk About Kevin,4.05
A Monster Calls,4.35
The Wasp Factory,3.81
The Queen of the Damned,3.89
The Talisman,4.13
I Am Legend and Other Stories,4.0
Watchers,4.18
The Haunting of Hill House,3.84
The Yellow Wallpaper and Other Stories,4.04
Odd Thomas,3.97
Under the Dome,3.91
Something Wicked This Way Comes,3.93
Geek Love,3.95
Battle Royale,4.16
The Ocean at the End of the Lane,4.0
The Passage,4.03
On Writing,4.33
Shutter Island,4.08
The Dark Tower,4.26
Guilty Pleasures,4.02
House of Leaves,4.06
The Long Walk,4.08
Lunar Park,3.64
Wizard and Glass,4.23
The Drawing of the Three,4.22
Let the Right One In,4.05
We Have Always Lived in the Castle,3.99
The Collector,3.98
Swan Song,4.28
Memnoch the Devil,3.75
Helter Skelter,4.04
Tales of HP Lovecraft,4.24
A Dirty Job,4.05
The Turn of the Screw,3.43
Jaws,3.97
Hearts in Atlantis,3.83
Red Dragon,4.03
The Day of the Triffids,4.02
The Raven and Other Poems,4.3
The Evolution of Mara Dyer,4.28
Needful Things,3.92
The Dead Zone,3.93
The Gormenghast Novels,3.99
Rant,3.82
Perdido Street Station,3.96
Haunted,3.58
The Waste Lands,4.23
Imajica,4.17
Lullaby,3.73
The Painted Bird,3.92
Hollow City,4.05
Dolores Claiborne,3.87
The Illustrated Man,4.13
Preludes and Nocturnes,4.23
The Invisible Man,3.64
The Book of Lost Things,3.95
Boys Life,4.36
The Eyes of the Dragon,3.93
Weaveworld,4.13
Warm Bodies,3.92
The Raven,4.29
I Am Legend,4.07
The Bone Collector,4.19
The Forest of Hands and Teeth,3.59
Diary,3.61
The Selected Writings of Edgar Allan Poe,4.3
Death Note Vol ,4.44
The Girl Who Loved Tom Gordon,3.61
Crash,3.6
Liseys Story,3.68
The Diviners,3.95
The Lottery and Other Stories,4.06
The Vampire Armand,3.77
Ghost Story,3.95
Intensity,4.04
Doctor Sleep,4.12
The Fall of the House of Usher and Other Tales,4.17
The Forbidden Game,4.19
Nevermore,3.87
Night Watch,3.98
The Fall of Hyperion,4.21
The Cadaver Factory,4.35
Bag of Bones,3.9
Bloodlines,3.7
