title,rating
The Hitchhikers Guide to the Galaxy,4.22
The Princess Bride,4.26
Green Eggs and Ham,4.3
Catch ,3.98
Matilda,4.32
Don Quixote,3.88
Charlie and the Chocolate Factory,4.14
The Cat in the Hat,4.17
The Compleat Works of Wllm Shkspr ,4.44
How the Grinch Stole Christmas ,4.36
The Ultimate Hitchhikers Guide to the Galaxy,4.36
The Importance of Being Earnest,4.18
Good Omens,4.24
The Phantom Tollbooth,4.2
Oh the Places Youll Go ,4.35
The World According to Garp,4.09
A Confederacy of Dunces,3.89
Cats Cradle,4.16
A Light in the Attic,4.34
Marley and Me,4.13
Fear and Loathing in Las Vegas,4.08
The Complete Calvin and Hobbes,4.82
Lamb,4.24
Candide,3.77
James and the Giant Peach,4.02
All Creatures Great and Small,4.32
Fried Green Tomatoes at the Whistle Stop Cafe,4.28
The Monster at the End of this Book,4.44
Bridget Joness Diary,3.78
A Short History of Nearly Everything,4.2
The Witches,4.17
The Martian,4.4
Breakfast of Champions,4.07
The BFG,4.22
Infinite Jest,4.28
High Fidelity,3.93
Pippi Longstocking,4.13
Divine Secrets of the Ya Ya Sisterhood,3.83
Me Talk Pretty One Day,3.99
Are You My Mother,4.19
Much Ado About Nothing,4.06
The Bad Beginning,3.95
A Dogs Purpose,4.34
The Eyre Affair,3.88
One for the Money,4.04
Night Watch,4.5
A Heartbreaking Work of Staggering Genius,3.69
Jitterbug Perfume,4.22
The Sirens of Titan,4.15
Confessions of a Shopaholic,3.65
The Color of Magic,3.99
Choke,3.7
An Abundance of Katherines,3.57
Small Gods,4.3
The Restaurant at the End of the Universe,4.21
Forrest Gump,4.06
The Hotel New Hampshire,3.91
Mort,4.22
A Connecticut Yankee in King Arthurs Court,3.77
A Walk in the Woods,4.06
Still Life with Woodpecker,4.03
Will Grayson Will Grayson,3.77
The Story of Ferdinand,4.36
Walks Away Woman,4.33
The Devil Wears Prada,3.75
Anansi Boys,4.03
Running with Scissors,3.73
Hogfather,4.22
Dirk Gentlys Holistic Detective Agency,3.98
The Stinky Cheese Man and Other Fairly Stupid Tales,4.2
Life the Universe and Everything,4.2
The Absolutely True Diary of a Part Time Indian,4.1
A Dirty Job,4.05
Mother Night,4.2
Going Postal,4.37
Rant,3.82
The Princess Diaries,3.79
Alexander and the Terrible Horrible No Good Very Bad Day,4.23
Guards  Guards ,4.31
A Man Called Ove,4.36
The Life and Opinions of Tristram Shandy Gentleman,3.74
Three Men in a Boat,3.88
Cheaper by the Dozen,4.01
If You Give a Mouse a Cookie,4.26
Diary of a Wimpy Kid,3.99
The  Year Old Man Who Climbed Out the Window and Disappeared,3.82
Can You Keep a Secret,3.84
All Things Bright and Beautiful,4.31
Reaper Man,4.27
Even Cowgirls Get the Blues,3.76
The Third Policeman,4.0
Skulduggery Pleasant,4.13
Cloudy With a Chance of Meatballs,4.16
Flipped,3.95
Wallbanger,4.05
Dead Souls,3.97
Women,3.85
About a Boy,3.79
The Rosie Project,4.02
Yertle the Turtle and Other Stories,4.15
The Wee Free Men,4.26
Nobody Loves a Bigfoot Like a Bigfoot Babe,3.98
Switch  The Lost Kingdoms of Karibu,4.14
Portnoys Complaint,3.7
Bossypants,3.95
Where the Sidewalk Ends,4.3
The Illuminatus  Trilogy,4.01
Eats Shoots and Leaves,3.87
A Modest Proposal and Other Satirical Works,4.05
Beautiful Bastard,4.01
The Cat in the Hat Comes Back,3.86
The Authoritative Calvin and Hobbes,4.74
Thud ,4.33
The Light Fantastic,3.97
Galapagos,3.87
The Reptile Room,3.98
Heart of a Dog,4.1
The City of Dreaming Books,4.37
To Say Nothing of the Dog,4.13
Daddy Long Legs,4.15
The Long Dark Tea Time of the Soul,4.04
So Long and Thanks for All the Fish,4.1
Tales of the City,4.03
Tangled,4.08
Equal Rites,4.02
The Twits,3.97
Percy Jacksons Greek Gods,4.49
Soul Music,4.03
The Pickwick Papers,3.83
Horton Hears a Who ,4.18
Cold Comfort Farm,3.91
Monstrous Regiment,4.19
The Sneetches and Other Stories,4.31
At Swim Two Birds,3.89
Wyrd Sisters,4.12
Falling Up,4.34
Good in Bed,3.73
Attachments,3.9
The Fifth Elephant,4.25
The Calvin and Hobbes Tenth Anniversary Book,4.63
Ive Got Your Number,3.94
Witches Abroad,4.21
Nation,4.07
The History of Tom Jones a Foundling,3.74
Twenties Girl,3.83
Bet Me,3.94
The  Lives of Captain Bluebear,4.25
The Ersatz Elevator,4.04
The End,4.01
John Dies at the End,3.9
The Name of This Book Is Secret,4.06
Feet of Clay,4.27
Thief of Time,4.23
Mostly Harmless,3.97
Undead and Unwed,3.82
Another Roadside Attraction,3.98
Danny the Champion of the World,4.09
The Tao of Pooh,3.99
The Austere Academy,3.99
Playing for Keeps,4.05
The Slippery Slope,4.03
Killing Yourself to Live,3.81
The Truth,4.25
The Wide Window,3.93
Pride and Prejudice and Zombies,3.3
Sex Drugs and Cocoa Puffs,3.74
All I Really Need to Know I Learned in Kindergarten,4.03
Born a Crime,4.45
The Portable Dorothy Parker,4.34
Fierce Invalids Home from Hot Climates,4.03
The Deal,4.28
The Nanny Diaries,3.43
Skinny Legs and All,4.05
My Man Jeeves,4.1
The Miserable Mill,3.85
The Amazing Maurice and His Educated Rodents,4.02
Moving Pictures,3.93
Going Bovine,3.64
Smile,4.25
Shades of Grey,4.15
Remember Me,3.78
Carpe Jugulum,4.13
The Fan Man,4.06
Finding Cinderella,4.24
The Grim Grotto,4.01
In a Sunburned Country,4.07
Men at Arms,4.36
Is Everyone Hanging Out Without Me,3.86
Life Love Kumbh,4.11
The Complete Wreck,4.32
God Bless You Mr Rosewater,3.95
I Have Never,4.17
Maskerade,4.07
All Creatures Great and Small ,4.27
Sex in the Title,3.45
Flat Out Love,4.0
Dash and Lilys Book of Dares,3.78
The Penultimate Peril,4.05
The Essential Calvin and Hobbes,4.64
Harry Potter and the Methods of Rationality,4.39
Snuff,3.2
The Day Jesus Rode Into Croydon,3.47
Wintersmith,4.21
Calvin and Hobbes,4.6
A Fraction of the Whole,4.13
Kiss an Angel,4.21
Unwifeable,3.58
Rodrick Rules,4.14
The Hating Game,4.14
Fool,3.97
Making Money,4.22
Austenland,3.55
The Hostile Hospital,3.97
The Subtle Art of Not Giving a F*ck,3.94
Losing It,3.74
Pyramids,3.9
The Carnivorous Carnival,3.99
Jingo,4.15
Whered You Go Bernadette,3.89
Angus Thongs and Full Frontal Snogging,3.75
Struck By Lightning,3.83
Fantastic Mr Fox,4.06
Welcome to the Monkey House,4.12
Jemima J,3.65
The Marriage Bargain,3.81
Playing with Fire,4.31
Bridget Jones,3.59
Abraham Lincoln,3.7
A Hat Full of Sky,4.28
The Humans,4.09
Dr Seusss ABC,4.09
Dealing with Dragons,4.13
Yours Truly Taddy,3.66
Me and Earl and the Dying Girl,3.55
Hyperbole and a Half,4.15
My Family and Other Animals,4.22
Naked,4.09
Winger,4.04
Tommaso,4.17
Dress Your Family in Corduroy and Denim,4.1
All Things Wise and Wonderful,4.42
Bone,4.43
Lets Pretend This Never Happened,3.89
Notes from a Small Island,3.92
How Not to Murder Your Grumpy,4.01
An Ideal Husband,4.04
Love Lex,3.26
Rumo and His Miraculous Adventures,4.48
A Spell for Chameleon,3.91
This is Where I Leave You,3.88
Red Russia,4.26
The Monkey Wrench Gang,4.09
You Really Are Full of Shit Arent You,4.14
Calico Jack in your Garden,4.2
Rock Chick,4.18
Dark Days,4.44
The Vile Village,3.96
Lucky Jim,3.77
Shopaholic and Baby,3.79
What If,4.14
Kitchen Confidential,4.08
The Ugly Truth,4.19
Stiff,4.06
My Grandmother Asked Me to Tell You Shes Sorry,4.05
Pulp,3.68
This Book Is Not Good for You,4.29
The Sisters Brothers,3.84
War with the Newts,4.17
Sh*t My Dad Says,3.98
Half Magic,3.95
Assuming Names,3.83
Mrs Piggle Wiggle,4.15
Just the Sexiest Man Alive,3.93
The Sot Weed Factor,4.09
Little Big Man,4.25
The Canterville Ghost,3.89
Seduction and Snacks,4.1
The Ring of Solomon,4.2
Sloppy Firsts,3.95
The Zombie Survival Guide,3.86
The Fools Progress,4.22
Nimona,4.15
The Gone Away World,4.12
Georges Marvellous Medicine,4.03
Vernon God Little,3.6
The Indispensable Calvin and Hobbes,4.74
Shopaholic Takes Manhattan,3.77
A Quick Bite,3.91
Mortal Coil,4.47
Only Forward,4.25
Fugly,3.92
Lords and Ladies,4.16
The Bride,4.25
The Best of Roald Dahl,4.38
Dog Days,4.17
Clown Girl,3.39
Beautiful Stranger,4.2
How to Be Popular,3.55
Snuff,4.14
This Charming Man,3.77
Mr Poppers Penguins,3.97
Fear and Loathing on the Campaign Trail ,4.12
The Last Straw,4.15
Trout Fishing in America,3.79
The Amazing Book Is Not on Fire,4.45
Im a Stranger Here Myself,3.9
The Last Hero,4.18
Dry,4.03
The Mitford Years Boxed Set Volumes  ,4.36
A Supposedly Fun Thing Ill Never Do Again,4.23
Crazy Rich Asians,3.85
Scott Pilgrim Volume ,4.17
I Shall Wear Midnight,4.32
My Not So Perfect Life,3.8
High Five,4.18
Tales from a Not So Fabulous Life,4.14
The Last Continent,3.98
A Long Way Down,3.43
China Rich Girlfriend,3.82
If Youre Reading This Its Too Late,4.23
Bunnicula,3.86
Eleven on Top,4.16
The Importance of Being Earnest and Other Plays,4.25
I Served the King of England,4.1
Yes Please,3.83
The Duke and I,4.05
The Dice Man,3.57
To the Nines,4.17
Death Bringer,4.49
Lord of Scoundrels,4.1
Teen Idol,3.53
Lysistrata,3.86
Sideways Stories from Wayside School,4.15
Maybe Not,4.05
Coinman,3.89
Flashman,4.06
Price of a Kiss,4.08
Immortal Matchmakers Inc,3.93
Play,4.29
Three to Get Deadly,4.14
The Life and Times of the Thunderbolt Kid,3.94
Heaven Texas,4.07
The River Why,4.23
The Lost Continent,3.83
Magic Kingdom for Sale,3.89
Nice Girls Dont Have Fangs,3.91
The Will,4.29
Princess in the Spotlight,3.68
Percy Jacksons Greek Heroes,4.49
Until November,4.12
The Undomestic Goddess,3.84
Anybody Out There,3.92
Dream a Little Dream,4.18
The Disreputable History of Frankie Landau Banks,3.81
One Plus One,3.95
Shit my History Teacher DID NOT tell me ,4.07
The Stupidest Angel,3.82
The Secret Diary of Adrian Mole Aged  ,3.88
Two for the Dough,4.11
Four to Score,4.17
Gargantua and Pantagruel,3.71
The Diaries of Adam and Eve,3.91
Hoot,3.82
No One Belongs Here More Than You,3.82
How to Train Your Dragon,3.89
Tao of Pooh and Te of Piglet Boxed Set,4.12
Last Stand of Dead Men,4.6
Love Me Never,4.06
Dragon Actually,3.95
Eric,3.75
Twelve Sharp,4.15
Funny in Farsi,3.81
Hard Eight,4.17
Fifth Grave Past the Light,4.45
Heir Apparent,4.1
The Day of the Locust,3.75
Ransom,4.33
The Butter Battle Book,4.15
 States,3.43
Player Piano,3.88
Fox in Socks,4.07
Drums Girls and Dangerous Pie,4.26
Youth in Revolt,4.02
The Hitchhikers Guide to the Galaxy,4.51
Men at Arms,4.4
Moab Is My Washpot,3.96
Seven Up,4.16
Rachels Holiday,3.96
Hot Six,4.19
The Secret,4.26
