title,rating
The Giving Tree,4.37
Charlottes Web,4.17
Matilda,4.32
Winnie the Pooh,4.34
Charlie and the Chocolate Factory,4.14
The Little House Collection,4.34
Goodnight Moon,4.28
The Lorax,4.34
The Phantom Tollbooth,4.2
Bridge to Terabithia,4.01
A Little Princess,4.2
The Velveteen Rabbit,4.29
A Light in the Attic,4.34
James and the Giant Peach,4.02
Heidi,3.99
Are You There God,3.9
The Monster at the End of this Book,4.44
Love You Forever,4.36
The Witches,4.17
Wonder,4.44
The BFG,4.22
Pippi Longstocking,4.13
Are You My Mother,4.19
The Polar Express,4.3
Little House on the Prairie,4.19
Little House in the Big Woods,4.18
The Bad Beginning,3.95
The Westing Game,4.01
The Night Before Christmas,4.37
From the Mixed Up Files of Mrs Basil E Frankweiler,4.15
Princess Academy,4.01
Walk Two Moons,3.97
Because of Winn Dixie,4.05
Mary Poppins,4.02
Fablehaven,4.09
Into the Wild,4.3
The Story of Ferdinand,4.36
The Mysterious Benedict Society,4.17
Go Dog Go ,4.1
The Tale of Despereaux,4.04
Harriet the Spy,3.95
The Time Quartet Box Set,4.35
Alexander and the Terrible Horrible No Good Very Bad Day,4.23
Just So Stories,4.07
The Thief Lord,3.97
Out of My Mind,4.37
The Miraculous Journey of Edward Tulane,4.37
Cloudy With a Chance of Meatballs,4.16
Mrs Frisby and the Rats of NIMH,4.14
Yertle the Turtle and Other Stories,4.15
Where the Sidewalk Ends,4.3
The Cat in the Hat Comes Back,3.86
Sarah Plain and Tall,3.78
The Reptile Room,3.98
Rise of the Evening Star,4.15
The Twits,3.97
These Happy Golden Years,4.19
Horton Hears a Who ,4.18
The Sneetches and Other Stories,4.31
Falling Up,4.34
Pollyanna,3.98
Stuart Little,3.9
The Indian in the Cupboard,3.92
Secrets of the Dragon Sanctuary,4.37
The Mysterious Benedict Society and the Perilous Journey,4.21
Grip of the Shadow Plague,4.28
The Ersatz Elevator,4.04
The End,4.01
The Name of This Book Is Secret,4.06
Harold and the Purple Crayon,4.25
Gregor the Overlander,4.0
The Trumpet of the Swan th Anniversary,4.08
The Austere Academy,3.99
The Black Stallion,4.18
The Slippery Slope,4.03
The Maze of Bones,3.85
The Wide Window,3.93
Keys to the Demon Prison,4.44
The Miserable Mill,3.85
The Grim Grotto,4.01
The One and Only Ivan,4.25
The Tale of Peter Rabbit,4.18
The Penultimate Peril,4.05
The Boxcar Children,4.11
Out of the Dust,3.75
The Hostile Hospital,3.97
The Carnivorous Carnival,3.99
Maniac Magee,3.88
The Long Winter,4.14
Dr Seusss ABC,4.09
The Secret of the Old Clock,3.99
The Fairy Tale Detectives,4.03
Savvy,3.98
Dragon Rider,3.97
Mossflower,4.1
The Penderwicks,4.15
The Vile Village,3.96
Disney After Dark,3.91
The War That Saved My Life,4.49
On the Banks of Plum Creek,4.2
The Borrowers,4.03
This Book Is Not Good for You,4.29
The Dragonet Prophecy,4.29
Half Magic,3.95
Mrs Piggle Wiggle,4.15
A World Without Heroes,4.11
Every Soul a Star,4.1
The Unwanteds,4.11
Because of Mr Terupt,4.36
Mr Poppers Penguins,3.97
In Too Deep,4.03
Wildwood,3.66
Little Town on the Prairie,4.18
Gregor and the Code of Claw,4.28
If Youre Reading This Its Too Late,4.23
The View from Saturday,3.75
One for the Murphys,4.33
The Wanderer,3.85
Sideways Stories from Wayside School,4.15
Gregor and the Curse of the Warmbloods,4.22
The Field Guide,3.9
Counting by s,4.16
The Underneath,3.95
The Mother Daughter Book Club,4.06
The Poky Little Puppy,4.1
Moon Over Manifest,4.02
So B It,4.11
How to Train Your Dragon,3.89
The Hidden Staircase,3.95
Kira Kira,3.93
The World of Winnie the Pooh,4.42
The Butter Battle Book,4.15
Taggerung,4.13
A Tale Dark and Grimm,4.07
Fox in Socks,4.07
Storm Warning,4.0
Hop On Pop,3.98
A Dogs Life,4.2
The Black Circle,4.0
Into the Gauntlet,3.96
The Legend of Luke,4.01
Love Aubrey,4.21
Tales of a Fourth Grade Nothing,4.1
The Diamond of Darkhold,3.81
The High King,4.24
One False Note,3.9
Starlight,4.3
The Tiger Rising,3.83
The Capture,3.91
Farmer Boy,4.06
The Emperors Code,4.05
Misty of Chincoteague,4.05
Once Upon a Marigold,3.99
The Girl Who Drank the Moon,4.1
The Evolution of Calpurnia Tate,3.97
The Wonderful Story of Henry Sugar and Six More,4.14
Story Thieves,3.99
Among the Betrayed,4.07
The Princess and the Goblin,4.0
Among the Brave,4.15
Mockingbird,4.2
Escape from Mr Lemoncellos Library,4.13
Swallows and Amazons,3.99
Mattimeo,4.05
Make Way for Ducklings,4.22
The Missing Piece,4.26
The Folk of the Faraway Tree,4.33
A Single Shard,3.9
Becoming Naomi Leon,4.04
Finally,4.19
Sisters,4.34
My Fathers Dragon,4.09
Mike Mulligan and His Steam Shovel,4.2
Pictures of Hollis Woods,4.01
Frindle,3.82
Where the Mountain Meets the Moon,4.27
The Emerald Atlas,3.93
Diceys Song,3.97
Beyond the Grave,3.92
Jacob Have I Loved,3.67
The Vipers Nest,3.98
The Tail of Emily Windsnap,3.91
 Birthdays,4.18
And to Think That I Saw It on Mulberry Street,3.99
The Sword Thief,3.89
The Strange Case of Origami Yoda,3.91
Gregor and the Marks of Secret,4.23
Icefire,3.91
King of the Wind,4.2
Among the Enemy,4.16
The Thing About Jellyfish,4.09
Janitors,3.91
The Magicians Elephant,3.85
The Fire Within,3.79
The Extraordinary Education of Nicholas Benedict,4.36
The Key to Rondo,3.82
Taran Wanderer,4.14
The Prophet of Yonwood,3.28
The Hive Queen,4.61
The Changeling,4.17
The Last of the Really Great Whangdoodles,4.25
Loamhedge,3.93
Peter Nimble and His Fantastic Eyes,4.08
Chicka Chicka Boom Boom,4.23
Gregor and the Prophecy of Bane,4.19
The Fire Chronicle,4.23
Over Sea Under Stone,3.84
Among the Impostors,4.06
Now We Are Six,4.33
Sunrise,4.36
The Hidden Kingdom,4.57
Julie of the Wolves,3.81
The Unusual Suspects,4.24
Eulalia ,4.09
Betsy Tacy,4.06
The Girl with the Silver Eyes,4.02
Wayside School Is Falling Down,4.17
Under Wildwood,3.96
Theres a Wocket in My Pocket ,4.03
Alcatraz Versus the Evil Librarians,3.9
Rules,3.97
Betsy and Tacy Go Downtown,4.22
Ballet Shoes,4.06
Starring Sally J Freedman as Herself,3.93
Welcome to Dead House,3.84
Disney in Shadow,4.12
Marlfox,4.01
Stellaluna,4.24
The Marvelous Land of Oz,3.81
The Candy Shop War,4.06
The Ordinary Princess,4.19
Lemony Snicket,3.74
Close to Famous,4.03
Love That Dog,4.03
Navigating Early,4.07
 Cupboards,3.78
Chasing Redbird,4.08
The  Clocks,4.02
Brown Bear Brown Bear What Do You See,4.21
The Midwifes Apprentice,3.72
The Doll People,4.04
Gossamer,3.9
Long Shadows,4.31
The Dark Hills Divide,3.73
A Bad Case of Stripes,4.25
Outcast,4.27
Eclipse,4.32
Theres a Boy in the Girls Bathroom,3.99
Ruby Holler,4.04
Talons of Power,4.61
Corduroy,4.3
Oh the Thinks You Can Think ,4.11
The Christmas Doll,4.21
A Childs Garden of Verses,4.28
Bloomability,4.04
By the Shores of Silver Lake,4.17
Catherine Called Birdy,3.71
The Penderwicks at Point Mouette,4.33
The Penderwicks on Gardam Street,4.28
Fire World,4.09
Mary Poppins Comes Back,4.02
Strawberry Girl,3.87
The Problem Child,4.28
Once Upon a Crime,4.27
Magic and Other Misdemeanors,4.31
The Silent Boy,3.73
Emily Windsnap and the Castle in the Mist,4.03
The Star of Kazan,4.0
Heaven to Betsy,4.3
Someone Named Eva,4.11
Carry On Mr Bowditch,4.12
Troubling a Star,3.85
Calico Captive,3.96
Olives Ocean,3.78
Beyond the Deepwoods,4.06
Vespers Rising,4.12
Swindle,3.96
Arcade Catastrophe,4.19
Cornelia and the Audacious Escapades of the Somerset Sisters,4.17
The Search for WondLa,4.07
The Great Brain,4.17
The Sisters Club,4.03
House of Secrets,3.81
Luv Ya Bunches,4.05
Belly Up,4.23
Coming Home,4.11
Duck Death and the Tulip,4.44
Lilys Crossing,3.87
