title,rating
The Picture of Dorian Gray,4.08
The Perks of Being a Wallflower,4.2
The Color Purple,4.22
Middlesex,4.01
Fried Green Tomatoes at the Whistle Stop Cafe,4.28
Six of Crows,4.43
Aristotle and Dante Discover the Secrets of the Universe,4.33
Brideshead Revisited,4.0
The Hours,3.94
The Song of Achilles,4.35
The Left Hand of Darkness,4.07
Ill Give You the Sun,4.14
Crooked Kingdom,4.58
Carry On,4.22
Simon vs the Homo Sapiens Agenda,4.29
Orlando,3.86
Will Grayson Will Grayson,3.77
Every Day,3.94
Call Me By Your Name,4.23
A Little Life,4.31
Running with Scissors,3.73
Fingersmith,4.01
Fall on Your Knees,3.96
Kushiels Dart,4.01
Bastard Out of Carolina,4.12
Memoirs of Hadrian,4.25
The Dream Thieves,4.23
Red White and Royal Blue,4.23
Giovannis Room,4.24
Sputnik Sweetheart,3.82
The Seven Husbands of Evelyn Hugo,4.35
Tell the Wolves Im Home,4.03
More Than This,3.98
Tales of the City,4.03
The Raven King,4.25
The Rules of Attraction,3.69
Oranges Are Not the Only Fruit,3.73
Written on the Body,4.07
A Conjuring of Light,4.34
Fun Home,4.08
Blue Lily Lily Blue,4.27
The Gentlemans Guide to Vice and Virtue,4.1
The Fifth Season,4.28
A Gathering of Shadows,4.26
Death in Venice,3.73
Captive Prince,4.42
The Passion,4.11
The Hidden Oracle,4.23
Captive Prince,3.86
They Both Die at the End,4.12
The Bane Chronicles,4.15
The Foxhole Court,4.07
Kings Rising,4.46
We Are the Ants,4.17
The Change in the Mirror,4.19
Death in Venice and Other Tales,3.9
Magics Pawn,4.21
Maurice,4.04
Millennium Approaches,4.29
Queer,3.59
One of Us Is Lying,4.05
Half Bad,3.78
Boy Meets Boy,3.83
Tipping the Velvet,4.01
Two Boys Kissing,4.09
Lost Souls,3.9
The Kings Men,4.6
Frisk,3.44
Queen of Air and Darkness,4.36
Winger,4.04
Tricks,4.29
Luck in the Shadows,4.08
Radio Silence,4.17
The Sluts,3.48
Love Letters to the Dead,3.79
Goblinheart,4.44
Godsgrave,4.53
The Miseducation of Cameron Post,4.04
Stone Butch Blues,4.35
Nimona,4.15
Every Heart a Doorway,3.81
Ash,3.62
Carmilla,3.82
And I Darken,3.84
Another Country,4.29
History Is All You Left Me,4.05
The Hammer of Thor,4.35
The Long Way to a Small Angry Planet,4.15
The Darkest Part of the Forest,3.87
Autobiography of Red,4.32
The Amazing Book Is Not on Fire,4.45
Dry,4.03
Annie on My Mind,3.99
More Happy Than Not,4.02
The Raven King,4.42
The Upside of Unrequited,3.95
We Are Okay,3.95
The Art of Being Normal,4.06
Exquisite Corpse,3.75
The Rest of Us Just Live Here,3.7
Magics Price,4.27
Perfect,4.34
Cut and Run,4.05
The Priory of the Orange Tree,4.16
Other Voices Other Rooms,3.8
Hold Still,4.0
Openly Straight,3.9
Magics Promise,4.22
Moab Is My Washpot,3.96
Complete Works,4.42
The Night Watch,3.69
Evenfall,4.18
The Starless Sea,3.85
Heartstopper,4.65
Amatores Restaurant,4.24
Heartstopper,4.53
Mysterious Skin,4.04
Kiss of the Spider Woman,3.98
If We Were Villains,4.1
Sing You Home,3.78
The Ladys Guide to Petticoats and Piracy,4.1
Illuminations,4.37
Affinity,3.74
Crush,4.31
A Single Man,4.1
The Line of Beauty,3.74
A Work in Progress,4.25
Keeping You a Secret,3.95
What Happened to Lani Garver,4.03
Brokeback Mountain,3.95
Half Wild,4.01
Heartstopper,4.64
Nightwood,3.65
Everything Leads to You,3.86
Girl Made of Stars,4.26
Seriously Im Kidding,3.71
Proxy,3.88
Beauty Queens,3.61
The Dark Prophecy,4.24
Sexing the Cherry,3.81
The Vast Fields of Ordinary,3.93
My Most Excellent Year,4.04
The Last of the Wine,4.06
Carol,3.97
Release,3.69
Why Be Happy When You Could Be Normal,3.98
Ask the Passengers,3.86
Undone,4.14
The Buddha of Suburbia,3.74
Far from the Tree,4.29
On Earth Were Briefly Gorgeous,4.05
Almost Perfect,3.85
Stalking Darkness,4.25
Ill Be Your Drill Soldier,4.08
Our Lady of the Flowers,4.02
Drama,4.21
The Inexplicable Logic of My Life,4.14
A Season in Hell and The Drunken Boat,4.34
The Marvels,3.98
King of Scars,4.21
This Is How It Always Is,4.25
A Home at the End of the World,3.92
The Persian Boy,4.18
Zero at the Bone,4.11
Touch and Geaux,4.5
Gives Light,4.24
Fade,4.57
The Paying Guests,3.43
Dangerous Angels,4.24
Chain of Gold,4.48
The Last Herald Mage,4.49
Leah on the Offbeat,3.86
When God Was a Rabbit,3.71
Rainbow Boys,3.84
Angels in America,4.33
The Chronology of Water,4.24
Drawing Blood,4.03
Lighthousekeeping,3.85
Tilt,4.19
Flesh and Blood,4.02
What If Its Us,3.91
A Closed and Common Orbit,4.33
Wayward Son,4.04
Bear Otter and the Kid,4.2
The Warriors Path,4.0
The History Boys,4.06
Teeth,3.81
Autoboyography,4.25
The Traitor Baru Cormorant,4.06
Hero,3.87
I Am Not Myself These Days,3.98
The Absolutist,4.07
Last Night I Sang to the Monster,4.22
The God Box,3.97
Troll,3.58
Howl Kaddish and Other Poems,4.01
Luna,3.84
The Prince and the Dressmaker,4.39
Armed and Dangerous,4.49
Him,4.33
The Hearts Invisible Furies,4.47
Sister Outsider,4.53
Cry to Heaven,3.85
Less,3.68
Darkdawn,4.34
The Dreamers,3.56
Shine,3.83
Wraeththu,3.94
Undercover Princess,4.0
Shattered Glass,4.07
Now I Rise,4.2
The Interludes,4.48
At the Edge of the Universe,4.15
In the Middle of Somewhere,4.18
Kissing the Witch,3.89
The Bone Dolls Twin,4.05
You Know Me Well,3.74
Grasshopper Jungle,3.63
Afterworlds,3.73
If I Was Your Girl,4.0
An Absolutely Remarkable Thing,4.02
Hotel World,3.58
The Realm of Possibility,3.93
Wide Awake,3.72
The Tyrants Tomb,4.32
Sawkill Girls,3.71
Fish and Chips,4.47
In Other Lands,4.34
Damaged Like Us,4.02
Two Serious Ladies,3.66
Find Me,3.32
At Swim Two Boys,4.08
A Heros Tale,4.54
Try,4.21
The Watchmaker of Filigree Street,3.73
Suicide Notes,3.89
Goodbye to Berlin,3.95
Something Like Summer,4.07
We Are All Made of Molecules,3.87
A Journey of the Heart,4.46
The Year of Ice,3.89
The Man Who Fell in Love with the Moon,4.21
Dancer,3.93
Sticks and Stones,4.38
Stars in My Pocket Like Grains of Sand,3.88
Boys Dont Cry,4.09
Captive,4.29
The Counterfeiters,3.86
Chameleon Moon,4.07
The Legend of Korra,4.31
Hushed,4.03
When the Moon Was Ours,3.93
City of Night,3.91
A Season in Hell,4.11
Solitaire,3.56
Her Body and Other Parties,3.91
Children of Eden,3.89
Dream Boy,3.92
In One Person,3.68
Down Among the Sticks and Bones,4.16
Maggot Moon,3.81
The Lightning Struck Heart,4.45
Lovers Like Us,4.29
Conversations with Friends,3.81
Unmade,3.89
Traitors Moon,4.12
Into This River I Drown,4.18
Girl Serpent Thorn,3.79
This Is How You Lose the Time War,3.96
Lord John and the Private Matter,3.71
Suicide Notes from Beautiful Girls,3.45
Palimpsest,3.66
Geography Club,3.74
The Burning Maze,4.36
Neil Patrick Harris,3.84
Leave Myself Behind,4.09
Close Range,3.99
Pages for You,3.93
My Loose Thread,3.48
Ninefox Gambit,3.83
The Charioteer,4.09
Half Lost,4.01
Afterimage,4.32
And the Band Played On,4.36
The Red Scrolls of Magic,4.2
Bright We Burn,4.35
Trumpet,4.06
Happy Accidents,3.69
The Third Wedding,4.18
The Fry Chronicles,3.87
The Ship of the Dead,4.39
It Gets Worse,4.23
Shades of Gray,4.04
Hot Head,4.02
The Porcupine of Truth,3.9
The Powerbook,3.65
Gut Symmetries,3.8
George,4.06
The Will of the Empress,4.18
Party Monster,4.09
Rough Raw and Ready,4.21
Havemercy,3.63
The Well of Loneliness,3.68
Bareback,3.97
The Girl at Midnight,3.73
Possible Side Effects,3.99
The Heart of Texas,3.91
The Front Runner,4.11
Prayers for Bobby,4.28
Black Girl in Paris,3.83
The Catch Trap,4.18
Inside the Outside,3.94
Girl Unmoored,4.08
Vanity Fierce,3.73
On a Sunbeam,4.26
The Culling,3.82
The Gravity Between Us,3.84
Outcaste,4.75
Confessions of a Mask,3.93
Regularly Scheduled Life,3.96
Whipping Girl,4.23
The Heart Is Deceitful Above All Things,3.64
See You at Harrys,4.12
The Before Now and After Then,4.02
Saga Vol ,4.57
The Holy Terrors,3.76
As Meat Loves Salt,3.9
XO Blake,3.58
Laura Dean Keeps Breaking Up with Me,4.03
Darius the Great Is Not Okay,4.29
The Fever King,3.83
The Fires Stone,3.99
Johnno,3.72
The Collected Poems of Wilfred Owen,4.34
Naamahs Kiss,4.11
The Autobiography of Alice B Toklas,3.59
Divide and Conquer,4.48
Slide,4.08
Memorizing You,4.36
The Master,3.83
The First Bad Man,3.61
Holding the Man,4.35
Girl Woman Other,4.42
What is Not Yours is Not Yours,3.64
Liquor,3.93
The Vesuvius Club,3.58
Latakia,4.23
Unsaid,3.52
We Are Water,3.81
The Summer Palace,4.43
I Wish You All the Best,4.13
Always,4.2
Evenfall,4.22
