title,rating
The Help,4.47
The Time Travelers Wife,3.97
My Sisters Keeper,4.08
The Notebook,4.11
The Secret Life of Bees,4.06
A Walk to Remember,4.18
Eat Pray Love,3.57
Fifty Shades of Grey,3.66
The Other Boleyn Girl,4.07
The Selection,4.13
Shes Come Undone,3.88
White Oleander,3.97
Beautiful Disaster,4.09
Fangirl,4.05
Fried Green Tomatoes at the Whistle Stop Cafe,4.28
Fifty Shades Darker,3.84
Bridget Joness Diary,3.78
Me Before You,4.26
Fifty Shades Freed,3.85
Dear John,4.03
The Last Song,4.15
Anna and the French Kiss,4.01
Hopeless,4.29
Nineteen Minutes,4.13
Divine Secrets of the Ya Ya Sisterhood,3.83
The One,4.2
Bared to You,4.18
Chocolat,3.96
Perfect Chemistry,4.06
Just Listen,4.06
The Truth About Forever,4.12
The Elite,4.02
PS I Love You,4.02
Slammed,4.26
The Memory Keepers Daughter,3.67
One for the Money,4.04
Id Tell You I Love You But Then Id Have to Kill You,3.83
The Sisterhood of the Traveling Pants,3.8
Message in a Bottle,3.96
Love Story,3.62
Confessions of a Shopaholic,3.65
The Edge of Never,4.23
The Shell Seekers,4.16
One Day,3.8
To All the Boys Ive Loved Before,4.15
Walking Disaster,4.2
Gabriels Inferno,4.0
The Bridges of Madison County,3.62
Reflected in You,4.32
The Lucky One,4.12
Where the Heart Is,4.02
Thoughtless,4.1
The Wedding,3.99
Easy,4.08
The Pact,4.01
This Lullaby,4.02
Ugly Love,4.25
The Horse Whisperer,3.81
Safe Haven,4.21
The Guardian,4.15
Along for the Ride,4.06
A Bend in the Road,4.03
Suzannes Diary for Nicholas,4.17
The Devil Wears Prada,3.75
Point of Retreat,4.27
Lock and Key,4.0
Valley of the Dolls,3.76
On Dublin Street,4.21
Rules of Attraction,4.19
Practical Magic,3.77
The Rescue,4.11
Nights in Rodanthe,3.84
Fallen Too Far,4.18
The Choice,4.0
Pretty Little Liars,3.87
Love Rosie,3.94
Fifty Shades Trilogy,4.11
Effortless,4.36
Garden Spells,4.06
Losing Hope,4.34
Wait for You,4.17
The Princess Diaries,3.79
Cross My Heart and Hope to Spy,4.12
Something Borrowed,3.85
The Sky Is Everywhere,3.99
It Ends with Us,4.4
Gabriels Rapture,4.22
The Summer I Turned Pretty,3.92
Dont Judge a Girl by Her Cover,4.2
Can You Keep a Secret,3.84
Entwined with You,4.19
The Opportunist,4.21
Midwives,3.99
Wallbanger,4.05
The Boy Who Sneaks in My Bedroom Window,3.91
Hometown Girl at Heart,4.3
The Heir,3.78
Only the Good Spy Young,4.29
Lola and the Boy Next Door,3.95
Big Little Lies,4.27
The Rosie Project,4.02
On the Island,4.12
The Language of Flowers,4.08
Firefly Lane,4.08
The DUFF,3.82
Eleanor Oliphant Is Completely Fine,4.28
Before I Die,3.83
Beautiful Bastard,4.01
Just One Day,4.0
After Forever Ends,4.04
My Life Next Door,3.99
Chain Reaction,4.1
The Seven Husbands of Evelyn Hugo,4.35
Reckless,4.41
Twilight,4.24
Dreamland,3.9
This Girl,4.13
Amy and Rogers Epic Detour,4.0
The Coincidence of Callie and Kayden,4.18
Someone Like You,3.93
Explosion in Paris,4.12
House Rules,4.02
Avalon High,3.81
Since Youve Been Gone,4.12
Tangled,4.08
PS I Still Love You,4.11
Heist Society,3.91
Shadowland,4.03
The Tea Rose,4.19
Leaving Paradise,4.0
Maybe Someday,4.27
At First Sight,3.83
Love on the Line,4.3
Good in Bed,3.73
Attachments,3.9
Ive Got Your Number,3.94
True Believer,3.81
Never Too Far,4.19
Change of Heart,3.93
Out of Sight Out of Time,4.33
The Best of Me,3.94
The Husbands Secret,3.94
The Longest Ride,4.15
The Statistical Probability of Love at First Sight,3.77
Twenties Girl,3.83
Bet Me,3.94
Whitney My Love,4.16
November ,4.34
Undead and Unwed,3.82
Rule,4.13
Love Unscripted,4.02
Forsaken,4.1
The Soldiers Wife,3.89
Isla and the Happily Ever After,4.04
Taking Chances,3.85
Playing for Keeps,4.05
 Little Blue Envelopes,3.63
Tara Road,3.91
Thief,4.37
Plain Truth,3.98
If You Could See Me Now,3.86
Going Too Far,3.92
Sundays at Tiffanys,3.77
The Nanny Diaries,3.43
Circle of Friends,4.03
What Alice Forgot,4.08
My Name Is Memory,3.71
Gabriels Redemption,4.22
The Sugar Queen,3.98
Remember Me,3.78
Grey,3.79
I Have Never,4.17
Sex in the Title,3.45
Ten Tiny Breaths,4.12
Flat Out Love,4.0
Well Always Have Summer,4.11
The Distance Between Us,3.92
Forever Amber,3.99
The Island,4.05
Syrian Brides,4.17
North of Beautiful,3.92
Kiss an Angel,4.21
United We Spy,4.44
Paradise,4.31
Airhead,3.77
The Hating Game,4.14
Keeping the Moon,3.85
What Happened to Goodbye,3.95
Sweet Dreams,4.4
Austenland,3.55
Finding Audrey,3.77
Reunion,4.08
Forever Too Far,4.22
Vain,4.23
Losing It,3.74
Confess,4.22
Whered You Go Bernadette,3.89
Angus Thongs and Full Frontal Snogging,3.75
The Lying Game,3.93
My Favorite Mistake,3.99
Jemima J,3.65
Haunted,4.14
Its Not Summer Without You,4.09
The Marriage Bargain,3.81
Bridget Jones,3.59
Three Weeks With My Brother,4.03
Saving CeeCee Honeycutt,3.94
Mystery Man,4.23
Twisted Perfection,4.24
Hunting and Gathering,4.1
Darkest Hour,4.16
The Glass Lake,3.94
Ninth Key,4.06
Sugar Daddy,4.01
The Queens Fool,3.86
The Gamble,4.27
Hometown Girl After All,4.29
Winter Garden,4.18
Prep,3.39
Edenbrooke,4.33
Hometown Girl Forever,4.29
Nick and Norahs Infinite Playlist,3.7
The Sweet Gum Tree,4.28
Landline,3.55
Once and Always,4.2
Jack Who,3.64
Dirty Red,4.21
How to Kill a Rock Star,4.06
The Girl Who Chased the Moon,3.97
Jinx,3.71
Scarlett,3.53
Something Wonderful,4.32
The Mermaid Chair,3.17
The Catastrophic History of You and Me,4.03
Captivated by You,4.1
Under the Tuscan Sun,3.76
The Secret of Ella and Micha,4.0
Rock Chick,4.18
A Woman of Substance,4.18
Leaving Time,3.96
The Luxe,3.63
Motorcycle Man,4.41
Shopaholic and Baby,3.79
Vanishing Acts,3.7
Breathe,3.86
The Crown,3.76
Devil in Winter,4.25
The Secret History of the Pink Carnation,3.68
The Death and Life of Charlie St Cloud,4.01
Collide,4.21
Uncommon Criminals,4.13
A Beautiful Wedding,4.03
Just the Sexiest Man Alive,3.93
Almost Heaven,4.33
Twenty Boy Summer,3.89
Seduction and Snacks,4.1
Sloppy Firsts,3.95
Girl Online,3.71
Christmas in Smithville,4.26
Just for Now,4.24
Fortunes Rocks,3.88
Love Walked In,3.72
After You,3.73
Shopaholic Takes Manhattan,3.77
The Mighty Storm,4.17
Crash,3.99
Perfect,4.3
Fugly,3.92
Beautiful Stranger,4.2
How to Be Popular,3.55
Because of Low,4.13
This Charming Man,3.77
Perfect Scoundrels,4.28
The Second Summer of the Sisterhood,3.79
Being Nikki,3.86
The Perfect Game,3.95
Light a Penny Candle,3.91
The Peach Keeper,3.85
Juliet,3.91
Crazy Rich Asians,3.85
A Countess Below Stairs,3.88
My Not So Perfect Life,3.8
Truly Madly Guilty,3.57
The Lonely Hearts Club,3.8
High Five,4.18
Flawless,3.93
The Edge of Always,4.01
China Rich Girlfriend,3.82
Eleven on Top,4.16
The Clique,3.6
The Duke and I,4.05
The Vincent Boys,3.97
To the Nines,4.17
The Girl You Left Behind,3.99
The Winter Rose,4.31
Teen Idol,3.53
Thanks for the Memories,3.7
The Fill In Boyfriend,3.92
The Guard,3.76
While It Lasts,4.23
Price of a Kiss,4.08
Three to Get Deadly,4.14
The Pilots Wife,3.54
When It Rains,4.24
Heaven Texas,4.07
The Vincent Brothers,4.12
Handle with Care,3.98
Vision in White,4.12
Why We Broke Up,3.47
Nice Girls Dont Have Fangs,3.91
The Will,4.29
Salem Falls,3.82
The Mother Daughter Book Club,4.06
Catching Jordan,3.85
The Prince,3.94
Princess in the Spotlight,3.68
The Jane Austen Book Club,3.11
Until November,4.12
The Undomestic Goddess,3.84
Anybody Out There,3.92
Dream a Little Dream,4.18
Message from Nam,4.07
Beauty from Pain,4.23
One Plus One,3.95
Summer Sisters,3.84
Beautiful Oblivion,4.11
Two for the Dough,4.11
Four to Score,4.17
Perfect,3.99
God Shaped Hole,4.04
Unbelievable,4.03
A Kingdom of Dreams,4.23
Twelve Sharp,4.15
Sisterhood Everlasting,3.9
Down London Road,4.23
Hard Eight,4.17
Always and Forever Lara Jean,4.12
You Against Me,3.7
All My Life,3.53
Perfect Match,3.95
Seven Up,4.16
Rachels Holiday,3.96
Forget You,3.79
Hot Six,4.19
Blue Eyed Devil,4.2
The Viscount Who Loved Me,4.17
Fire with Fire,4.09
Law Man,4.32
Down to You,4.04
All American Girl,3.74
And Ladies of the Club,4.14
The Last Letter from Your Lover,3.97
Burn for Burn,3.83
Lean Mean Thirteen,4.09
One Tiny Lie,4.27
Rush,3.94
Shopaholic Ties the Knot,3.78
Second Chance Summer,4.15
Shopaholic and Sister,3.67
A Rose in Winter,4.16
Love Unrehearsed,4.25
Charly,3.99
Runaway,3.91
Breathe,4.35
Stranded with a Billionaire,3.84
Perfect You,3.7
Did I Mention I Love You,3.91
The Time of My Life,3.86
Sing You Home,3.78
Pants on Fire,3.65
Wideacre,3.31
Own the Wind,4.21
Paper Princess,4.0
Wanted,4.13
Wedding Night,3.43
Lick,4.11
Every Boys Got One,3.76
Something About You,3.95
The Assistant,3.97
Seduce Me at Sunrise,4.09
Forever Princess,4.1
Keeping Faith,3.8
A Place Called Here,3.67
Tempt Me at Twilight,4.18
The Tenth Circle,3.51
Roses,4.05
Every Breath,4.02
Forever in Blue,3.81
Crush,4.31
Something Blue,3.93
Crush,4.22
Jewels of the Sun,4.22
Night Road,4.18
Romancing Mister Bridgerton,4.18
Charade,3.97
Oh My Gods,3.79
Dumplin,3.9
Unscrupulous,3.7
Happy Ever After,4.17
Undressed,3.63
Princess in Love,3.77
Two Way Street,3.79
The Summer I Turned Pretty Trilogy,4.42
Return to Paradise,4.04
The Wall of Winnipeg and Me,4.32
The Friday Night Knitting Club,3.42
Rock the Heart,4.0
Fixed on You,4.14
The Marriage Trap,3.89
The Smoke Jumper,4.06
The Boy Next Door,3.82
Open House,3.7
Sweet Filthy Boy,4.11
Good Grief,3.73
Hometown Girl Again,4.24
Between the Lines,3.58
That Boy,3.93
PS I Like You,4.08
Paint it Black,3.48
Hes Just Not That Into You,3.66
Rock Chick Rescue,4.3
Sweet Thing,3.98
Secrets of a Summer Night,4.05
The Divergent Series  Book Collection,4.54
Love the One Youre With,3.72
Killer,4.05
Lady Luck,4.42
Trust in Me,4.25
The Air He Breathes,4.19
Smokin Seventeen,3.96
My Fair Godmother,3.92
A Spark of Light,3.7
That Wedding,4.14
Boy Meets Girl,3.83
The Proposition,4.03
Black and Blue,3.89
Girls in Pants,3.82
See Me,3.96
Beauty Queens,3.61
A Lot like Love,4.08
Rich People Problems,3.93
Waiting for You,3.84
When It Happens,3.75
Nine Perfect Strangers,3.51
Shanna,4.13
The Sunflower,4.11
Angels Fall,4.01
The Rosie Effect,3.61
As You Wish,3.69
Rock Chick Regret,4.54
Friend Zoned,3.96
Saint Anything,4.03
Bed of Roses,4.12
The Summerhouse,3.95
Checkmate,4.14
Second Glance,3.79
A Unique Kind of Love,4.17
Left Neglected,3.97
Are You There Vodka,3.85
Perfection,4.15
This Is What Happy Looks Like,3.68
Sanctuary,4.1
Beautiful Broken Rules,4.12
The Queen,3.91
Wicked Appetite,3.77
Some Girls Are,3.87
It Had to Be You,4.03
Temptation,3.77
Second Helpings,4.07
How to Love,3.71
At Peace,4.47
Knight in Shining Suit,4.38
Mr Maybe,3.46
The Midwifes Confession,4.07
Smooth Talking Stranger,4.15
Tully,3.89
From Ashes,4.12
The Other Side of the Story,3.79
Savor the Moment,4.14
Golden Trail,4.31
My Best Friends Girl,4.04
Little Altars Everywhere,3.57
Safe House,4.1
Gamer Girl,3.77
Code Name Cassandra,4.06
How to Flirt with a Naked Werewolf,3.97
Sing Me to Sleep,3.96
Goddess Boot Camp,3.89
Size  Is Not Fat,3.74
This Heart of Mine,4.11
Never Have I Ever,4.01
Just One Year,3.89
Me and Emma,3.91
Knight,3.93
It Happened One Wedding,4.08
The Unwanted Wife,3.94
Dairy Queen,3.74
Something Like Fate,3.7
True Love Story,4.06
One Day in December,3.95
Whats Left of Me,4.28
Forever   ,3.62
That Summer,3.48
The Probability of Miracles,3.91
My Horizontal Life,3.79
The Seven Sisters,4.18
Blue Skies,4.15
Bloom,3.69
Megan Meades Guide to the McGowan Boys,3.93
Virgin River,4.06
Rock Chick Redemption,4.42
Beautiful Player,4.33
Blackberry Wine,3.8
Me and Mr Darcy,3.22
Wicked,4.01
Music of the Heart,3.99
The Scarlet Thread,4.18
Audrey Wait ,3.76
Faking It,3.94
Two Truths and a Lie,3.98
Tempting the Best Man,3.71
Little Earthquakes,3.78
The Last Summer ,3.59
Heartless,4.07
You Had Me At Hello,3.79
Heaven,4.03
For You,4.19
Heart on a Chain,4.03
High Noon,3.98
Sometimes It Lasts,4.27
So Much Closer,3.69
Meant to Be,3.7
Rush Too Far,4.22
Epic Fail,3.73
Wild Man,4.2
Echoes of Scotland Street,4.26
The Deep End of the Ocean,3.87
Splendor,3.84
The Girls Guide to Hunting and Fishing,3.33
Dance Upon the Air,4.2
Sams Letters to Jennifer,4.16
Carolina Moon,4.06
The Proposal,4.04
Gossip Girl,3.52
Shanghai Baby,3.21
Aint She Sweet,4.07
Bad Romeo,4.04
Still Me,4.13
I Dont Want To Be Friends,4.44
Bitten and Smitten,3.68
Reunion,4.51
The It Girl,3.66
Love in English,4.07
Rock Chick Revenge,4.48
When Never Comes,4.02
Calling Me Home,4.23
American Wife,3.74
Mr Perfect,4.06
Committed,3.42
Friend Zone,3.76
Black Hills,4.11
The Book of Luke,3.74
Why Men Love Bitches,3.9
Princess in Training,3.71
Keep Holding On,3.85
Dont Die My Love,4.14
Sleepaway Girls,4.07
Practice Makes Perfect,3.97
The Lost Art of Keeping Secrets,3.94
True Colors,3.95
When Lightning Strikes,4.05
Agnes and the Hitman,3.94
The Gift,3.69
Before Jamaica Lane,4.33
Alex Approximately,4.0
Eligible,3.61
