title,rating
To Kill a Mockingbird,4.28
Pride and Prejudice,4.26
Animal Farm,3.95
JRR Tolkien  Book Boxed Set,4.6
Gone with the Wind,4.3
Wuthering Heights,3.86
The Picture of Dorian Gray,4.08
Alices Adventures in Wonderland and Through the Looking Glass,4.06
Jane Eyre,4.13
Les Miserables,4.18
Fahrenheit ,3.99
Lord of the Flies,3.69
Romeo and Juliet,3.75
The Alchemist,3.88
Crime and Punishment,4.22
The Great Gatsby,3.92
The Little Prince,4.31
Of Mice and Men,3.88
Dracula,4.0
Brave New World,3.99
One Hundred Years of Solitude,4.08
The Catcher in the Rye,3.81
The Secret Garden,4.13
A Thousand Splendid Suns,4.38
The Adventures of Huckleberry Finn,3.82
The Odyssey,3.77
Life of Pi,3.91
A Tale of Two Cities,3.85
Lolita,3.89
Slaughterhouse Five,4.08
Frankenstein,3.81
The Kite Runner,4.3
The Handmaids Tale,4.11
Catch ,3.98
The Pillars of the Earth,4.31
The Adventures of Sherlock Holmes,4.3
Watership Down,4.06
Great Expectations,3.78
Little Women,4.09
The Bell Jar,4.01
One Flew Over the Cuckoos Nest,4.19
Anna Karenina,4.05
The Fellowship of the Ring,4.36
The Color Purple,4.22
A Tree Grows in Brooklyn,4.27
A Clockwork Orange,3.99
The Road,3.97
The Brothers Karamazov,4.32
Angelas Ashes,4.11
Siddhartha,4.03
The Poisonwood Bible,4.06
Don Quixote,3.88
Atlas Shrugged,3.69
The Old Man and the Sea,3.78
The Complete Stories and Poems,4.38
A Prayer for Owen Meany,4.23
Moby Dick or the Whale,3.51
Middlesex,4.01
The Stranger,3.98
The Master and Margarita,4.29
The Adventures of Tom Sawyer,3.91
Flowers for Algernon,4.14
On the Road,3.62
The Metamorphosis,3.82
The Shadow of the Wind,4.27
The Curious Incident of the Dog in the Night Time,3.88
The Unbearable Lightness of Being,4.1
The Name of the Rose,4.12
The Godfather,4.36
The Scarlet Letter,3.41
In Cold Blood,4.07
Fight Club,4.19
The Count of Monte Cristo,4.25
Lonesome Dove,4.48
Perfume,4.02
The Little House Collection,4.34
The Divine Comedy,4.05
Peter Pan,4.05
All Quiet on the Western Front,3.98
The Compleat Works of Wllm Shkspr ,4.44
Love in the Time of Cholera,3.92
The Ultimate Hitchhikers Guide to the Galaxy,4.36
Atonement,3.91
The Importance of Being Earnest,4.18
Their Eyes Were Watching God,3.94
The Three Musketeers,4.07
The Wonderful Wizard of Oz,3.98
Tess of the DUrbervilles,3.8
The Good Earth,3.99
Heart of Darkness,3.43
A Midsummer Nights Dream,3.95
The Prophet,4.22
The Joy Luck Club,3.93
Alice in Wonderland,4.02
The Call of the Wild,3.87
Jonathan Livingston Seagull,3.84
The Neverending Story,4.17
Oliver Twist,3.87
Ulysses,3.73
Treasure Island,3.83
The Canterbury Tales,3.5
The World According to Garp,4.09
A Farewell to Arms,3.81
David Copperfield,4.0
Extremely Loud and Incredibly Close,3.97
Murder on the Orient Express,4.17
A Little Princess,4.2
The Other Boleyn Girl,4.07
Schindlers List,4.34
The Silmarillion,3.93
The Secret Magdalene,4.07
Beloved,3.87
The Trial,3.96
A Confederacy of Dunces,3.89
The Sun Also Rises,3.82
The Iliad,4.04
The Crucible,3.59
Cats Cradle,4.16
The God of Small Things,3.94
The Wind in the Willows,3.98
Girl with a Pearl Earring,3.89
The Phantom of the Opera,3.96
The Wind Up Bird Chronicle,4.16
Blindness,4.13
The Sound and the Fury,3.86
For Whom the Bell Tolls,3.97
Fear and Loathing in Las Vegas,4.08
The House of the Spirits,4.24
Roots,4.43
Othello,3.9
Flow Down Like Silver,4.42
The Idiot,4.18
King Lear,3.91
The Once and Future King,4.05
I Know This Much Is True,4.19
Uncle Toms Cabin,3.87
The Complete Sherlock Holmes,4.48
Candide,3.77
Invisible Man,3.88
Paradise Lost,3.81
All Creatures Great and Small,4.32
The Complete Works,4.5
Norwegian Wood,4.03
The Things They Carried,4.13
The Cider House Rules,4.13
The Time Machine,3.89
Kafka on the Shore,4.13
Sophies World,3.93
Walden,3.78
The Awakening,3.65
Sophies Choice,4.18
The Prince of Tides,4.24
Never Let Me Go,3.82
Middlemarch,3.97
Things Fall Apart,3.68
Bridget Joness Diary,3.78
Mrs Dalloway,3.79
Franny and Zooey,3.98
The Lord of the Rings,4.5
Black Beauty,3.96
The Hound of the Baskervilles,4.12
A Portrait of the Artist as a Young Man,3.62
Gullivers Travels,3.57
Bel Canto,3.93
American Psycho,3.82
The Complete Novels,4.56
Cold Mountain,3.86
White Fang,3.98
Beowulf,3.45
Steppenwolf,4.13
The Tell Tale Heart and Other Writings,4.17
As I Lay Dying,3.72
A Separate Peace,3.58
Mansfield Park,3.86
The Amazing Adventures of Kavalier and Clay,4.18
Midnights Children,3.98
The Martian Chronicles,4.14
The English Patient,3.88
East of Eden,4.38
Cloud Atlas,4.01
Zen and the Art of Motorcycle Maintenance,3.77
My Antonia,3.8
Doctor Zhivago,4.01
The Hunchback of Notre Dame,3.99
Robinson Crusoe,3.68
Inferno,4.0
Like Water for Chocolate,3.95
Breakfast at Tiffanys and Three Stories,3.88
Breakfast of Champions,4.07
A Fine Balance,4.35
The Strange Case of Dr Jekyll and Mr Hyde,3.82
Death of a Salesman,3.53
The Plague,4.01
A Streetcar Named Desire,3.98
Infinite Jest,4.28
The Prince,3.82
Hamlet,4.02
Faust First Part,3.93
Snow Flower and the Secret Fan,4.08
The Remains of the Day,4.12
The Shipping News,3.86
The Scarlet Pimpernel,4.06
The Chosen,4.04
High Fidelity,3.93
Blood Meridian or the Evening Redness in the West,4.17
Houdini Heart,4.22
Pippi Longstocking,4.13
The Virgin Suicides,3.82
The Reader,3.76
The Age of Innocence,3.95
Waiting for Godot,3.83
The Grapes of Wrath,3.97
