title,rating
Harry Potter and the Order of the Phoenix,4.5
JRR Tolkien  Book Boxed Set,4.6
City of Bones,4.1
Harry Potter and the Sorcerers Stone,4.47
The Lightning Thief,4.26
Harry Potter and the Deathly Hallows,4.62
Matilda,4.32
The Fellowship of the Ring,4.36
Vampire Academy,4.12
Harry Potter and the Prisoner of Azkaban,4.57
Harry Potter and the Goblet of Fire,4.56
Harry Potter and the Half Blood Prince,4.57
The Name of the Wind,4.53
Eragon,3.9
Harry Potter and the Chamber of Secrets,4.43
The Lion the Witch and the Wardrobe,4.22
The Last Olympian,4.51
Shadow Kiss,4.35
The Wonderful Wizard of Oz,3.98
Frostbite,4.27
Blood Promise,4.32
The Battle of the Labyrinth,4.39
The Mists of Avalon,4.11
The Titans Curse,4.35
The Sea of Monsters,4.24
Wicked,3.54
His Dark Materials,4.25
Last Sacrifice,4.39
The Night Circus,4.03
Throne of Glass,4.2
Spirit Bound,4.35
City of Fallen Angels,4.12
Ella Enchanted,3.98
Howls Moving Castle,4.26
Inkheart,3.88
Graceling,4.08
City of Lost Souls,4.27
The Wise Mans Fear,4.56
A Court of Mist and Fury,4.62
The Magicians Nephew,4.04
Stardust,4.08
The Way of Kings,4.63
The Witches,4.17
The Final Empire,4.45
Beautiful Creatures,3.76
Eldest,3.99
The Eye of the World,4.17
Brisingr,4.05
The Amber Spyglass,4.09
Six of Crows,4.43
Harry Potter Series Box Set,4.73
Daughter of Smoke and Bone,4.01
City of Heavenly Fire,4.44
Evermore,3.59
The Subtle Knife,4.13
Jonathan Strange and Mr Norrell,3.82
Artemis Fowl,3.85
The Tales of Beedle the Bard,4.06
The House of Hades,4.54
Betrayed,3.93
A Court of Thorns and Roses,4.22
Untamed,3.95
Crown of Midnight,4.42
Heir of Fire,4.48
Chosen,3.91
The Iron King,3.9
Bloodlines,4.2
Wizards First Rule,4.12
A Great and Terrible Beauty,3.78
The Witching Hour,4.11
The Summoning,4.02
Red Queen,4.04
City of Glass,4.31
A Discovery of Witches,4.0
The Return of the King,4.53
Sabriel,4.15
The Goose Girl,4.12
Wicked Lovely,3.69
Queen of Shadows,4.55
Hunted,3.93
The Last Unicorn,4.15
The Raven Boys,4.05
The Red Pyramid,4.08
Poison Study,4.11
The Two Towers,4.44
Inheritance,4.1
Shadowfever,4.41
Words of Radiance,4.75
Alanna,4.24
A Wizard of Earthsea,3.99
Assassins Apprentice,4.15
Tempted,3.95
Crooked Kingdom,4.58
City of Ashes,4.17
Carry On,4.22
Empire of Storms,4.54
Fire,4.1
The Color of Magic,3.99
The Hero of Ages,4.48
