title,rating
The Da Vinci Code,3.86
The Lovely Bones,3.82
The Adventures of Sherlock Holmes,4.3
The Girl with the Dragon Tattoo,4.14
Rebecca,4.23
The Complete Stories and Poems,4.38
And Then There Were None,4.26
The Shining,4.23
Looking for Alaska,4.02
The Shadow of the Wind,4.27
The Curious Incident of the Dog in the Night Time,3.88
The Name of the Rose,4.12
The Godfather,4.36
In Cold Blood,4.07
Fight Club,4.19
Perfume,4.02
Holes,3.97
It,4.24
The Girl Who Played with Fire,4.24
The Maze Runner,4.03
Murder on the Orient Express,4.17
The Silence of the Lambs,4.2
The Phantom of the Opera,3.96
The Wind Up Bird Chronicle,4.16
The Green Mile,4.45
Misery,4.17
The Girl Who Kicked the Hornets Nest,4.22
The Secret History,4.09
Paper Towns,3.8
The Historian,3.79
The Complete Sherlock Holmes,4.48
Gone Girl,4.08
The Thirteenth Tale,3.97
Different Seasons,4.34
Dead Until Dark,3.96
A Time to Kill,4.07
The Hound of the Baskervilles,4.12
American Psycho,3.82
The Tell Tale Heart and Other Writings,4.17
Salems Lot,4.03
The Firm,4.02
The Strange Case of Dr Jekyll and Mr Hyde,3.82
Midnight in the Garden of Good and Evil,3.92
The Angel Experiment,4.07
Miss Peregrines Home for Peculiar Children,3.91
Flowers in the Attic,3.82
The Scarlet Pimpernel,4.06
Houdini Heart,4.22
Nineteen Minutes,4.13
The Devil in the White City,3.99
The Lost Symbol,3.71
Snow Falling on Cedars,3.84
Bleak House,4.0
The Elephant Tree,4.14
Pet Sematary,4.0
The Woman in White,3.99
Angels and Demons,3.9
Trainspotting,4.07
The Unbecoming of Mara Dyer,4.05
The Zombie Room,4.16
Dead to the World,4.12
No Country for Old Men,4.12
The Bad Beginning,3.95
The Westing Game,4.01
We Were Liars,3.84
The Goldfinch,3.92
The Wasp Factory,3.81
The Eyre Affair,3.88
The Talisman,4.13
The Blind Assassin,3.95
Foucaults Pendulum,3.9
The Scorch Trials,3.91
The Bourne Identity,4.02
Possession,3.88
Watchers,4.18
One for the Money,4.04
The Haunting of Hill House,3.84
The Magus,4.05
Inferno,3.85
The Lies of Locke Lamora,4.28
Id Tell You I Love You But Then Id Have to Kill You,3.83
From the Mixed Up Files of Mrs Basil E Frankweiler,4.15
The Big Sleep,3.99
The No  Ladies Detective Agency,3.79
Odd Thomas,3.97
Club Dead,4.02
Under the Dome,3.91
Living Dead in Dallas,3.96
Digital Fortress,3.66
Something Wicked This Way Comes,3.93
The Girl on the Train,3.93
Death on the Nile,4.1
The Invention of Hugo Cabret,4.22
I Am the Messenger,4.05
The Forgotten Garden,4.14
Kane and Abel,4.31
Shutter Island,4.08
Mystic River,4.17
Guilty Pleasures,4.02
Dead as a Doornail,4.0
House of Leaves,4.06
The Hunt for Red October,4.07
Requiem for a Dream,4.09
The Millennium Trilogy ,4.48
Factotum,3.94
Lunar Park,3.64
Sometimes a Great Notion,4.18
The Murder of Roger Ackroyd,4.24
The Pact,4.01
Deception Point,3.72
Sharp Objects,3.98
From Dead to Worse,4.01
All Together Dead,4.05
Dark Places,3.93
Dead and Gone,4.02
The Maltese Falcon,3.9
Skagboys,3.92
The Runaway Jury,3.99
The Guardian,4.15
A Bend in the Road,4.03
Suzannes Diary for Nicholas,4.17
Smillas Sense of Snow,3.74
A Study in Scarlet,4.16
The Client,4.02
Across the Universe,3.77
Let the Right One In,4.05
Storm Front,3.99
We Have Always Lived in the Castle,3.99
Dirk Gentlys Holistic Detective Agency,3.98
Fingersmith,4.01
The Collector,3.98
Helter Skelter,4.04
The Mysterious Benedict Society,4.17
A Scanner Darkly,4.01
Una Historia de Ayer,4.69
The Turn of the Screw,3.43
The Crying of Lot ,3.69
Jaws,3.97
Before I Go to Sleep,3.89
Hearts in Atlantis,3.83
The Beekeepers Apprentice,4.06
Red Dragon,4.03
Harriet the Spy,3.95
The Raven and Other Poems,4.3
The Evolution of Mara Dyer,4.28
Needful Things,3.92
Alias Grace,4.03
On the Jellicoe Road,4.13
Pretty Little Liars,3.87
The Dead Zone,3.93
The Pelican Brief,4.01
The Spy Who Came In from the Cold,4.06
The Angels Game,3.93
Cross My Heart and Hope to Spy,4.12
Naked in Death,4.12
Stolen,3.91
Broken Promises ,4.31
Haunted,3.58
The Pandarus File,4.43
The Thief Lord,3.97
River God,4.2
China Blues,4.11
Lullaby,3.73
The Traitors Emblem,3.83
Dont Judge a Girl by Her Cover,4.2
If Tomorrow Comes,4.04
Hollow City,4.05
Kissed by an Angel,4.08
Where the Crawdads Sing,4.47
The Casual Vacancy,3.3
The Manufactured Identity,3.51
Killing Floor,4.05
Dolores Claiborne,3.87
The Third Policeman,4.0
Skulduggery Pleasant,4.13
The Day of the Jackal,4.26
Midwives,3.99
The New York Trilogy,3.88
The False Prince,4.19
Tell No One,4.11
The Book of Lost Things,3.95
Boys Life,4.36
Turtles All the Way Down,3.95
People of the Book,4.02
The Cuckoos Calling,3.86
Only the Good Spy Young,4.29
Tinker Tailor Soldier Spy,4.04
Big Little Lies,4.27
Kiss the Girls,3.97
Keeper of the Lost Cities,4.46
Master of the Game,4.12
Ana Rocha,4.23
Franz Kafkas The Castle ,4.08
The Moonstone,3.9
Table ,3.65
The Raven,4.29
The Surgeon,4.09
The Eight,3.91
Red Storm Rising,4.17
Caraval,3.95
The Bone Collector,4.19
Post Office,3.98
Dead in the Family,3.89
My Name Is Red,3.85
The Ultimate Religion,4.39
Diary,3.61
The Selected Writings of Edgar Allan Poe,4.3
The Mysterious Affair at Styles,3.99
Death Note Vol ,4.44
The Girl Who Loved Tom Gordon,3.61
Code Name Verity,4.03
The Human Obsession,4.14
Crash,3.6
Liseys Story,3.68
The Diviners,3.95
Thud ,4.33
The Sense of an Ending,3.73
Ghost Story,3.95
Intensity,4.04
The Daughter of Time,3.92
Lips of a Mastodon,3.9
Dark Matter,4.09
Eye of the Needle,4.19
The Reptile Room,3.98
Defending Jacob,3.98
Twilight,4.24
Doctor Sleep,4.12
The Fall of the House of Usher and Other Tales,4.17
More Than This,3.98
To Say Nothing of the Dog,4.13
The House at Riverton,3.94
The Rainmaker,3.95
The Long Goodbye,4.21
The Cadaver Factory,4.35
The Long Dark Tea Time of the Soul,4.04
Explosion in Paris,4.12
Bag of Bones,3.9
Child ,4.09
House Rules,4.02
Grave Mercy,3.89
Since Youve Been Gone,4.12
The Grand Delusion,4.12
Along Came a Spider,4.11
Heist Society,3.91
The Sign of Four,3.94
Hannibal,3.77
Sphere,3.8
The Snowman,4.01
Rage of Angels,3.94
Shadowland,4.03
The Silent Patient,4.09
The Testament,3.86
The Tea Rose,4.19
Gaudy Night,4.23
The Executioners Song,4.07
Bitterblue,3.99
The Talented Mr Ripley,3.93
Seraphina,3.94
The Andromeda Strain,3.9
Incarceron,3.64
Circus of the Damned,4.16
Prey,3.76
Last Exit to Brooklyn,3.83
My Sisters Grave,4.05
Stormbreaker,3.98
Mateguas Island,3.86
The Body Finder,3.94
NOSA,4.07
Wake,3.75
First Grave on the Right,4.04
Anna Dressed in Blood,3.93
The Fifth Elephant,4.25
A Million Suns,4.02
A Northern Light,3.81
In Farleigh Field,3.95
The Solitaire Mystery,4.17
Dance Dance Dance,4.04
Lightning,4.06
True Believer,3.81
A Wild Sheep Chase,3.94
The Sweetness at the Bottom of the Pie,3.81
Gods Spy,3.75
Time and Again,3.95
Horns,3.92
Starters,3.9
Brighton Rock,3.67
Duma Key,3.95
From Hell,4.17
Out of Sight Out of Time,4.33
The Husbands Secret,3.94
The Mysterious Benedict Society and the Perilous Journey,4.21
The Secret Keeper,4.13
When You Reach Me,4.07
Rosemarys Baby,4.0
Darkly Dreaming Dexter,3.89
Nutshell,3.67
The Ersatz Elevator,4.04
In the Woods,3.77
The End,4.01
The Name of This Book Is Secret,4.06
Stillhouse Lake,4.11
Special Topics in Calamity Physics,3.7
Feet of Clay,4.27
Postmortem,4.02
The Bachman Books,4.12
The Book of Illusions,3.85
The Analyst,4.13
House of Spies,4.3
Bird Box,4.01
A Merciful Truth,4.27
Everblaze,4.61
Exile,4.55
The Woman in the Window,3.94
A Merciful Death,4.13
Found,3.98
Thirst No ,3.83
Heart Shaped Box,3.84
My Soul to Take,3.88
Tell Me Your Dreams,3.96
Filth,3.73
Dead Beat,4.41
Spellbound in His Arms,3.89
Forsaken,4.1
Her Final Breath,4.29
In the Miso Soup,3.59
Close to Home,4.29
Virals,3.94
The Lincoln Lawyer,4.17
The th Canon,4.25
The Austere Academy,3.99
Novel with Cocaine,3.56
