title,rating
The Lightning Thief,4.26
The Odyssey,3.77
American Gods,4.11
The Last Olympian,4.51
The Battle of the Labyrinth,4.39
The Mists of Avalon,4.11
The Titans Curse,4.35
The Sea of Monsters,4.24
The Silmarillion,3.93
The Lost Hero,4.33
The Iliad,4.04
The Once and Future King,4.05
The Son of Neptune,4.43
The Mark of Athena,4.45
Beowulf,3.45
Houdini Heart,4.22
The House of Hades,4.54
The Arabian Nights,4.04
Acheron,4.57
The Red Pyramid,4.08
Mythology,4.0
Oedipus Rex,3.71
The Song of Achilles,4.35
Grimms Fairy Tales,4.13
The Power of Myth,4.26
The Aeneid,3.84
Antigone,3.66
The Blood of Olympus,4.41
Fantasy Lover,4.16
The Bhagavad Gita,4.13
Tigers Curse,4.06
The Iliad,3.87
Anansi Boys,4.03
Percy Jackson and the Olympians,4.59
Till We Have Faces,4.16
Half Blood,4.13
Starcrossed,4.05
The Throne of Fire,4.2
The Alchemyst,3.84
Metamorphoses,4.06
The Complete Fairy Tales,4.28
Tigers Voyage,4.33
The Serpents Shadow,4.28
The Crystal Cave,4.13
The Scorpio Races,4.07
Preludes and Nocturnes,4.23
Grendel,3.69
The Epic of Gilgamesh,3.7
Switch  The Lost Kingdoms of Karibu,4.14
Circe,4.26
The Darkest Night,4.07
The Oedipus Cycle,3.98
Medea,3.88
The Demigod Files,4.05
The King of Attolia,4.38
Pure,4.31
Dance with the Devil,4.38
The Sword of Summer,4.24
Deity,4.37
Eon,3.94
The Thief,3.86
Avalon High,3.81
The Sword in the Stone,3.9
Night Play,4.35
Percy Jacksons Greek Gods,4.49
Tigers Quest,4.32
Night Pleasures,4.21
The Immortals of Meluha,4.09
Sentinel,4.47
The Hidden Oracle,4.23
The Goddess Test,3.8
The Dark Is Rising Sequence,4.28
The Bear and the Nightingale,4.09
The Winter King,4.26
Apollyon,4.37
The Oresteia,4.02
The Hero With a Thousand Faces,4.16
Dreamless,4.19
Le Morte dArthur,3.92
The Absolute Sandman Volume One,4.65
Night Embrace,4.24
Eona,4.11
Tigers Destiny,4.39
The Golem and the Jinni,4.09
Styxx,4.58
The Sorceress,4.11
Life Love Kumbh,4.11
The Myth of Sisyphus and Other Essays,4.2
On a Pale Horse,4.14
Devil May Cry,4.31
The Chronicle of Sapta Sindhu,4.01
The Secret of the Nagas,4.06
Of Poseidon,4.02
The Necromancer,4.13
Lord of Light,4.09
Touch of Frost,3.95
The Magician,4.1
Cruel Beauty,3.69
The Queen of Attolia,4.15
Elixir,4.39
The Darkest Kiss,4.25
The Demigod Diaries,4.18
Unleash the Night,4.34
Brief Lives,4.54
Abandon,3.69
Norse Mythology,4.08
Tommaso,4.17
DAulaires Book of Greek Myths,4.41
Women Who Run With the Wolves,4.1
Hounded,4.09
The Enchantress,4.24
Percy Jackson and the Olympians Boxed Set,4.59
Seize the Night,4.35
Goddess,4.23
The Complete Grimms Fairy Tales,4.28
The New Oxford Annotated Bible,4.35
Fated,3.67
The Fionavar Tapestry,4.21
Daimon,4.09
Goddess of Spring,4.2
Deathless ,4.0
Rebel of the Sands,3.94
The Hammer of Thor,4.35
Autobiography of Red,4.32
Divine By Mistake,4.08
In the Night Garden,4.14
Everneath,3.75
The Poetic Edda,4.26
The Kindly Ones,4.59
Dark Side of the Moon,4.15
Creatura,3.82
Let the Sky Fall,3.93
Immortal Matchmakers Inc,3.93
Season of Mists,4.54
Percy Jacksons Greek Heroes,4.49
Bad Moon Rising,4.28
The Absolute Sandman Volume Three,4.71
Poseidons Children,3.46
Kiss of the Night,4.23
The Son of Sobek,4.26
Teardrop,3.6
Mahabharata,4.28
Darkness Becomes Her,3.9
Wake,3.69
The Siren,3.76
Lord of the Silver Bow,4.32
The Warlock,4.18
Talisman Of El,3.93
Ilium,4.03
Ingo,3.94
The Absolute Sandman Volume Two,4.69
Fall of Kings,4.39
Dream Country,4.24
Sir Gawain and the Green Knight,3.71
Percy Jackson and the Olympians,4.1
One Silent Night,4.12
The Firebrand,4.06
The Palace of Illusions,4.18
The Darkest Surrender,4.4
Sins of the Night,4.18
The Sandman,4.34
Ramayana,4.14
Prometheus Bound,3.96
Antigone,3.82
Oh My Gods,3.79
The Flame of Olympus,4.25
Plague of Angels,3.48
Goddess of the Rose,4.14
The Dolls House,4.44
Goddess Interrupted,4.0
Shahnameh,4.52
Ever,3.46
The Staff of Serapis,4.31
A Game of You,4.43
Shield of Thunder,4.36
Of Triton,3.98
The Prose Edda,4.17
Mythago Wood,3.81
The Absolute Sandman Volume Four,4.69
The Dark Prophecy,4.24
Thou Art That,4.33
Tam Lin,3.85
The Penelopiad,3.71
Pegasus and the Origins of Olympus,4.52
Fables and Reflections,4.44
Dream Warrior,4.2
The Last of the Wine,4.06
Hunting Human,3.72
Pegasus and the Fight for Olympus,4.41
The Romance of Tristan and Iseult,3.64
Underworld,3.88
Goddess Boot Camp,3.89
The Daughter of Ares Chronicles,4.24
The Gospel of Loki,3.72
The Skystone,4.18
Elegy,4.01
The Girl in the Tower,4.33
Lullaby,3.85
Let the Storm Break,4.15
Monkey,4.01
Iphigenia in Aulis,4.03
The Darkest Road,4.2
Awaken,3.92
Heaven,3.9
The Forest House,3.87
Hexed,4.22
The Darkest Passion,4.36
Falling Under,3.78
The Red Book,4.53
Enemy of God,4.37
Someplace to Be Flying,4.31
Sweet Venom,3.91
Goddess of the Sea,3.87
A Conspiracy of Kings,4.1
Pegasus and the New Olympians,4.46
The Satanic Bible,3.38
Death,4.19
City of Skies,3.88
Song of the Sparrow,4.07
Taming the Blowing Wind,4.18
Lovely War,4.25
The Thin Executioner,4.16
Wonder Woman,4.04
Excalibur,4.39
Zodiac,3.73
Jaya,4.22
The City of Brass,4.11
Lion of Macedon,4.27
Wildefire,3.73
The Fall of Lucifer,3.96
Tigers Dream,4.32
Fairy Tales from the Brothers Grimm,4.08
Fingerprints of the Gods,4.18
The Wake,4.52
The Goddess Legacy,4.04
The Golden Ass,3.88
Tidal,3.94
The High Queen,4.14
Tattoo,3.57
Demigods and Monsters,3.87
Goddess of Light,4.04
The Goddess Hunt,3.81
Helen of Troy,3.93
Let the Wind Rise,4.22
Holy Blood Holy Grail,3.5
The Upanishads,4.2
Sea Change,3.62
The Golden Bough,4.03
Gameboard of the Gods,3.93
Kiss of Frost,4.03
Retribution,4.12
Divine By Choice,4.1
Into the Cold Fire,3.95
The Guardian,4.34
Priestess of Avalon,4.05
Idylls of the King,3.95
The Prisoner in the Oak,4.15
The King Stag,4.16
Worlds End,4.47
The Crown of Ptolemy,4.38
The Dream Hunter,4.06
Wicked Nights,4.1
Wolfsangel,3.5
The Bacchae,3.89
Seducing the Myth,4.0
The Iron Jawed Boy and the Hand of the Moon,4.46
The Iron Jawed Boy,4.17
The Tyrants Tomb,4.32
Syrian Folktales,4.51
Lethal Rider,4.37
Scion of Ikshvaku,3.82
The Sea of Trolls,4.01
Chanakyas Chant,3.73
Ink,3.66
Aru Shah and the End of Time,4.09
Hammered,4.21
Myths of Light,4.45
Parzival,3.79
The Krishna Key,3.56
The Tain,3.97
The Myth of Sisyphus,4.16
Mortal Heart,4.11
In the Cities of Coin and Spice,4.39
The Vicious Deep,3.68
The Whale Rider,3.84
Lavondyss,3.97
The Sandman,4.4
The Fire Thief,3.65
Time Untime,4.12
The Book of Lost Tales Part One,3.84
The Burning Maze,4.36
The Darkest Lie,4.31
Krampus,4.08
Everbound,4.05
The Wandering Fire,4.11
The Hound of Rowan,4.03
The Nibelungenlied,3.87
Secret of the Sirens,4.04
Supernatural,4.22
Dark Tide,4.33
The Flight of the Wild Gander,4.24
Faeries,3.87
Rogue Wave,4.22
A Beautiful Evil,4.15
Warrior Rising,4.14
Queen of Camelot,4.07
The Grey King,4.17
Dream Chaser,4.2
Starry River of the Sky,4.13
The Return,4.27
The Complete Plays,4.27
The Ship of the Dead,4.39
Camp Half Blood Confidential,4.19
Runemarks,3.74
The Colossus Rises,3.85
The Redemption of Ajax,3.86
Goddess of the Night,3.81
Mythologies,4.1
The Squires Tale,3.99
Deep Blue,3.83
The Darkest Whisper,4.32
Mary Stewarts Merlin Trilogy,4.39
The Mabinogion,3.95
Olympos,3.95
Traitor to the Throne,4.33
Beauty Awakened,4.16
Lavinia,3.8
The Akhenaten Adventure,3.77
Tricked,4.25
Pegasus and the Rise of the Titans,4.49
Demigods and Magicians,4.34
The Book of Lost Tales Part Two,3.86
Nobodys Princess,3.68
The Darkest Secret,4.31
Weight,3.77
The Once and Future King,4.02
Ransom,3.79
The Titans Curse,4.24
Maps of Meaning,4.1
Omeros,4.0
Ajaya,3.99
The Saga of the Volsungs,4.01
Last Call,4.07
Empress of All Seasons,3.57
Goddess of Legend,3.93
Taliesin,3.99
Persephone,3.84
The Great Indian Novel,3.88
The Paradise War,4.04
Silverlock,3.92
A Pale Horse,4.52
Kinslayer,3.99
Selections from Harry Potter and the Order of the Phoenix,4.72
Smokeless Fire,3.89
The Kingdom of Copper,4.41
Sword of the Rightful King,3.71
Theodosia and the Eyes of Horus,4.13
The Lost Years of Merlin,3.98
Here There Be Dragons,3.86
Son of Perdition,4.4
Sita,4.07
The Empire of Gold,4.55
Captivate,3.81
Mortal Coils,4.06
Time and the Gods,3.88
Hades Disciples,3.72
Lies Beneath,3.67
The First Judgement,4.37
Emily Windsnap and the Monster from the Deep,3.95
Urban Shaman,3.73
The Memoirs of Helen of Troy,3.78
Vessel,3.84
Menagerie,4.01
Antigoddess,3.65
The Arabian Nights,4.04
White Tiger,3.89
Homeric Hymns,4.03
The Silver Hand,4.23
The Rozabal Line,3.33
Killer Frost,4.2
Harry Potter,4.22
The Secret Teachings of All Ages,4.2
Tempted,4.28
The Blue Djinn of Babylon,3.84
Druids,4.03
Midnight Frost,4.13
The Second Siege,4.17
Blood Will Tell,3.91
Seven Tears Into the Sea,3.8
East o the Sun and West o the Moon,4.24
The Road to Avalon,4.02
Divine By Blood,4.02
Creatures of Light and Darkness,3.98
The Kane Chronicles Survival Guide,4.05
Trapped,4.27
Crimson Frost,4.15
