title,rating
Angelas Ashes,4.11
Tuesdays with Morrie,4.11
In Cold Blood,4.07
Eat Pray Love,3.57
Schindlers List,4.34
The Hiding Place,4.42
Mans Search for Meaning,4.36
Marley and Me,4.13
The Diary of a Young Girl,4.15
Into the Wild,3.99
Blood River,4.06
All Creatures Great and Small,4.32
Walden,3.78
A Short History of Nearly Everything,4.2
The Complete Maus,4.55
A Child Called It,4.11
Tao Te Ching,4.28
The Origin of Species,3.98
Midnight in the Garden of Good and Evil,3.92
The Prince,3.82
Unbroken,4.36
The Devil in the White City,3.99
I Know Why the Caged Bird Sings,4.24
Me Talk Pretty One Day,3.99
The Republic,3.94
The God Delusion,3.9
Three Cups of Tea,3.65
Into Thin Air,4.18
Being and Time,4.03
The Last Lecture,4.26
The Art of War,3.97
Mythology,4.0
The Secret,3.68
Seabiscuit,4.22
A Peoples History of the United States,4.07
A Brief History of Time,4.18
Night,4.34
John Adams,4.06
Papillon,4.24
Cosmos,4.37
Bury My Heart at Wounded Knee,4.22
The Power of Myth,4.26
Freakonomics,3.98
The Omnivores Dilemma,4.17
The Story of My Life,4.08
How to Win Friends and Influence People,4.2
Shot Down,4.31
Gift from the Sea,4.15
The Trigger,4.11
The  Habits of Highly Effective People,4.12
On Writing,4.33
Wild Swans,4.26
The Glass Castle,4.28
Holy Bible,4.59
Chasing the Devil,4.1
 Charing Cross Road,4.17
A Walk in the Woods,4.06
A Moveable Feast,4.04
The  Love Languages,4.25
Sapiens,4.42
Meditations,4.22
The Bhagavad Gita,4.13
Thus Spoke Zarathustra,4.05
Running with Scissors,3.73
Godel Escher Bach,4.28
Helter Skelter,4.04
The Immortal Life of Henrietta Lacks,4.07
The Complete Persepolis,4.39
Outliers,4.16
The Color of Water,4.09
A Room of Ones Own,4.16
The Selfish Gene,4.14
A New Earth,4.08
The Tipping Point,3.97
Black Like Me,4.12
Cheaper by the Dozen,4.01
Hiroshima,3.98
A Long Way Gone,4.16
Milk and Honey,4.07
Who Moved My Cheese,3.82
All Things Bright and Beautiful,4.31
The Power of Now,4.13
Quiet,4.06
Heaven is for Real,4.02
Girl Interrupted,3.9
Think and Grow Rich,4.18
Endurance,4.39
The Art of Happiness,4.16
