title,rating
To Kill a Mockingbird,4.28
Pride and Prejudice,4.26
Animal Farm,3.95
Gone with the Wind,4.3
The Fault in Our Stars,4.21
The Hitchhikers Guide to the Galaxy,4.22
Wuthering Heights,3.86
The Da Vinci Code,3.86
Memoirs of a Geisha,4.12
The Picture of Dorian Gray,4.08
Alices Adventures in Wonderland and Through the Looking Glass,4.06
Les Miserables,4.18
Fahrenheit ,3.99
Lord of the Flies,3.69
The Alchemist,3.88
Crime and Punishment,4.22
The Great Gatsby,3.92
Of Mice and Men,3.88
Brave New World,3.99
One Hundred Years of Solitude,4.08
The Catcher in the Rye,3.81
A Thousand Splendid Suns,4.38
The Adventures of Huckleberry Finn,3.82
The Lovely Bones,3.82
Life of Pi,3.91
A Tale of Two Cities,3.85
Water for Elephants,4.09
Lolita,3.89
Slaughterhouse Five,4.08
Frankenstein,3.81
The Kite Runner,4.3
The Handmaids Tale,4.11
Catch ,3.98
Dune,4.23
The Pillars of the Earth,4.31
Watership Down,4.06
Great Expectations,3.78
Little Women,4.09
The Bell Jar,4.01
One Flew Over the Cuckoos Nest,4.19
Anna Karenina,4.05
My Sisters Keeper,4.08
The Fellowship of the Ring,4.36
The Color Purple,4.22
A Tree Grows in Brooklyn,4.27
A Clockwork Orange,3.99
The Road,3.97
The Brothers Karamazov,4.32
Siddhartha,4.03
The Poisonwood Bible,4.06
Don Quixote,3.88
Atlas Shrugged,3.69
The Old Man and the Sea,3.78
A Prayer for Owen Meany,4.23
Moby Dick or the Whale,3.51
The Red Tent,4.18
And Then There Were None,4.26
Middlesex,4.01
The Stranger,3.98
The Master and Margarita,4.29
The Shining,4.23
The Adventures of Tom Sawyer,3.91
Charlie and the Chocolate Factory,4.14
Flowers for Algernon,4.14
On the Road,3.62
The Metamorphosis,3.82
The Curious Incident of the Dog in the Night Time,3.88
The Unbearable Lightness of Being,4.1
The Name of the Rose,4.12
The Godfather,4.36
Fight Club,4.19
The Five People You Meet in Heaven,3.94
American Gods,4.11
The Count of Monte Cristo,4.25
Lonesome Dove,4.48
Perfume,4.02
Watchmen,4.36
It,4.24
All Quiet on the Western Front,3.98
The Hobbit or There and Back Again,4.27
Love in the Time of Cholera,3.92
The Thorn Birds,4.23
The Ultimate Hitchhikers Guide to the Galaxy,4.36
Atonement,3.91
Their Eyes Were Watching God,3.94
The Three Musketeers,4.07
Tess of the DUrbervilles,3.8
The Good Earth,3.99
Heart of Darkness,3.43
The Prophet,4.22
The Joy Luck Club,3.93
Alice in Wonderland,4.02
The Call of the Wild,3.87
Jonathan Livingston Seagull,3.84
The Hunger Games Trilogy Boxset,4.48
Oliver Twist,3.87
Ulysses,3.73
Treasure Island,3.83
The Clan of the Cave Bear,4.05
The World According to Garp,4.09
A Farewell to Arms,3.81
David Copperfield,4.0
Extremely Loud and Incredibly Close,3.97
A Little Princess,4.2
The Silmarillion,3.93
The Secret Magdalene,4.07
Beloved,3.87
The Trial,3.96
A Confederacy of Dunces,3.89
The Sun Also Rises,3.82
Cats Cradle,4.16
The God of Small Things,3.94
Girl with a Pearl Earring,3.89
The Silence of the Lambs,4.2
Shes Come Undone,3.88
The Wind Up Bird Chronicle,4.16
Blindness,4.13
The Sound and the Fury,3.86
For Whom the Bell Tolls,3.97
Fear and Loathing in Las Vegas,4.08
The House of the Spirits,4.24
The Complete Calvin and Hobbes,4.82
Roots,4.43
Misery,4.17
Stranger in a Strange Land,3.92
The Secret History,4.09
White Oleander,3.97
The Idiot,4.18
I Know This Much Is True,4.19
Uncle Toms Cabin,3.87
Candide,3.77
Invisible Man,3.88
Foundation,4.17
Norwegian Wood,4.03
The Cider House Rules,4.13
The Time Machine,3.89
Kafka on the Shore,4.13
Sophies World,3.93
Sophies Choice,4.18
The Prince of Tides,4.24
Never Let Me Go,3.82
Ready Player One,4.26
Middlemarch,3.97
Things Fall Apart,3.68
Bridget Joness Diary,3.78
Mrs Dalloway,3.79
Franny and Zooey,3.98
The Power of One,4.33
A Time to Kill,4.07
Do Androids Dream of Electric Sheep,4.08
The Lord of the Rings,4.5
The Art of Racing in the Rain,4.21
A Portrait of the Artist as a Young Man,3.62
Gullivers Travels,3.57
Bel Canto,3.93
American Psycho,3.82
V for Vendetta,4.25
The Complete Novels,4.56
Cold Mountain,3.86
White Fang,3.98
Steppenwolf,4.13
As I Lay Dying,3.72
A Separate Peace,3.58
The Complete Maus,4.55
The Amazing Adventures of Kavalier and Clay,4.18
Midnights Children,3.98
The English Patient,3.88
East of Eden,4.38
Cloud Atlas,4.01
The Firm,4.02
My Antonia,3.8
Doctor Zhivago,4.01
The Hunchback of Notre Dame,3.99
Robinson Crusoe,3.68
Like Water for Chocolate,3.95
Breakfast at Tiffanys and Three Stories,3.88
Breakfast of Champions,4.07
Harry Potter Series Box Set,4.73
A Fine Balance,4.35
The Plague,4.01
Infinite Jest,4.28
Snow Flower and the Secret Fan,4.08
The Remains of the Day,4.12
The Shipping News,3.86
The Chosen,4.04
High Fidelity,3.93
Blood Meridian or the Evening Redness in the West,4.17
The Virgin Suicides,3.82
Shantaram,4.25
The Age of Innocence,3.95
The Lost Symbol,3.71
Neuromancer,3.9
The Grapes of Wrath,3.97
War and Peace,4.12
Divine Secrets of the Ya Ya Sisterhood,3.83
Everything Is Illuminated,3.9
To the Lighthouse,3.78
I Robot,4.2
The Pearl,3.48
The Jungle,3.75
Carrie,3.96
Snow Falling on Cedars,3.84
I Claudius,4.23
A Room with a View,3.91
Bleak House,4.0
The Elephant Tree,4.14
Quantum Roots II,4.34
Vanity Fair,3.79
Brideshead Revisited,4.0
Of Human Bondage,4.11
Snow Crash,4.02
The War of the Worlds,3.83
Cry the Beloved Country,3.89
Johnny Got His Gun,4.18
