title,rating
Twilight,3.6
City of Bones,4.1
Dracula,4.0
Vampire Academy,4.12
Interview with the Vampire,4.0
Clockwork Angel,4.32
The Shining,4.23
Hush Hush,3.97
It,4.24
Shadow Kiss,4.35
Frostbite,4.27
Blood Promise,4.32
Clockwork Princess,4.57
Last Sacrifice,4.39
Fallen,3.73
Throne of Glass,4.2
Spirit Bound,4.35
Clockwork Prince,4.44
Shiver,3.77
City of Fallen Angels,4.12
The Green Mile,4.45
Marked,3.8
Midnight Sun ,4.02
The Vampire Lestat,4.07
The Historian,3.79
Graceling,4.08
City of Lost Souls,4.27
Dead Until Dark,3.96
A Court of Mist and Fury,4.62
The Graveyard Book,4.13
Beautiful Creatures,3.76
Dark Lover,4.19
Obsidian,4.18
Salems Lot,4.03
Crescendo,4.04
Shatter Me,3.95
Daughter of Smoke and Bone,4.01
City of Heavenly Fire,4.44
Evermore,3.59
The Angel Experiment,4.07
Miss Peregrines Home for Peculiar Children,3.91
The Host,3.84
Betrayed,3.93
Lover Awakened,4.44
A Court of Thorns and Roses,4.22
Untamed,3.95
Crown of Midnight,4.42
The Twilight Collection,3.79
Carrie,3.96
Heir of Fire,4.48
Chosen,3.91
The Exorcist,4.18
Coraline,4.06
The Iron King,3.9
Torment,3.87
Bloodlines,4.2
Pet Sematary,4.0
A Great and Terrible Beauty,3.78
The Witching Hour,4.11
The Summoning,4.02
Halfway to the Grave,4.16
Red Queen,4.04
City of Glass,4.31
The Mortal Instruments Boxed Set,4.56
A Discovery of Witches,4.0
Acheron,4.57
Silence,4.12
The Unbecoming of Mara Dyer,4.05
I Am Number Four,3.94
Angelfall,4.13
Dead to the World,4.12
Ignite Me,4.4
The Darkest Minds,4.18
Wicked Lovely,3.69
Queen of Shadows,4.55
Hunted,3.93
The Raven Boys,4.05
A Monster Calls,4.35
Poison Study,4.11
The Queen of the Damned,3.89
Before I Fall,3.9
The Talisman,4.13
Shadowfever,4.41
Gone,3.86
Darkfever,4.09
Lover Unbound,4.33
The Haunting of Hill House,3.84
Tempted,3.95
City of Ashes,4.17
Glass Houses,3.91
Lover Revealed,4.3
Odd Thomas,3.97
Club Dead,4.02
Unravel Me,4.23
Lover Avenged,4.37
Living Dead in Dallas,3.96
Linger,3.9
Empire of Storms,4.54
Fire,4.1
Finale,4.18
The Awakening,4.14
The Ocean at the End of the Lane,4.0
The Passage,4.03
The Reckoning,4.2
The Gargoyle,3.97
Dreamfever,4.41
The Golden Lily,4.33
One Foot in the Grave,4.3
Lover Mine,4.4
Burned,3.97
Guilty Pleasures,4.02
Dead as a Doornail,4.0
House of Leaves,4.06
Shadow and Bone,4.0
Night World No ,4.05
The Awakening ,3.68
Faefever,4.31
Onyx,4.28
Fantasy Lover,4.16
Passion,3.88
A Court of Wings and Ruin,4.44
Bitten,4.04
From Dead to Worse,4.01
Wings,3.75
All Together Dead,4.05
Dead and Gone,4.02
Every Day,3.94
Tigers Curse,4.06
Hex Hall,3.93
Unearthly,4.02
Dead Witch Walking,4.04
Beastly,3.83
At Graves End,4.3
The Indigo Spell,4.37
Blue Bloods,3.69
Lover Enshrined,4.12
The Iron Queen,4.21
Let the Right One In,4.05
Nightshade,4.02
Storm Front,3.99
The Short Second Life of Bree Tanner,3.5
Evernight,3.64
Cry Wolf,4.12
Memnoch the Devil,3.75
The Iron Daughter,4.09
Schools Out Forever,4.15
Saving the World and Other Extreme Sports,4.15
Practical Magic,3.77
Blue Moon,3.61
Bloodfever,4.28
Awakened,4.01
Half Blood,4.13
A Dirty Job,4.05
Origin,4.37
Switched,3.88
The Turn of the Screw,3.43
Lady Midnight,4.4
Forever,3.9
Starcrossed,4.05
Destined for an Early Grave,4.33
The Evolution of Mara Dyer,4.28
Needful Things,3.92
Under the Never Sky,3.99
The Dead Zone,3.93
Night World No ,4.2
Halo,3.67
Sweet Evil,4.09
Eclipse,3.7
Breaking Dawn,3.7
Garden Spells,4.06
The Immortal Rules,4.08
Magic Bites,4.05
Max,4.06
Beautiful Darkness,3.83
Born at Midnight,4.12
Rapture,4.01
Iron Kissed,4.36
Tigers Voyage,4.33
Ink Exchange,3.68
The Fury ,3.74
New Moon,3.54
The Dream Thieves,4.23
The Dead Girls Dance,4.05
Days of Blood and Starlight,4.15
Vicious,4.21
Need,3.72
The Scorpio Races,4.07
The Cruel Prince,4.12
Hollow City,4.05
Kissed by an Angel,4.08
The Iron Knight,4.2
Vampire Academy Collection,4.61
Skulduggery Pleasant,4.13
Shadow of Night,4.05
Blood Bound,4.31
Magic Bleeds,4.45
Masquerade,3.91
Die for Me,3.98
Bone Crossed,4.34
The Final Warning,3.86
Fang,4.06
Lover Unleashed,4.28
Angels Blood,4.09
The Fiery Heart,4.34
Succubus Blues,3.94
Lord of Misrule,4.16
Nobody Loves a Bigfoot Like a Bigfoot Babe,3.98
Midnight Alley,4.1
Torn,4.04
Kingdom of Ash,4.57
Paranormalcy,3.89
Night World No ,4.2
Firelight,3.86
Stargazer,3.8
Magic Strikes,4.44
The Darkest Night,4.07
Feast of Fools,4.16
Demonglass,4.1
The Power of Six,4.16
Dead in the Family,3.89
Soulless,3.89
Carpe Corpus,4.2
Wither,3.8
Ascend,4.08
The Black Jewels Trilogy,4.38
Never Fade,4.25
World After,4.18
Silver Borne,4.38
Rebel Angels,3.92
The Forest of Hands and Teeth,3.59
Kiss of Midnight,3.93
The Young Elites,3.88
Shadowland,3.66
Some Girls Bite,3.99
Fragile Eternity,3.84
Liseys Story,3.68
Dark Flame,3.73
The Diviners,3.95
Nightfall,3.57
Opposition,4.38
The Vampire Armand,3.77
Pure,4.31
Ghost Story,3.95
Dance with the Devil,4.38
Deity,4.37
Splintered,3.92
Annabel Horton,4.33
Existence,3.94
Twilight,4.24
The Rise of Nine,4.18
Doctor Sleep,4.12
The Forbidden Game,4.19
Nevermore,3.87
Night Watch,3.98
Slave to Sensation,4.11
Beautiful Chaos,3.93
The Sweet Far Thing,3.96
Bag of Bones,3.9
Grave Mercy,3.89
The Raven King,4.25
Avalon High,3.81
Bloodlines,3.7
Significance,4.11
A Hunger Like No Other,4.17
Baby,3.81
Shadowland,4.03
Fade Out,4.19
Night Play,4.35
Magic Burns,4.32
The Mummy,3.83
Sunshine,3.85
Dream Caster,4.14
Spells,3.98
Vampire Princess Rising,4.31
First Drop of Crimson,4.15
Circus of the Damned,4.16
Magic Study,4.03
Dark Visions,4.19
A Living Nightmare,4.07
Mateguas Island,3.86
The Body Finder,3.94
Blood and Spirits,3.99
Blue Moon,4.05
NOSA,4.07
Wake,3.75
What Dreams May Come,3.95
Alice in Zombieland,4.04
First Grave on the Right,4.04
Tigers Quest,4.32
Shadow Souls,3.78
This Side of the Grave,4.27
Anna Dressed in Blood,3.93
The Van Alen Legacy,3.95
Spell Bound,4.07
Lightning,4.06
Angel,4.02
Resonance,4.13
Blue Lily Lily Blue,4.27
Angelfire,3.93
Fire Study,3.91
Lover at Last,4.31
Revelations,3.9
Circle of Five,4.19
Every Which Way But Dead,4.29
Horns,3.92
Obsidian Butterfly,4.09
The Tale of the Body Thief,3.73
Lies,4.09
The Bone Season,3.76
Duma Key,3.95
Prince of Wolves,4.04
Strange Angels,3.79
Dreams of Gods and Monsters,4.15
Night Pleasures,4.21
The Good the Bad and the Undead,4.25
Twenties Girl,3.83
Blackwood Farm,3.86
Tithe,3.72
Siege and Storm,3.98
Rosemarys Baby,4.0
Silver Shadows,4.35
Fear,4.24
John Dies at the End,3.9
Sentinel,4.47
Written in Red,4.26
Tower of Dawn,4.35
Angel,3.87
Elsewhere,3.9
The Goddess Test,3.8
Lover Reborn,4.34
Archangels Kiss,4.22
Torment,3.96
Revelations,4.03
Through the Ever Night,4.14
Hunger,4.03
Embrace,4.01
Undead and Unwed,3.82
Thirst No ,3.83
Blood and Chocolate,3.78
The Bane Chronicles,4.15
Eighth Grade Bites,3.93
Heart Shaped Box,3.84
One Grave at a Time,4.24
My Soul to Take,3.88
The Strange and Beautiful Sorrows of Ava Lavender,4.06
Apollyon,4.37
Vampire Origins   Project Ichorous,3.9
Dead Beat,4.41
Library of Souls,4.13
Plague,4.18
Midnight,3.78
Destroy Me,4.22
Virals,3.94
Pleasure Unbound,4.05
Infinity,4.04
The Killing Dance,4.13
Storm Born,3.89
Firestarter,3.89
Everlost,3.96
Hourglass,3.79
Clockwork Angel; Clockwork Prince; Clockwork Princess,4.67
Demon from the Dark,4.45
The Archived,3.97
Pride and Prejudice and Zombies,3.3
Midnight Awakening,4.24
End of Days,4.08
The Book of Life,4.17
The Hollow,3.75
Dreamless,4.19
Sundays at Tiffanys,3.77
Never Never,4.07
Kiss of Crimson,4.15
Light,4.38
Blood And Gold,3.9
Night Embrace,4.24
Night School,4.03
Radiant Shadows,3.97
Raised by Wolves,3.93
My Wolfs Bane,3.77
Sweet Peril,4.26
Illusions,4.11
Summer Knight,4.27
My Name Is Memory,3.71
Tigers Destiny,4.39
Nevermore,3.89
Eternal Kiss of Darkness,4.21
The Laughing Corpse,4.12
A Fistful of Charms,4.28
Bloodrose,4.06
Styxx,4.58
Beautiful Redemption,3.93
Ruin and Rising,4.09
Wolfsbane,4.11
The Woman in Black,3.72
The Strain,3.79
Narcissus in Chains,3.9
Stray,3.78
Revenge of the Witch,3.99
Fool Moon,4.01
Touch of Power,4.14
Once Burned,4.21
The Retribution of Mara Dyer,4.09
Bloody Bones,4.11
No Rest for the Wicked,4.29
Half Bad,3.78
Black Dagger Brotherhood,4.69
A Court of Frost and Starlight,3.88
Tail of the Devil,4.03
On a Pale Horse,4.14
Burnt Offerings,4.08
Evil Among Us,4.44
Kiss of Death,4.21
Jessicas Guide to Dating on the Dark Side,3.84
The Black Dagger Brotherhood,4.32
Magic Slays,4.42
Lord of Shadows,4.48
Her Fearful Symmetry,3.26
Devil May Cry,4.31
Ghost Town,4.26
Changes,4.49
The Rise of Mallory,4.33
Mack,4.23
My Blood Approves,3.82
The Rose Society,4.06
Twice Bitten,4.21
Succubus on Top,4.06
Grave Peril,4.15
White Witch Black Curse,4.34
The Name of the Star,3.88
For a Few Demons More,4.33
Of Poseidon,4.02
The Eternity Cure,4.22
Reunion,4.08
Poison Princess,4.13
The Secret Hour,3.81
The Warrior Heir,3.94
Destined,4.04
Touch of Frost,3.95
Witch and Wizard,3.56
Ordeal,3.93
Queen of the Darkness,4.37
I Dream of Yellow Kites,4.06
Hunting Ground,4.27
Thinner,3.73
The Lunatic Cafe,4.12
Lord Loss,4.23
Proven Guilty,4.39
Sweet Reckoning,4.32
Ethereal Fury,3.96
Caressed by Ice,4.31
Cruel Beauty,3.69
The Fall of Five,4.23
In The Afterlight,4.29
Haunted,4.14
Elixir,4.39
The Dead Tossed Waves,3.9
Forsaken,3.99
The Darkest Kiss,4.25
Playing with Fire,4.31
Deadly Little Secret,3.86
Lost Souls,3.9
Night Star,3.81
The Outlaw Demon Wails,4.38
Darkest Hour,4.16
Abraham Lincoln,3.7
Vampire Kisses,4.13
Ninth Key,4.06
Awake at Dawn,4.27
The Twilight Saga Complete Collection,4.33
Unleash the Night,4.34
Rot and Ruin,4.1
The Steward,3.92
Abandon,3.69
A Touch of Dead,3.83
The Dark and Hollow Places,4.02
Visions,4.37
Desperation,3.83
Defiance,3.67
Providence,3.98
The Faceless Ones,4.4
Hawksong,4.15
The Initiation ,3.96
Midnight Rising,4.22
Queen of Air and Darkness,4.36
Succubus Heat,4.18
River Marked,4.28
Tommaso,4.17
This Savage Song,4.06
Covet,3.91
The Dark Divine,3.8
The Screaming Staircase,4.21
Vampire Kisses,3.71
The Ruby Circle,4.22
Hounded,4.09
Finding Sky,4.08
Number ,4.13
Hades,3.96
A Hidden Fire,4.04
The Lost Prince,4.04
Jinx,3.71
A Job From Hell,3.55
Arrow of the Mist,3.85
The Naturals,4.16
Hard Bitten,4.15
Succubus Dreams,4.13
Infinite Days,3.91
The Haunted,4.14
Origins,4.14
Red Russia,4.26
Daughter of the Blood,4.05
Sookie Stackhouse  Volume Set,4.29
The Catastrophic History of You and Me,4.03
Everlasting,3.91
The Gathering,4.02
House of Earth and Blood,4.43
The Devouring,3.92
Unite Me,4.18
Dark Days,4.44
The Amityville Horror,3.85
The Dark Half,3.78
Iron Crowned,4.06
Touch the Dark,3.71
Leaving Time,3.96
Phantoms,3.94
Shadows,4.14
Bite Club,4.22
Heart of Obsidian,4.48
The Prisoner of Cell ,4.22
Vanish,3.93
Dreams Made Flesh,4.33
Thorn Queen,4.11
Sons of Destiny,4.21
Rivers of London,3.87
Seize the Night,4.35
The Wizard Heir,4.14
The Death and Life of Charlie St Cloud,4.01
Bleach Volume ,4.23
Through the Zombie Glass,4.28
Ravens Gate,3.9
Death Masks,4.29
Every Dead Thing,3.98
Succubus Shadows,4.17
Betrayals,4.08
Angel Fire,4.04
Goddess,4.23
The Coldest Girl in Coldtown,3.84
Peeps,3.77
Obsession,4.12
Stolen,4.15
Twilight,3.84
The Girl Who Could Fly,4.07
Succubus Revealed,4.26
Friday Night Bites,4.12
Kiss of Snow,4.46
Jealousy,4.15
Until I Die,4.16
The Canterville Ghost,3.89
Turn Coat,4.42
Inescapable,4.04
Crossroads,3.71
Defiance,4.19
Fated,3.67
The Girl of Fire and Thorns,3.79
Second Grave on the Left,4.26
Joyland,3.9
Daimon,4.09
Sisters Red,3.63
Transcendence,4.08
The King,4.37
Passion Unleashed,4.3
Goddess of Spring,4.2
Merrick,3.73
A Kiss of Shadows,4.01
Haunted,4.08
Sole Survivor,3.79
The Captive Part II ,4.11
Immortal Beloved,4.1
A Caress of Twilight,4.05
Dark Desire,4.2
Ceaseless,4.19
White Night,4.38
Rose Madder,3.71
White Cat,3.79
Carmilla,3.82
Blood Destiny,3.88
