title,rating
The Alchemist,3.88
Crime and Punishment,4.22
The Little Prince,4.31
Brave New World,3.99
Life of Pi,3.91
The Brothers Karamazov,4.32
Siddhartha,4.03
Atlas Shrugged,3.69
The Stranger,3.98
The Metamorphosis,3.82
Tuesdays with Morrie,4.11
The Unbearable Lightness of Being,4.1
The Five People You Meet in Heaven,3.94
The Divine Comedy,4.05
The Prophet,4.22
Jonathan Livingston Seagull,3.84
The Trial,3.96
The Screwtape Letters,4.22
Mans Search for Meaning,4.36
Stranger in a Strange Land,3.92
Flow Down Like Silver,4.42
The Idiot,4.18
Candide,3.77
Paradise Lost,3.81
Sophies World,3.93
Walden,3.78
A Short History of Nearly Everything,4.2
Steppenwolf,4.13
Tao Te Ching,4.28
Zen and the Art of Motorcycle Maintenance,3.77
Inferno,4.0
The Origin of Species,3.98
The Plague,4.01
Infinite Jest,4.28
The Prince,3.82
Faust First Part,3.93
Waiting for Godot,3.83
The Republic,3.94
The God Delusion,3.9
Swanns Way,4.12
Ishmael,3.98
Being and Time,4.03
The Last Lecture,4.26
The Art of War,3.97
The Secret,3.68
Foucaults Pendulum,3.9
A Brief History of Time,4.18
Veronika Decides to Die,3.7
The Magic Mountain,4.11
The Elegance of the Hedgehog,3.77
Cosmos,4.37
The Power of Myth,4.26
Anthem,3.63
Collected Fictions,4.58
Ficciones,4.44
Gift from the Sea,4.15
Nausea,3.92
The  Habits of Highly Effective People,4.12
Illusions,4.14
Holy Bible,4.59
The Fall,4.02
Journey to the End of the Night,4.22
Sapiens,4.42
Meditations,4.22
The Fountainhead,3.87
The Bhagavad Gita,4.13
The Man Without Qualities,4.23
Thus Spoke Zarathustra,4.05
The Razors Edge,4.19
Eleven Minutes,3.7
The Dispossessed,4.2
The Great Divorce,4.28
Godel Escher Bach,4.28
Animal Farm ,4.29
Till We Have Faces,4.16
The Forty Rules of Love,4.14
Zorba the Greek,4.07
Brave New World ,4.17
A Room of Ones Own,4.16
The Book of Disquiet,4.44
The Glass Bead Game,4.12
The Celestine Prophecy,3.65
Memoirs of Hadrian,4.25
The Selfish Gene,4.14
Metamorphoses,4.06
A New Earth,4.08
The Tipping Point,3.97
Solaris,3.99
The Dharma Bums,3.91
Who Moved My Cheese,3.82
Notes from Underground,4.15
Hunger,4.05
Narcissus and Goldmund,4.21
The Power of Now,4.13
Demons,4.28
Fathers and Sons,3.96
Think and Grow Rich,4.18
The Art of Happiness,4.16
Grendel,3.69
The Death of Ivan Ilych,4.08
The Constitution of the United States of America,4.54
The Demon Haunted World,4.27
Franz Kafkas The Castle ,4.08
The Last Temptation of Christ,4.17
The Illuminatus  Trilogy,4.01
Island,3.83
When Breath Becomes Air,4.36
A Modest Proposal and Other Satirical Works,4.05
Men Are from Mars Women Are from Venus,3.56
Beyond Good and Evil,4.0
Flatland,3.81
The Communist Manifesto,3.58
Common Sense,3.98
In Search of Lost Time,4.35
God Is Not Great,3.96
The Road Less Traveled,4.06
We the Living,3.92
By the River Piedra I Sat Down and Wept,3.57
Confessions,3.92
The Second Sex,4.13
No Exit and Three Other Plays,4.1
When Nietzsche Wept,4.33
Immortality,4.14
The Four Agreements,4.15
Blink,3.94
The Zahir,3.57
Standing for Something,4.6
Anathem,4.19
The Solitaire Mystery,4.17
The Discovery of Heaven,4.17
Gandhi,4.08
Conjunction,4.47
Thinking Fast and Slow,4.16
Be More Pirate,3.7
As a Man Thinketh,4.28
The Doors of Perception and Heaven and Hell,3.91
Utopia,3.54
Autobiography of a Yogi,4.21
Story of the Eye,3.66
The Richest Man in Babylon,4.27
The Monk Who Sold His Ferrari,3.85
Desert Solitaire,4.22
