title,rating
The Giving Tree,4.37
Romeo and Juliet,3.75
Green Eggs and Ham,4.3
The Odyssey,3.77
The Bell Jar,4.01
The Complete Stories and Poems,4.38
The Cat in the Hat,4.17
The Divine Comedy,4.05
The Compleat Works of Wllm Shkspr ,4.44
How the Grinch Stole Christmas ,4.36
Goodnight Moon,4.28
The Lorax,4.34
A Midsummer Nights Dream,3.95
The Prophet,4.22
Oh the Places Youll Go ,4.35
The Canterbury Tales,3.5
The Iliad,4.04
A Light in the Attic,4.34
Othello,3.9
King Lear,3.91
Paradise Lost,3.81
The Complete Works,4.5
Beowulf,3.45
The Tell Tale Heart and Other Writings,4.17
Tao Te Ching,4.28
Inferno,4.0
Hamlet,4.02
Faust First Part,3.93
The Waste Land,4.11
I Know Why the Caged Bird Sings,4.24
The Complete Poems of Emily Dickinson,4.23
Twelfth Night,3.98
The Merchant of Venice,3.8
Slammed,4.26
Finding Hope in the Darkness of Grief,4.33
Possession,3.88
The Night Before Christmas,4.37
The Aeneid,3.84
Macbeth,3.9
The Poetry of Robert Frost,4.25
Pale Fire,4.12
Crank,4.15
The Rime of the Ancient Mariner,3.95
The Bhagavad Gita,4.13
Thus Spoke Zarathustra,4.05
The Iliad,3.87
The Taming of the Shrew,3.79
Songs of Innocence and of Experience,4.11
The Tempest,3.81
Eugene Onegin,4.1
Twenty Love Poems and a Song of Despair,4.28
Go Dog Go ,4.1
The Waves,4.15
Exotic Neurotic,4.37
The Raven and Other Poems,4.3
The Book of Disquiet,4.44
Les Fleurs du Mal,4.25
Metamorphoses,4.06
Burned,4.25
Ham on Rye,4.14
Milk and Honey,4.07
Impulse,4.27
Women,3.85
The Epic of Gilgamesh,3.7
Yertle the Turtle and Other Stories,4.15
As You Like It,3.83
The Raven,4.29
The Collected Poems of WB Yeats,4.24
Where the Sidewalk Ends,4.3
The Oedipus Cycle,3.98
Identical,4.31
The Cat in the Hat Comes Back,3.86
The Selected Writings of Edgar Allan Poe,4.3
The Fall of the House of Usher and Other Tales,4.17
This Girl,4.13
The House on Mango Street,3.65
Horton Hears a Who ,4.18
The Sneetches and Other Stories,4.31
Falling Up,4.34
Just Kids,4.16
The Love Song of J Alfred Prufrock and Other Poems,4.32
Glass,4.29
Rubaiyat of Omar Khayyam,4.18
The Oresteia,4.02
Le Morte dArthur,3.92
The Portable Dorothy Parker,4.34
Collected Poems  ,4.29
Ariel,4.21
An Elephant Is On My House,4.43
Out of the Dust,3.75
Ordeal,3.93
The Poetry of Pablo Neruda,4.44
The Waste Land and Other Poems,4.23
Fragile Things,3.97
Love and Misadventure,3.99
Meeting With Christ and Other Poems,4.54
Letters From Your Soul,4.41
Dr Seusss ABC,4.09
Sold,4.22
Letters to a Young Poet,4.31
Dead Poets Society,4.21
Tricks,4.29
The Essential Rumi,4.41
Fallout,4.28
Every Last Word,4.25
Dr Faustus,3.8
The Lovers Dictionary,3.88
The Pillow Book,4.02
Don Juan,3.8
The Pit and the Pendulum,4.17
The Notebooks of Malte Laurids Brigge,4.02
Antony and Cleopatra,3.69
The Complete Poetry and Prose,4.25
The Tell Tale Heart,4.25
I Heart You You Haunt Me,3.85
Autobiography of Red,4.32
Trout Fishing in America,3.79
Jayber Crow,4.37
The Poetic Edda,4.26
The Unwords,3.63
Henry V,3.88
The Gay Science,4.26
Perfect,4.34
Mahabharata,4.28
