title,rating
Animal Farm,3.95
Atlas Shrugged,3.69
Blood River,4.06
V for Vendetta,4.25
The Prince,3.82
The Jungle,3.75
The Republic,3.94
Johnny Got His Gun,4.18
All the Kings Men,4.07
The Art of War,3.97
A Peoples History of the United States,4.07
John Adams,4.06
Bury My Heart at Wounded Knee,4.22
Freakonomics,3.98
Anthem,3.63
The Omnivores Dilemma,4.17
The Moon Is a Harsh Mistress,4.16
The Trigger,4.11
The Fountainhead,3.87
The Dispossessed,4.2
Animal Farm ,4.29
Brave New World ,4.17
Darkness at Noon,4.04
Demons,4.28
The Constitution of the United States of America,4.54
Long Walk to Freedom,4.33
I Am Malala,4.12
The Illuminatus  Trilogy,4.01
Silent Spring,3.98
Fast Food Nation,3.75
A Modest Proposal and Other Satirical Works,4.05
The Communist Manifesto,3.58
Common Sense,3.98
God Is Not Great,3.96
Nickel and Dimed,3.63
We the Living,3.92
Black Hawk Down,4.28
The Rise and Fall of the Third Reich,4.17
The Second Sex,4.13
The Gulag Archipelago ,4.27
Gandhi,4.08
Infidel,4.2
The Civil War,4.53
Guns Germs and Steel,4.03
Between the World and Me,4.39
Team of Rivals,4.28
Utopia,3.54
Becoming,4.53
Burr,4.07
Lincoln,4.22
The  Laws of Power,4.16
The Feast of the Goat,4.29
Walden and Civil Disobedience,3.95
Lies My Teacher Told Me,3.96
An Inquiry into the Nature and Causes of the Wealth of Nations,3.85
The Autobiography of Malcolm X,4.32
The Guns of August,4.17
 Rules for Life,3.94
Homage to Catalonia,4.12
The Audacity of Hope,3.78
The Shock Doctrine,4.24
The Motorcycle Diaries,3.79
History of the Peloponnesian War,3.89
I Claudius,4.43
We Should All Be Feminists,4.45
Little Brother,3.93
On Liberty,3.97
Homo Deus,4.24
The End of Faith,3.91
Capital Vol ,4.22
Democracy in America,4.03
The Nicomachean Ethics,3.96
The Sympathizer,3.97
The Monkey Wrench Gang,4.09
The Feminine Mystique,3.86
Plato,4.35
Mein Kampf,3.17
The Plot Against America,3.78
State of Fear,3.7
First They Killed My Father,4.33
 Lessons for the st Century,4.16
Voices from Chernobyl,4.41
Pro Truth,4.63
Nothing to Envy,4.42
Fear and Loathing on the Campaign Trail ,4.12
Just Mercy,4.6
Dead Wrong,3.62
Apology,4.19
Dreams from My Father,3.89
Whirlwind,3.82
Introducing Chomsky,3.68
We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,4.23
Factfulness,4.36
Stolen Lives,4.11
The Power Broker,4.45
Antifragile,4.1
Ethics,4.06
A Man,4.35
Zeitoun,4.06
Pedagogy of the Oppressed,4.28
The Fire Next Time,4.5
The Butter Battle Book,4.15
Animal Liberation,4.27
Half the Sky,4.29
Escape from Freedom,4.25
Slouching Towards Bethlehem,4.2
Alexander Hamilton,4.21
King Leopolds Ghost,4.15
Shake Hands with the Devil,4.25
The President Is Missing,3.82
The Prodigal Daughter,3.95
The Ragged Trousered Philanthropists,3.99
Edge of Eternity,4.12
Economics in One Lesson,4.21
Freedom at Midnight,4.32
A Capitalist in North Korea,3.65
The Almond Tree,4.12
Pyongyang,3.92
