title,rating
The Bell Jar,4.01
One Flew Over the Cuckoos Nest,4.19
Flowers for Algernon,4.14
The Curious Incident of the Dog in the Night Time,3.88
Mans Search for Meaning,4.36
I Know This Much Is True,4.19
Steppenwolf,4.13
Go Ask Alice,3.76
A Child Called It,4.11
Zen and the Art of Motorcycle Maintenance,3.77
The God Delusion,3.9
Being and Time,4.03
We Need to Talk About Kevin,4.05
The Secret,3.68
Veronika Decides to Die,3.7
The Power of Myth,4.26
Freakonomics,3.98
How to Win Friends and Influence People,4.2
Its Kind of a Funny Story,4.11
Still Alice,4.32
The  Habits of Highly Effective People,4.12
A Million Little Pieces,3.65
The  Love Languages,4.25
Sapiens,4.42
Meditations,4.22
Thus Spoke Zarathustra,4.05
Running with Scissors,3.73
Godel Escher Bach,4.28
Helter Skelter,4.04
Outliers,4.16
The Selfish Gene,4.14
A New Earth,4.08
The Tipping Point,3.97
Who Moved My Cheese,3.82
Notes from Underground,4.15
The Manufactured Identity,3.51
The Power of Now,4.13
Quiet,4.06
Girl Interrupted,3.9
Think and Grow Rich,4.18
The Art of Happiness,4.16
Sybil,3.99
The Demon Haunted World,4.27
My Story,4.21
The Invisible Game,4.45
Men Are from Mars Women Are from Venus,3.56
Beyond Good and Evil,4.0
The Human Obsession,4.14
The Road Less Traveled,4.06
Carnal,3.77
The Grand Delusion,4.12
When Nietzsche Wept,4.33
The Four Agreements,4.15
Blink,3.94
Thinking Fast and Slow,4.16
Be More Pirate,3.7
As a Man Thinketh,4.28
The Doors of Perception and Heaven and Hell,3.91
The Analyst,4.13
The Monk Who Sold His Ferrari,3.85
Theory of People,4.11
Tell Me Your Dreams,3.96
The  Laws of Power,4.16
The Hero With a Thousand Faces,4.16
All I Really Need to Know I Learned in Kindergarten,4.03
Columbine,4.28
 Rules for Life,3.94
Many Lives Many Masters,4.15
Alcoholics Anonymous,4.45
Ordinary People,3.91
The Power of Habit,4.1
The Subtle Art of Not Giving a F*ck,3.94
Prozac Nation,3.6
The Art of Loving,4.03
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,4.06
Zenos Conscience,3.82
Conversations with God,4.17
Homo Deus,4.24
Wasted,4.01
Women Who Run With the Wolves,4.1
Never Go With Your Gut,4.44
Memories Dreams Reflections,4.16
The End of Faith,3.91
The Year of Magical Thinking,3.89
I Never Promised You a Rose Garden,3.87
Lila,3.79
A Beautiful Mind,4.13
They Cage the Animals at Night,4.32
Way of the Peaceful Warrior,4.13
The Manson File,4.2
Flow,4.11
But What If Were Wrong,3.63
Influence,4.19
Maybe You Should Talk to Someone,4.37
 Lessons for the st Century,4.16
Cut,3.76
Pro Truth,4.63
Dry,4.03
The Gifts of Imperfection,4.2
On the Genealogy of Morals ,4.16
Challenger Deep,4.14
The Black Swan,3.94
The Power of Your Subconscious Mind,4.13
I Am That,4.35
Awaken the Giant Within,4.15
Cracked Hearts,4.25
The House of Sleep,3.95
The Teachings of Don Juan,3.93
The New Drawing on the Right Side of the Brain,3.86
The Dice Man,3.57
The  Hour Workweek,3.89
Letters from a Stoic,4.34
When Rabbit Howls,4.04
Introducing Chomsky,3.68
Factfulness,4.36
Big Magic,3.92
Getting Things Done,3.99
Fooled by Randomness,4.07
Antifragile,4.1
The Life Changing Magic of Tidying Up,3.84
Ethics,4.06
The White Hotel,3.83
Tao of Pooh and Te of Piglet Boxed Set,4.12
Human All Too Human,4.21
The Lost Boy,4.09
Musical Chairs,4.04
The Story of Philosophy,4.13
The Seven Spiritual Laws of Success,4.11
One Child,4.26
The Gift of Fear,4.18
Reasons to Stay Alive,4.16
Escape from Freedom,4.25
Birdy,4.04
Being Mortal,4.44
The History of Sexuality Volume ,4.04
The Geography of Bliss,3.83
Civilization and Its Discontents,3.79
The Tibetan Book of Living and Dying,4.2
Lucky Go Happy,4.36
The Millennial Reincarnations,3.79
Equus,3.94
The Design of Everyday Things,4.16
Being and Nothingness,3.97
Evolution of Insanity,4.29
The  Habits Of Highly Effective Teens,4.07
Beautiful Boy,4.09
The Wretched of the Earth,4.23
The Psychopath Test,3.94
Moonwalking with Einstein,3.88
The Shock of the Fall,3.77
The Happiness Project,3.62
Daring Greatly,4.26
Hes Just Not That Into You,3.66
The Definitive Book of Body Language,3.98
Predictably Irrational,4.13
The Insulted and Humiliated,4.23
Mastery,4.29
Eichmann in Jerusalem,4.23
Mindset,4.06
The Power,4.09
Thou Art That,4.33
The Blank Slate,4.08
Left Neglected,3.97
Journey to Ixtlan,4.08
The Artists Way,3.91
Im Not Stiller,4.05
The Schopenhauer Cure,4.24
Discipline and Punish,4.22
The Trouble with Being Born,4.18
The Wall,4.08
Mindfulness Living in the Moment   Living in the Breath,4.73
The Art of Living,4.24
The Book of Awesome,3.81
Waiting to Live,4.36
Steal Like an Artist,3.92
The Portable Nietzsche,4.21
When Things Fall Apart,4.29
The Untethered Soul,4.2
Letting Ana Go,4.16
Start with Why,4.08
Ask and It Is Given,4.18
Bad Science,4.06
The Future of an Illusion,3.77
Me and Emma,3.91
Manufacturing Consent,4.25
The Happiness Hypothesis,4.12
You Can Heal Your Life,4.16
The Red Book,4.53
A Course in Miracles,4.17
Freedom from the Known,4.26
Chicken Soup for the Soul,3.96
The Art of Seduction,4.05
The Magic,4.11
The Memory of Running,3.76
A Legacy of Madness,3.63
An Unquiet Mind,4.05
Freedom,3.64
Eating Smoke,3.61
The Varieties of Religious Experience,3.98
The Reason I Jump,3.82
A Course in Astral Travel and Dreams,4.38
The Minds of Billy Milligan,4.3
Free to Choose,4.23
The Asylum for Wayward Victorian Girls,4.0
Atomic Habits,4.34
Food of the Gods,4.11
Superintelligence,3.87
Emotional Intelligence,4.02
Why Men Love Bitches,3.9
Brain on Fire,4.06
The Origin of Consciousness in the Breakdown of the Bicameral Mind,4.25
Listen Little Man ,4.02
The Ego and Its Own,4.09
The Righteous Mind,4.21
The Sufis,4.21
Darwins Dangerous Idea,4.05
The Consolations of Philosophy,4.01
Musicophilia,3.92
Change Your Thoughts   Change Your Life,4.24
What the Dog Saw and Other Adventures,3.85
David and Goliath,3.95
The Drunkards Walk,3.92
Backlash,4.01
The Art of Dreaming,3.99
NeuroTribes,4.3
Loves Executioner and Other Tales of Psychotherapy,4.22
The Law of Attraction,4.13
Fear and Trembling,4.0
My Secret,4.34
The War of Art,4.0
Everything She Ever Wanted,4.01
Dragons of Eden,4.18
The Conquest of Happiness,4.02
The Color Code,3.91
The Speed of Dark,4.0
Twilight of the Idols ,4.16
Giles Goat Boy,3.75
To Have or to Be,4.19
Getting to Yes,3.94
Practicing the Power of Now,4.25
Act Like a Lady Think Like a Man,3.81
Ecce Homo,3.83
Drive,3.95
This Is Your Brain on Music,3.88
The Science of Mind,4.37
Human Action,4.32
Equating the Equations of Insanity,3.82
The Wisdom of Insecurity,4.2
Rationality,4.36
Essentialism,4.04
Skinny,3.43
The Virtue of Selfishness,3.51
Incognito,4.06
Life After Life,4.1
The Moral Landscape,3.91
The Beauty Myth,3.9
Hidden Valley Road,4.16
The Game of Life and How to Play It,4.13
Suicide Notes,3.89
Peace Is Every Step,4.31
The Truth Seekers Handbook,4.3
 Pieces of Gold,4.29
Against Our Will,4.03
Lifes Golden Ticket,3.99
Myths of Light,4.45
Set This House in Order,4.29
Law of Success,4.41
Love Freedom and Aloneness,4.08
Emotional Intelligence ,3.84
Art and Fear,3.73
The Biology of Belief,4.15
Either,4.17
The Wisdom of Life,4.16
Made You Up,4.05
Madness,4.04
The Magic of Thinking Big,4.24
The History of Sexuality Volume ,4.06
The Sense of Style,4.06
Self Growth ,4.23
Feel the Fear and Do It Anyway,4.03
The Drama of the Gifted Child,4.1
Autobiography of a Face,3.97
The Game,3.74
Contempt,3.92
A Guide to the Good Life,4.22
Positioning,4.04
Dibs in Search of Self,4.18
Going Clear,4.03
How the Mind Works,3.98
The Minds I,4.14
For Women Only,4.07
The Science of Getting Rich,4.18
Its Called a Breakup Because Its Broken,4.02
Imagine,3.82
SuperFreakonomics,3.99
A Thousand Plateaus,4.3
Totem and Taboo,3.85
Power vs Force,4.14
The Power of Intention,4.19
Chicken Soup for the Teenage Soul II,3.98
Feeling Good,4.03
Fatal Vision,4.11
The Miracle of Mindfulness,4.22
On the Shortness of Life,4.23
The Brain that Changes Itself,4.19
Supernatural,4.22
The Flight of the Wild Gander,4.24
The World as Will and Representation Vol ,4.19
How to Stop Worrying and Start Living,4.14
Born on a Blue Day,3.84
An Anthropologist on Mars,4.16
The Success Principles,4.28
The Devils of Loudun,3.9
