title,rating
The Brothers Karamazov,4.32
Siddhartha,4.03
The Poisonwood Bible,4.06
The Red Tent,4.18
The Divine Comedy,4.05
The Prophet,4.22
The Secret Magdalene,4.07
The Screwtape Letters,4.22
The Shack,3.78
Stranger in a Strange Land,3.92
Lamb,4.24
Paradise Lost,3.81
Tao Te Ching,4.28
Zen and the Art of Motorcycle Maintenance,3.77
Inferno,4.0
The Chosen,4.04
The Exorcist,4.18
The God Delusion,3.9
Ishmael,3.98
You Are Special,4.45
Mythology,4.0
Left Behind,3.83
The Power of Myth,4.26
A Canticle for Leibowitz,3.97
My Name Is Asher Lev,4.21
Small Gods,4.3
The Sparrow,4.13
Illusions,4.14
Holy Bible,4.59
The Bhagavad Gita,4.13
Thus Spoke Zarathustra,4.05
The Pilgrims Progress,4.0
The Great Divorce,4.28
This Present Darkness,4.23
Till We Have Faces,4.16
The Forty Rules of Love,4.14
The Celestine Prophecy,3.65
The Satanic Verses,3.71
A New Earth,4.08
Quo Vadis,4.16
Gilead,3.85
The End of the Affair,3.92
Burned,4.25
A Voice in the Wind,4.56
The Power of Now,4.13
Heaven is for Real,4.02
Pope Joan,4.07
The Art of Happiness,4.16
The Brothers K,4.38
People of the Book,4.02
Educated,4.47
The Epic of Gilgamesh,3.7
The Demon Haunted World,4.27
The Power and the Glory,3.97
The Last Temptation of Christ,4.17
The Source,4.29
The Purpose Driven Life,3.94
Beyond Good and Evil,4.0
God Is Not Great,3.96
The Road Less Traveled,4.06
Confessions,3.92
Oranges Are Not the Only Fruit,3.73
Om Chanting and Meditation,3.7
The Four Agreements,4.15
What Dreams May Come,3.95
Standing for Something,4.6
The Miracle of Forgiveness,4.35
Gods Spy,3.75
Change of Heart,3.93
Infidel,4.2
Perelandra,3.99
The Doors of Perception and Heaven and Hell,3.91
Autobiography of a Yogi,4.21
Death Comes for the Archbishop,3.91
Rubaiyat of Omar Khayyam,4.18
The Holy Bible,4.6
The Tao of Pooh,3.99
Go Tell It on the Mountain,4.01
Have a Little Faith,4.17
The Moses Expedition,3.69
The Hero With a Thousand Faces,4.16
Same Kind of Different as Me,4.22
Blankets,4.05
God Emperor of Dune,3.86
The Robe,4.22
Believing Christ,4.5
The Bridge of San Luis Rey,3.8
The Witch of Portobello,3.54
Princess,4.02
 Rules for Life,3.94
Hinds Feet on High Places,4.31
Alcoholics Anonymous,4.45
The Children Act,3.7
Mark of the Lion Trilogy,4.77
Lord of Light,4.09
The Gospel According to Jesus Christ,4.29
Lectures on Faith,4.49
Piercing the Darkness,4.32
ESV Study Bible,4.78
Blue Like Jazz,3.9
Resurrection,4.14
The Cost of Discipleship,4.28
Conversations with God,4.17
The Case for Christ,4.15
Norse Mythology,4.08
The Reluctant Fundamentalist,3.72
The Promise,4.16
The Essential Rumi,4.41
Wise Blood,3.85
DAulaires Book of Greek Myths,4.41
At Home in Mitford,4.12
The End of Faith,3.91
The Mysterious Stranger,4.13
The Three Stigmata of Palmer Eldritch,4.01
Death and the Dervish,4.54
My Utmost for His Highest,4.36
The First Phone Call from Heaven,3.75
VALIS,3.93
