title,rating
The Hunger Games,4.33
Pride and Prejudice,4.26
Twilight,3.6
Gone with the Wind,4.3
The Fault in Our Stars,4.21
Wuthering Heights,3.86
Memoirs of a Geisha,4.12
Jane Eyre,4.13
Les Miserables,4.18
Divergent,4.19
Romeo and Juliet,3.75
The Perks of Being a Wallflower,4.2
The Great Gatsby,3.92
City of Bones,4.1
The Time Travelers Wife,3.97
The Princess Bride,4.26
Water for Elephants,4.09
Lolita,3.89
Little Women,4.09
Anna Karenina,4.05
Outlander,4.23
Rebecca,4.23
Vampire Academy,4.12
The Notebook,4.11
Clockwork Angel,4.32
Looking for Alaska,4.02
The Unbearable Lightness of Being,4.1
Hush Hush,3.97
The Count of Monte Cristo,4.25
Love in the Time of Cholera,3.92
Shadow Kiss,4.35
Insurgent,4.02
The Thorn Birds,4.23
A Walk to Remember,4.18
Atonement,3.91
The Importance of Being Earnest,4.18
Eat Pray Love,3.57
Frostbite,4.27
Blood Promise,4.32
Tess of the DUrbervilles,3.8
A Midsummer Nights Dream,3.95
Clockwork Princess,4.57
The Mists of Avalon,4.11
The Hunger Games Trilogy Boxset,4.48
Fifty Shades of Grey,3.66
The Clan of the Cave Bear,4.05
A Farewell to Arms,3.81
The Other Boleyn Girl,4.07
Last Sacrifice,4.39
The Night Circus,4.03
Fallen,3.73
The Selection,4.13
Catching Fire,4.29
Throne of Glass,4.2
Spirit Bound,4.35
Clockwork Prince,4.44
Girl with a Pearl Earring,3.89
Shiver,3.77
Uglies,3.86
City of Fallen Angels,4.12
The Phantom of the Opera,3.96
Ella Enchanted,3.98
Cinder,4.14
Marked,3.8
The Guernsey Literary and Potato Peel Pie Society,4.17
Howls Moving Castle,4.26
Midnight Sun ,4.02
Delirium,3.97
Beautiful Disaster,4.09
Flow Down Like Silver,4.42
Paper Towns,3.8
Graceling,4.08
Norwegian Wood,4.03
City of Lost Souls,4.27
Fangirl,4.05
The Prince of Tides,4.24
Never Let Me Go,3.82
Dead Until Dark,3.96
Fifty Shades Darker,3.84
Middlemarch,3.97
A Court of Mist and Fury,4.62
Bridget Joness Diary,3.78
Mockingjay,4.04
Stardust,4.08
Allegiant,3.62
Eleanor and Park,4.05
Me Before You,4.26
The Mark of Athena,4.45
If I Stay,3.94
Legend,4.17
Bel Canto,3.93
The Complete Novels,4.56
Fifty Shades Freed,3.85
Cold Mountain,3.86
Tuck Everlasting,3.87
Beautiful Creatures,3.76
Dark Lover,4.19
Mansfield Park,3.86
Stargirl,3.76
Dear John,4.03
Obsidian,4.18
Crescendo,4.04
The English Patient,3.88
The Last Song,4.15
Shatter Me,3.95
Doctor Zhivago,4.01
The Hunchback of Notre Dame,3.99
Like Water for Chocolate,3.95
Breakfast at Tiffanys and Three Stories,3.88
Dragonfly in Amber,4.32
Six of Crows,4.43
Daughter of Smoke and Bone,4.01
City of Heavenly Fire,4.44
Evermore,3.59
Anna and the French Kiss,4.01
Matched,3.66
Flowers in the Attic,3.82
The Scarlet Pimpernel,4.06
Hopeless,4.29
High Fidelity,3.93
The Reader,3.76
The House of Hades,4.54
Redeeming Love,4.49
The Age of Innocence,3.95
The Host,3.84
Betrayed,3.93
Northanger Abbey,3.83
Lover Awakened,4.44
A Court of Thorns and Roses,4.22
Untamed,3.95
Crown of Midnight,4.42
The Twilight Collection,3.79
The One,4.2
Snow Falling on Cedars,3.84
Voyager,4.37
Heir of Fire,4.48
Chosen,3.91
A Room with a View,3.91
The th Wave,4.04
The Iron King,3.9
Aristotle and Dante Discover the Secrets of the Universe,4.33
Torment,3.87
Bloodlines,4.2
Vanity Fair,3.79
Wizards First Rule,4.12
North and South,4.13
Of Human Bondage,4.11
A Great and Terrible Beauty,3.78
Bared to You,4.18
The Summoning,4.02
Chocolat,3.96
Halfway to the Grave,4.16
Perfect Chemistry,4.06
Red Queen,4.04
City of Glass,4.31
The Mortal Instruments Boxed Set,4.56
Just Listen,4.06
The Truth About Forever,4.12
A Discovery of Witches,4.0
Much Ado About Nothing,4.06
Acheron,4.57
Lady Chatterleys Lover,3.51
The Elite,4.02
Silence,4.12
The Unbecoming of Mara Dyer,4.05
All the Bright Places,4.15
Far From the Madding Crowd,3.94
I Am Number Four,3.94
Angelfall,4.13
Dead to the World,4.12
Persuasion,4.14
The Bronze Horseman,4.3
The Goose Girl,4.12
I Capture the Castle,4.0
Ignite Me,4.4
Twelfth Night,3.98
The Darkest Minds,4.18
Drums of Autumn,4.33
Wicked Lovely,3.69
PS I Love You,4.02
Queen of Shadows,4.55
Hunted,3.93
World Without End,4.26
Slammed,4.26
The Raven Boys,4.05
Cyrano de Bergerac,4.07
We Were Liars,3.84
Anne of Avonlea,4.21
Poison Study,4.11
Before I Fall,3.9
Where She Went,4.02
Shadowfever,4.41
Gone,3.86
Darkfever,4.09
The History of Love,3.92
Pretties,3.85
Possession,3.88
Scarlet,4.27
One for the Money,4.04
The Song of Achilles,4.35
Lover Unbound,4.33
Champion,4.34
Ill Give You the Sun,4.14
Tempted,3.95
Cress,4.43
A Breath of Snow and Ashes,4.44
Veronika Decides to Die,3.7
Corellis Mandolin,3.98
Id Tell You I Love You But Then Id Have to Kill You,3.83
The Fiery Cross,4.24
The Sisterhood of the Traveling Pants,3.8
Message in a Bottle,3.96
Crooked Kingdom,4.58
Prodigy,4.26
City of Ashes,4.17
Love Story,3.62
Glass Houses,3.91
Confessions of a Shopaholic,3.65
Lover Revealed,4.3
The Edge of Never,4.23
Club Dead,4.02
Ivanhoe,3.75
Carry On,4.22
Princess Academy,4.01
The Nightingale,4.57
Unravel Me,4.23
Emma,4.01
Lover Avenged,4.37
The Shell Seekers,4.16
The Witch of Blackbird Pond,3.98
Living Dead in Dallas,3.96
One Day,3.8
Linger,3.9
The Portrait of a Lady,3.77
Empire of Storms,4.54
To All the Boys Ive Loved Before,4.15
