title,rating
To Kill a Mockingbird,4.28
Animal Farm,3.95
Jane Eyre,4.13
Fahrenheit ,3.99
Lord of the Flies,3.69
Romeo and Juliet,3.75
Crime and Punishment,4.22
The Great Gatsby,3.92
Charlottes Web,4.17
Of Mice and Men,3.88
Brave New World,3.99
The Catcher in the Rye,3.81
The Adventures of Huckleberry Finn,3.82
The Outsiders,4.1
The Odyssey,3.77
A Tale of Two Cities,3.85
Frankenstein,3.81
The Giver,4.13
Great Expectations,3.78
One Flew Over the Cuckoos Nest,4.19
The Old Man and the Sea,3.78
The Stranger,3.98
The Adventures of Tom Sawyer,3.91
Flowers for Algernon,4.14
The Metamorphosis,3.82
Looking for Alaska,4.02
Where the Red Fern Grows,4.08
The Scarlet Letter,3.41
Holes,3.97
All Quiet on the Western Front,3.98
The Importance of Being Earnest,4.18
Their Eyes Were Watching God,3.94
The Good Earth,3.99
Heart of Darkness,3.43
A Midsummer Nights Dream,3.95
The Call of the Wild,3.87
Bridge to Terabithia,4.01
The Canterbury Tales,3.5
A Farewell to Arms,3.81
The Boy in the Striped Pajamas,4.15
Beloved,3.87
The Sun Also Rises,3.82
The Iliad,4.04
The Crucible,3.59
The Sound and the Fury,3.86
Island of the Blue Dolphins,3.84
Othello,3.9
Speak,4.02
King Lear,3.91
Into the Wild,3.99
Uncle Toms Cabin,3.87
Candide,3.77
Invisible Man,3.88
Paradise Lost,3.81
The Things They Carried,4.13
The Awakening,3.65
Things Fall Apart,3.68
Mrs Dalloway,3.79
Number the Stars,4.15
Eleanor and Park,4.05
A Portrait of the Artist as a Young Man,3.62
Gullivers Travels,3.57
Wonder,4.44
Beowulf,3.45
Tuck Everlasting,3.87
The Tell Tale Heart and Other Writings,4.17
As I Lay Dying,3.72
A Separate Peace,3.58
Stargirl,3.76
My Antonia,3.8
Robinson Crusoe,3.68
Inferno,4.0
The Strange Case of Dr Jekyll and Mr Hyde,3.82
Death of a Salesman,3.53
A Streetcar Named Desire,3.98
The Prince,3.82
Hamlet,4.02
Faust First Part,3.93
Hopeless,4.29
The Chosen,4.04
Waiting for Godot,3.83
The Grapes of Wrath,3.97
Dubliners,3.85
The Waste Land,4.11
To the Lighthouse,3.78
The Pearl,3.48
The Jungle,3.75
The Republic,3.94
The Complete Poems of Emily Dickinson,4.23
Cry the Beloved Country,3.89
Perfect Chemistry,4.06
Just Listen,4.06
The Truth About Forever,4.12
Much Ado About Nothing,4.06
Ishmael,3.98
The Glass Menagerie,3.71
Twelfth Night,3.98
The Merchant of Venice,3.8
Slammed,4.26
The Bean Trees,3.97
Cyrano de Bergerac,4.07
The Westing Game,4.01
Julius Caesar,3.69
Mythology,4.0
One Day in the Life of Ivan Denisovich,3.95
Native Son,3.99
The Killer Angels,4.32
Night,4.34
Oedipus Rex,3.71
The Yellow Wallpaper and Other Stories,4.04
From the Mixed Up Files of Mrs Basil E Frankweiler,4.15
The Aeneid,3.84
Walk Two Moons,3.97
The Bluest Eye,4.06
Anthem,3.63
The Witch of Blackbird Pond,3.98
Because of Winn Dixie,4.05
Song of Solomon,4.08
Macbeth,3.9
To All the Boys Ive Loved Before,4.15
The Sorrows of Young Werther,3.67
Antigone,3.66
The Poetry of Robert Frost,4.25
Ethan Frome,3.41
The Glass Castle,4.28
Crank,4.15
Roll of Thunder Hear My Cry,3.84
This Lullaby,4.02
Silas Marner,3.65
The Rime of the Ancient Mariner,3.95
The Iliad,3.87
White Noise,3.87
A Dolls House,3.73
The Taming of the Shrew,3.79
Songs of Innocence and of Experience,4.11
The Tempest,3.81
Hatchet,3.73
Lock and Key,4.0
Eugene Onegin,4.1
Animal Farm ,4.29
Rules of Attraction,4.19
The Absolutely True Diary of a Part Time Indian,4.1
The Decameron,3.88
The Color of Water,4.09
Chronicle of a Death Foretold,3.97
The Red Badge of Courage,3.26
Les Fleurs du Mal,4.25
Losing Hope,4.34
The Princess Diaries,3.79
Metamorphoses,4.06
Old Yeller,4.08
The House of the Scorpion,4.09
Out of My Mind,4.37
Hiroshima,3.98
Among the Hidden,3.98
Wintergirls,3.97
A Long Way Gone,4.16
Pushing the Limits,4.06
Fathers and Sons,3.96
Complicate Me,4.02
Grendel,3.69
The Boy Who Sneaks in My Bedroom Window,3.91
The Epic of Gilgamesh,3.7
As You Like It,3.83
Pedro Paramo,4.06
The Complete Stories,4.4
The Raven,4.29
Persepolis,4.25
The Oedipus Cycle,3.98
Medea,3.88
The DUFF,3.82
Fast Food Nation,3.75
Reason to Breathe,4.22
Hard Times,3.54
Long Days Journey into Night,4.07
My Life Next Door,3.99
Sarah Plain and Tall,3.78
Good Night Mr Tom,4.3
Chain Reaction,4.1
Black Boy,4.07
The True Confessions of Charlotte Doyle,3.83
Winesburg Ohio,3.84
Nickel and Dimed,3.63
Dreamland,3.9
Someone Like You,3.93
Our Town,3.67
The House on Mango Street,3.65
Making Faces,4.32
PS I Still Love You,4.11
Heart of Darkness and The Secret Sharer,3.5
No Exit and Three Other Plays,4.1
Leaving Paradise,4.0
Wide Sargasso Sea,3.59
Sister Carrie,3.75
Bartleby the Scrivener,3.93
Arcadia,4.19
The Indian in the Cupboard,3.92
Hate List,4.01
A Hero of Our Time,4.11
The Love Song of J Alfred Prufrock and Other Poems,4.32
A Mango Shaped Space,4.22
Glass,4.29
Utopia,3.54
The Gift of the Magi,4.09
Narrative of the Life of Frederick Douglass,4.04
The Cay,3.77
The Trumpet of the Swan th Anniversary,4.08
Pygmalion,3.9
Fifth Business,4.05
The Histories,3.99
The Oresteia,4.02
Night School,4.03
Fallen Crest High,4.1
Fever ,3.92
Millennium Approaches,4.29
The Chrysalids,3.93
Finding Cinderella,4.24
The Tortilla Curtain,3.66
LAssommoir,4.03
The Distance Between Us,3.92
Bel Ami,3.85
North of Beautiful,3.92
Ordinary People,3.91
The Watsons Go to Birmingham   ,3.97
Out of the Dust,3.75
That Was Then This Is Now,3.92
Keeping the Moon,3.85
What Happened to Goodbye,3.95
In the Time of the Butterflies,4.14
Dare You To,4.16
Struck By Lightning,3.83
The Waste Land and Other Poems,4.23
Eliza and Her Monsters,4.21
Maniac Magee,3.88
Zenos Conscience,3.82
Homo Faber,3.74
Summer of the Monkeys,4.04
Prep,3.39
Stepbrother Dearest,4.1
A Raisin in the Sun,3.81
Barely Breathing,4.32
On Liberty,3.97
Freak the Mighty,4.01
Dead Poets Society,4.21
The Reluctant Fundamentalist,3.72
Sula,3.94
Finding Sky,4.08
Find You in the Dark,3.97
On the Fence,4.05
The Nicomachean Ethics,3.96
Esperanza Rising,3.98
Plato,4.35
Holding Up the Universe,3.87
The Beginning of Everything,3.75
No Exit,4.15
Dr Faustus,3.8
Dont Look Back,4.08
A Lesson Before Dying,3.96
They Cage the Animals at Night,4.32
Breathe,3.86
The Pit and the Pendulum,4.17
Ellen Foster,3.78
Season of Migration to the North,3.71
Pere Goriot,3.85
The Chocolate War,3.48
Antony and Cleopatra,3.69
The Yellow Wall Paper,4.1
Sloppy Firsts,3.95
The Tell Tale Heart,4.25
Inherit the Wind,3.96
Alienated,3.91
Moonbreeze,4.2
Crash,3.99
Ceremony,3.79
The Late Mattia Pascal,4.03
Private Peaceful,4.18
Johnny Tremain,3.64
The Bronze Bow,3.97
How to Be Popular,3.55
Because of Mr Terupt,4.36
This Boys Life,3.98
Im Not Scared,3.84
The Pigman,3.59
Being Nikki,3.86
Going After Cacciato,3.91
The Paul Street Boys,4.16
Whos Afraid of Virginia Woolf,4.08
The Lonely Hearts Club,3.8
Nothing,3.75
The Good Soldier,3.71
The View from Saturday,3.75
The Vincent Boys,3.97
Teen Idol,3.53
Chinese Cinderella,4.07
Lysistrata,3.86
The Fill In Boyfriend,3.92
Sideways Stories from Wayside School,4.15
Henry V,3.88
Apology,4.19
American Born Chinese,3.88
The Vincent Brothers,4.12
Catching Jordan,3.85
Beneath the Wheel,3.85
Princess in the Spotlight,3.68
The Symposium,4.05
The Disreputable History of Frankie Landau Banks,3.81
Love Me Never,4.06
Zeitoun,4.06
Always and Forever Lara Jean,4.12
Hamlet,4.14
The Cask of Amontillado,4.09
All My Life,3.53
Drums Girls and Dangerous Pie,4.26
Forget You,3.79
The Fortress,4.69
All American Girl,3.74
Father and I Were Ranchers,4.3
Burn for Burn,3.83
Memoirs of a Teenage Amnesiac,3.69
The Spectacular Now,3.52
Introductions,4.1
The Lusiads,4.0
Sir Gawain and the Green Knight,3.71
Elephant Man,3.96
Boy,4.09
Perfect You,3.7
Did I Mention I Love You,3.91
Civilization and Its Discontents,3.79
The Natural,3.63
Pants on Fire,3.65
Tales of a Fourth Grade Nothing,4.1
Paper Princess,4.0
Sadako and the Thousand Paper Cranes,4.1
The Future of Us,3.57
Crush,3.96
Evelina,3.67
The Tiger Rising,3.83
The Elements of Style,4.17
More Than This,4.12
Equus,3.94
Incidents in the Life of a Slave Girl,4.13
Prometheus Bound,3.96
Moll Flanders,3.52
Antigone,3.82
The  Habits Of Highly Effective Teens,4.07
The Woman Who Walked Into Doors,3.84
The Sign of the Beaver,3.82
Crash into You,4.27
The Black Cat,4.05
The Way I Used to Be,4.16
Death Be Not Proud,3.83
Homeless Bird,4.04
That Boy,3.93
PS I Like You,4.08
Extraordinary Means,3.95
Cracked Up to Be,3.74
Nectar in a Sieve,3.65
Shiloh,3.94
Rain of Gold,4.48
Doctor Glas,3.83
Waiting for You,3.84
When It Happens,3.75
The Woman Warrior,3.73
A Single Shard,3.9
The Freedom Writers Diary,4.12
The Overcoat,4.14
Ferdydurke,3.86
Fracture,4.12
Frindle,3.82
A Unique Kind of Love,4.17
Spark,4.15
Some Girls Are,3.87
A Man for All Seasons,3.92
Second Helpings,4.07
Amadeus,4.2
The Lottery,4.09
Milkweed,4.01
Gullivers Travels ,3.84
The Strange Case of Origami Yoda,3.91
Mara Daughter of the Nile,4.23
The Romance of Tristan and Iseult,3.64
The Buddha of Suburbia,3.74
After,3.73
Six Characters in Search of an Author,3.85
The Man Who Loved Clowns,4.46
The Miracle Worker,4.22
RUR,3.88
Touching Spirit Bear,3.86
Mother Courage and Her Children,3.65
Between the Lives,4.21
The Assault,3.73
Light in the Shadows,4.22
Tell Me Three Things,4.08
Song of Myself,4.17
Loving Mr Daniels,4.25
Bud Not Buddy,3.93
Janitors,3.91
Paris Spleen,4.29
The Doll,3.84
Something Like Fate,3.7
Peak,3.99
Feed,3.54
The Masque of the Red Death,4.08
More Than Forever,4.47
Storm,3.95
Bloom,3.69
The Cherry Orchard,3.68
Angels in America,4.33
Megan Meades Guide to the McGowan Boys,3.93
A Thousand Boy Kisses,4.26
Billy Budd Sailor,3.13
Cat on a Hot Tin Roof,4.08
The Lone Ranger and Tonto Fistfight in Heaven,4.09
Chicka Chicka Boom Boom,4.23
Heart on a Chain,4.03
The Sunflower,4.11
So Much Closer,3.69
Epic Fail,3.73
Fallen Crest Family,4.26
Coriolanus,3.72
The Running Dream,4.31
The Eagle of the Ninth,3.92
The Lake of Dead Languages,3.79
The Girl Who Fell,3.64
Whale Talk,3.96
Charcoal Tears,4.12
Politics,3.96
Gossip Girl,3.52
A Yellow Raft in Blue Water,3.86
Until Friday Night,3.98
Scribbler of Dreams,3.96
