title,rating
A Short History of Nearly Everything,4.2
The Origin of Species,3.98
The Prince,3.82
The Republic,3.94
The God Delusion,3.9
Being and Time,4.03
A Brief History of Time,4.18
Cosmos,4.37
Freakonomics,3.98
The Omnivores Dilemma,4.17
Sapiens,4.42
Godel Escher Bach,4.28
The Immortal Life of Henrietta Lacks,4.07
Outliers,4.16
The Selfish Gene,4.14
The Tipping Point,3.97
Quiet,4.06
The Constitution of the United States of America,4.54
Sybil,3.99
The Demon Haunted World,4.27
Silent Spring,3.98
Fast Food Nation,3.75
When Breath Becomes Air,4.36
The Communist Manifesto,3.58
Common Sense,3.98
God Is Not Great,3.96
The Hot Zone,4.13
Blink,3.94
The Right Stuff,4.23
Thinking Fast and Slow,4.16
Guns Germs and Steel,4.03
The Doors of Perception and Heaven and Hell,3.91
Theory of People,4.11
Pale Blue Dot,4.31
Einstein,4.13
An Inquiry into the Nature and Causes of the Wealth of Nations,3.85
Elon Musk,4.22
 Rules for Life,3.94
Born to Run,4.29
Many Lives Many Masters,4.15
The Ancestors Tale,4.14
The Emperor of All Maladies,4.29
The Perfect Storm,4.1
Pilgrim at Tinker Creek,4.08
The Shock Doctrine,4.24
The Power of Habit,4.1
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,4.06
The Spirit Catches You and You Fall Down,4.17
On Liberty,3.97
Homo Deus,4.24
Wings of Fire,4.24
Memories Dreams Reflections,4.16
The End of Faith,3.91
Capital Vol ,4.22
Democracy in America,4.03
Fragile Lives,4.36
In Defense of Food,4.08
A Beautiful Mind,4.13
What If,4.14
Critique of Pure Reason,3.95
Flow,4.11
Stiff,4.06
But What If Were Wrong,3.63
The Blind Watchmaker,4.09
Influence,4.19
 Lessons for the st Century,4.16
Voices from Chernobyl,4.41
The Botany of Desire,4.06
The Black Swan,3.94
The Power of Your Subconscious Mind,4.13
Astrophysics for People in a Hurry,4.08
Moneyball,4.26
Tractatus Logico Philosophicus,4.07
Introducing Chomsky,3.68
Factfulness,4.36
The Gay Science,4.26
Fooled by Randomness,4.07
Mountains Beyond Mountains,4.2
Antifragile,4.1
Eating Animals,4.2
The Feynman Lectures on Physics,4.6
The Story of Philosophy,4.13
The Grand Design,4.04
The Gift of Fear,4.18
Animal Liberation,4.27
A Sand County Almanac and Sketches Here and There,4.27
Hidden Figures,3.93
Being Mortal,4.44
An Astronauts Guide to Life on Earth,4.16
Civilization and Its Discontents,3.79
A Briefer History of Time,4.23
The Design of Everyday Things,4.16
Kon Tiki,4.13
The Psychopath Test,3.94
The Road to Serfdom,4.17
Moonwalking with Einstein,3.88
Collapse,3.93
Why I Am Not a Christian and Other Essays on Religion and Related Subjects,4.02
The Definitive Book of Body Language,3.98
Predictably Irrational,4.13
The Blank Slate,4.08
The Structure of Scientific Revolutions,4.01
The Law,4.38
Relativity,4.19
Refuge,4.16
The Golden Spruce,4.09
Bad Science,4.06
The Future of an Illusion,3.77
Never Cry Wolf,4.2
A History of Western Philosophy,4.09
The Mother Tongue,3.92
