title,rating
The Alchemist,3.88
Siddhartha,4.03
The Five People You Meet in Heaven,3.94
Eat Pray Love,3.57
The Prophet,4.22
Jonathan Livingston Seagull,3.84
The Secret Magdalene,4.07
Mans Search for Meaning,4.36
The Shack,3.78
Tao Te Ching,4.28
Zen and the Art of Motorcycle Maintenance,3.77
The God Delusion,3.9
Ishmael,3.98
The Secret,3.68
Left Behind,3.83
Veronika Decides to Die,3.7
The Power of Myth,4.26
Gift from the Sea,4.15
Illusions,4.14
Holy Bible,4.59
Meditations,4.22
The Bhagavad Gita,4.13
Eleven Minutes,3.7
This Present Darkness,4.23
The Forty Rules of Love,4.14
The Celestine Prophecy,3.65
A New Earth,4.08
The Dharma Bums,3.91
Narcissus and Goldmund,4.21
The Power of Now,4.13
Heaven is for Real,4.02
The Art of Happiness,4.16
The Last Temptation of Christ,4.17
The Purpose Driven Life,3.94
The Road Less Traveled,4.06
By the River Piedra I Sat Down and Wept,3.57
Confessions,3.92
Om Chanting and Meditation,3.7
The Four Agreements,4.15
The Zahir,3.57
Standing for Something,4.6
The Miracle of Forgiveness,4.35
Gandhi,4.08
Conjunction,4.47
As a Man Thinketh,4.28
The Doors of Perception and Heaven and Hell,3.91
Autobiography of a Yogi,4.21
The Monk Who Sold His Ferrari,3.85
Rubaiyat of Omar Khayyam,4.18
The Holy Bible,4.6
The Tao of Pooh,3.99
Have a Little Faith,4.17
The Hero With a Thousand Faces,4.16
Believing Christ,4.5
The Witch of Portobello,3.54
Life Love Kumbh,4.11
Many Lives Many Masters,4.15
Hinds Feet on High Places,4.31
Alcoholics Anonymous,4.45
Pilgrim at Tinker Creek,4.08
Lectures on Faith,4.49
Piercing the Darkness,4.32
The Art of Loving,4.03
Blue Like Jazz,3.9
The Cost of Discipleship,4.28
Letters From Your Soul,4.41
Conversations with God,4.17
The Case for Christ,4.15
The Essential Rumi,4.41
Women Who Run With the Wolves,4.1
Memories Dreams Reflections,4.16
The End of Faith,3.91
Lila,3.79
The Man Who Planted Trees,4.24
My Utmost for His Highest,4.36
The First Phone Call from Heaven,3.75
Way of the Peaceful Warrior,4.13
Orthodoxy,4.16
The Devil and Miss Prym,3.6
Jesus the Christ,4.62
The Fifth Mountain,3.62
Fire of the Covenant,4.55
The Holy Bible,4.55
The Gifts of Imperfection,4.2
Manuscript Found in Accra,3.8
The Power of Your Subconscious Mind,4.13
I Am That,4.35
The Teachings of Don Juan,3.93
A History of God,3.86
Mahabharata,4.28
Tao of Pooh and Te of Piglet Boxed Set,4.12
Crazy Love,4.15
The Seven Storey Mountain,4.1
Battlefield Of The Mind,4.34
The Practice of the Presence of God,4.29
I Kissed Dating Goodbye,3.55
The Seven Spiritual Laws of Success,4.11
Like the Flowing River,3.92
The Problem of Pain,4.09
The Year of Living Biblically,3.75
The Peacegiver,4.4
The Pilgrimage,3.64
Holy Bible,4.71
The Tibetan Book of Living and Dying,4.2
