title,rating
The Giving Tree,4.37
The Adventures of Sherlock Holmes,4.3
The Complete Stories and Poems,4.38
The Metamorphosis,3.82
The Canterbury Tales,3.5
The Velveteen Rabbit,4.29
The Complete Sherlock Holmes,4.48
The Things They Carried,4.13
Different Seasons,4.34
Franny and Zooey,3.98
The Tell Tale Heart and Other Writings,4.17
The Martian Chronicles,4.14
Breakfast at Tiffanys and Three Stories,3.88
The Tales of Beedle the Bard,4.06
Dubliners,3.85
I Robot,4.2
Me Talk Pretty One Day,3.99
The Arabian Nights,4.04
Nine Stories,4.18
Interpreter of Maladies,4.15
Mythology,4.0
I Am Legend and Other Stories,4.0
The Yellow Wallpaper and Other Stories,4.04
Grimms Fairy Tales,4.13
The Jungle Books,4.01
Collected Fictions,4.58
Ficciones,4.44
Dandelion Wine,4.07
The Assassins Blade,4.39
A River Runs Through it and Other Stories,4.18
The Stinky Cheese Man and Other Fairly Stupid Tales,4.2
Tales of HP Lovecraft,4.24
Invisible Cities,4.12
The Decameron,3.88
Hearts in Atlantis,3.83
The Raven and Other Poems,4.3
Just So Stories,4.07
The Complete Fairy Tales,4.28
Haunted,3.58
Fantastic Beasts and Where to Find Them,3.98
A Good Man is Hard to Find and Other Stories,4.21
All Things Bright and Beautiful,4.31
The Illustrated Man,4.13
The New York Trilogy,3.88
Quidditch Through the Ages,3.84
The Death of Ivan Ilych,4.08
The Last Wish,4.13
Four,4.04
The Complete Stories,4.4
The Raven,4.29
The Demigod Files,4.05
The Selected Writings of Edgar Allan Poe,4.3
The Call of the Wild White Fang and Other Stories,4.01
The Lottery and Other Stories,4.06
Ghost Story,3.95
Winesburg Ohio,3.84
The Fall of the House of Usher and Other Tales,4.17
The House on Mango Street,3.65
Free Four,4.15
The House at Pooh Corner,4.36
The Sneetches and Other Stories,4.31
The Call of Cthulhu and Other Weird Stories,4.22
Raise High the Roof Beam Carpenters and Seymour,4.11
What We Talk About When We Talk About Love,4.15
A Visit from the Goon Squad,3.67
Bartleby the Scrivener,3.93
The Complete Short Stories of Ernest Hemingway,4.29
Death in Venice,3.73
The Gift of the Magi,4.09
Chess Story,4.29
Miss Lonelyhearts ,3.91
The Bane Chronicles,4.15
Destroy Me,4.22
Let it Snow,3.76
The Complete Stories,4.35
Jesus Son,4.1
All I Really Need to Know I Learned in Kindergarten,4.03
White Nights,4.02
The Portable Dorothy Parker,4.34
Unaccustomed Earth,4.11
The Bloody Chamber and Other Stories,3.98
Einsteins Dreams,4.07
Olive Kitteridge,3.83
Death in Venice and Other Tales,3.9
My Man Jeeves,4.1
The Transfer,4.17
The Slow Regard of Silent Things,3.9
Finding Cinderella,4.24
The Woman in Black,3.72
The Body,4.26
Wool,4.12
All Creatures Great and Small ,4.27
The Aleph and Other Stories,4.38
The Strange Case of Dr Jekyll and Mr Hyde and Other Tales of Terror,3.96
The Largesse of the Sea Maiden,3.79
Syrian Brides,4.17
The Informers,3.37
Sherlock Holmes,4.47
The Memoirs of Sherlock Holmes,4.31
I Dream of Yellow Kites,4.06
The Complete Fairy Tales,4.33
The Jungle Book,3.93
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,4.06
Kitchen,3.86
Welcome to the Monkey House,4.12
The Book of Laughter and Forgetting,3.99
The Demigod Diaries,4.18
Fragile Things,3.97
Where Im Calling From,4.42
A Touch of Dead,3.83
Hyperbole and a Half,4.15
Naked,4.09
Norse Mythology,4.08
Dress Your Family in Corduroy and Denim,4.1
All Things Wise and Wonderful,4.42
At the Mountains of Madness,3.87
Generation X,3.73
The Mysterious Stranger,4.13
Notes from Underground White Nights The Dream of a Ridiculous Man and Selections from The House of the Dead,4.18
Unite Me,4.18
The Man Who Planted Trees,4.24
Cosmicomics,4.2
Shadows,4.14
Dreams Made Flesh,4.33
The Pit and the Pendulum,4.17
Selected Stories of Anton Chekhov,4.36
The World of Divergent,3.97
The Complete Grimms Fairy Tales,4.28
A Beautiful Wedding,4.03
Delta of Venus,3.62
The Yellow Wall Paper,4.1
The Canterville Ghost,3.89
This Is How You Lose Her,3.75
Daimon,4.09
Stars Above,4.2
The Tell Tale Heart,4.25
Diary of a Madman and Other Stories,4.12
The Best of Roald Dahl,4.38
Necronomicon,4.2
Trout Fishing in America,3.79
Train Dreams,3.84
A Supposedly Fun Thing Ill Never Do Again,4.23
In the Night Garden,4.14
The Selection Stories,4.0
Fallen in Love,3.76
Skeleton Crew,3.96
Sideways Stories from Wayside School,4.15
Maybe Not,4.05
The Guard,3.76
The Grownup,3.56
Cathedral,4.28
Fracture Me,3.71
Everythings Eventual,3.97
The Prince,3.94
The Return of Sherlock Holmes,4.3
Stories of Your Life and Others,4.24
The Ballad of the Sad Cafe and Other Stories,4.0
The Call of Cthulhu,4.02
The Son of Sobek,4.26
Night Shift,4.01
The Diaries of Adam and Eve,3.91
No One Belongs Here More Than You,3.82
Full Dark No Stars,4.06
Smoke and Mirrors,4.02
The Complete Works of HP Lovecraft,4.35
Dream Story,3.78
The Cask of Amontillado,4.09
Blind Willow Sleeping Woman,3.84
A Knight of the Seven Kingdoms,4.19
Fables of the Reconstruction,4.16
Rage,3.77
The Complete Sherlock Holmes,4.47
Tenth of December,3.96
Amatores Restaurant,4.24
Slouching Towards Bethlehem,4.2
The Street of Crocodiles,4.14
The Salmon of Doubt,3.93
Like the Flowing River,3.92
I Hope They Serve Beer in Hell,3.5
Father Mine,4.49
The Melancholy Death of Oyster Boy and Other Stories,4.13
The Last Question,4.58
After the Quake,3.78
Tales of Ordinary Madness,3.91
Brief Interviews with Hideous Men,3.86
Collected Ghost Stories,4.16
Deep and Dark and Dangerous ,4.21
Tales of Mystery and Imagination,4.15
Swami and Friends,4.22
Everything That Rises Must Converge,4.25
The Sandman,4.34
The Happy Prince,4.23
The Case Book of Sherlock Holmes,4.17
The Elephant Vanishes,3.86
The Legend of Sleepy Hollow ,3.97
Tales from the Shadowhunter Academy,4.4
Evolution of Insanity,4.29
The Happy Prince and Other Tales,4.14
The Complete Tales and Poems of Winnie the Pooh,4.48
The Hellbound Heart,4.05
The Assassin and the Empire,4.42
The Assassin and the Pirate Lord,4.24
The Wonderful Story of Henry Sugar and Six More,4.14
The Black Cat,4.05
The Best of HP Lovecraft,4.31
Goodbye Columbus and Five Short Stories,3.86
The Thing Around Your Neck,4.24
Notes of a Dirty Old Man,3.95
Brokeback Mountain,3.95
The Lost Stories,4.28
The Staff of Serapis,4.31
Scary Stories to Tell in the Dark,4.05
The Stories of John Cheever,4.27
The Lady With the Little Dog and Other Stories  ,4.15
Men of the Otherworld,4.26
A Scandal in Bohemia ,4.2
The Emperors Soul,4.33
When You Are Engulfed in Flames,4.06
The Coming of Conan the Cimmerian,4.15
Trigger Warning,3.91
The Assassin and the Underworld,4.37
Tales from Earthsea,4.05
Complete Works of Oscar Wilde,4.48
Malgudi Days,4.21
The Overcoat,4.14
The Machine Stops,4.07
Love Medicine,4.0
The Queen,3.91
The Mist,3.95
My Uncle Oswald,3.88
The Assassin and the Desert,4.41
Life After God,3.79
The Wall,4.08
My Life and Hard Times,4.13
Reasonable Doubt,4.09
At the Mountains of Madness and Other Tales of Terror,4.26
The Lottery,4.09
Spoon River Anthology,4.04
Legion,4.14
The Book of Sand and Shakespeares Memory,4.14
The Dunwich Horror and Others,4.2
The Book of Awesome,3.81
Binti,3.93
Rita Hayworth and Shawshank Redemption,4.52
Weird Things Customers Say in Bookshops,3.79
The Best of Myles,4.23
The October Country,4.15
Tales of the Otherworld,4.24
The Star Diaries,4.26
Slaves of New York,3.45
Say Youre One of Them,3.53
Unfinished Tales of Numenor and Middle Earth,3.93
The Book of Embraces,4.32
Skull Full of Kisses,4.18
Consider the Lobster and Other Essays,4.22
The Nightingale and the Rose,4.31
Paris Spleen,4.29
The Masque of the Red Death,4.08
th Century Ghosts,3.95
The Iron Legends,4.26
The Language of Thorns,4.4
Girl in Hyacinth Blue,3.73
Billy Budd Sailor,3.13
Letters from the Earth,4.2
Drown,4.03
The Lone Ranger and Tonto Fistfight in Heaven,4.09
Exercises in Style,4.08
The Secret of Crickley Hall,3.91
Hana,3.63
Happily Ever After,4.16
Chicken Soup for the Soul,3.96
The Bloody Crown of Conan,4.3
The Cyberiad,4.18
The Love Poems of Rumi,4.3
I Wrote This For You,4.11
The Girls Guide to Hunting and Fishing,3.33
City of Bones ,4.58
All Systems Red,4.15
The Snow Queen,3.74
Winters Passage,3.95
The Dream Of A Ridiculous Man,4.02
His Last Bow,4.27
The Stolen,4.02
The Case of Charles Dexter Ward,4.17
Wayside School Is Falling Down,4.17
City,4.1
The Red Garden,3.72
Innocent Erendira and Other Stories,3.91
The Snows of Kilimanjaro and Other Stories,3.87
The Complete Fiction,4.36
Marabou Stork Nightmares,3.87
A Christmas Carol and Other Christmas Writings,4.14
Lips Touch,3.89
Books of Blood,4.18
Fairy Tales from the Brothers Grimm,4.08
I Wish Someone Were Waiting for Me Somewhere,3.53
The Goddess Legacy,4.04
Jakob von Gunten,3.97
Welcome to Shadowhunter Academy,4.1
The Collected Stories,4.26
The Nick Adams Stories,4.04
On the Prowl,4.06
Trout Fishing in America ,4.15
The Complete Short Novels,4.47
Tales of Edgar Allan Poe,4.26
Loves Executioner and Other Tales of Psychotherapy,4.22
