title,rating
Twilight,3.6
City of Bones,4.1
Dracula,4.0
Vampire Academy,4.12
Interview with the Vampire,4.0
Hush Hush,3.97
Shadow Kiss,4.35
Frostbite,4.27
Good Omens,4.24
Blood Promise,4.32
Last Sacrifice,4.39
Fallen,3.73
Spirit Bound,4.35
Shiver,3.77
City of Fallen Angels,4.12
The Green Mile,4.45
Marked,3.8
Midnight Sun ,4.02
The Vampire Lestat,4.07
City of Lost Souls,4.27
Dead Until Dark,3.96
The Graveyard Book,4.13
Beautiful Creatures,3.76
Dark Lover,4.19
Obsidian,4.18
Salems Lot,4.03
Crescendo,4.04
Shatter Me,3.95
Daughter of Smoke and Bone,4.01
City of Heavenly Fire,4.44
Evermore,3.59
Miss Peregrines Home for Peculiar Children,3.91
Houdini Heart,4.22
Betrayed,3.93
Lover Awakened,4.44
Untamed,3.95
The Twilight Collection,3.79
Carrie,3.96
Chosen,3.91
The Exorcist,4.18
Coraline,4.06
Torment,3.87
Bloodlines,4.2
Pet Sematary,4.0
The Witching Hour,4.11
The Summoning,4.02
Halfway to the Grave,4.16
City of Glass,4.31
The Mortal Instruments Boxed Set,4.56
A Discovery of Witches,4.0
Silence,4.12
The Unbecoming of Mara Dyer,4.05
Angelfall,4.13
Dead to the World,4.12
The Darkest Minds,4.18
Hunted,3.93
The Raven Boys,4.05
The Queen of the Damned,3.89
The Talisman,4.13
Shadowfever,4.41
Gone,3.86
Darkfever,4.09
Lover Unbound,4.33
The Haunting of Hill House,3.84
Tempted,3.95
City of Ashes,4.17
Glass Houses,3.91
Lover Revealed,4.3
Odd Thomas,3.97
Club Dead,4.02
Unravel Me,4.23
Lover Avenged,4.37
Living Dead in Dallas,3.96
Linger,3.9
Finale,4.18
The Awakening,4.14
The Reckoning,4.2
Dreamfever,4.41
The Golden Lily,4.33
One Foot in the Grave,4.3
Lover Mine,4.4
Burned,3.97
Guilty Pleasures,4.02
Dead as a Doornail,4.0
Night World No ,4.05
The Awakening ,3.68
Faefever,4.31
Onyx,4.28
Fantasy Lover,4.16
Passion,3.88
Bitten,4.04
From Dead to Worse,4.01
All Together Dead,4.05
Dead and Gone,4.02
Hex Hall,3.93
Unearthly,4.02
Dead Witch Walking,4.04
At Graves End,4.3
The Indigo Spell,4.37
Blue Bloods,3.69
Lover Enshrined,4.12
Let the Right One In,4.05
Nightshade,4.02
Storm Front,3.99
The Short Second Life of Bree Tanner,3.5
Evernight,3.64
Cry Wolf,4.12
Memnoch the Devil,3.75
This Present Darkness,4.23
Blue Moon,3.61
Bloodfever,4.28
Awakened,4.01
Half Blood,4.13
A Dirty Job,4.05
Origin,4.37
Switched,3.88
Forever,3.9
Starcrossed,4.05
Destined for an Early Grave,4.33
Hearts in Atlantis,3.83
The Evolution of Mara Dyer,4.28
Needful Things,3.92
The Dead Zone,3.93
Night World No ,4.2
Halo,3.67
Sweet Evil,4.09
Eclipse,3.7
Breaking Dawn,3.7
The Immortal Rules,4.08
Beautiful Darkness,3.83
Born at Midnight,4.12
Rapture,4.01
Ink Exchange,3.68
The Fury ,3.74
New Moon,3.54
The Dream Thieves,4.23
Imajica,4.17
The Dead Girls Dance,4.05
Vicious,4.21
Need,3.72
Hollow City,4.05
Kissed by an Angel,4.08
Vampire Academy Collection,4.61
Blood Bound,4.31
Masquerade,3.91
Die for Me,3.98
Bone Crossed,4.34
Lover Unleashed,4.28
Angels Blood,4.09
The Fiery Heart,4.34
Succubus Blues,3.94
Lord of Misrule,4.16
Midnight Alley,4.1
Torn,4.04
Paranormalcy,3.89
Night World No ,4.2
Firelight,3.86
Stargazer,3.8
The Darkest Night,4.07
Feast of Fools,4.16
Demonglass,4.1
Dead in the Family,3.89
Carpe Corpus,4.2
Ascend,4.08
Never Fade,4.25
World After,4.18
Kiss of Midnight,3.93
Shadowland,3.66
Death Note Vol ,4.44
Some Girls Bite,3.99
Liseys Story,3.68
Dark Flame,3.73
The Diviners,3.95
Nightfall,3.57
Opposition,4.38
The Vampire Armand,3.77
Pure,4.31
Ghost Story,3.95
Dance with the Devil,4.38
Deity,4.37
Existence,3.94
Twilight,4.24
Doctor Sleep,4.12
The Forbidden Game,4.19
Nevermore,3.87
Night Watch,3.98
Slave to Sensation,4.11
Beautiful Chaos,3.93
Bag of Bones,3.9
Bloodlines,3.7
Significance,4.11
A Hunger Like No Other,4.17
Shadowland,4.03
Fade Out,4.19
The Mummy,3.83
Sunshine,3.85
Vampire Princess Rising,4.31
First Drop of Crimson,4.15
Circus of the Damned,4.16
Dark Visions,4.19
A Living Nightmare,4.07
Mateguas Island,3.86
The Body Finder,3.94
Blood and Spirits,3.99
Blue Moon,4.05
NOSA,4.07
Wake,3.75
Alice in Zombieland,4.04
First Grave on the Right,4.04
Shadow Souls,3.78
This Side of the Grave,4.27
Anna Dressed in Blood,3.93
The Van Alen Legacy,3.95
Spell Bound,4.07
Angel,4.02
Angelfire,3.93
Revelations,3.9
Every Which Way But Dead,4.29
Horns,3.92
Obsidian Butterfly,4.09
The Tale of the Body Thief,3.73
Lies,4.09
Duma Key,3.95
Prince of Wolves,4.04
Strange Angels,3.79
Night Pleasures,4.21
The Good the Bad and the Undead,4.25
Blackwood Farm,3.86
Rosemarys Baby,4.0
Silver Shadows,4.35
Fear,4.24
John Dies at the End,3.9
Sentinel,4.47
Angel,3.87
Elsewhere,3.9
The Goddess Test,3.8
Lover Reborn,4.34
Archangels Kiss,4.22
Hunger,4.03
Embrace,4.01
Undead and Unwed,3.82
Thirst No ,3.83
Blood and Chocolate,3.78
Eighth Grade Bites,3.93
Heart Shaped Box,3.84
One Grave at a Time,4.24
My Soul to Take,3.88
Apollyon,4.37
Vampire Origins   Project Ichorous,3.9
Dead Beat,4.41
Library of Souls,4.13
Plague,4.18
Midnight,3.78
Pleasure Unbound,4.05
Infinity,4.04
The Killing Dance,4.13
Storm Born,3.89
Firestarter,3.89
Everlost,3.96
The Book of Occult,3.92
Hourglass,3.79
Clockwork Angel; Clockwork Prince; Clockwork Princess,4.67
Midnight Awakening,4.24
The Hollow,3.75
Dreamless,4.19
Kiss of Crimson,4.15
Light,4.38
Blood And Gold,3.9
Night Embrace,4.24
Raised by Wolves,3.93
My Wolfs Bane,3.77
Sweet Peril,4.26
Summer Knight,4.27
Eternal Kiss of Darkness,4.21
The Laughing Corpse,4.12
A Fistful of Charms,4.28
Bloodrose,4.06
Styxx,4.58
Beautiful Redemption,3.93
Wolfsbane,4.11
The Strain,3.79
Narcissus in Chains,3.9
Stray,3.78
Revenge of the Witch,3.99
Fool Moon,4.01
Once Burned,4.21
The Retribution of Mara Dyer,4.09
Bloody Bones,4.11
No Rest for the Wicked,4.29
Half Bad,3.78
Tail of the Devil,4.03
On a Pale Horse,4.14
Burnt Offerings,4.08
Kiss of Death,4.21
Jessicas Guide to Dating on the Dark Side,3.84
The Black Dagger Brotherhood,4.32
Her Fearful Symmetry,3.26
Ghost Town,4.26
Changes,4.49
Mack,4.23
My Blood Approves,3.82
Twice Bitten,4.21
Succubus on Top,4.06
Grave Peril,4.15
White Witch Black Curse,4.34
The Name of the Star,3.88
For a Few Demons More,4.33
Of Poseidon,4.02
The Eternity Cure,4.22
Reunion,4.08
Poison Princess,4.13
The Secret Hour,3.81
Destined,4.04
Touch of Frost,3.95
Witch and Wizard,3.56
Piercing the Darkness,4.32
The Magician,4.1
Thinner,3.73
The Lunatic Cafe,4.12
Lord Loss,4.23
Proven Guilty,4.39
Sweet Reckoning,4.32
In The Afterlight,4.29
Haunted,4.14
Elixir,4.39
Forsaken,3.99
The Darkest Kiss,4.25
Deadly Little Secret,3.86
The Outsider,3.98
The Thief of Always,4.2
Lost Souls,3.9
Night Star,3.81
The Outlaw Demon Wails,4.38
Darkest Hour,4.16
Abraham Lincoln,3.7
Vampire Kisses,4.13
Ninth Key,4.06
Awake at Dawn,4.27
The Twilight Saga Complete Collection,4.33
Abandon,3.69
A Touch of Dead,3.83
Desperation,3.83
Providence,3.98
Hawksong,4.15
The Initiation ,3.96
Midnight Rising,4.22
The Great and Secret Show,4.06
Succubus Heat,4.18
Covet,3.91
The Dark Divine,3.8
The Screaming Staircase,4.21
Vampire Kisses,3.71
The Ruby Circle,4.22
Hounded,4.09
Finding Sky,4.08
Hades,3.96
A Hidden Fire,4.04
Jinx,3.71
A Job From Hell,3.55
Hard Bitten,4.15
Succubus Dreams,4.13
Infinite Days,3.91
The Haunted,4.14
Origins,4.14
Red Russia,4.26
Sookie Stackhouse  Volume Set,4.29
The Catastrophic History of You and Me,4.03
Everlasting,3.91
The Gathering,4.02
The Devouring,3.92
Sleeping Beauties,3.73
The Amityville Horror,3.85
The Dark Half,3.78
Touch the Dark,3.71
Phantoms,3.94
Shadows,4.14
Bite Club,4.22
Vanish,3.93
Thorn Queen,4.11
Sons of Destiny,4.21
Rivers of London,3.87
Through the Zombie Glass,4.28
Ravens Gate,3.9
Death Masks,4.29
Every Dead Thing,3.98
Succubus Shadows,4.17
Betrayals,4.08
Angel Fire,4.04
Goddess,4.23
The Coldest Girl in Coldtown,3.84
Peeps,3.77
Obsession,4.12
Stolen,4.15
The Girl Who Could Fly,4.07
Succubus Revealed,4.26
Friday Night Bites,4.12
Kiss of Snow,4.46
Jealousy,4.15
Until I Die,4.16
Turn Coat,4.42
Inescapable,4.04
Crossroads,3.71
Defiance,4.19
Fated,3.67
Second Grave on the Left,4.26
Daimon,4.09
Sisters Red,3.63
The King,4.37
Merrick,3.73
Haunted,4.08
Sole Survivor,3.79
The Captive Part II ,4.11
Immortal Beloved,4.1
Dark Desire,4.2
Ceaseless,4.19
White Night,4.38
Rose Madder,3.71
White Cat,3.79
A Quick Bite,3.91
Death of the Body,3.83
Danse Macabre,3.82
Frostbitten,4.27
Boundless,4.13
Moonbreeze,4.2
Hallowed,4.1
Unspoken,3.82
Chosen at Nightfall,4.35
Salems Lot,4.25
Between,3.95
The Vampires Assistant,4.12
Sepulchre,3.76
Numbers,3.47
Black House,4.01
Divine By Mistake,4.08
Veil of Midnight,4.25
Black Magic Sanction,4.37
Rebel Belle,3.83
Fallen in Love,3.76
Whispers at Moonrise,4.36
Just One Drop,4.47
Everneath,3.75
Last Breath,4.31
Emblaze,4.39
Ashes of Midnight,4.18
Skeleton Crew,3.96
The Novice,4.12
Taltos,3.8
Blue is for Nightmares,3.82
The Harlequin,3.92
Feral Sins,4.08
Taken at Dusk,4.31
A Lick of Frost,4.13
A Stroke of Midnight,4.07
Sookie Stackhouse  copy Boxed Set,4.44
Blood Rites,4.3
Creatura,3.82
Witch in the Woods,3.75
Let the Sky Fall,3.93
Third Grave Dead Ahead,4.36
Strangers,4.0
Deeper Than Midnight,4.29
Dinner with a Vampire,3.76
Immortal Matchmakers Inc,3.93
Twice Tempted,4.27
Darkest Powers Trilogy,4.47
Dark Secrets ,4.17
Spiders Bite,3.87
Everythings Eventual,3.97
Blood Canticle,3.72
Darker After Midnight,4.37
Ancient Blood,4.27
Swallowing Darkness,4.15
Pale Demon,4.44
Prey,4.2
The Mortal Instruments,4.57
The Physick Book of Deliverance Dane,3.71
Kiss of the Night,4.23
Endless,4.52
The Monstrumologist,3.89
Forever Odd,3.97
Night Shift,4.01
The Touch,3.7
Demon in My View,4.03
Touching Darkness,3.89
Incendiary,4.41
Teardrop,3.6
The Queen of Zombie Hearts,4.31
Darkness Becomes Her,3.9
Wake,3.69
The Rook,4.11
Seduced by Moonlight,4.06
Incubus Dreams,3.79
Hereafter,3.72
The Coffin Club,4.06
The Lake of Souls,4.18
Vampire Knight Vol ,4.1
Captivate,3.94
Dead Reckoning,3.79
Predestined,4.07
Ethereal,3.75
Bad Girls Dont Die,4.04
Drink Deep,4.09
Fire of Stars and Dragons,3.49
Wisdom,4.03
Dark Magic,4.25
Requiem,4.14
Shades of Midnight,4.28
The Twilight Saga,4.25
House,3.59
Fairest,4.12
Cerulean Sins,3.85
New England Witch Chronicles,3.98
My Soul to Steal,4.12
Moon Called,4.15
Hell House,3.79
Black Dawn,4.25
Fall From Grace,4.01
Small Favor,4.44
The Calling,4.09
Spellbound,3.88
Cold Days,4.47
Pride,4.15
The Mating,3.98
The Ghost Bride,3.77
Fate,3.98
The Fallen Star,3.91
Father Mine,4.49
The Little Stranger,3.54
Tunnels of Blood,4.14
One Silent Night,4.12
I Am Not a Serial Killer,3.79
Talon,3.75
Echo,3.9
Skin Game,4.57
On the Edge,4.04
Royal Blood,4.09
The Vampire Prince,4.23
Collected Ghost Stories,4.16
Our Dark Duet,4.19
The Darkest Surrender,4.4
Curse of the Bane,4.11
Dark Desires After Dusk,4.36
Dark Fire,4.31
Girl of Nightmares,3.86
Out of the Dark,4.49
Intuition,4.27
Blood Rites,4.4
Vampireville,3.92
Bleeding Violet,3.62
Summer of Night,4.03
Book of Shadows,4.03
Entice,4.03
Dance with a Vampire,4.01
Twilight Eyes,3.89
Radiance,3.57
Embrace the Night,4.09
Enticed,4.27
Stealing Phoenix,4.25
Prince Lestat,3.8
Accordance,4.27
Skinwalker,3.91
Damned,3.38
Revival,3.78
The Replacement,3.55
Lord of the Shadows,4.22
Stone Cold Touch,4.29
Firebolt,3.98
Captured,4.04
Blue Noon,3.86
Tick Tock,3.73
Awakening the Fire,3.73
Archangels Consort,4.23
Plague of Angels,3.48
The Keep,3.99
Lasher,3.86
Killers of the Dawn,4.23
The Hellbound Heart,4.05
The Dangerous Days of Daniel X,3.58
Shattered Mirror,4.03
Flutter,3.97
Trials of Death,4.25
The Wide Game,3.88
Misguided Angel,3.93
Goddess Interrupted,4.0
Micah,3.64
Dark Prince,4.0
The Book With No Name,3.84
Evil Star,3.98
In the Forests of the Night,3.87
My Soul to Keep,4.08
Fevre Dream,3.87
Reckoning,4.11
