title,rating
The Da Vinci Code,3.86
The Girl with the Dragon Tattoo,4.14
Rebecca,4.23
And Then There Were None,4.26
The Shining,4.23
The Girl Who Played with Fire,4.24
Jurassic Park,4.04
The Silence of the Lambs,4.2
Misery,4.17
The Girl Who Kicked the Hornets Nest,4.22
Gone Girl,4.08
Different Seasons,4.34
A Time to Kill,4.07
The Firm,4.02
The Lost Symbol,3.71
The Elephant Tree,4.14
Pet Sematary,4.0
Angels and Demons,3.9
The Zombie Room,4.16
The Wasp Factory,3.81
The Bourne Identity,4.02
Watchers,4.18
Inferno,3.85
Matching Configurations,4.39
Odd Thomas,3.97
Under the Dome,3.91
Digital Fortress,3.66
The Girl on the Train,3.93
Shutter Island,4.08
Mystic River,4.17
The Hunt for Red October,4.07
Requiem for a Dream,4.09
The Millennium Trilogy ,4.48
The Long Walk,4.08
Lunar Park,3.64
Sometimes a Great Notion,4.18
Deception Point,3.72
Sharp Objects,3.98
Dark Places,3.93
Skagboys,3.92
The Runaway Jury,3.99
Smillas Sense of Snow,3.74
The Client,4.02
Timeline,3.85
Una Historia de Ayer,4.69
Jaws,3.97
Before I Go to Sleep,3.89
Hearts in Atlantis,3.83
Red Dragon,4.03
Needful Things,3.92
The Dead Zone,3.93
The Pelican Brief,4.01
The Spy Who Came In from the Cold,4.06
El Diablo,4.02
Naked in Death,4.12
The Pandarus File,4.43
If Tomorrow Comes,4.04
The Manufactured Identity,3.51
Killing Floor,4.05
Dolores Claiborne,3.87
Unparalleled,4.3
The Day of the Jackal,4.26
Tell No One,4.11
Tinker Tailor Soldier Spy,4.04
Kiss the Girls,3.97
Master of the Game,4.12
Franz Kafkas The Castle ,4.08
Table ,3.65
The Surgeon,4.09
The Eight,3.91
Red Storm Rising,4.17
The Bone Collector,4.19
Post Office,3.98
The Ultimate Religion,4.39
Diary,3.61
The Girl Who Loved Tom Gordon,3.61
Liseys Story,3.68
Ghost Story,3.95
Intensity,4.04
Lips of a Mastodon,3.9
Dark Matter,4.09
Eye of the Needle,4.19
Defending Jacob,3.98
Doctor Sleep,4.12
The Rainmaker,3.95
The Cadaver Factory,4.35
Bag of Bones,3.9
Child ,4.09
Along Came a Spider,4.11
Hannibal,3.77
Sphere,3.8
The Snowman,4.01
Rage of Angels,3.94
The Silent Patient,4.09
The Testament,3.86
The Talented Mr Ripley,3.93
The Andromeda Strain,3.9
Prey,3.76
My Sisters Grave,4.05
Mateguas Island,3.86
The Body Finder,3.94
The Lost World,3.79
Lightning,4.06
Gods Spy,3.75
Africas Child ,4.28
Duma Key,3.95
Rosemarys Baby,4.0
Darkly Dreaming Dexter,3.89
In the Woods,3.77
Stillhouse Lake,4.11
Postmortem,4.02
The Bachman Books,4.12
Moon Tiger,3.84
The Analyst,4.13
House of Spies,4.3
Bird Box,4.01
A Merciful Truth,4.27
The Woman in the Window,3.94
A Merciful Death,4.13
Tell Me Your Dreams,3.96
Spellbound in His Arms,3.89
Forsaken,4.1
Her Final Breath,4.29
Close to Home,4.29
The Lincoln Lawyer,4.17
The th Canon,4.25
Novel with Cocaine,3.56
The Demon,3.65
I Am Pilgrim,4.25
Origin,3.86
Killing Yourself to Live,3.81
Firestarter,3.89
The Moses Expedition,3.69
Say Youre Sorry,4.02
The End of Everything,3.32
Deliverance,3.88
Tree of Smoke,3.54
Never Never,4.07
Congo,3.6
Midnight Sacrifice,4.23
The Black Echo,4.1
The Couple Next Door,3.78
Cocaine Nights,3.46
Rainbow Six,4.09
Behind Closed Doors,3.95
Sempre,4.16
Coin Locker Babies,3.69
Concrete Island,3.6
Night Film,3.78
Piercing,3.53
The Likeness,4.05
The Woods,4.05
Dare Me,3.22
Midnight Exposure,4.14
Mr Mercedes,3.97
Psycho,4.1
The Other Side of Midnight,3.92
Gorky Park,4.04
Tropic of Capricorn,3.78
The Body Farm,4.05
The Cabinet of Curiosities,4.24
Mercy,3.93
Midnight Obsession,4.3
The Constant Gardener,3.8
A House Without Windows,3.62
The Killer Inside Me,3.82
You,3.9
Paradise,4.31
Relic,4.03
Cell,3.65
Sweet Dreams,4.4
The Comfort of Strangers,3.4
A Merciful Secret,4.36
The Death of Bunny Munro,3.41
Without Remorse,4.18
Save Yourself,3.37
Piercing the Darkness,4.32
I Dream of Yellow Kites,4.06
Trust,3.84
Thinner,3.73
Dark Rooms,3.1
I Hunt Killers,4.01
Verity,4.32
Audition,3.47
Off the Grid,4.19
Into the Darkest Corner,4.08
The Last Juror,3.89
The Outsider,3.98
Crime,3.44
Mystery Man,4.23
