title,rating
The Hunger Games,4.33
Twilight,3.6
The Fault in Our Stars,4.21
Divergent,4.19
The Perks of Being a Wallflower,4.2
The Outsiders,4.1
Looking for Alaska,4.02
Insurgent,4.02
The Hunger Games Trilogy Boxset,4.48
The Maze Runner,4.03
Fallen,3.73
The Selection,4.13
Catching Fire,4.29
Shiver,3.77
Uglies,3.86
Marked,3.8
Midnight Sun ,4.02
Delirium,3.97
Paper Towns,3.8
Speak,4.02
Graceling,4.08
Mockingjay,4.04
Allegiant,3.62
Eleanor and Park,4.05
If I Stay,3.94
Legend,4.17
Go Ask Alice,3.76
Stargirl,3.76
Anna and the French Kiss,4.01
The Angel Experiment,4.07
Matched,3.66
The Twilight Collection,3.79
The One,4.2
Torment,3.87
A Great and Terrible Beauty,3.78
Just Listen,4.06
The Truth About Forever,4.12
Unwind,4.17
The Elite,4.02
All the Bright Places,4.15
I Am Number Four,3.94
Sabriel,4.15
We Were Liars,3.84
Before I Fall,3.9
Where She Went,4.02
The Knife of Never Letting Go,3.97
Gone,3.86
The Scorch Trials,3.91
Pretties,3.85
Alanna,4.24
Champion,4.34
Id Tell You I Love You But Then Id Have to Kill You,3.83
The Sisterhood of the Traveling Pants,3.8
Prodigy,4.26
Linger,3.9
The Death Cure,3.77
Its Kind of a Funny Story,4.11
Fire,4.1
An Abundance of Katherines,3.57
I Am the Messenger,4.05
The Hate U Give,4.52
Specials,3.76
The City of Ember,3.86
Crank,4.15
Pandemonium,4.05
Will Grayson Will Grayson,3.77
The Awakening ,3.68
This Lullaby,4.02
Passion,3.88
Every Day,3.94
The Ruins of Gorlan,4.21
Along for the Ride,4.06
Beastly,3.83
Across the Universe,3.77
Lock and Key,4.0
The Short Second Life of Bree Tanner,3.5
Evernight,3.64
Between Shades of Gray,4.36
Schools Out Forever,4.15
Saving the World and Other Extreme Sports,4.15
Everything Everything,4.05
Blue Moon,3.61
The Absolutely True Diary of a Part Time Indian,4.1
On the Jellicoe Road,4.13
Pretty Little Liars,3.87
Under the Never Sky,3.99
The Alchemyst,3.84
Eclipse,3.7
The Princess Diaries,3.79
Cross My Heart and Hope to Spy,4.12
Max,4.06
Stolen,3.91
Extras,3.59
The Sky Is Everywhere,3.99
Rapture,4.01
The House of the Scorpion,4.09
The Fury ,3.74
New Moon,3.54
Among the Hidden,3.98
Wintergirls,3.97
Burned,4.25
The Dead Girls Dance,4.05
Impulse,4.27
The Summer I Turned Pretty,3.92
The Scorpio Races,4.07
Life As We Knew It,3.89
Dont Judge a Girl by Her Cover,4.2
Kissed by an Angel,4.08
Crossed,3.52
Flipped,3.95
The Ask and the Answer,4.2
Noughts and Crosses,4.23
Tomorrow When the War Began,4.05
Turtles All the Way Down,3.95
Monsters of Men,4.24
Four,4.04
The Heir,3.78
Only the Good Spy Young,4.29
The Final Warning,3.86
Lola and the Boy Next Door,3.95
Fang,4.06
The Kill Order,3.71
Lord of Misrule,4.16
Midnight Alley,4.1
Switch  The Lost Kingdoms of Karibu,4.14
The Demon King,4.14
Feast of Fools,4.16
The Power of Six,4.16
The DUFF,3.82
Before I Die,3.83
Requiem,3.74
Lirael,4.27
Carpe Corpus,4.2
Gathering Blue,3.82
Wither,3.8
Identical,4.31
Abhorsen,4.21
Rebel Angels,3.92
Book of a Thousand Days,3.95
Code Name Verity,4.03
Just One Day,4.0
Blood Red Road,3.91
Leviathan,3.91
Finnikin of the Rock,3.87
Twilight,4.24
Eon,3.94
The Rise of Nine,4.18
The Testing,4.04
More Than This,3.98
Dreamland,3.9
Salt to the Sea,4.35
The Sweet Far Thing,3.96
Someone Like You,3.93
Wild Magic,4.29
Avalon High,3.81
Heist Society,3.91
Enna Burning,3.98
Free Four,4.15
Shadowland,4.03
Fade Out,4.19
The Naming,4.01
Bitterblue,3.99
Leaving Paradise,4.0
Incarceron,3.64
Five Feet Apart,4.19
Willow,3.92
Stormbreaker,3.98
Wake,3.75
Tricksters Choice,4.23
A Million Suns,4.02
A Northern Light,3.81
The Sun Is Also a Star,4.06
Angel,4.02
The Burning Bridge,4.31
Starters,3.9
Tricksters Queen,4.25
Nation,4.07
Out of Sight Out of Time,4.33
Love Stargirl,3.82
The Statistical Probability of Love at First Sight,3.77
Hate List,4.01
The Battle for Skandia,4.34
A Mango Shaped Space,4.22
Dorothy Must Die,3.81
Glass,4.29
Angel,3.87
Elsewhere,3.9
Through the Ever Night,4.14
First Test,4.2
UnWholly,4.25
Blood and Chocolate,3.78
Eighth Grade Bites,3.93
The Sorcerer of the North,4.27
Virals,3.94
River Secrets,4.04
Isla and the Happily Ever After,4.04
The Icebound Land,4.24
 Little Blue Envelopes,3.63
Everlost,3.96
Partials,3.93
The Exiled Queen,4.33
Froi of the Exiles,4.29
Slated,4.07
The Transfer,4.17
Entwined,3.87
Fever ,3.92
Going Bovine,3.64
Nevermore,3.89
Abarat,4.09
The Sorceress,4.11
Emperor Mage,4.25
The Merchant of Death,3.95
Tail of the Devil,4.03
Well Always Have Summer,4.11
Dash and Lilys Book of Dares,3.78
Kiss of Death,4.21
Jessicas Guide to Dating on the Dark Side,3.84
Boy Meets Boy,3.83
Lioness Rampant,4.25
The Declaration,3.71
Ghost Town,4.26
Squire,4.25
North of Beautiful,3.92
The Woman Who Rides Like a Man,4.16
My Blood Approves,3.82
Notice Me,4.26
United We Spy,4.44
Airhead,3.77
Revolution,4.0
UnEnchanted,3.89
That Was Then This Is Now,3.92
Two Boys Kissing,4.09
Keeping the Moon,3.85
What Happened to Goodbye,3.95
Eraks Ransom,4.33
Reunion,4.08
The Necromancer,4.13
The Secret Hour,3.81
The Warrior Heir,3.94
Witch and Wizard,3.56
The Magician,4.1
The Kings of Clonmel,4.3
Angus Thongs and Full Frontal Snogging,3.75
The Program,4.05
Struck By Lightning,3.83
I Hunt Killers,4.01
The Lying Game,3.93
The Fall of Five,4.23
Bloody Jack,4.09
Haunted,4.14
Its Not Summer Without You,4.09
Deadly Little Secret,3.86
The Siege of Macindaw,4.34
In the Hand of the Goddess,4.21
Monument ,3.9
Darkest Hour,4.16
Vampire Kisses,4.13
Ninth Key,4.06
The Twilight Saga Complete Collection,4.33
Me and Earl and the Dying Girl,3.55
Terrier,4.12
The Recruit,4.24
Rot and Ruin,4.1
Lady Knight,4.28
Sold,4.22
The Dragon Heir,4.14
Nick and Norahs Infinite Playlist,3.7
Little Brother,3.93
Sandrys Book,3.98
Hawksong,4.15
Winger,4.04
Wolf Speaker,4.17
Princess of the Midnight Ball,3.93
Tricks,4.29
The Looking Glass Wars,3.93
Dragonsong,4.21
Vampire Kisses,3.71
Hades,3.96
The Enchantress,4.24
Jinx,3.71
Dragonsinger,4.29
Page,4.2
On the Fence,4.05
Fallout,4.28
The Adoration of Jenna Fox,3.69
Infinite Days,3.91
Origins,4.14
Okay for Now,4.21
Eve,3.69
Love Letters to the Dead,3.79
The Devouring,3.92
Holding Up the Universe,3.87
The Beginning of Everything,3.75
Thunderhead,4.47
Bite Club,4.22
The Luxe,3.63
The Prisoner of Cell ,4.22
Inside Out,3.82
The Crown,3.76
The Wizard Heir,4.14
Forest Born,4.03
The People of Sparks,3.67
Forgive Me Leonard Peacock,3.89
Where Things Come Back,3.8
The Outcasts,4.38
The World of Divergent,3.97
Peeps,3.77
Son,3.98
Uncommon Criminals,4.13
The Gray Wolf Throne,4.39
The Chocolate War,3.48
Twenty Boy Summer,3.89
Sloppy Firsts,3.95
Girl Online,3.71
The Girl of Fire and Thorns,3.79
A World Without Heroes,4.11
