title,rating
The Da Vinci Code,3.86
The Stand,4.34
The Adventures of Sherlock Holmes,4.3
The Girl with the Dragon Tattoo,4.14
Rebecca,4.23
A Clockwork Orange,3.99
And Then There Were None,4.26
The Shining,4.23
The Godfather,4.36
In Cold Blood,4.07
Fight Club,4.19
Perfume,4.02
It,4.24
The Girl Who Played with Fire,4.24
Murder on the Orient Express,4.17
Jurassic Park,4.04
The Silence of the Lambs,4.2
The Green Mile,4.45
Misery,4.17
The Girl Who Kicked the Hornets Nest,4.22
The Secret History,4.09
The Historian,3.79
The Complete Sherlock Holmes,4.48
Gone Girl,4.08
Different Seasons,4.34
A Time to Kill,4.07
The Gunslinger,3.95
The Hound of the Baskervilles,4.12
American Psycho,3.82
Salems Lot,4.03
The Martian,4.4
The Firm,4.02
Room,4.06
Flowers in the Attic,3.82
Houdini Heart,4.22
The Lost Symbol,3.71
Carrie,3.96
The Exorcist,4.18
The Elephant Tree,4.14
Pet Sematary,4.0
Angels and Demons,3.9
Unwind,4.17
Trainspotting,4.07
The Zombie Room,4.16
No Country for Old Men,4.12
The Westing Game,4.01
We Were Liars,3.84
We Need to Talk About Kevin,4.05
The Wasp Factory,3.81
Left Behind,3.83
The Talisman,4.13
The Knife of Never Letting Go,3.97
Foucaults Pendulum,3.9
The Bourne Identity,4.02
Watchers,4.18
One for the Money,4.04
The Haunting of Hill House,3.84
Inferno,3.85
The Big Sleep,3.99
Quantum Roots,4.35
The No  Ladies Detective Agency,3.79
Odd Thomas,3.97
Under the Dome,3.91
Digital Fortress,3.66
Cryptonomicon,4.24
The Girl on the Train,3.93
Death on the Nile,4.1
Battle Royale,4.16
The Passage,4.03
Kane and Abel,4.31
Shutter Island,4.08
Mystic River,4.17
House of Leaves,4.06
The Hunt for Red October,4.07
Requiem for a Dream,4.09
The Millennium Trilogy ,4.48
Factotum,3.94
Naked Lunch,3.46
The Long Walk,4.08
Lunar Park,3.64
Sometimes a Great Notion,4.18
The Murder of Roger Ackroyd,4.24
Deception Point,3.72
Sharp Objects,3.98
Dark Places,3.93
The Drawing of the Three,4.22
The Maltese Falcon,3.9
Skagboys,3.92
The Runaway Jury,3.99
Walks Away Woman,4.33
Smillas Sense of Snow,3.74
A Study in Scarlet,4.16
The Client,4.02
Let the Right One In,4.05
We Have Always Lived in the Castle,3.99
The Collector,3.98
Swan Song,4.28
Schools Out Forever,4.15
Timeline,3.85
This Present Darkness,4.23
A Scanner Darkly,4.01
Una Historia de Ayer,4.69
Jaws,3.97
Before I Go to Sleep,3.89
Hearts in Atlantis,3.83
The Beekeepers Apprentice,4.06
Red Dragon,4.03
The Evolution of Mara Dyer,4.28
Needful Things,3.92
Pretty Little Liars,3.87
The Dead Zone,3.93
The Pelican Brief,4.01
The Spy Who Came In from the Cold,4.06
Rant,3.82
Naked in Death,4.12
Stolen,3.91
The Present,4.92
Haunted,3.58
Illuminae,4.28
The Waste Lands,4.23
The Pandarus File,4.43
Darkness at Noon,4.04
River God,4.2
China Blues,4.11
Lullaby,3.73
The Traitors Emblem,3.83
If Tomorrow Comes,4.04
The Manufactured Identity,3.51
Killing Floor,4.05
Less Than Zero,3.56
Dolores Claiborne,3.87
The Day of the Jackal,4.26
Tell No One,4.11
Boys Life,4.36
The Cuckoos Calling,3.86
Women,3.85
The Eyes of the Dragon,3.93
Tinker Tailor Soldier Spy,4.04
Big Little Lies,4.27
Kiss the Girls,3.97
Weaveworld,4.13
The Beach,3.94
Master of the Game,4.12
Ana Rocha,4.23
Franz Kafkas The Castle ,4.08
The Moonstone,3.9
Table ,3.65
The Surgeon,4.09
The Eight,3.91
Red Storm Rising,4.17
The Bone Collector,4.19
Post Office,3.98
The Rum Diary,3.82
Noble House,4.25
The Ultimate Religion,4.39
Diary,3.61
The Mysterious Affair at Styles,3.99
Death Note Vol ,4.44
The Girl Who Loved Tom Gordon,3.61
Crash,3.6
Liseys Story,3.68
Ghost Story,3.95
Intensity,4.04
The Daughter of Time,3.92
Lips of a Mastodon,3.9
Dark Matter,4.09
Eye of the Needle,4.19
Defending Jacob,3.98
Doctor Sleep,4.12
The Rainmaker,3.95
The Long Goodbye,4.21
The Cadaver Factory,4.35
Bag of Bones,3.9
Child ,4.09
The Rules of Attraction,3.69
Along Came a Spider,4.11
The Sign of Four,3.94
Hannibal,3.77
Sphere,3.8
The Snowman,4.01
Rage of Angels,3.94
The Hot Zone,4.13
Baby,3.81
The Silent Patient,4.09
The Testament,3.86
Gaudy Night,4.23
The Talented Mr Ripley,3.93
The Andromeda Strain,3.9
Prey,3.76
Last Exit to Brooklyn,3.83
My Sisters Grave,4.05
Stormbreaker,3.98
Mateguas Island,3.86
The Body Finder,3.94
NOSA,4.07
The Lost World,3.79
Lightning,4.06
The Sweetness at the Bottom of the Pie,3.81
Gods Spy,3.75
Horns,3.92
Brighton Rock,3.67
Duma Key,3.95
The Husbands Secret,3.94
Rosemarys Baby,4.0
Darkly Dreaming Dexter,3.89
Nutshell,3.67
In the Woods,3.77
The Doors of Perception and Heaven and Hell,3.91
Stillhouse Lake,4.11
