title,rating
The Time Travelers Wife,3.97
A Wrinkle in Time,4.0
Slaughterhouse Five,4.08
Outlander,4.23
On the Road,3.62
Eat Pray Love,3.57
Fear and Loathing in Las Vegas,4.08
Into the Wild,3.99
Blood River,4.06
The Time Machine,3.89
Zen and the Art of Motorcycle Maintenance,3.77
Dragonfly in Amber,4.32
Midnight in the Garden of Good and Evil,3.92
Miss Peregrines Home for Peculiar Children,3.91
Shantaram,4.25
Voyager,4.37
Three Cups of Tea,3.65
Into Thin Air,4.18
Drums of Autumn,4.33
Hyperion,4.23
The Eyre Affair,3.88
A Breath of Snow and Ashes,4.44
Night Watch,4.5
The Fiery Cross,4.24
The Trigger,4.11
Around the World in Eighty Days,3.93
Chasing the Devil,4.1
A Connecticut Yankee in King Arthurs Court,3.77
A Walk in the Woods,4.06
A Moveable Feast,4.04
Dirk Gentlys Holistic Detective Agency,3.98
The Past,4.75
Timeline,3.85
Hawaii,4.2
Rant,3.82
Three Men in a Boat,3.88
An Echo in the Bone,4.44
The Dharma Bums,3.91
The Forever War,4.14
Hollow City,4.05
Endurance,4.39
Shadow of Night,4.05
Harry Potter and the Cursed Child,3.62
The Beach,3.94
Doomsday Book,4.03
Wild,4.01
Dragonflight,4.09
The Rum Diary,3.82
Kindred,4.26
Out of Africa,3.94
Down and Out in Paris and London,4.1
Just One Day,4.0
The End of Eternity,4.24
To Say Nothing of the Dog,4.13
Amy and Rogers Epic Detour,4.0
The Fall of Hyperion,4.21
A Knight in Shining Armor,4.22
Lightning,4.06
London,4.06
Time and Again,3.95
Replay,4.16
Written in My Own Hearts Blood,4.53
Life After Life,3.76
When You Reach Me,4.07
Thief of Time,4.23
Desert Solitaire,4.22
The Time Keeper,3.87
The Bookseller of Kabul,3.77
Found,3.98
Travels with Charley,4.07
Library of Souls,4.13
Lost Horizon,3.93
The Winter Sea,4.08
Killing Yourself to Live,3.81
 Little Blue Envelopes,3.63
The Sheltering Sky,3.91
Einsteins Dreams,4.07
My Name Is Memory,3.71
Tigers Destiny,4.39
A Swiftly Tilting Planet,4.1
In a Sunburned Country,4.07
Born to Run,4.29
Time Enough for Love,3.97
Big Sur,3.82
The Perfect Storm,4.1
The Rise of Mallory,4.33
Revolution,4.0
The Motorcycle Diaries,3.79
The First Fifteen Lives of Harry August,4.03
Forever,3.94
Three Weeks With My Brother,4.03
The Time Paradox,4.08
The Rings of Saturn,4.25
A Thousand Pieces of You,3.9
What the Wind Knows,4.31
My Family and Other Animals,4.22
Notes from a Small Island,3.92
Waterfall,4.03
The Long Walk,4.21
Seven Pillars of Wisdom,3.95
Under the Tuscan Sun,3.76
Recursion,4.15
The Last Sunset,3.88
New York,4.13
The Anubis Gates,3.92
Transcendence,4.08
The Fools Progress,4.22
The End of Mr Y,3.79
Enchantment,3.9
Carnelian,3.86
Nothing to Envy,4.42
Seven Years in Tibet,4.09
Dont Lets Go to the Dogs Tonight,3.96
Blackout,3.84
Im a Stranger Here Myself,3.9
A Supposedly Fun Thing Ill Never Do Again,4.23
Wind Sand and Stars,4.17
If I Wake,3.95
The Life and Times of the Thunderbolt Kid,3.94
The Unlikely Pilgrimage of Harold Fry,3.92
The Lost Continent,3.83
Ethereal,3.75
The Dark Highlander,4.29
Somewhere In Time,3.87
Night Train to Lisbon,3.75
A Kiss in Time,3.76
Perfect Timing,4.12
Platform,3.8
The Well of Lost Plots,4.1
The Geography of Bliss,3.83
Sent,3.95
Spin,4.02
All Clear,4.07
The Door Into Summer,4.01
The Rise of Endymion,4.17
Embrace the Night,4.09
The Golden Dynasty,4.41
The Pilgrimage,3.64
The Future of Us,3.57
Woman on the Edge of Time,3.95
The Enchanted April,3.93
Mariana,4.07
Alive,4.11
Time Between Us,3.9
Sabotaged,3.94
Lost in a Good Book,4.14
City of Masks,3.91
Beyond the Highland Mist,3.97
Cascade,4.25
This Thing of Darkness,4.5
The Never War,4.13
Kon Tiki,4.13
Pyongyang,3.92
A Walk Across America,4.04
The Transall Saga,4.21
Undaunted Courage,4.19
Kiss of the Highlander,4.3
The Devils Arithmetic,4.01
Desolation Angels,3.93
Burmese Days,3.86
The House on the Strand,3.84
Dance of the Gods,4.15
Winterdance,4.26
My Fair Godmother,3.92
The Immortal Highlander,4.32
The Summerhouse,3.95
Istanbul,3.8
The Emerald Atlas,3.93
Pivot Point,4.07
Black Water,4.17
To Tame a Highland Warrior,4.13
Mutant Message Down Under,3.77
Lady of Hay,4.05
Morrigans Cross,4.14
The Many Coloured Land,4.07
The Case of the Displaced Detective,3.72
The Strange Affair of Spring Heeled Jack,3.69
City of Stars,4.02
The Glass Palace,3.97
Black Lamb and Grey Falcon,4.22
Journey to the River Sea,4.19
Just One Year,3.89
The Journeyer,4.32
Spell of the Highlander,4.27
Passenger,3.76
Tisha,4.3
West with the Night,4.17
The Mother Tongue,3.92
Torrent,4.3
The Puzzle Ring,4.08
The Highlanders Touch,4.14
Timeless,3.84
Me and Mr Darcy,3.22
Tennis Shoes Among the Nephites,3.99
The River of Doubt,4.16
The Fire Chronicle,4.23
Meant to Be,3.7
Ireland,4.02
The Rose Garden,4.01
The Shining Girls,3.54
InuYasha,4.28
Curse the Dawn,4.15
Claimed by Shadow,3.98
The Rivers of Zadaa,4.19
Behind the Beautiful Forevers,3.98
Eating Smoke,3.61
Endymion,4.18
The Reality Bug,4.16
Taming the Blowing Wind,4.18
Timebound,3.88
The Lost City of Z,3.86
Committed,3.42
My Life in France,4.17
The Little Paris Bookshop,3.51
The Last Magician,4.07
TimeRiders,3.82
Stasiland,4.17
Travels with My Aunt,3.82
English Passengers,4.07
The Dragon and the George,3.9
All You Need Is Kill,4.06
The Mosquito Coast,3.83
The Last Little Blue Envelope,3.85
Wayfarer,3.83
Many Waters,3.98
The Dancers at the End of Time ,3.89
The Adversary,4.22
At Play in the Fields of the Lord,4.03
The Named,4.06
The Shadow of the Sun,4.38
Alaska,4.13
The Umbrella Academy Vol ,3.85
Life on the Mississippi,3.89
Physics of the Impossible,4.07
In Search of Captain Zero,3.9
All Our Yesterdays,4.03
You Shall Know Our Velocity ,3.63
Icelands Bell,3.89
Marching Powder,4.27
Blue Highways,4.01
Redshirts,3.85
Touching the Void,4.22
Island in the Sea of Time,4.01
Torn,4.0
The Songlines,3.98
Measuring the World,3.74
Coming Into the Country,4.22
Bloomability,4.04
The Hourglass Door,3.83
The City of Joy,4.22
Split Second,3.9
Assassination Vacation,3.96
Iron and Silk,3.96
Pastwatch,3.97
Something Rotten,4.16
Crewel,3.72
Where the Deer Dwell,3.69
The Road to Mecca,4.46
The Quillan Games,4.19
Draekora,4.61
Three Cups of Tea,3.64
Little Princes,4.28
The Map of Time,3.38
Love and Gelato,4.11
Carpe Diem,3.95
The Pilgrims of Rayne,4.15
The Light of Other Days,3.99
The City of Worms,4.21
Flight,3.89
Nathaniels Nutmeg,3.83
Trustee from the Toolroom,4.24
The Urth of the New Sun,4.0
Timeless Love,3.63
On the Road,4.13
Archers Goon,4.07
Unremembered,3.69
All You Zombies,4.08
Reign,4.32
City of Flowers,3.99
The Damage Done,4.08
The Golden Torc,4.13
How to Stop Time,3.84
Making History,3.95
Intervention,4.25
The Nonborn King,4.18
The Snow Leopard,4.12
Doon,3.9
This Is How You Lose the Time War,3.96
The Great Railway Bazaar,3.91
In an Antique Land,3.83
The Number of the Beast,3.61
The Adventures of Ook and Gluk,4.21
Parallel Roads ,4.0
If I Never Get Back,4.09
Timequake,3.72
The Curse of Lono,3.94
I Heart New York,3.87
Paper Girls Vol ,3.88
Betsy and the Great World,4.14
The Dark,4.16
The Endurance,4.32
Travels with Herodotus,4.06
Son of the Morning,3.96
The Time Trilogy,4.36
Hunt the Moon,4.25
Warrior Rising,4.14
Boomerang,3.9
Now Wait for Last Year,3.89
Indian Creek Chronicles,4.21
Scorched,3.78
Steel,3.42
The Path Between the Seas,4.2
The Colossus of Maroussi,3.99
The Mirror,4.03
Although of Course You End Up Becoming Yourself,3.9
Tales of a Female Nomad,3.85
Once a Witch,3.75
Hourglass,3.79
How to Travel with a Salmon and Other Essays,3.85
The Bounty Mutiny,3.9
The Cat Who Walks Through Walls,3.71
Ten Thousand Skies Above You,4.08
The Little Book,3.73
Gideon the Cutpurse,3.72
The Accidental Hero,4.19
The Flame Trees of Thika,4.12
Longitude,3.96
Caribbean,3.94
Maximum City,3.93
House of Dark Shadows,3.88
Color,3.79
No Hurry to Get Home,4.23
Black Girl in Paris,3.83
Hotel Kerobokan,3.88
When Fate Dictates,3.51
Just One Damned Thing After Another,3.88
Between a Rock and a Hard Place,3.83
The Journey Home,4.65
The Towers of Trebizond,3.69
Out of Africa ,4.23
A Salty Piece of Land,3.7
Sideways,3.7
Playing for Pizza,3.45
Give War a Chance,3.87
A Week of Mondays,3.89
Dont Stop the Carnival,3.93
The Next Together,3.65
The Peripheral,3.94
In Some Other Life,3.87
The Geography of You and Me,3.66
Collision,4.11
A World Without You,3.73
 Years of Annoying the French,4.03
The Story of the Amulet,3.98
Goddess of Legend,3.93
The Perennial Wanderer,4.12
Lonesome Traveler,3.77
The Paradise War,4.04
The Butterfly Effect,4.1
The Breach,4.02
Overseas,3.53
Gweilo,4.15
Pathfinder,3.99
The White Spider,4.12
The Star Rover,4.25
Birds Beasts and Relatives,4.33
Ring of Bright Water,4.13
Reflections from the North Country,4.23
Flashforward,3.62
Parallel,3.6
Time Out of Joint,3.85
Yes Man,4.08
Kilimanjaro and Beyond,3.97
Lord John and the Brotherhood of the Blade,3.9
The Locket,3.66
Dont You Wish,3.81
Chasing Daisy,4.09
Crazy for the Storm,3.61
Flights,3.79
Vardaesia,4.63
Martian Time Slip,3.77
The Restorer,4.16
Three Men in a Boat and Three Men on the Bummel,4.07
Time,3.77
The Last American Man,3.81
The Love That Split the World,3.65
The Notebooks of Lazarus Long,4.07
Whos That Girl,3.65
Charlie Bone and the Time Twister,3.9
The White Masai,3.46
Exhalation,4.28
This Is All I Ask,4.26
Kabul Beauty School,3.66
The Dark Age,3.92
Times Edge,4.07
Times Divide,4.08
Two Summers,3.87
Coasting,3.96
The Island at the Center of the World,4.14
The Time of the Fireflies,4.15
Miss Peregrines Home for Peculiar Children,4.11
The End of the Alphabet,3.48
Time and Time Again,4.05
Old Magic,3.93
A Sound of Thunder,4.11
Opposite of Always,3.71
The Last Season,4.07
The Time Machine,4.1
Voyage of the Beagle,4.03
The Renfield Syndrome,4.04
Tributary,4.34
Just One Night,4.1
Thirty Nights with a Highland Husband,3.83
Wildwing,3.45
One Mans Wilderness,4.31
Sixpence House,3.64
Legend,3.95
South,4.22
The Harper Hall of Pern,4.44
A Fortune Teller Told Me,4.18
East of the Sun,3.69
Its All Greek to Me,3.75
Arctic Dreams,4.22
The Anvil of the World,3.89
Reincarnation,3.66
Sorcerers Apprentice,4.17
A Map of Days,4.14
Charlotte Sometimes,4.09
Report to Greco,4.32
Before the Coffee Gets Cold,3.77
The Peddlers Road,3.85
Without Reservations,3.81
David Attenboroughs Life on Air,4.41
The Golden Spiral,3.85
Red River Vol ,4.23
The People of the Abyss,4.04
The Firebird,4.08
The Drafter,3.62
Into the Dreaming,3.96
Bourne,4.34
Captain Marvel Volume ,3.86
The Greater Journey,3.92
Typee,3.56
Always,3.78
Mutant Message From Forever,3.73
Following the Equator,3.96
Red Dust,3.86
The Scottish Prisoner,4.21
From Beirut to Jerusalem,4.12
Caught,4.22
A Sentimental Journey,3.36
Roughing It,3.89
Fate Is the Hunter,4.54
Almost French,3.7
Two Years Before the Mast,3.99
The Key,4.15
The Tomorrow Code,3.75
Paris to the Moon,3.76
The Happy Isles of Oceania,4.0
Eon,3.87
House of the Tiger King,4.09
Burma Chronicles,3.99
Angel Time,3.31
Kingdoms and Conquerors,4.21
The Outlandish Companion,4.09
Poland,4.01
A Ladys Life in the Rocky Mountains,3.96
Neither Here nor There,3.86
Alphabet of Thorn,4.07
Running in the Family,3.83
Soul Mountain,3.58
First Among Sequels,4.02
Romeo Redeemed,3.69
Beauty,3.83
The Piano Shop on the Left Bank,3.96
A Death in Brazil,3.71
Miss Rumphius,4.44
The Voices of Marrakesh,3.71
Singularity Sky,3.83
Teaching a Stone to Talk,4.2
Destined,3.87
The Various Flavors of Coffee,3.59
Twister on Tuesday,3.92
Breath of Magic,3.9
Doctor Who,4.24
Midnight on the Moon,3.93
Sunset of the Sabertooth,3.89
Venus Plus X,3.73
A House in the Sky,4.24
Sky Burial,4.07
Tuva or Bust ,3.98
On The Black Hill,3.97
Magic Tree House,4.13
Gullivers Travels and Other Writings,3.85
The Hyperion Omnibus,4.43
Doctor Who,4.08
Tonight on the Titanic,4.05
Callahans Crosstime Saloon,4.17
Mawsons Will,4.26
Behold the Man,3.78
Flaubert in Egypt,3.63
The Ugly Little Boy,3.87
Sea,3.82
Fortunately the Milk,4.06
Afternoon on the Amazon,3.94
The Miracle of Castel di Sangro,4.19
My Life on the Road,4.06
Satori In Paris,3.33
Human Croquet,3.72
Fantastical,4.27
Riding the Iron Rooster,4.02
Bearing an Hourglass,3.96
Moonlight on the Magic Flute,4.12
Doctor Who,4.1
The Tent the Bucket and Me,4.05
Deep Sky,4.09
Always a Witch,3.94
Rejar,4.07
Japanese Inn,4.1
Return to Laughter,3.69
Doctor Who,3.95
Demons and Druids,3.9
Parallel Worlds,4.19
Dispatches From The Edge,3.96
Paris,3.99
An Oblique Approach,4.21
Menagerie Manor,4.1
Doctor Who,3.81
Warped,3.72
Young Men and Fire,4.08
An Acceptable Time,3.81
Nine Lives,4.04
The Narrow Road to the Deep North and Other Travel Sketches ,4.13
Doctor Who,3.7
Merde Actually,3.57
High Tide in Tucson,4.05
Bedknob and Broomstick,4.03
In Patagonia,3.71
Shenzhen,3.76
A Handful of Time,4.15
Chasing Dreams,3.26
Indian Nocturne,3.73
Rule No ,3.88
The Man Who Loved Jane Austen,3.37
Glimpses,3.92
Singularity,3.95
MVP*,4.09
Island of the Lost,4.01
The Faerie Door,3.55
The Dead Travel Fast,3.68
Neither Wolf Nor Dog,4.37
River of Darkness,4.13
Times Edge,3.7
The Legacy,4.16
