title,rating
Twilight,3.6
City of Bones,4.1
Dracula,4.0
Vampire Academy,4.12
Interview with the Vampire,4.0
Clockwork Angel,4.32
Shadow Kiss,4.35
Frostbite,4.27
Blood Promise,4.32
Last Sacrifice,4.39
Spirit Bound,4.35
Clockwork Prince,4.44
City of Fallen Angels,4.12
Marked,3.8
Midnight Sun ,4.02
The Vampire Lestat,4.07
The Historian,3.79
City of Lost Souls,4.27
Dead Until Dark,3.96
Dark Lover,4.19
Salems Lot,4.03
City of Heavenly Fire,4.44
Evermore,3.59
Betrayed,3.93
Lover Awakened,4.44
Untamed,3.95
The Twilight Collection,3.79
Chosen,3.91
Bloodlines,4.2
Halfway to the Grave,4.16
City of Glass,4.31
The Mortal Instruments Boxed Set,4.56
A Discovery of Witches,4.0
Acheron,4.57
Dead to the World,4.12
Hunted,3.93
The Queen of the Damned,3.89
Darkfever,4.09
I Am Legend and Other Stories,4.0
Lover Unbound,4.33
Tempted,3.95
City of Ashes,4.17
Glass Houses,3.91
Lover Revealed,4.3
Club Dead,4.02
Carry On,4.22
Lover Avenged,4.37
Living Dead in Dallas,3.96
The Passage,4.03
The Golden Lily,4.33
One Foot in the Grave,4.3
Lover Mine,4.4
Burned,3.97
Guilty Pleasures,4.02
Dead as a Doornail,4.0
Night World No ,4.05
The Awakening ,3.68
Fantasy Lover,4.16
From Dead to Worse,4.01
All Together Dead,4.05
Dead and Gone,4.02
Hex Hall,3.93
Dead Witch Walking,4.04
At Graves End,4.3
The Indigo Spell,4.37
Blue Bloods,3.69
Lover Enshrined,4.12
Let the Right One In,4.05
The Short Second Life of Bree Tanner,3.5
Evernight,3.64
Memnoch the Devil,3.75
Awakened,4.01
Lady Midnight,4.4
Destined for an Early Grave,4.33
Night World No ,4.2
Eclipse,3.7
Breaking Dawn,3.7
The Immortal Rules,4.08
Magic Bites,4.05
Born at Midnight,4.12
Iron Kissed,4.36
The Fury ,3.74
New Moon,3.54
The Dead Girls Dance,4.05
Vampire Academy Collection,4.61
Shadow of Night,4.05
Blood Bound,4.31
Magic Bleeds,4.45
Masquerade,3.91
Bone Crossed,4.34
Lover Unleashed,4.28
Angels Blood,4.09
The Fiery Heart,4.34
Succubus Blues,3.94
Lord of Misrule,4.16
Midnight Alley,4.1
Paranormalcy,3.89
Night World No ,4.2
Stargazer,3.8
I Am Legend,4.07
Magic Strikes,4.44
Feast of Fools,4.16
Demonglass,4.1
Dead in the Family,3.89
Soulless,3.89
Carpe Corpus,4.2
Silver Borne,4.38
Kiss of Midnight,3.93
Shadowland,3.66
Some Girls Bite,3.99
Dark Flame,3.73
Nightfall,3.57
The Vampire Armand,3.77
Dance with the Devil,4.38
Night Watch,3.98
Bloodlines,3.7
A Hunger Like No Other,4.17
Fade Out,4.19
Night Play,4.35
Magic Burns,4.32
Sunshine,3.85
Vampire Princess Rising,4.31
First Drop of Crimson,4.15
Circus of the Damned,4.16
Dark Visions,4.19
A Living Nightmare,4.07
Blood and Spirits,3.99
Blue Moon,4.05
NOSA,4.07
Shadow Souls,3.78
This Side of the Grave,4.27
The Van Alen Legacy,3.95
Spell Bound,4.07
Lover at Last,4.31
Revelations,3.9
Every Which Way But Dead,4.29
Obsidian Butterfly,4.09
The Tale of the Body Thief,3.73
Strange Angels,3.79
Night Pleasures,4.21
The Good the Bad and the Undead,4.25
Wildwood Dancing,4.09
Blackwood Farm,3.86
Silver Shadows,4.35
Written in Red,4.26
Lover Reborn,4.34
Archangels Kiss,4.22
Torment,3.96
Revelations,4.03
Undead and Unwed,3.82
Thirst No ,3.83
The Bane Chronicles,4.15
Eighth Grade Bites,3.93
One Grave at a Time,4.24
Vampire Origins   Project Ichorous,3.9
Dead Beat,4.41
Midnight,3.78
Pleasure Unbound,4.05
Infinity,4.04
The Killing Dance,4.13
Hourglass,3.79
Demon from the Dark,4.45
Midnight Awakening,4.24
The Book of Life,4.17
Kiss of Crimson,4.15
Blood And Gold,3.9
Night Embrace,4.24
Night School,4.03
Summer Knight,4.27
Eternal Kiss of Darkness,4.21
The Laughing Corpse,4.12
A Fistful of Charms,4.28
Carpe Jugulum,4.13
Styxx,4.58
The Strain,3.79
Narcissus in Chains,3.9
Once Burned,4.21
Bloody Bones,4.11
No Rest for the Wicked,4.29
Black Dagger Brotherhood,4.69
Tail of the Devil,4.03
Burnt Offerings,4.08
Kiss of Death,4.21
Jessicas Guide to Dating on the Dark Side,3.84
The Black Dagger Brotherhood,4.32
Magic Slays,4.42
Devil May Cry,4.31
Ghost Town,4.26
Changes,4.49
My Blood Approves,3.82
Twice Bitten,4.21
Succubus on Top,4.06
Grave Peril,4.15
White Witch Black Curse,4.34
For a Few Demons More,4.33
The Eternity Cure,4.22
Destined,4.04
Ordeal,3.93
Hunting Ground,4.27
The Lunatic Cafe,4.12
Proven Guilty,4.39
Lost Souls,3.9
Night Star,3.81
The Outlaw Demon Wails,4.38
Abraham Lincoln,3.7
Vampire Kisses,4.13
Awake at Dawn,4.27
The Twilight Saga Complete Collection,4.33
Unleash the Night,4.34
A Touch of Dead,3.83
Midnight Rising,4.22
Succubus Heat,4.18
River Marked,4.28
Tommaso,4.17
Vampire Kisses,3.71
The Ruby Circle,4.22
Hounded,4.09
A Hidden Fire,4.04
A Job From Hell,3.55
Hard Bitten,4.15
Succubus Dreams,4.13
Infinite Days,3.91
Origins,4.14
Sookie Stackhouse  Volume Set,4.29
Everlasting,3.91
Touch the Dark,3.71
Bite Club,4.22
Sons of Destiny,4.21
Seize the Night,4.35
Death Masks,4.29
Succubus Shadows,4.17
Betrayals,4.08
The Coldest Girl in Coldtown,3.84
Peeps,3.77
Stolen,4.15
Twilight,3.84
Succubus Revealed,4.26
Friday Night Bites,4.12
Jealousy,4.15
Turn Coat,4.42
Defiance,4.19
The King,4.37
Passion Unleashed,4.3
Merrick,3.73
Dark Desire,4.2
White Night,4.38
Carmilla,3.82
Blood Destiny,3.88
A Quick Bite,3.91
Danse Macabre,3.82
Chosen at Nightfall,4.35
Salems Lot,4.25
The Vampires Assistant,4.12
Veil of Midnight,4.25
Black Magic Sanction,4.37
Desire Unchained,4.23
Whispers at Moonrise,4.36
Last Breath,4.31
Ashes of Midnight,4.18
Bunnicula,3.86
Taltos,3.8
The Harlequin,3.92
Taken at Dusk,4.31
Sookie Stackhouse  copy Boxed Set,4.44
Blood Rites,4.3
Dark Side of the Moon,4.15
Hidden,3.7
Fighting Destiny,4.05
Deeper Than Midnight,4.29
Dinner with a Vampire,3.76
Immortal Matchmakers Inc,3.93
Twice Tempted,4.27
Nice Girls Dont Have Fangs,3.91
Spiders Bite,3.87
Blood Canticle,3.72
Darker After Midnight,4.37
Ancient Blood,4.27
Bad Moon Rising,4.28
Pale Demon,4.44
The Mortal Instruments,4.57
Kiss of the Night,4.23
Demon in My View,4.03
Incendiary,4.41
Ecstasy Unveiled,4.34
Darkness Becomes Her,3.9
Etiquette and Espionage,3.81
Incubus Dreams,3.79
The Coffin Club,4.06
The Lake of Souls,4.18
Vampire Knight Vol ,4.1
Dead Reckoning,3.79
The Nightlife,3.49
Drink Deep,4.09
Taken by Midnight,4.27
Fire of Stars and Dragons,3.49
Wisdom,4.03
Dark Magic,4.25
Shades of Midnight,4.28
The Twilight Saga,4.25
Wicked Deeds on a Winters Night,4.36
Cerulean Sins,3.85
Moon Called,4.15
Black Dawn,4.25
Pleasure of a Dark Prince,4.39
Small Favor,4.44
Cold Days,4.47
Magic Rises,4.46
Fate,3.98
The Fallen Star,3.91
Father Mine,4.49
New Moon,4.32
Tunnels of Blood,4.14
One Silent Night,4.12
Royal Blood,4.09
The Vampire Prince,4.23
The Twelve,4.01
Dark Desires After Dusk,4.36
Dark Fire,4.31
Vampireville,3.92
Lothaire,4.41
Dance with a Vampire,4.01
Embrace the Night,4.09
Kiss of a Demon King,4.33
Sins of the Night,4.18
Prince Lestat,3.8
Skinwalker,3.91
Tales from the Shadowhunter Academy,4.4
Lord of the Shadows,4.22
Captured,4.04
Awakening the Fire,3.73
Awakening,3.69
Archangels Consort,4.23
The Keep,3.99
Lasher,3.86
Killers of the Dawn,4.23
Shattered Mirror,4.03
Flutter,3.97
Trials of Death,4.25
Misguided Angel,3.93
Micah,3.64
Dark Prince,4.0
Dreams of a Dark Warrior,4.37
The Book With No Name,3.84
In the Forests of the Night,3.87
Fevre Dream,3.87
Kingdom of Embers,4.3
Reckoning,4.11
The Awakening,3.4
Blood Noir,3.86
Dance of the Gods,4.15
Midnights Daughter,4.0
The Feast of All Saints,3.85
Twelfth Grade Kills,4.34
Escaping Destiny,4.38
The Shadowhunters Codex,3.99
Nightlife,3.64
Indebted,4.35
Lost in Time,4.04
Twilight Directors Notebook,4.25
Twilight,4.21
Vampire Mountain,4.16
Jacob,4.01
The Silver Kiss,3.69
Intertwined,3.87
Boys that Bite,3.68
Full Moon Rising,3.89
Bloodlust,4.06
Hunters of the Dusk,4.17
Hidden,3.99
My Love Lies Bleeding,3.96
Dream Warrior,4.2
Vampire Interrupted,4.34
Eternal Rider,4.19
Allies of the Night,4.19
A Bites Tale ,3.75
Midnight Predator,4.02
Skin Trade,3.92
Thirst No ,4.07
Dark Needs at Nights Edge,4.31
When Darkness Comes,3.84
The Fury,3.53
Deaths Mistress,4.2
Gates of Paradise,4.08
Morrigans Cross,4.14
Love Bites,4.13
Kissing Coffins,3.88
Ninth Grade Slays,4.14
Tales of the Otherworld,4.24
Vampire Academy,4.52
Rapture,4.23
Sin Undone,4.33
Vlad,3.87
The Shadows,4.3
Dreams of the Ringed Vale,3.98
Tenth Grade Bleeds,4.24
The Season of Passage,4.16
Demons of the Ocean,3.84
The Darkangel,3.9
Tall Dark and Hungry,4.2
Fated,3.92
Broken,4.18
Necroscope,4.01
Blood Feud,4.12
Dark Challenge,4.25
The Force of Wind,4.29
Drawing Blood,4.03
Carrion Comfort,3.9
Hexed,4.22
Flirt,3.73
Dark Reunion,3.52
Up from the Grave,4.28
Nightlight,3.07
The Accidental Vampire,4.22
Edge of Dawn,4.24
Embrace the Darkness,4.15
Invincible,4.26
Curse the Dawn,4.15
City of Bones ,4.58
Claimed by Shadow,3.98
The Morganville Vampires Volume ,4.35
Phantom,3.76
Deadlocked,3.69
A Tale of the Other Kind,3.63
Bullet,3.84
The Struggle,3.48
Underworld,4.08
Captivated,3.9
Thirst No ,4.14
Doomed,3.93
Charmeine,3.94
Dark Slayer,4.4
The Renegade Hunter,4.33
Wayward Son,4.04
Afterlight,3.72
Bitten and Smitten,3.68
The Legend of the Blue Eyes,3.84
The Beginning,4.53
Murder of Crows,4.28
Bloody Valentine,3.98
Bite Me If You Can,4.27
Lord of the Abyss,4.11
Tangled Threads,4.15
Afterlife,3.79
The Vampire Queens Servant,3.77
Hit List,3.94
Vampire Most Wanted,4.15
Vision in Silver,4.25
The Infernal Devices,4.21
Changeless,3.99
Dark Guardian,4.35
Black Sun Rising,3.93
Nice Girls Dont Date Dead Men,4.1
Here Be Sexist Vampires,4.09
The Mark of the Vampire Queen,4.25
My Swordhand is Singing,3.64
Immortal Rider,4.31
Welcome to Shadowhunter Academy,4.1
Servant of the Bones,3.73
Blood Kiss,4.33
Blindsight,4.02
If Angels Burn,3.77
A Fall of Water,4.35
The Little Vampire,4.05
Taunting Destiny,4.37
Archangels Blade,4.26
Dragons Oath,4.07
Dark Stranger,3.65
The Den of Shadows Quartet,4.23
By Midnight,3.59
Chase the Darkness,4.09
My Commander,4.12
Spell Bound,4.22
Vampire Blood Trilogy,4.2
Curtsies and Conspiracies,4.12
Monster Hunter International,4.05
The Sweetest Kill,4.33
Bound by Flames,4.22
Infamous,4.35
Midnight Sun,3.82
This Same Earth,4.24
The Craving,4.0
Eleventh Grade Burns,4.3
Vampire War Trilogy,4.32
Archangels Legion,4.41
Retribution,4.12
Daughters of Darkness,3.92
Dead Is the New Black,3.97
Bloodsucking Fiends,3.94
Day Watch,4.06
The Guardian,4.34
Ever After,4.45
Kitty and the Midnight Hour,3.67
The Strange Power,3.81
Twilight Watch,4.12
A Perfect Blood,4.38
Relentless,4.3
Dead Is So Last Year,4.17
Dead Is Just A Rumor,4.24
Dead Is a State of Mind,4.14
The Dream Hunter,4.06
Love Bites,4.11
Out for Blood,4.21
Darkness Everlasting,4.19
Underworld,4.09
Embers Curse,3.84
Afterlife,3.95
Curran,4.13
Lethal Rider,4.37
The Vision,4.15
The Greyfriar,3.81
Haven,3.83
Wicked Game,3.7
Hammered,4.21
Blameless,4.0
The Morganville Vampires Volume ,4.39
The Undead Pool,4.43
Captive,4.29
A Gathering of Gargoyles,4.11
Children of the Night,3.71
Mona Lisa Craving,3.99
The Chosen,4.31
The Cry of the Icemark,4.11
Vampires are Forever,4.26
Vampire Mistress,4.29
Vampire Trinity,4.4
Immortal Ever After,4.26
Gideon,4.15
J R Ward Collection,4.73
Blood Moon,4.17
A Shade of Vampire,3.85
Down Among the Sticks and Bones,4.16
Lone Wolf Rising,3.69
Nice Girls Dont Live Forever,4.17
The Infernal Devices,4.41
Kitty and the Dead Mans Hand,3.89
How to Marry a Millionaire Vampire,3.86
Noah,4.22
The Chosen,4.1
Venom,4.16
The Runaway Queen,3.75
Reborn,4.34
A Night in the Lonesome October,4.22
Web of Lies,4.09
The Dark Gods Bride,4.03
Claimed,4.19
The Dark Gods Bride,3.65
Black City,3.75
Time Untime,4.12
New Moon,4.28
Hotter After Midnight,3.92
Moon Spell,3.99
MacRieve,4.3
Vittorio The Vampire,3.52
The Eye of the Moon,4.17
The Passion,4.04
Bitter Blood,4.24
Darkness Unbound,3.96
Darkness Rising,4.14
Salvation,4.33
Clean Sweep,4.16
A Beautiful Evil,4.15
Twilight,4.28
Crave,3.79
Bloodthirsty,3.78
