title,rating
The Book Thief,4.37
Gone with the Wind,4.3
Enders Game,4.3
A Thousand Splendid Suns,4.38
Slaughterhouse Five,4.08
Catch ,3.98
All Quiet on the Western Front,3.98
Atonement,3.91
A Farewell to Arms,3.81
Schindlers List,4.34
The Boy in the Striped Pajamas,4.15
The Guernsey Literary and Potato Peel Pie Society,4.17
For Whom the Bell Tolls,3.97
The Diary of a Young Girl,4.15
The Things They Carried,4.13
Sophies Choice,4.18
Cold Mountain,3.86
The Complete Maus,4.55
The English Patient,3.88
Doctor Zhivago,4.01
Unbroken,4.36
All the Light We Cannot See,4.33
The Reader,3.76
War and Peace,4.12
World War Z,4.01
Johnny Got His Gun,4.18
Sarahs Key,4.16
The Bronze Horseman,4.3
The Art of War,3.97
The Killer Angels,4.32
Gravitys Rainbow,3.98
Night,4.34
Corellis Mandolin,3.98
Bury My Heart at Wounded Knee,4.22
The Nightingale,4.57
Enders Shadow,4.3
Cryptonomicon,4.24
Shot Down,4.31
Starship Troopers,4.0
Exodus,4.34
The Trigger,4.11
The Hunt for Red October,4.07
Chasing the Devil,4.1
Journey to the End of the Night,4.22
On the Beach,3.94
The Iliad,3.87
The Last of the Mohicans,3.7
Birdsong,4.09
Between Shades of Gray,4.36
The Winds of War,4.37
The Tin Drum,3.96
A Town Like Alice,4.14
Stones from the River,4.09
Mother Night,4.2
Hearts in Atlantis,3.83
The Quiet American,3.95
The Red Badge of Courage,3.26
The Heart of Aleppo,4.33
City of Thieves,4.28
Fall of Giants,4.28
What Is the What,4.16
Hiroshima,3.98
A Long Way Gone,4.16
Old Mans War,4.22
The Forever War,4.14
The Painted Bird,3.92
A Storm of Swords,4.52
Three Comrades,4.49
The Ask and the Answer,4.2
The Storyteller,4.27
Tomorrow When the War Began,4.05
Monsters of Men,4.24
The Sunne in Splendour,4.38
North and South,4.2
War and Remembrance,4.41
Red Storm Rising,4.17
Half of a Yellow Sun,4.33
Band of Brothers,4.42
Sliding on the Snow Stone,4.08
The Bridge on the Drina,4.33
Tatiana and Alexander,4.3
Survival in Auschwitz,4.31
Code Name Verity,4.03
Good Night Mr Tom,4.3
A Storm of Swords,4.45
The Guardian of Secrets and Her Deathly Pact,4.19
Eye of the Needle,4.19
The Winners Curse,3.97
Salt to the Sea,4.35
Gates of Fire,4.4
Making Faces,4.32
Black Hawk Down,4.28
The Rise and Fall of the Third Reich,4.17
The Tattooist of Auschwitz,4.25
Raintree County,3.95
Monstrous Regiment,4.19
Master and Commander,4.07
The War of the End of the World,4.23
In Farleigh Field,3.95
Winter of the World,4.34
Mila ,4.3
Legend,4.27
The Civil War,4.53
The Summer Garden,4.11
Memories of Ice,4.42
Blood Song,4.4
Team of Rivals,4.28
Moon Tiger,3.84
